model_name,document_number,type_of_wind_farm,chunk_number,document_id,constraint_type,requirement,scope,numerical_value,unit,source,related_domains,total_score,tfidf_mean_similarity,tfidf_max_similarity,jaccard_similarity,semantic_density,match_count,matched_keywords,has_numerical_values,extracted_numerical_value,scoring_method,threshold_level,relevance_category,priority_color
deepseek-chat,DOC-2023-001,Offshore,10,40,Environmental,All turbines must maintain a minimum clearance of 1 km from marine protected areas.,North Sea offshore wind projects,1,km,Marine Spatial Planning Directive 2022,environmental; spatial,0.1850440813634228,0.0057137471116992,0.3819748022279691,0.0445344129554655,0.5925925925925926,60,sea depth (partial); wind direction (partial); outer continental shelf a (partial); cut in wind speed (partial); turbine model (partial); turbine spacing (partial); turbine status (partial); min depth (partial); torpedo testing area (partial); min kilovolt (partial),True,1 km,comprehensive_scientific,0.15,High Relevance,🟠
deepseek-chat,EWF-2023-001,Offshore,14,18,Environmental,All offshore wind turbines must maintain a minimum clearance of 1 km from marine protected areas.,European Union waters,1.0,km,EU Marine Spatial Planning Directive 2021,Environmental; Spatial,0.1745542312632568,0.0051571673732908,0.3723997858083733,0.036,0.5357142857142857,58,wind direction (partial); outer continental shelf a (partial); cut in wind speed (partial); turbine model (partial); turbine spacing (partial); turbine status (partial); min depth (partial); torpedo testing area (partial); min kilovolt (partial); number of turbines per row (partial),True,1.0 km,comprehensive_scientific,0.15,High Relevance,🟠
gpt-4.1,SECTION IV,Offshore,19,27,Technical,"Emissions from the RW project will be limited by, and contribute to, the facility-wide emission limits on NO X and VOC identified in Section IV(A)(5). For purposes of compliance with the Facility-wide emission limits in Section IV(A)(5), actual emissions of NO X and VOC shall include emissions during operation from the following: engines located on the OSS and/or WTG(s), engines on vessels that meet the definition of an OCS source, and engines on vessels servicing or associated with the OCS Facility when those vessels are at the OCS Facility, or en route to or from the OCS Facility and are within 25 NM of the OCS Facility’s centroid.","Facility-wide; includes OSS, WTG(s), and vessels within 25 NM during operational phase",25.0,nautical miles,"40 C.F.R. Part 55 (§55.1–55.15, Appendix A to Part 55), 40 C.F.R. Part 124 (§124.1–124.21, Subpart A; §124.41–124.42, Subpart C)",air quality; emissions inventory; operational compliance,0.1501747054221748,0.0052104330962401,0.294403077538425,0.0389610389610389,0.519774011299435,63,wind direction (partial); outer continental shelf a (partial); cut in wind speed (partial); lease id (partial); turbine model (partial); turbine spacing (partial); turbine status (partial); end date (partial); number of turbines per row (partial); power line id (partial),True,25.0 nautical miles,comprehensive_scientific,0.15,High Relevance,🟠
claude-3-haiku-20240307,,Offshore,10,40,Safety,"All LOA Holder's vessels, regardless of size, must immediately reduce speed to 10 kn or less for at least 24 hours when a North Atlantic right whale is sighted at any distance by any project-related personnel or acoustically detected by any project-related PAM system. Each subsequent observation or acoustic detection in the Project area shall trigger an additional 24-hour period.",Project area,10,knots,,"Environmental, Safety",0.1485550364780337,0.0052779662969447,0.3096107340073064,0.0431654676258992,0.4492753623188406,41,cooling system (partial); outer continental shelf a (partial); cut in wind speed (partial); torpedo testing area (partial); number of turbines per row (partial); turbine position y (partial); wind speed at 10m (partial); distance to substation (partial); gulf of mexico fishery management council (partial); missile testing area (partial),True,10 knots,comprehensive_scientific,0.1,Medium-High Relevance,🟡
gpt-4o-mini,,Offshore,10,40,Safety,"All LOA Holder's vessels, regardless of size, must immediately reduce speed to 10 kn or less for at least 24 hours when a North Atlantic right whale is sighted at any distance by any project-related personnel or acoustically detected by any project-related PAM system.","Project area, operational phase",10.0,kn,,marine wildlife protection; navigational safety,0.1429635416124292,0.0055129769243642,0.2621506760134919,0.0561797752808988,0.5087719298245614,47,cooling system (partial); outer continental shelf a (partial); cut in wind speed (partial); life cycle (partial); torpedo testing area (partial); number of turbines per row (partial); turbine position y (partial); wind speed at 10m (partial); distance to substation (partial); gulf of mexico fishery management council (partial),True,10.0 kn,comprehensive_scientific,0.1,Medium-High Relevance,🟡
gemini-1.5-pro,,Offshore,10,40,Environmental,"All LOA Holder's vessels, regardless of size, must immediately reduce speed to 10 kn or less for at least 24 hours when a North Atlantic right whale is sighted at any distance by any project-related personnel or acoustically detected by any project-related PAM system.",Transit within the project area,10.0,kn,,marine mammal protection; vessel operations,0.1427403240335543,0.0050350146573218,0.2678531593341841,0.0518518518518518,0.5,43,cooling system (partial); outer continental shelf a (partial); cut in wind speed (partial); torpedo testing area (partial); number of turbines per row (partial); turbine position y (partial); wind speed at 10m (partial); distance to substation (partial); gulf of mexico fishery management council (partial); missile testing area (partial),True,10.0 kn,comprehensive_scientific,0.1,Medium-High Relevance,🟡
deepseek-chat,NSW-REG-2023-004,Offshore,34,44,Spatial,No construction within 5 km of designated marine protected areas.,All North Sea wind farms,5,km,EU Marine Strategy Framework Directive,Environmental; Zoning,0.1410820731466333,0.004284619809644,0.2256640700506737,0.032258064516129,0.6521739130434783,48,sea depth (partial); wind direction (partial); outer continental shelf a (partial); cut in wind speed (partial); farm power output (partial); design; torpedo testing area (partial); number of turbines per row (partial); turbine position y (partial); wind zone (partial),True,5 km,comprehensive_scientific,0.1,Medium-High Relevance,🟡
gemini-1.5-pro,OCS-R1-05,Offshore,19,27,Environmental,"Emissions from the RW project will be limited by, and contribute to, the facility-wide emission limits on NOx and VOC identified in Section IV(A)(5). For purposes of compliance with the Facility-wide emission limits in Section IV(A)(5), actual emissions of NOx and VOC shall include emissions during operation from the following: engines located on the OSS and/or WTG(s), engines on vessels that meet the definition of an OCS source, and engines on vessels servicing or associated with the OCS Facility when those vessels are at the OCS Facility, or en route to or from the OCS Facility and are within 25 NM of the OCS Facility’s centroid.",RW Project (Revolution Wind),25.0,NM,"40 C.F.R. Part 55 (§55.1–55.15, Appendix A to Part 55), 40 C.F.R. Part 124 (§124.1–124.21, – - Subp art A; §124.41 124.42, Subpart C)",air quality; emissions; vessel emissions,0.1400007072091261,0.0040903487811701,0.2688583596201281,0.0323624595469255,0.5123456790123457,61,wind direction (partial); outer continental shelf a (partial); cut in wind speed (partial); lease id (partial); turbine model (partial); turbine spacing (partial); turbine status (partial); end date (partial); number of turbines per row (partial); power line id (partial),True,25.0 NM,comprehensive_scientific,0.1,Medium-High Relevance,🟡
gpt-4o-mini,,Offshore,19,34,Technical,The Lessee must submit to the Lessor within 90 days after installation of the facility a narrative report that contains a summary of the fabrication and deployment process.,Installation phase,90.0,days,,fabrication process; installation,0.1395302037508675,0.003055910624821,0.3106478701289604,0.0196850393700787,0.4117647058823529,23,outer continental shelf a (partial); cut in wind speed (partial); number of turbines per row (partial); turbine position y (partial); wind speed at 10m (partial); installation; distance to substation (partial); gulf of mexico fishery management council (partial); number of blades (partial); distance to population center (partial),True,90.0 days,comprehensive_scientific,0.1,Medium-High Relevance,🟡
gemini-1.5-pro,2,Offshore,2,34,Environmental,"The Lessee must ensure that vessel operators comply with 10 knot (18.5 km/hr) or less speed restrictions in the following circumstances: All vessels 19.8 m (65 ft) in length or greater, traveling and operating within the project area and between the staging area/port and the project area from November 1 through April 30.",Vessels 19.8m or greater within the project area and between the staging area/port and the project area from November 1 through April 30,10.0,knots,Section 1.2.2.2 of the conditions,marine mammal protection; sea turtle protection; vessel operations; speed restrictions,0.1389619033638052,0.0083506083449918,0.2568143764313224,0.0354609929078014,0.5148514851485149,41,sea depth (partial); outer continental shelf a (partial); cut in wind speed (partial); torpedo testing area (partial); number of turbines per row (partial); turbine position y (partial); wind speed at 10m (partial); distance to substation (partial); gulf of mexico fishery management council (partial); missile testing area (partial),True,10.0 knots,comprehensive_scientific,0.1,Medium-High Relevance,🟡
