model_name,document_number,type_of_wind_farm,chunk_number,document_id,constraint_type,requirement,scope,numerical_value,unit,source,related_domains
gemini-1.5-pro,4,Offshore,14,6,Technical,"Type certification, used by most land-based turbines, requires compliance with a predefined IEC design class corresponding to a prescribed extreme wind and turbulence level (e.g., IEC Class 1 A from IEC 61400-1).",Type certification for land-based turbines,,,IEC 61400-1,turbine certification; wind load; turbulence
gemini-1.5-pro,,Offshore,16,6,Safety,IEC adheres to a 50-year return period for extreme design conditions.,Wind turbine design,50.0,years,IEC,structural integrity; design conditions
gemini-1.5-pro,,Offshore,16,6,Safety,"API standards assume a 25-year, 50-year, or a 100-year return period for extreme events, depending on the life safety and consequence matrix.",Offshore oil and gas production on the U.S. continental shelf,,years,API,structural integrity; design conditions; risk assessment
gemini-1.5-pro,6,Offshore,17,6,Technical,"IEC 61400-1, IEC 61400-3, IEC 61400-22, and ISO 19900 series standards are used for offshore wind projects.",Europe,,,"IEC, ISO",structural integrity; safety; design
gemini-1.5-pro,6,Offshore,17,6,Technical,Federal Maritime and Hydrographic Agency (BSH) standard can be used for design of the sub-structure below sea level.,Germany,,,BSH,structural integrity; design; sub-structure
gemini-1.5-pro,6,Offshore,17,6,Technical,API Series 2 standards can be used for design of the sub-structure below sea level.,United States,,,API,structural integrity; design; sub-structure
gemini-1.5-pro,13,Offshore,27,6,Technical,Wind turbines must meet the design requirements specified in IEC 61400-1.,Wind turbines,,,"IEC 61400-1, Wind turbines—Part 1: Design requirements",design; turbine
gemini-1.5-pro,13,Offshore,27,6,Technical,Offshore wind turbines must meet the design requirements specified in IEC 61400-3.,Offshore wind turbines,,,"IEC 61400-3, Wind turbines—Part 3: Design requirements for offshore wind turbines",design; turbine; offshore
gemini-1.5-pro,13,Offshore,27,6,Technical,Floating offshore wind turbines must meet the design requirements specified in IEC 61400-3-2.,Floating offshore wind turbines,,,"IEC 61400-3-2, Wind turbines—Part 3-2: Design requirements for floating offshore wind turbines",design; turbine; floating offshore
gemini-1.5-pro,13,Offshore,27,6,Technical,Wind turbines must undergo conformity testing and certification according to IEC 61400-22.,Wind turbines,,,"IEC 61400-22, Wind turbines—Part 22: Conformity testing and certification",testing; certification; turbine
gemini-1.5-pro,13,Offshore,27,6,Technical,Offshore structures must meet the general requirements specified in ISO 19900.,Offshore structures,,,"ISO 19900, General requirements for offshore structures",design; offshore structures
gemini-1.5-pro,13,Offshore,27,6,Technical,Fixed steel offshore structures must meet the requirements specified in ISO 19902.,Fixed steel offshore structures,,,"ISO 19902, Fixed steel offshore structures",design; steel structures; offshore structures
gemini-1.5-pro,13,Offshore,27,6,Technical,Fixed concrete offshore structures must meet the requirements specified in ISO 19903.,Fixed concrete offshore structures,,,"ISO 19903, Fixed concrete offshore structures",design; concrete structures; offshore structures
gemini-1.5-pro,13,Offshore,27,6,Technical,"Floating offshore structures (monohulls, semisubmersibles, and spars) must meet the requirements specified in ISO 19904-1.","Floating offshore structures (monohulls, semisubmersibles, and spars)",,,"ISO 19904-1, Floating offshore structures—monohulls, semisubmersibles and spars",design; floating offshore structures
gemini-1.5-pro,13,Offshore,27,6,Technical,Floating offshore structures (tension leg platforms) must meet the requirements specified in ISO 19904-2.,Floating offshore structures (tension leg platforms),,,"ISO 19904-2, Floating offshore structures—tension leg platforms",design; floating offshore structures
gemini-1.5-pro,13,Offshore,27,6,Technical,"Fixed offshore steel platforms must adhere to the recommended practices for planning, designing, and constructing as outlined in API RP 2A-WSD.",Fixed offshore steel platforms,,,"API RP 2A-WSD, Recommended practice for planning, designing and constructing fixed offshore steel platforms—working stress design",design; construction; steel platforms; offshore platforms
gemini-1.5-pro,14,Offshore,29,6,Technical,Provides offshore requirements by addressing the equal importance of both wave and wind for fixed shallow water support structures and defers to IEC 61400-1 for above-water requirements.,Fixed shallow water support structures,,,IEC 61400-3,structural design; wind loading; wave loading
gemini-1.5-pro,14,Offshore,29,6,Technical,"Addresses structural design, design classes, and design load cases, and provides a detailed definition of turbulent wind.",Wind turbine structural design,,,IEC 61400-1,structural design; wind loading
gemini-1.5-pro,14,Offshore,29,6,Technical,"Describes and defines the methods for type certification, project certification, and component certification, which include requirements from IEC 61400-3 and IEC 61400-1.",Certification process for wind turbines and components,,,IEC 61400-22,certification; quality assurance
gemini-1.5-pro,,Offshore,30,6,Safety,"Extreme event design loads for platforms must be formulated based on a 25-year, 50-year, or 100-year return period, depending on the life safety and consequence matrix.",Offshore wind turbine platforms,,,API,structural integrity; safety
gemini-1.5-pro,,Offshore,30,6,Safety,"Offshore wind turbines are classified as L2 structures, requiring a 50-year return period extreme event.",Offshore wind turbines,50.0,years,AWEA (referencing API/ISO standards),structural integrity; safety; design
gemini-1.5-pro,,Offshore,30,6,Safety,L2 structures must undergo a robustness check for a 500-year return period extreme event.,Offshore wind turbines (classified as L2 structures),500.0,years,API,structural integrity; safety; design
gemini-1.5-pro,15,Offshore,31,6,Technical,Fixed steel structures using the Weld Strength Design (WSD) method must comply with API 2A-WSD.,Fixed steel structures,,,API 2A-WSD,structural integrity; design
gemini-1.5-pro,15,Offshore,31,6,Technical,Fixed steel structures using the Load and Resistance Factor Design (LFRD) method must comply with API RP 2A-LFRD.,Fixed steel structures,,,API RP 2A-LFRD,structural integrity; design
gemini-1.5-pro,15,Offshore,31,6,Technical,Concrete structures must comply with API RP 2CON.,Concrete structures,,,API RP 2CON,structural integrity; design
gemini-1.5-pro,15,Offshore,31,6,Technical,Floating structures must comply with API RP 2FPS.,Floating structures,,,API RP 2FPS,structural integrity; design
gemini-1.5-pro,15,Offshore,31,6,Technical,Tension Leg Platforms must comply with API RP 2T.,Tension Leg Platforms,,,API RP 2T,structural integrity; design
gemini-1.5-pro,15,Offshore,31,6,Technical,Arctic structures must comply with API RP 2N.,Arctic structures,,,API RP 2N,structural integrity; design
gemini-1.5-pro,,Offshore,32,6,Jurisdictional,BSH approves offshore wind plant development beyond 12 nautical miles from the coast of Germany.,German waters beyond 12 nautical miles,12.0,nautical miles,Bundesamt für Seeschifffahrt und Hydrographie (BSH),permitting; jurisdiction
gemini-1.5-pro,,Offshore,36,6,Technical,The type certification must consist of modules that include: • Design basis evaluation • Wind turbine design evaluation • Type testing • Manufacturing evaluation • Final evaluation.,"Wind turbine type certification (rotor, nacelle, assembly, and tower)",,,IEC 61400-22,design; manufacturing; testing; certification
gemini-1.5-pro,19,Offshore,37,6,Technical,"Performance-related characteristics (other than measurement of power performance) could be part of the type certification process, with the addition of an optional type characteristic measurements module. The optional measurements include one or more of the following: • Power quality test • Low voltage ride-through tests • Acoustic noise measurements.",Wind turbine type certification,,,IEC 61400-1,power performance; power quality; grid stability; noise pollution
gemini-1.5-pro,19,Offshore,37,6,Technical,Generic design classes are given in IEC 61400-1 that categorize design sites by their extreme winds and turbulence conditions.,Wind turbine design and site selection,,,IEC 61400-1,structural integrity; wind loading; site assessment
gemini-1.5-pro,19,Offshore,37,6,Safety,"In cases where the envelopes of the defined design classes are exceeded, IEC 61400-1 makes provisions for a user-defined design Class S, which allows turbines to be type certified under unique conditions.",Wind turbine design and certification for extreme wind conditions,,,IEC 61400-1,structural safety; extreme wind events; hurricane resilience
gemini-1.5-pro,,Offshore,38,6,Safety,Structural reliability and safety assessments of wind facilities are required.,Wind facilities (offshore),,,"Financial institutions, banks, insurance companies, owners, operators, and regulatory authorities",structural integrity; safety
gemini-1.5-pro,,Offshore,38,6,Technical,The wind turbine must be type-certified.,Wind turbine,,,IEC 61400-22,certification; technical compliance
gemini-1.5-pro,,Offshore,38,6,Technical,The project must consider manufacturing and installation through the commissioning phase.,Project development,,,IEC 61400-22,manufacturing; installation; commissioning
gemini-1.5-pro,,Offshore,38,6,Technical,"External physical environmental conditions, grid system conditions, and soil properties unique to the site must be evaluated to determine whether they meet the requirements defined in the design basis set by the project.",Project site,,,IEC 61400-22,site assessment; environmental impact assessment; grid connection
gemini-1.5-pro,,Offshore,38,6,Technical,Offshore design requirements must be specified.,Offshore wind turbines,,,IEC 61400-3 (referenced within IEC 61400-22),design; technical compliance
gemini-1.5-pro,"21, 22",Offshore,39,6,Technical,Project certification requires a site condition assessment.,Project Certification,,,IEC 61400-22,site assessment; certification
gemini-1.5-pro,"21, 22",Offshore,39,6,Technical,Project certification requires a design basis evaluation.,Project Certification,,,IEC 61400-22,design basis; certification
gemini-1.5-pro,"21, 22",Offshore,39,6,Technical,Project certification requires an integrated load analysis.,Project Certification,,,IEC 61400-22,load analysis; certification
gemini-1.5-pro,"21, 22",Offshore,39,6,Technical,"Project certification requires a design evaluation of wind turbine, blades, and support structure.",Project Certification,,,IEC 61400-22,design evaluation; wind turbine; blades; support structure; certification
gemini-1.5-pro,"21, 22",Offshore,39,6,Technical,"Project certification requires manufacturing surveillance of wind turbine, blades, and support structure.",Project Certification,,,IEC 61400-22,manufacturing surveillance; wind turbine; blades; support structure; certification
gemini-1.5-pro,"21, 22",Offshore,39,6,Technical,Project certification requires transportation and installation surveillance.,Project Certification,,,IEC 61400-22,transportation; installation; certification
gemini-1.5-pro,"21, 22",Offshore,39,6,Technical,Project certification requires commissioning surveillance.,Project Certification,,,IEC 61400-22,commissioning; certification
gemini-1.5-pro,"21, 22",Offshore,39,6,Technical,Project certification requires a final evaluation.,Project Certification,,,IEC 61400-22,final evaluation; certification
gemini-1.5-pro,23,Offshore,40,6,Safety,The IEC standard is based on a 50-year return period for extreme events,Offshore wind turbine structures,50.0,years,IEC Standard,structural integrity; design criteria; risk assessment
gemini-1.5-pro,23,Offshore,40,6,Safety,"API standards consider various return periods (25, 50, or 100 years, depending on life safety and consequence of failure) for extreme weather events to determine external extreme design conditions and hurricane loads in the design process for oil and gas structures.",Oil and gas structures (used as comparison for offshore wind),,years,API standards,structural integrity; design criteria; risk assessment
gemini-1.5-pro,24,Offshore,41,6,Safety,"Level 1 (L1) platforms require design for a 100-year event for extreme design condition and a 1,000-year event for robustness check.",Offshore wind turbine platforms categorized as Level 1 (high consequence of failure),100.0,years,API,structural integrity; risk assessment; safety
gemini-1.5-pro,24,Offshore,41,6,Safety,"Level 1 (L1) platforms require a robustness check against a 1,000-year event.",Offshore wind turbine platforms categorized as Level 1 (high consequence of failure),1000.0,years,API,structural integrity; risk assessment; safety
gemini-1.5-pro,24,Offshore,41,6,Safety,Level 2 (L2) platforms require design for a 50-year event for extreme design condition and a 500-year event for robustness check.,Offshore wind turbine platforms categorized as Level 2 (medium consequence of failure),50.0,years,API,structural integrity; risk assessment; safety
gemini-1.5-pro,24,Offshore,41,6,Safety,Level 2 (L2) platforms require a robustness check against a 500-year event.,Offshore wind turbine platforms categorized as Level 2 (medium consequence of failure),500.0,years,API,structural integrity; risk assessment; safety
gemini-1.5-pro,24,Offshore,41,6,Safety,Level 3 (L3) platforms require design for a 25-year event for extreme design condition and no robustness check.,Offshore wind turbine platforms categorized as Level 3 (low consequence of failure),25.0,years,API,structural integrity; risk assessment; safety
gemini-1.5-pro,24,Offshore,41,6,Safety,Design load cases (DLCs) must account for operating and extreme 100-year events.,Offshore wind turbine platforms,100.0,years,ABS 176,structural integrity; design requirements; safety
gemini-1.5-pro,,Offshore,42,6,Technical,Extreme wind speed (Vref) must be based on a 10-minute average.,Offshore wind projects,10.0,minutes,IEC 61400-1,structural design; wind turbine design
gemini-1.5-pro,,Offshore,42,6,Technical,The 50-year extreme gust Ve50(z) must have a duration of 3 seconds.,Offshore wind projects,3.0,seconds,IEC 61400-1,structural design; wind turbine design
gemini-1.5-pro,.011,Offshore,43,6,Technical,A Class I turbine has a Vref 10-minute average value of 50 m/s at hub height.,Class I Turbines,50.0,m/s,IEC 61400-1,turbine classification; wind speed resistance
gemini-1.5-pro,.011,Offshore,43,6,Technical,"According to the previous equation, the Class I 3-second peak gust is 70 m/s without height adjustment.",Class I Turbines,70.0,m/s,IEC 61400-1,turbine classification; gust resistance
gemini-1.5-pro,,Offshore,44,6,Safety,100-year extreme wind and wave conditions govern U.S. oil and gas development.,GOM (Gulf of Mexico),100.0,years,,structural integrity; met-ocean conditions
gemini-1.5-pro,,Offshore,44,6,Technical,"Updated met-ocean criteria released by API as Bulletin 2INT-MET applies to the GOM region, subdivided into four sections.",GOM (Gulf of Mexico),,,API Bulletin 2INT-MET,met-ocean conditions
gemini-1.5-pro,,Offshore,47,6,Technical,Wind turbine design must consider the impact of tropical cyclones.,Wind turbines in tropical cyclone-prone regions,57.5,m/s,IEC 61400-1 (proposed Class-T),structural integrity; wind turbine design
gemini-1.5-pro,,Offshore,48,6,Technical,Wind turbines shall be designed to withstand wind speeds corresponding to Class-T.,Japan,,,Japan's T-Class proposal (in consideration for adoption within IEC 61400-1),structural integrity; wind turbine design
gemini-1.5-pro,,Offshore,49,6,Technical,return period to be no shorter than 100 years,Hurricane-prone U.S. waters,100.0,years,ABS 2010,structural integrity; design life
gemini-1.5-pro,,Offshore,49,6,Technical,"50-year return period, unless appropriate justifications are provided to ABS for a reduction and such reduction is acceptable to the governmental authorities having jurisdiction over permitting wind turbine installations",Hurricane-prone U.S. waters,50.0,years,IEC 61400-3 DLCs,structural integrity; design life
