row_index,document_id,model_name,constraint_type,scope,numerical_value,unit,requirement,exact_match,pages_found,highlighted_pages,matching_text_snippets
50,1,gemini-1.5-pro,Technical,Capacity Factor Adjustment,5.0,years,"After the first adjustment, BOEM may adjust the capacity factor (to accurately represent a comparison of actual generation over a given period of time with the amount of power a facility would have generated if it had run at full capacity) no earlier than in 5-year intervals from the most recent year that BOEM adjusts the capacity factor.",False,,,
210,1,deepseek-chat,Spatial,North Sea development zone,5,rotor diameters,Minimum spacing between turbines shall be 5 times the rotor diameter in predominant wind direction,False,,,
375,1,gpt-4o-mini,Technical,Operational phase,5.0,years,"After the first adjustment, BOEM may adjust the capacity factor no earlier than in 5-year intervals from the most recent year that BOEM adjusts the capacity factor.",False,,,
676,1,gpt-4o-mini,Jurisdictional,Outer Continental Shelf leases,3.0,dollars per acre per year,"All leases Subsequent Rent, unless otherwise provided in the terms of the lease $3 per acre per year Annually",False,,,
714,1,gemini-1.5-pro,Jurisdictional,Outer Continental Shelf Lease,5.0,years,"Each commercial lease has a preliminary period of up to five years. During the preliminary period, the lessee must submit a COP.",False,,,
775,1,gemini-1.5-pro,Jurisdictional,Outer Continental Shelf Lease,5.0,years,"The preliminary period begins on the effective date of the lease and ends either when a COP is received by BOEM for review or at the expiration of five years, whichever occurs first.",False,,,
836,1,gpt-4o-mini,Technical,"Outer Continental Shelf, Decommissioning phase",2.0,years,"Within 2 years following termination of a lease or grant, you must remove or dispose of all facilities, installations, and other devices permanently or temporarily attached to the seabed on the OCS.",False,,,
855,1,gemini-1.5-pro,Jurisdictional,Revenue sharing from qualified offshore wind projects,15.0,miles,A State is not eligible for revenue sharing if all parts of that State's coastline are more than 15 miles from the announced geographic center of the qualified project area.,False,,,
925,1,gpt-4o-mini,Jurisdictional,"Outer Continental Shelf, business operations",120.0,days,"You must notify BOEM in writing of any merger, name change, or change of business form.",True,15,15,"Page 15: ""§ 585.110 when must i notify boem of mergers, name changes, or changes of business form? you must notify boem in writing of any merger, name change, or change of business form. you must notify boem as soon as practicable following the merger, name change, or change in business form, but no later than 120 days after the earliest of either the effective date, or the date of f..."""
1004,1,gpt-4o-mini,Jurisdictional,Project easements,5.0,dollars per acre per year,"If you have a project easement Rent, unless otherwise provided in the terms of the grant Greater of $5 per acre per year or $450 per year",False,,,
1044,1,gpt-4o-mini,Financial,Limited lease area during the operational phase.,3.0,dollars per acre per year,"The rent for a limited lease is $3 per acre per year, unless otherwise established in the Final Sale Notice and/or your lease instrument.",False,,,
1183,1,gpt-4o-mini,Financial,Commercial lease agreements for offshore wind farms.,3.0,USD,"The rent for a commercial lease is $3 per acre per year, unless otherwise established in the FSN or lease.",True,52,52,"Page 52: ""...for your bid amount if you submit a bid; (2) apply your acquisition fee to your bonus bid if you acquire the lease; or (3) retain your acquisition fee if you do not bid for or acquire the lease. (a) the rent for a commercial lease is $3 per acre per year, unless otherwise established in the fsn or lease. (1) you must pay onrr the first 12 months' rent no later than 45 calendar days after you receive your copy of the executed lease from boem under § 585.500(c)(3). (2) you must pay onrr as provided in..."""
1195,1,gemini-1.5-pro,Jurisdictional,Outer Continental Shelf Lease operating fee waiver,6.0,years,No more than 6 years of your operations period will be subject to a full waiver of the operating fee.,True,57,57,"Page 57: ""...out the requested deferral, reduction, or waiver; or (ii) a deferral, reduction, or waiver is necessary to encourage additional activities; and (5) any other information required by the director. (c) no more than 6 years of your operations period will be subject to a full waiver of the operating fee. (a) the financial assurance requirements for each stage of your commercial lease are: 30 cfr part 585 (up to date as of 2/18/2025) renewable energy on the outer continental shelf 30 cfr 585.510(b) 30..."""
1234,1,gemini-2.5-pro,Environmental,Activities approved under 30 CFR part 585 on the Outer Continental Shelf.,50.0,years of age,An item must be classified as an 'Archaeological resource' if it consists of material remains of human life or activities that are at least 50 years of age and are of archaeological interest.,False,,,
1278,1,gemini-2.5-pro,Jurisdictional,Offshore renewable energy lease or grant area on the Outer Continental Shelf.,5.0,years,"At an interval no more frequent than every 5 years, BOEM may review your lease or grant area to determine whether the lease or grant area is larger than needed to develop the project and manage activities.",False,,,
1281,1,gemini-1.5-pro,Jurisdictional,Outer Continental Shelf Lease,35.0,years,A commercial lease has an operations period of 35 years; or the duration specified in the lease; or the duration included and approved as part of your COP. The operations period begins when the requirements of 30 CFR 285.637(a) are met through the submission of final reports and records for your project.,False,,,
1298,1,deepseek-chat,Spatial,Wind farm array layout,5,rotor diameters,Turbines must maintain a minimum spacing of 5 times the rotor diameter between adjacent units,False,,,
1421,1,gemini-2.5-pro,Jurisdictional,"Commercial leases on the Outer Continental Shelf, operational phase",0.02,rate (decimal),"Unless BOEM specifies otherwise, the operating fee rate “r” is 0.02 for each year the operating fee applies when you begin commercial operations.",False,,,
1426,1,gemini-1.5-pro,Technical,Commercial leases for renewable energy projects on the Outer Continental Shelf,0.02,,The operating fee rate “r” is 0.02 for each year the operating fee applies when you begin commercial operations.,False,,,
1429,1,gemini-1.5-pro,Jurisdictional,Outer Continental Shelf,2.0,officers,"When any party is a corporation, two corporate officers authorized to execute the guaranty agreement on behalf of the corporation must sign the agreement.",False,,,
1440,1,gpt-4o-mini,Financial,Project easement area,5.0,dollars per acre,"You must pay rent to ONRR as provided in 30 CFR 1218.51 for your project easement in the amount of $5 per acre, subject to a minimum of $450 per year, unless specified otherwise in the lease.",False,,,
1534,1,gemini-1.5-pro,Jurisdictional,Outer Continental Shelf,120.0,days,"You must notify BOEM as soon as practicable following the merger, name change, or change in business form, but no later than 120 days after the earliest of either the effective date, or the date of filing the change or action with the Secretary of the State or other authorized official in the State of original registry.",False,,,
1555,1,gpt-4o-mini,Jurisdictional,Lease or grant area for offshore wind projects,5.0,years,"At an interval no more frequent than every 5 years, BOEM may review your lease or grant area to determine whether the lease or grant area is larger than needed to develop the project and manage activities in a manner that is consistent with the provisions of this part.",False,,,
1582,1,deepseek-chat,Safety,Turbine siting,22,meters,Minimum clearance of 22 meters between lowest blade tip and highest astronomical tide,False,,,
1605,1,gemini-1.5-pro,Jurisdictional,Lease issuance for renewable energy projects on the Outer Continental Shelf,2.0,years,"A determination of no competitive interest expires two years after its publication, unless BOEM determines that it should be extended for good cause.",False,,,
