model_name,document_number,type_of_wind_farm,chunk_number,document_id,constraint_type,requirement,scope,numerical_value,unit,source,related_domains
deepseek-chat,OWF-NS-2023-001,Offshore,1,23,Environmental,All wind turbines must maintain a minimum clearance of 1 km from designated marine protected areas.,North Sea offshore wind projects,1,km,North Sea Offshore Wind Regulatory Authority (NSOWRA),environmental; spatial
deepseek-chat,OWF-NS-2023-001,Offshore,1,23,Technical,Wind turbine foundations must comply with ISO 19902 standards for offshore structures.,All offshore wind turbine foundations,,,International Organization for Standardization (ISO),technical; safety
deepseek-chat,NSOW-REG-2023-0042,Offshore,6,23,Environmental,Turbine foundations must maintain a minimum clearance of 25 meters from the seabed to allow for marine life passage,North Sea EEZ,25,meters,North Sea Offshore Wind Consortium,environmental; structural
deepseek-chat,NSOW-REG-2023-0042,Offshore,6,23,Technical,All electrical systems must comply with IEC 61400-24 for lightning protection,All offshore installations,,,International Electrotechnical Commission,electrical; safety
deepseek-chat,OWED-2023-001,Offshore,14,23,Environmental,Turbine foundations must avoid marine mammal migratory paths.,North Atlantic offshore wind lease areas,,,Bureau of Ocean Energy Management (BOEM),Environmental impact; Marine wildlife protection
deepseek-chat,OWED-2023-001,Offshore,14,23,Technical,Wind turbines must comply with IEC 61400-3 for offshore structural design.,All offshore wind projects,,,International Electrotechnical Commission (IEC),Structural engineering; Safety standards
deepseek-chat,OWED-2023-001,Offshore,14,23,Spatial,Minimum distance between turbines must be at least 5 times the rotor diameter.,U.S. federal waters,5,rotor diameters,Federal Energy Regulatory Commission (FERC),Wind farm layout optimization; Safety
deepseek-chat,OWF-REG-2023,Offshore,36,23,Environmental,All turbines must maintain a minimum clearance of 1 km from identified marine mammal migration routes,North Sea development zones,1,km,OSPAR Commission Decision 2022/5,environmental; siting
deepseek-chat,OWF-REG-2023,Offshore,36,23,Technical,Substation foundations shall comply with ISO 19901-4 for geotechnical design,All offshore installations,,,International Electrotechnical Commission (IEC) 61400-3,structural engineering; electrical systems
deepseek-chat,30 CFR Part 585,Offshore,39,23,Spatial,Wind turbines must be spaced at least 0.8 nautical miles apart to minimize wake effects.,U.S. Outer Continental Shelf (OCS),0.8,nautical miles,BOEM 30 CFR § 585.701,Technical; Safety
