document_id,chunk_number,data_type,index,entity_name,jurisdiction,role,type,requirement,scope,numerical_value,unit,source,related_domains
17,1,entity,0,"Bureau of Ocean Energy Management, Regulation, and Enforcement (BOEMRE)",Federal (U.S.),Funding and review/approval of the study defining design standards,,,,,,,
17,1,entity,1,U.S. Department of the Interior,Federal (U.S.),Oversight of BOEMRE,,,,,,,
17,2,constraint,0,,,,Technical,Design of offshore wind turbines must consider hurricane conditions on the US Outer Continental Shelf (OCS).,US Outer Continental Shelf (OCS),,,M10PC00105: Design Standards for Offshore Wind Farms Final Report,"technical, safety"
17,3,constraint,0,,,,Technical,Consideration of site conditions,Offshore wind farms,,,Design Standards for Offshore Wind Farms,technical
17,3,constraint,1,,,,Technical,Specification of wind turbine RNA and tower,Offshore wind farms,,,Design Standards for Offshore Wind Farms,technical
17,3,constraint,2,,,,Technical,Definition of support structure configurations,Offshore wind farms,,,Design Standards for Offshore Wind Farms,technical
17,3,constraint,3,,,,Technical,Conducting sensitivity studies to determine modeling parameters,Offshore wind farms,,,Design Standards for Offshore Wind Farms,technical
17,3,constraint,4,,,,Technical,Comparison of API and IEC wind models,Offshore wind farms,,,Design Standards for Offshore Wind Farms,technical
17,3,constraint,5,,,,Technical,Analysis of the effect of faults in turbine's yaw and pitch control,Offshore wind farms,,,Design Standards for Offshore Wind Farms,"safety, technical"
17,3,constraint,6,,,,Technical,Case studies for monopile and tripod support structures,Offshore wind farms,,,Design Standards for Offshore Wind Farms,technical
17,6,constraint,0,,,,Technical,,Offshore Wind Turbines,,,Design Standards/Regulations referenced in Table 2.1,"Technical, Safety"
17,6,constraint,1,,,,Technical,Load Cases as described in Table 2.2,Case Studies (Offshore Wind Turbines),,,Table 2.2 General Load Cases Descriptions for the Case Studies,"Technical, Safety"
17,6,constraint,2,,,,Technical,"50-Year Return Water Depth, Current Speed, and Wind Speed values as specified in Table 2.3",Offshore Wind Turbines,,,"Table 2.3 50-Year Return Water Depth, Current Speed and Wind Speed","Technical, Safety"
17,6,constraint,3,,,,Technical,50-Year Return Wave Condition as specified in Table 2.4,Offshore Wind Turbines,,,Table 2.4 50-Year Return Wave Condition,"Technical, Safety"
17,6,constraint,4,,,,Technical,"100-Year Return Water Depth, Current Speed, and Wind Speed values as specified in Table 2.5",Offshore Wind Turbines,,,"Table 2.5 100-Year Return Water Depth, Current Speed and Wind Speed","Technical, Safety"
17,6,constraint,5,,,,Technical,100-Year Return Wave Conditions as specified in Table 2.6,Offshore Wind Turbines,,,Table 2.6 100-Year Return Wave Conditions,"Technical, Safety"
17,8,constraint,0,,,,Technical,Turbulence properties at hub height must be calculated based on the API Wind Model.,Offshore wind turbine monopile and tripod support structures,,,API Bulletin 2INT-MET (2007),"Structural design, wind loading"
17,8,constraint,1,,,,Technical,Turbulence properties at hub height must be calculated based on the IEC Wind Model.,Offshore wind turbine monopile and tripod support structures,,,IEC Standard (Specific standard not identified in document),"Structural design, wind loading"
17,8,constraint,2,,,,Technical,Coherence function for wind loading calculations must use coefficients and distances specified.,Offshore wind turbine monopile and tripod support structures,,,API Bulletin 2INT-MET (2007),"Structural design, wind loading"
17,8,entity,0,American Petroleum Institute (API),International (Industry Standard),"Develops standards and recommended practices for the oil and gas industry, which are often applied to offshore wind projects.",,,,,,,
17,8,entity,1,International Electrotechnical Commission (IEC),International,"Develops international standards for electrical, electronic, and related technologies, including wind turbines.",,,,,,,
17,10,constraint,0,,,,Technical,Use of NREL 5-MW Baseline Offshore Wind Turbine design.,Offshore wind turbine design,5,MW,"Jonkman et al., 2009 (Figure 2.17)",Technical
17,10,constraint,1,,,,Technical,Consideration of 50-year and 100-year return wave conditions.,Offshore wind turbine design and structural analysis,,,Inferred from Figures 2.14 and 2.15,"Technical, Safety"
17,10,constraint,2,,,,Environmental,Analysis of regional wind conditions in the US Atlantic Coast and Gulf of Mexico West Central Region.,Offshore wind farm site selection,,,Inferred from Figures 2.6 and 2.7,"Environmental, Spatial"
17,10,constraint,3,,,,Technical,Use of Gumbel distribution for extreme value analysis of wind and wave data.,Offshore wind farm design and risk assessment,,,Inferred from Figures 2.9 and 2.10,"Technical, Safety"
17,11,constraint,0,,,,Technical,GOM West Central 100-yr Return Wind Condition,GOM West Central,100,years,Contract M10PC00105: Design Standards for Offshore Wind Farms Final Report,"structural design, wind loading"
17,11,constraint,1,,,,Technical,IEC Wind Model,Offshore Wind Farms,,,Contract M10PC00105: Design Standards for Offshore Wind Farms Final Report (Figure 2.33),wind modeling
17,11,constraint,2,,,,Technical,API Wind Model,Offshore Wind Farms,,,Contract M10PC00105: Design Standards for Offshore Wind Farms Final Report (Figure 2.33),wind modeling
17,12,constraint,0,,,,Technical,Wind turbine design must consider IEC and API wind models.,Offshore wind turbines,,,Inferred from Figure 2.34 and 2.35: Coherence IEC and API Wind Model,"structural design, wind loading"
17,12,constraint,1,,,,Safety,Analysis of maximum shear force and overturning moment at the mudline is required.,Offshore wind turbine foundations,,,Inferred from Figure 2.36: Comparison of the Maximum Shear Force and Overturning Moment at the Mudline,"structural safety, foundation design"
17,12,constraint,2,,,,Technical,Assessment of mudline shear force sensitivity to nacelle yaw angle is required for the GOM West Central 100-yr Return Wind Condition.,Offshore wind turbines in the GOM West Central region,,,Inferred from Figure 2.38: Sensitivity of Mudline Shear Force to Nacelle Yaw Angle for the GOM West Central 100-yr Return Wind Condition,"structural design, wind loading, control systems"
17,12,constraint,3,,,,Technical,Assessment of mudline overturning moment sensitivity to nacelle yaw angle is required for the GOM West Central 100-yr Return Wind Condition.,Offshore wind turbines in the GOM West Central region,,,Inferred from Figure 2.39: Sensitivity of Mudline Overturning Moment to Nacelle Yaw Angle for the GOM West Central 100-yr Return Wind Condition,"structural design, wind loading, control systems"
17,12,constraint,4,,,,Technical,Assessment of mudline shear force and overturning moment sensitivity to blade pitch angle is required for the GOM West Central 100-yr Return Wind Condition.,Offshore wind turbines in the GOM West Central region,,,Inferred from Figures 2.40 and 2.41: Sensitivity to Blade Pitch Angle for the GOM West Central 100-yr Return Wind Condition,"structural design, wind loading, control systems"
17,12,constraint,5,,,,Technical,Consideration of static wind forces and wave slamming loads in the design of monopile support structures.,Offshore wind turbine monopile foundations,,,Inferred from Figures 2.42-2.45: Static Wind Forces and Wave Slamming Loads on Monopile,"structural design, wave loading, foundation design"
17,13,constraint,0,,,,Technical,Consideration of 100-year and 50-year return periods for mudline shear forces and overturning moments.,Offshore wind turbine tripod and jacket support structures,,,Design Standards for Offshore Wind Farms Final Report (M10PC00105),"Structural, Safety"
17,13,constraint,1,,,,Technical,Evaluation of utilization ratios for tripod and jacket members.,Offshore wind turbine tripod and jacket support structures,,,Design Standards for Offshore Wind Farms Final Report (M10PC00105),"Structural, Safety"
17,13,constraint,2,,,,Technical,Analysis of wave slamming loads on tripod structures.,Offshore wind turbine tripod support structures,,,Design Standards for Offshore Wind Farms Final Report (M10PC00105),"Structural, Safety"
17,13,constraint,3,,,,Technical,Consideration of static wind forces on jacket support structures.,Offshore wind turbine jacket support structures,,,Design Standards for Offshore Wind Farms Final Report (M10PC00105),"Structural, Safety"
