model_name,document_number,type_of_wind_farm,chunk_number,document_id,constraint_type,requirement,scope,numerical_value,unit,source,related_domains
gemini-2.5-pro,Docket No. BSEE-2022-0015; Docket No. BOEM-2022-0042,Offshore,2,10,Jurisdictional,This final rule transfers the applicable renewable energy Departmental regulations from BOEM to BSEE.,Renewable energy development on the Outer Continental Shelf (OCS),,,Final rule (Docket No. BSEE-2022-0015; BOEM-2022-0042),regulatory administration; jurisdiction
gemini-2.5-pro,Docket No. BSEE-2022-0015; Docket No. BOEM-2022-0042,Offshore,2,10,Jurisdictional,"This final rule reassigns renewable energy regulations pertaining to safety, environmental oversight, and enforcement from BOEM to BSEE.",Renewable energy development on the Outer Continental Shelf (OCS),,,Final rule (Docket No. BSEE-2022-0015; BOEM-2022-0042),safety; environmental oversight; enforcement; regulatory administration
gemini-2.5-pro,BSEE-2022-0015 and BOEM-2022-0042,Offshore,18,10,Jurisdictional,"The safety and environmental oversight and compliance functions, including inspection and enforcement, for the Department’s Offshore Renewable Energy Program [shall be transferred] from BOEM to BSEE.",Department’s Offshore Renewable Energy Program on the OCS (Outer Continental Shelf),,,Secretary’s Order 3299 Amendment 2; Assistant Secretary’s direction,safety oversight; environmental oversight; compliance; inspection; enforcement
gemini-2.5-pro,"BSEE-2022-0015 and BOEM-2022-0042, Page 12",Offshore,25,10,Technical,The Facility Design Report (FDR) and the Fabrication and Installation Report (FIR) will continue to be evaluated for consistency with the approved Plan and applicable engineering standards.,Facility Design Report (FDR) and Fabrication and Installation Report (FIR) for renewable energy facilities on the OCS.,,,BSEE/BOEM regulations (30 CFR part 285 and 30 CFR part 585),facility design; fabrication; installation; regulatory compliance; engineering standards
gemini-2.5-pro,52,Offshore,106,10,Jurisdictional,A lease or grant holder must notify BOEM if an action has been filed alleging that they are insolvent or bankrupt.,Offshore renewable energy lease or grant holders,,,BOEM Part 585 Section 585.108,financial qualification; legal compliance; reporting
gemini-2.5-pro,Docket Numbers: BSEE-2022-0015 and BOEM-2022-0042,Offshore,115,10,Jurisdictional,"The decommissioning requirements for an Alternate Use RUE are removed from section 585.1019 and relocated to a new subpart 586, at § 586.219 under a new Subpart B-Issuance of Alternate Use RUEs for Energy- and Marine-Related Activities Using Existing OCS Facilities.",Alternate Use RUEs (Right-of-Use and Easement) for energy- and marine-related activities using existing OCS (Outer Continental Shelf) facilities.,,,"BSEE Part 285 / BOEM Part 585, § 586.219",decommissioning; regulatory compliance; alternate use
gemini-2.5-pro,§ 285.102,Offshore,160,10,Jurisdictional,"BSEE will require compliance with all applicable laws, regulations, other requirements, and the terms of your lease or grant issued under part 585 or part 586 of this title, and approved plans.",All activities authorized by a lease or grant under part 585 or part 586 on the Outer Continental Shelf (OCS).,,,§ 285.102 (b),legal compliance; safety; environmental protection; resource conservation
gemini-2.5-pro,§ 285.115,Offshore,177,10,Technical,"The planning, design, and construction of fixed offshore platforms must adhere to API RP 2A-WSD, Recommended Practice for Planning, Designing and Constructing Fixed Offshore Platforms—Working Stress Design; Twenty-first Edition, December 2000; Errata and Supplement 1, December 2002; Errata and Supplement 2, September 2005; Errata and Supplement 3, October 2007.","Fixed Offshore Platforms during planning, designing, and constructing phases.",,,"§ 285.115(a) incorporating API RP 2A-WSD for § 285.825(a), (b).",structural integrity; design standards; construction standards; offshore platforms
gemini-2.5-pro,110,Offshore,179,10,Jurisdictional,"You must comply with applicable provisions of Federal law, the regulations in this part, other applicable regulations, any order of the Director, the provisions of a lease or grant issued under part 585 or part 586 of this title, or the requirements of an approved plan or other approval under this part or part 585 or part 586 of this title.",All activities under a lease or grant issued under part 585 or part 586.,,,BSEE,legal compliance; regulatory affairs; project management
gemini-2.5-pro,110,Offshore,179,10,Jurisdictional,"Upon receiving a notice of noncompliance, you must take the actions specified to correct the noncompliance within the time limits specified.",Response to a notice of noncompliance.,,,BSEE,legal compliance; enforcement action; corrective action management
