model_name,document_number,type_of_wind_farm,chunk_number,document_id,constraint_type,requirement,scope,numerical_value,unit,source,related_domains
deepseek-chat,OWF-REG-2023-001,Offshore,4,33,Environmental,All wind farm developments must conduct an Environmental Impact Assessment (EIA) prior to construction,All offshore wind projects in federal waters,,,Bureau of Ocean Energy Management (BOEM),environmental; permitting
deepseek-chat,OWF-REG-2023-001,Offshore,4,33,Technical,Wind turbine foundations must withstand 1-in-50-year extreme wave conditions,Fixed-bottom turbines in North Atlantic region,50,year return period,ISO 19902:2022,structural engineering; safety
deepseek-chat,OWF-REG-2023-001,Offshore,4,33,Safety,All electrical systems must comply with IEC 61400-24 for lightning protection,Offshore wind turbines,,,International Electrotechnical Commission,electrical safety; operations
deepseek-chat,OWF-REG-2023,Offshore,9,33,Environmental,All projects must conduct a full Environmental Impact Assessment (EIA) prior to construction,All offshore wind projects in federal waters,,,Bureau of Ocean Energy Management (BOEM),environmental; permitting
deepseek-chat,OWF-REG-2023,Offshore,9,33,Technical,Turbine foundations must withstand 1-in-50-year extreme wave conditions,Fixed-bottom turbines in North Atlantic waters,50,year return period,IEC 61400-3,structural engineering; safety
deepseek-chat,NSOW-REG-2023-0042,Offshore,12,33,Environmental,All turbine foundations must undergo environmental impact assessment for seabed disturbance,North Sea Exclusive Economic Zones,,,OSPAR Convention Annex IV,environmental; construction
deepseek-chat,NSOW-REG-2023-0042,Offshore,12,33,Technical,Wind turbines must withstand 50-year extreme wave conditions,All North Sea installations,17.5,meters,IEC 61400-3,technical; safety
deepseek-chat,NSOW-REG-2023-0042,Offshore,12,33,Spatial,Minimum 1km spacing between turbines in predominant wind direction,Array layout in German EEZ,1,kilometers,BSH Standard 7005,layout; energy yield
deepseek-chat,OWF-2023-001,Offshore,19,33,Environmental,All projects must conduct a full Environmental Impact Assessment (EIA) prior to construction,All offshore wind projects in US federal waters,,,Bureau of Ocean Energy Management (BOEM),environmental; permitting
deepseek-chat,OWF-2023-001,Offshore,19,33,Technical,Wind turbine foundations must withstand a 1-year storm event with wave heights up to 16m,North Sea offshore installations,16,meters,ISO 19901-1,structural engineering; safety
deepseek-chat,OWF-2023-001,Offshore,19,33,Spatial,Turbines must maintain a minimum distance of 1 nautical mile from shipping lanes,All wind energy areas in Atlantic OCS,1,nautical miles,BOEM Renewable Energy Regulations,navigation safety; maritime operations
deepseek-chat,NSW-2023-001,Offshore,20,33,Environmental,All wind farm projects must conduct an Environmental Impact Assessment (EIA) prior to construction.,North Sea Exclusive Economic Zone,,,"OSPAR Convention, Annex IV",environmental; permitting
deepseek-chat,NSW-2023-001,Offshore,20,33,Technical,Wind turbine foundations must withstand a 1-in-50-year extreme wave height event.,Fixed-bottom offshore wind turbines,16.2,meters,IEC 61400-3,structural engineering; safety
deepseek-chat,NSW-2023-001,Offshore,20,33,Spatial,Wind farms must maintain a minimum 1 km distance from shipping lanes.,All North Sea wind energy areas,1,kilometers,IMO Resolution MSC.348(91),maritime safety; navigation
deepseek-chat,NS-OWDR-2023-0042,Offshore,23,33,Environmental,All wind farm developments must conduct a full environmental impact assessment prior to construction,North Sea Exclusive Economic Zones,,,OSPAR Convention Annex IV,environmental; planning
deepseek-chat,NS-OWDR-2023-0042,Offshore,23,33,Technical,Turbine foundations must withstand 1-in-50-year storm wave conditions,All offshore structures,50,years,IEC 61400-3,structural engineering; safety
deepseek-chat,NS-OWDR-2023-0042,Offshore,23,33,Spatial,Minimum 1km spacing between turbines in predominant wind direction,Wind farm layout,1,km,North Sea Wind Power Hub Agreement,energy efficiency; turbine performance
deepseek-chat,DOC-2023-001,Offshore,43,33,Environmental,All wind turbines must maintain a minimum clearance of 1 km from migratory bird pathways.,North Sea offshore wind projects,1,km,EU Marine Spatial Planning Directive,wildlife protection; project siting
deepseek-chat,DOC-2023-001,Offshore,43,33,Technical,Substation foundations must comply with ISO 19901-4 for offshore structures.,Global offshore wind farms,,,ISO 19901-4,structural engineering; safety
deepseek-chat,NS-OWF-2023-01,Offshore,52,33,Environmental,All turbine foundations must undergo environmental impact assessment for seabed disturbance,North Sea Exclusive Economic Zones,,,OSPAR Convention Annex IV,environmental; construction
deepseek-chat,NS-OWF-2023-01,Offshore,52,33,Technical,"Substation platforms shall be designed to withstand 1,000-year return period wave loads",All offshore installations,1000,year return period,IEC 61400-3-1,structural engineering; safety
deepseek-chat,NS-OWF-2023-01,Offshore,52,33,Safety,Minimum clearance of 22 meters must be maintained between lowest blade tip and highest astronomical tide,Turbine siting,22,meters,DNV-ST-0119,navigation safety; operational
deepseek-chat,NSOWDF-2023-0042,Offshore,56,33,Environmental,All wind farm developments must conduct a full Environmental Impact Assessment (EIA) prior to construction approval,North Sea Exclusive Economic Zones,,,OSPAR Convention Annex IV,environmental; permitting
deepseek-chat,NSOWDF-2023-0042,Offshore,56,33,Technical,Offshore substations must be designed to withstand wave heights with a 100-year return period,All offshore wind installations,16.2,meters,IEC 61400-3-1,structural engineering; safety
deepseek-chat,NSOWDF-2023-0042,Offshore,56,33,Spatial,Minimum 1km spacing between turbines in predominant wind direction,North Sea wind farms,1,kilometers,North Sea Wind Power Hub Agreement,layout optimization; wake effects
deepseek-chat,BOEM-2023-001,Offshore,62,33,Environmental,Wind turbines must maintain a minimum clearance of 1 nautical mile from designated marine protected areas.,U.S. federal waters,1,nautical mile,BOEM 30 CFR Part 585,environmental; spatial
deepseek-chat,BOEM-2023-001,Offshore,62,33,Technical,All offshore wind turbine foundations must comply with ISO 19901-4 for structural design requirements.,Fixed-bottom offshore wind turbines,,,ISO 19901-4,technical; safety
deepseek-chat,BOEM-2023-001,Offshore,62,33,Safety,Emergency shutdown systems must activate within 2 seconds of fault detection.,All offshore wind turbines,2,seconds,IEC 61400-1,safety; technical
deepseek-chat,NSW-2023-004,Offshore,100,33,Environmental,Noise levels during pile driving must not exceed 160 dB re 1 µPa at 750 m from the source.,North Sea offshore wind projects,160,dB re 1 µPa,"OSPAR Commission, Annex 9",Marine wildlife protection; Construction noise
deepseek-chat,NSW-2023-004,Offshore,100,33,Technical,Wind turbine foundations must comply with ISO 19901-4 for geotechnical design.,All fixed-bottom offshore wind turbines,,,International Organization for Standardization (ISO),Structural engineering; Offshore construction
deepseek-chat,NSW-2023-004,Offshore,100,33,Spatial,Minimum clearance of 1.5 nautical miles must be maintained between adjacent wind farms.,Exclusive Economic Zone (EEZ),1.5,nautical miles,North Sea Offshore Grid Initiative,Navigation safety; Wind farm layout
deepseek-chat,OWF-REG-2023,Offshore,116,33,Environmental,All offshore wind projects must conduct a full environmental impact assessment prior to construction,All offshore wind facilities in US waters,,,Bureau of Ocean Energy Management (BOEM),environmental; permitting
deepseek-chat,OWF-REG-2023,Offshore,116,33,Technical,Wind turbine foundations must withstand 1-in-50-year extreme wave conditions,Fixed-bottom offshore wind turbines,50,year return period,IEC 61400-3,structural engineering; safety
