model_type,model_name,document_id,constraint_id,category,description,value,unit,source_section_number,geographic_scope,context_quote,component_name,value2,unit2
claude,claude-3-haiku-20240307,1,C-001,Design Specification,Offshore wind turbines must be installed between 12 and 200 nautical miles off the German coast in the North and Baltic Seas,12.0,nautical miles,4.2.1,German Economic Exclusive Zone (EEZ) in the North and Baltic Seas,"Since 1997, offshore wind farms in the German EEZ, between 12 and 200 nautical miles in the North and Baltic Seas, are regulated by the BSH, a branch of the Federal Ministry for Economic Affairs and Energy (BMWi), and the Federal Waterways and Shipping Administration (WSV), pursuant to the Federal Marine Installations Ordinance (SeeAnlV).",Offshore Wind Turbine Generators,,
claude,claude-3-haiku-20240307,1,C-002,Design Specification,Offshore wind turbines must have a minimum intended capacity of at least 100 MW,100.0,MW,"4.1.1, 4.2.1","United Kingdom, Germany",Applications must have a minimum intended capacity of at least 100MW.,Offshore Wind Turbine Generators,,
claude,claude-3-haiku-20240307,1,C-003,Environmental Mitigation,Offshore wind turbines taller than 50 meters must undergo an Environmental Impact Assessment (EIA),50.0,meters,"4.1.1, 4.2.1","United Kingdom, Germany",More than 20 wind turbines taller than 50 m must undergo an EIA.,Offshore Wind Turbine Generators,,
claude,claude-3-haiku-20240307,1,C-004,Environmental Mitigation,Cable trenching activities are prohibited within 500 meters of the identified historic shipwreck (No. 551B),500.0,meters,4.1.2,Area within 500 meters of historic shipwreck (No. 551B),"Furthermore, trenching activities are prohibited within 500 meters of the identified historic shipwreck (No. 551B) at all times.",Offshore Wind Farm Cables,,
claude,claude-3-haiku-20240307,1,C-005,Environmental Mitigation,Project vessels must not travel faster than 10 knots while in the Block Island Sound Transit Lane,10.0,knots,4.1.2,Block Island Sound Transit Lane,"To protect sensitive habitats, vessel speeds for all project vessels shall not exceed 10 knots within the Block Island Sound Transit Lane.",Project Vessels,,
claude,claude-3-haiku-20240307,1,C-006,Design Specification,"Offshore wind farm projects in the UK between 1 MW and 100 MW are consented by the Marine Management Organisation (MMO), and projects over 100 MW are classified as Nationally Significant Infrastructure Projects (NSIPs) and are processed by the Planning Inspectorate for England and Wales (PINS)",100.0,MW,4.1.1,"England, Wales, and Northern Ireland","In England and Wales, any offshore energy project between 1 and 100MW is consented by the Marine Management Organisation (MMO). Projects over 100MW are classified as a Nationally Significant Infrastructure Project (NSIP) and are processed by the Planning Inspectorate for England and Wales (PINS).",Offshore Wind Farm Project,,
claude,claude-3-haiku-20240307,1,C-007,Regulatory Requirement,Offshore wind farm projects in Scotland are consented by the Marine Scotland Licensing Operations Team (MS-LOT) in a one-stop-shop procedure,,,4.1.1,Scotland,"In Scotland, marine licenses are issued by the Marine Scotland Licensing Operations Team (MS-LOT) in a one-stop-shop procedure.",Offshore Wind Farm Project,,
claude,claude-3-haiku-20240307,1,C-008,Regulatory Requirement,Offshore wind farm developers in Scotland must submit a Supply Chain Development Statement (SCDS) outlining the anticipated level and location of supply chain impact from their proposed project,,,4.1.1,Scotland,"CES also requires developers to submit a Supply Chain Development Statement (SCDS), outlining the anticipated level and location of supply chain impact from their proposed project, broken down by project stage (development and consenting, construction, operation, and maintenance) and must be updated as project development progresses.",Offshore Wind Farm Project,,
claude,claude-3-haiku-20240307,1,C-009,Regulatory Requirement,"Offshore wind farm projects in Germany are regulated by the Federal Maritime and Hydrographic Agency (BSH), a branch of the Federal Ministry for Economic Affairs and Energy (BMWi), and the Federal Waterways and Shipping Administration (WSV)",,,4.2.1,Germany,"Since 1997, offshore wind farms in the German EEZ, between 12 and 200 nautical miles in the North and Baltic Seas, are regulated by the BSH, a branch of the Federal Ministry for Economic Affairs and Energy (BMWi), and the Federal Waterways and Shipping Administration (WSV), pursuant to the Federal Marine Installations Ordinance (SeeAnlV).",Offshore Wind Farm Project,,
claude,claude-3-haiku-20240307,1,C-010,Regulatory Requirement,"Offshore wind farm projects in Denmark are regulated by the Danish Energy Agency (DEA) in cooperation with the Danish Environmental Protection Agency (EPA), Danish Maritime Authority (DMA), and Danish Working Environment Authority (DWEA)",,,4.3.1,Denmark,"The rights to exploit energy from the wind in Danish territorial waters and in the EEZ are coordinated by DEA under the 2015 Danish Renewable Energy Promotion Act (RE Act), in co-operation with the Danish Environmental Protection Agency (EPA), Danish Maritime Authority (DMA) and Danish Working Environment Authority (DWEA).",Offshore Wind Farm Project,,
