model_type,model_name,document_id,constraint_id,category,description,value,unit,source_section_number,geographic_scope,context_quote,component_name
openai,gpt-4o-mini,9,C-004,Safety Standard,All vessels must maintain a speed of 10 knots or less in designated areas to avoid collisions with marine mammals.,10.0,knots,3.12.2,Designated areas around the MET tower,All vessel operators must comply with vessel strike reduction measures for North Atlantic right whales implemented by NMFS.,Meteorological Tower (MET tower)
claude,claude-3-haiku-20240307,16,C-008,Environmental Mitigation,"A minimum 0.81-nautical mile (1,500-meter) setback shall be provided between the wind turbines in the Atlantic Shores South Lease Area (OCS-A 0499) and the wind turbines in the Ocean Wind 1 Lease Area (OCS-A 0498).",0.81,nautical miles,3.1,Boundary between Atlantic Shores South and Ocean Wind 1 Lease Areas,"and provide a minimum 0.81-nautical mile (1,500-meter) setback between the WTGs in Atlantic Shores South and the WTGs in Ocean Wind 1 (Lease Area OCS-A 0498) by removing two WTGs and micrositing one WTG from Project 1.",Wind Turbine Generators
claude,claude-3-haiku-20240307,5,C-004,Environmental Mitigation,Project vessels must not exceed a speed of 10 knots within the Block Island Sound Transit Lane,10,knots,4.1.2,Block Island Sound Transit Lane,"To protect sensitive habitats, vessel speeds for all project vessels shall not exceed 10 knots within the Block Island Sound Transit Lane.",Offshore Project Vessels
gemini,gemini-1.5-pro,9,C-012,Environmental Mitigation,Vessels greater than 19.8 m must operate at 10 knots or less within designated Seasonal Management Areas.,10.0,knots,3.6.1.1,Seasonal Management Areas,All vessels greater than 19.8 m (65 ft) in overall length must operate at speeds of 10 knots or less within these areas during seasonal time periods.,Meteorological Tower
gemini,gemini-1.5-pro,6,C-003,Design Specification,Bottom-founded structures must be severed at least 5 meters below the mudline.,5.0,m,3.1.3.1,Lease Area,"As required by BOEM, the lessee would sever bottom-founded structures and their related components at least 5 m (15 ft) below the mudline to ensure that nothing would be exposed that could interfere with future lessees and other activities in the area (30 CFR 585.910(a)).",Meteorological Tower
gemini,gemini-1.5-pro,27,C-015,Safety Standard,Vessels must maintain a 1NM buffer from Traffic Separation Schemes.,1.0,NM,1,Lease Area,taking into consideration the required buffer of 1NM from Traffic Separation Schemes (TSS).,RPS FLiDAR Buoy
gemini,gemini-1.5-pro,22,C-007,Operational Parameter,Submit documentation demonstrating how interference with IOOS HF-radar will be mitigated at least 60 days before commissioning the first WTG.,60.0,days,2.18.2,Project Area,"at least 60 days before commissioning the first WTG, the Lessee must submit to BOEM documentation demonstrating how it will mitigate interference with IOOS HF-radar",Wind Turbine Generators
gemini,gemini-1.5-pro,20,C-020,Safety Standard,Clearance and shutdown zones must be established and monitored during HRG surveys.,,,5.13.2,Around the acoustic source,PSOs must establish and monitor the clearance and shutdown zones described below. These zones must be based on the radial distance from the acoustic source and not from the vessel.,Project Vessels
gemini,gemini-1.5-pro,20,C-019,Design Specification,The Lessee must not microsite structure locations in a way that narrows any WTG corridors to less than the distance required by Section 3.1.3.,,,5.7.3,WTG corridors,The Lessee must not microsite structure locations in a way that narrows any WTG corridors to less than the distance required by Section 3.1.3.,Wind Turbine Generators
claude,claude-3-haiku-20240307,20,C-015,Operational Parameter,Project vessels must not exceed a speed of 10 knots within the Block Island Sound Transit Lane,10.0,knots,3.16,Block Island Sound Transit Lane,"To protect sensitive habitats, vessel speeds for all project vessels shall not exceed 10 knots within the Block Island Sound Transit Lane.",Project Vessels
