model_name,document_number,type_of_wind_farm,chunk_number,document_id,constraint_type,requirement,scope,numerical_value,unit,source,related_domains,total_score,tfidf_mean_similarity,tfidf_max_similarity,jaccard_similarity,semantic_density,match_count,matched_keywords,has_numerical_values,extracted_numerical_value,scoring_method,threshold_level,relevance_category,priority_color

deepseek-chat,NSOW-2023-0042,Offshore,83,1,Spatial,Minimum spacing between turbines shall be 5 times the rotor diameter in predominant wind direction,North Sea development zone,5,rotor diameters,North Sea Wind Power Hub Agreement,technical; efficiency,0.1528902681130525,0.012285598326400518,0.20515819117973616,0.05714285714285714,0.75,78,sea depth (partial); wind direction; outer continental shelf a (partial); cut in wind speed (partial); turbine model (partial); turbine spacing (partial); zone; farm power output (partial); power; turbine status (partial),True,5 rotor diameters,comprehensive_scientific,0.15,High Relevance,🟠
gpt-4o-mini,"§ 585.433, § 585.434",Offshore,81,1,Technical,"Within 2 years following termination of a lease or grant, you must remove or dispose of all facilities, installations, and other devices permanently or temporarily attached to the seabed on the OCS.","Outer Continental Shelf, Decommissioning phase",2.0,years,30 CFR § 585.433,decommissioning; marine infrastructure,0.125534480864616,0.004151508658255509,0.22989983639479983,0.03007518796992481,0.4888888888888889,42,sea depth (partial); outer continental shelf a (partial); cut in wind speed (partial); lease id (partial); min depth (partial); outer continental shelf name (partial); min kilovolt (partial); lease date (partial); number of turbines per row (partial); turbine position y (partial),True,2.0 years,comprehensive_scientific,0.1,Medium-High Relevance,🟡
gemini-1.5-pro,page 56 of 98,Offshore,93,1,Jurisdictional,No more than 6 years of your operations period will be subject to a full waiver of the operating fee.,Outer Continental Shelf Lease operating fee waiver,6.0,years,30 CFR 585.510(c),operating fees; lease agreements,0.11722043394705454,0.005530769042039619,0.23648202519516237,0.0311284046692607,0.3783783783783784,33,outer continental shelf a (partial); cut in wind speed (partial); lease id (partial); outer continental shelf name (partial); lease date (partial); number of turbines per row (partial); turbine position y (partial); wind speed at 10m (partial); distance to substation (partial); gulf of mexico fishery management council (partial),True,6.0 years,comprehensive_scientific,0.1,Medium-High Relevance,🟡
gemini-2.5-pro,30 CFR 585.113,Offshore,27,1,Environmental,An item must be classified as an 'Archaeological resource' if it consists of material remains of human life or activities that are at least 50 years of age and are of archaeological interest.,Activities approved under 30 CFR part 585 on the Outer Continental Shelf.,50.0,years of age,30 CFR 585.113,archaeology; cultural heritage; environmental impact assessment,0.1162813286904773,0.004641705408960694,0.19591805524896366,0.03717472118959108,0.48214285714285715,28,outer continental shelf a (partial); cut in wind speed (partial); impact assessment; life cycle (partial); outer continental shelf name (partial); number of turbines per row (partial); turbine position y (partial); wind speed at 10m (partial); gulf of mexico fishery management council (partial); number of blades (partial),True,50.0 years of age,comprehensive_scientific,0.1,Medium-High Relevance,🟡
deepseek-chat,OWED-2023-001,Offshore,19,1,Spatial,Turbines must maintain a minimum spacing of 5 times the rotor diameter between adjacent units,Wind farm array layout,5,rotor diameters,American Clean Power Association Guidelines,energy production; wake effects,0.1149816165136811,0.008787904386873721,0.18153477986602454,0.04365079365079365,0.4827586206896552,81,wind direction (partial); outer continental shelf a (partial); cut in wind speed (partial); lease id (partial); turbine model (partial); turbine spacing (partial); farm power output (partial); power; turbine status (partial); min depth (partial),True,5 rotor diameters,comprehensive_scientific,0.1,Medium-High Relevance,🟡
gpt-4o-mini,30 CFR 585.507,Offshore,91,1,Financial,"You must pay rent to ONRR as provided in 30 CFR 1218.51 for your project easement in the amount of $5 per acre, subject to a minimum of $450 per year, unless specified otherwise in the lease.",Project easement area,5.0,dollars per acre,30 CFR 585.507,financial obligations; land use,0.11217339412648542,0.004116825016483182,0.1870990585166888,0.04198473282442748,0.46,54,outer continental shelf a (partial); cut in wind speed (partial); lease id (partial); min depth (partial); torpedo testing area (partial); min kilovolt (partial); lease date (partial); number of turbines per row (partial); power line id (partial); turbine position y (partial),True,5.0 dollars per acre,comprehensive_scientific,0.1,Medium-High Relevance,🟡
gemini-1.5-pro,page 14 of 98,Offshore,24,1,Jurisdictional,You must notify BOEM within 3 business days after you learn of any action filed alleging that you are insolvent or bankrupt.,Outer Continental Shelf,3.0,business days,30 CFR 585.109,legal; financial,0.10782828943138287,0.003730428204749352,0.25839774752117783,0.019083969465648856,0.25,23,outer continental shelf a (partial); cut in wind speed (partial); caribbean fishery management council (partial); outer continental shelf name (partial); number of turbines per row (partial); turbine position y (partial); wind speed at 10m (partial); gulf of mexico fishery management council (partial); number of blades (partial); wind speed at 50m (partial),True,3.0 business days,comprehensive_scientific,0.1,Medium-High Relevance,🟡
deepseek-chat,NS-OWF-2023-REG,Offshore,48,1,Environmental,All wind turbine foundations must maintain a minimum clearance of 15 meters from the seabed to allow for marine life passage,North Sea development zone,15,meters,North Sea Marine Protection Authority,environmental; structural design,0.10428884249635206,0.00662111165656221,0.12078078456247063,0.047619047619047616,0.5588235294117647,58,sea depth (partial); wind direction (partial); outer continental shelf a (partial); cut in wind speed (partial); turbine model (partial); turbine spacing (partial); foundation; zone; turbine status (partial); design,True,15 meters,comprehensive_scientific,0.1,Medium-High Relevance,🟡
gpt-4o-mini,30 CFR 585.110,Offshore,24,1,Jurisdictional,You must notify BOEM within 3 business days after you learn of any action filed alleging that you are insolvent or bankrupt.,"Outer Continental Shelf, business operations",3.0,business days,30 CFR 585.109,business regulation; financial compliance,0.10333824696813218,0.004571853896996001,0.22888664652984028,0.026717557251908396,0.275,29,outer continental shelf a (partial); regulation; cut in wind speed (partial); caribbean fishery management council (partial); outer continental shelf name (partial); number of turbines per row (partial); turbine position y (partial); wind speed at 10m (partial); gulf of mexico fishery management council (partial); regulation type (partial),True,3.0 business days,comprehensive_scientific,0.1,Medium-High Relevance,🟡
