row_index,document_id,model_name,constraint_type,scope,numerical_value,unit,requirement,match_type,pages_found,highlighted_pages,matching_text_snippets,similarity_score
44,10,deepseek-chat,Environmental,North Sea offshore wind projects,1,km,Wind turbines must maintain a minimum distance of 1 km from identified marine protected areas.,none,,,,0.0
52,10,deepseek-chat,Environmental,North Sea offshore wind projects,1,km,All turbines must maintain a minimum clearance of 1 km from identified marine protected areas.,none,,,,0.0
66,10,deepseek-chat,Environmental,European Union waters,500,meters,Wind turbines must maintain a minimum distance of 500 meters from marine protected areas.,none,,,,0.0
106,10,deepseek-chat,Environmental,North Sea offshore wind projects,500,meters,All turbines must maintain a minimum clearance of 500 meters from identified marine protected areas.,none,,,,0.0
176,10,gpt-4o-mini,Technical,Project area,1.0,deep boring,The results of a minimum of one deep boring (with soil sampling and testing) at each edge of the project area and within the project area as needed to determine the vertical and lateral variation in seabed conditions.,none,,,,0.0
180,10,gpt-4o-mini,Jurisdictional,Coastline proximity to project area,15.0,miles,A State is eligible for payment of revenues if any part of the State's coastline is located within 15 miles of the announced geographic center of the project area of a qualified project.,none,,,,0.0
248,10,gemini-2.5-flash,Environmental,Gulf of Mexico west of 87.5° west longitude (western Gulf of Mexico),87.5,degrees west longitude,"If your project is located in the Gulf of Mexico west of 87.5° west longitude (western Gulf of Mexico), you must include in your plan any information required for BOEM to make the appropriate air quality determinations for your project.",none,,,,0.0
317,10,gpt-4o-mini,Technical,Project modifications and repairs,20.0,hours,"CVA/project engineer monitors major project modifications and repairs and submits copies of all reports/certifications to lessee or grant holder and BSEE -- interim reports if required, in format specified.",none,,,,0.0
343,10,gpt-4o-mini,Jurisdictional,Outer Continental Shelf,1.0,year,Decommissioning activities must be completed within 1 year of termination of the Alternate Use RUE.,none,,,,0.0
357,10,gpt-4o-mini,Jurisdictional,Outer Continental Shelf,1.0,request,Request relinquishment of RUE for an existing facility.,exact,76,76,"Page 76: ""...ecurity if required. 1 1 submission 1 1 0 213 submit request for assignment of an alternate use rue for an existing facility, including all required information. 1 1 request 1 1 0 215 request relinquishment of rue for an existing facility. 1 1 request 1 1 0 subtotal 8 responses 20 hours 20 boem hours 0 bsee hours total burden 265 responses 18,784 hours 9,876 boem hours 8,908 bsee hours 76""",1.0
