document_id,page_number,content,ollama_output
17,1,"FINAL REPORT Design Standards for Offshore Wind Farms September 2011 Prepared by American Bureau of Shipping Corporate Offshore Technology, Renewables 16855 Northchase Drive Houston, Texas 77060 www.eagle.org Submitted to U.S. Department of the Interior Bureau of Ocean Energy Management, Regulation, and Enforcement 381 Elden Street Herndon, Virginia 20170-4817 Acknowledgement of Sponsorship: This study was funded by the Bureau of Ocean Energy Management, Regulation, and Enforcement, U.S. Department of the Interior, Washington, D.C. under Contract Number M10PC00105. Disclaimer: This report has been reviewed by the Bureau of Ocean Energy Management, Regulation, and Enforcement and approved for publication. Approval does not signify that the contents necessarily reflect the views and policies of the Service, nor does mention of the trade names or commercial products constitute endorsement or recommendation for use.","Error: Failed to connect to Ollama. Please check that Ollama is downloaded, running and accessible. https://ollama.com/download"
17,2,"Contract M10PC00105: Design Standards for Offshore Wind Farms Final Report Acknowledgement This study was funded by the Technology Assessment and Research Program (TA&R Project No. 670), Bureau of Ocean Energy Management, Regulation, and Enforcement (BOEMRE), U.S. Department of the Interior, Washington, D.C. The wind turbine simulation programs used in this project, including FAST, AeroDyn and TurbSim, are developed and maintained by the National Renewable Energy Laboratory (NREL) of the U.S. Department of Energy. Technical supports from Carl Stansberg, Casba Pakozdi and Sebastien Fouques at Marintek, Bingbin Yu at the University of Michigan, Jason Jonkman at the National Renewable Energy Laboratory, and John Conlon are gratefully acknowledged. This report is prepared by Qing Yu (qyu@eagle.org), Kunho Kim and Tzu-Wei Lo at ABS Corporate Offshore Technology, Renewables Group. The project coordinator is Lars Samuelsson at ABSG Consulting.","Error: Failed to connect to Ollama. Please check that Ollama is downloaded, running and accessible. https://ollama.com/download"
17,3,Contract M10PC00105: Design Standards for Offshore Wind Farms Final Report i Table of Contents List of Tables................................................................................................................................. iv List of Figures............................................................................................................................... vi Executive Summary .......................................................................................................................x 1 Introduction ........................................................................................................................... 1 2 Design of Offshore Wind Turbines Subjected to Hurricanes on the US OCS................. 4 2.1 State-of-the-Art Review................................................................................................ 6 2.1.1 Hurricane Wind................................................................................................ 6 2.1.2 Hurricane Generated Waves .......................................................................... 14 2.1.3 Design Load Case for Hurricane Conditions ................................................. 19 2.1.4 Existing Design Standards and Their Applicability to Hurricane Conditions 22 2.1.5 Simulation Software....................................................................................... 25 2.2 Technical Approach for Case Studies......................................................................... 27 2.2.1 Problem Definition......................................................................................... 27 2.2.2 Modeling and Analysis Procedures................................................................ 29 2.3 Case Study Models...................................................................................................... 41 2.3.1 Site Conditions............................................................................................... 41 2.3.2 Wind Turbine RNA and Tower Specifications.............................................. 45 2.3.3 Support Structure Configurations .................................................................. 47 2.3.4 Sensitivity Study to Determine Modeling Parameters................................... 60 2.4 Comparison of API and IEC Wind Models ................................................................ 63 2.4.1 API and IEC Wind Model Definitions........................................................... 64 2.4.2 Effect of Using IEC and API Wind Models on Turbine Responses .............. 72 2.4.3 Summary ........................................................................................................ 73 2.5 Effect of Fault in Turbine’s Yaw and Pitch Control ................................................... 75 2.5.1 Nacelle Yaw Misalignment............................................................................ 76 2.5.2 Blade Pitch Angle Locking............................................................................ 77 2.5.3 Summary ........................................................................................................ 79 2.6 Case Studies – Monopile Support Structure ............................................................... 81,"Error: Failed to connect to Ollama. Please check that Ollama is downloaded, running and accessible. https://ollama.com/download"
17,4,Contract M10PC00105: Design Standards for Offshore Wind Farms Final Report ii 2.6.1 Summary of Model Parameters...................................................................... 81 2.6.2 Monopile Case Study Results ........................................................................ 86 2.7 Case Studies – Tripod Support Structure.................................................................... 91 2.7.1 Summary of Model Parameters...................................................................... 91 2.7.2 Tripod Case Study Results............................................................................. 96 2.8 Case Studies – Jacket Support Structure................................................................... 100 2.8.1 Summary of Model Parameters.................................................................... 100 2.8.2 Jacket Case Study Results............................................................................ 103 2.9 Parametric Comparisons of Case Study Results ....................................................... 107 2.9.1 Return Period of Environmental Conditions................................................ 107 2.9.2 Normal and Abnormal Turbine Operating Conditions ................................ 114 2.9.3 Wind and Wave Misalignment..................................................................... 118 2.9.4 Type of Support Structures .......................................................................... 125 2.10 Conclusions and Recommendations.......................................................................... 129 2.10.1 Hurricane Wind Models............................................................................... 129 2.10.2 Design Criteria for Offshore Wind Turbines in Hurricane-Prone Regions.. 129 2.10.3 Recommendations........................................................................................ 133 3 Breaking Wave Slamming Loads..................................................................................... 135 3.1 State-of-the-Art Review............................................................................................ 136 3.1.1 Breaking Waves ........................................................................................... 136 3.1.2 Analytical Slamming Load Models ............................................................. 140 3.1.3 Numerical Methods...................................................................................... 149 3.1.4 Slamming Experiments................................................................................ 157 3.1.5 Existing Design Guidelines.......................................................................... 165 3.2 Parameter Study ........................................................................................................ 168 3.2.1 Wave Related Parameters ............................................................................ 168 3.2.2 Structure Related Parameters....................................................................... 170 3.2.3 Some Important Physical Relationships....................................................... 171 3.3 Comparative Study of Analytical Breaking Wave Slamming Load Models ............ 173 3.3.1 Analytical Models Used in the Comparative Study..................................... 173 3.3.2 Comparative Study Results.......................................................................... 176 3.4 Conclusions and Recommendations.......................................................................... 183,"Error: Failed to connect to Ollama. Please check that Ollama is downloaded, running and accessible. https://ollama.com/download"
17,5,Contract M10PC00105: Design Standards for Offshore Wind Farms Final Report iii 4 Summary ............................................................................................................................ 187 References for Section 2............................................................................................................ 190 References for Section 3............................................................................................................ 198 Appendix A Abbreviations ..................................................................................................... 208 Appendix B Terms and Definitions........................................................................................ 209,"Error: Failed to connect to Ollama. Please check that Ollama is downloaded, running and accessible. https://ollama.com/download"
17,6,"Contract M10PC00105: Design Standards for Offshore Wind Farms Final Report iv List of Tables Table 2.1 Commonly Referenced Design Standards/Regulations for Offshore Wind Turbines .................................................................................................................................. 23 Table 2.2 General Load Cases Descriptions for the Case Studies............................................ 28 Table 2.3 50-Year Return Water Depth, Current Speed and Wind Speed ............................... 42 Table 2.4 50-Year Return Wave Condition.............................................................................. 42 Table 2.5 100-Year Return Water Depth, Current Speed and Wind Speed ............................. 43 Table 2.6 100-Year Return Wave Conditions .......................................................................... 43 Table 2.7 Properties of the RNA of NREL 5-MW Baseline Offshore Wind Turbine (Jonkman et al., 2009)............................................................................................................... 46 Table 2.8 Undistributed Blade Properties (Jonkman et al., 2009)............................................ 46 Table 2.9 Turbine Tower Properties (Fabian et al, 2011)......................................................... 46 Table 2.10 Properties of the Grouted TP and Pile...................................................................... 49 Table 2.11 Monopile Support Structure Geometric Properties .................................................. 49 Table 2.12 Monopile Support Structure Mass Properties (with Marine Growth) ...................... 49 Table 2.13 Properties of Equivalent Fixity of Equivalent Monopile.......................................... 50 Table 2.14 Uniform Cd and Cm of Equivalent Monopile Used in the FAST Analysis ............... 50 Table 2.15 Monopile Natural Frequencies ................................................................................. 50 Table 2.16 Properties of the Equivalent Pile Simulating the Leg Sleeve and Pile..................... 53 Table 2.17 Tripod Support Structure Geometric Properties....................................................... 53 Table 2.18 Tripod Mass Properties (with Marine Growth) ........................................................ 53 Table 2.19 Properties of Equivalent Fixity of the Tripod Equivalent Monopile........................ 54 Table 2.20 Uniform Cd and Cm of the Tripod’s Equivalent Monopile Used in the FAST Analysis .................................................................................................................................. 54 Table 2.21 Tripod Natural Frequencies...................................................................................... 54 Table 2.22 Properties of the Equivalent Pile Simulating the Grouted Leg and Pile................... 57 Table 2.23 Jacket Support Structure Geometric Properties........................................................ 58 Table 2.24 Jacket Mass Properties (with Marine Growth and Sea Water in Flooded Legs)...... 58 Table 2.25 Uniform Cd and Cm of the Jacket’s Equivalent Monopile Used in the FAST Analysis .................................................................................................................................. 58 Table 2.26 Properties of Equivalent Fixity of Jacket Equivalent Monopile............................... 59 Table 2.27 Jacket Natural Frequencies....................................................................................... 59 Table 2.28 Input Parameters for Wind Model Comparison Study ............................................. 64","Error: Failed to connect to Ollama. Please check that Ollama is downloaded, running and accessible. https://ollama.com/download"
17,7,"Contract M10PC00105: Design Standards for Offshore Wind Farms Final Report v Table 2.29 Spectral Parameters for the Kaimal Model............................................................... 66 Table 2.30 Turbulence Properties at Hub Height Based on the API Wind Model..................... 69 Table 2.31 Turbulence Properties at Hub Height Based on the IEC Wind Model..................... 69 Table 2.32 Coefficients and Distances for the Coherence Function (API Bulletin 2INT-MET, 2007)......................................................................................................................... 70 Table 2.33 Static Wind Forces on the Monopile Support Structure........................................... 82 Table 2.34 Mudline Base Shear and Overturning Moment Due to Wave Slamming on the Monopile................................................................................................................... 84 Table 2.35 Summary of Structural Loads for the Monopile Case Studies ................................. 85 Table 2.36 Structural Reponses and Utilization Check Results for the Monopile Support Structure ................................................................................................................... 89 Table 2.37 Monopile Case L12 Member Utilization Ratio Check............................................. 90 Table 2.38 Static Wind Forces on the Tripod Support Structure................................................ 92 Table 2.39 Mudline Base Shear and Overturning Moment Due to Wave Slamming on the Monopile................................................................................................................... 94 Table 2.40 Summary of Structural Loads for the Tripod Case Studies...................................... 95 Table 2.41 Structural Reponses and Utilization Check Results for the Tripod Support Structure .................................................................................................................................. 98 Table 2.42 Tripod Case L16 Member Utilization Ratio Check.................................................. 99 Table 2.43 Static Wind Forces on the Jacket Support Structure .............................................. 101 Table 2.44 Summary of Structural Loads for the Jacket Case Studies..................................... 102 Table 2.45 Structural Reponses and Utilization Check Results for the Jacket Support Structure ................................................................................................................................ 105 Table 2.46 Jacket Case L28 Member Utilization Ratio Check................................................. 106 Table 2.47 Occurrence of Breaking Wave Slamming.............................................................. 108 Table 3.1 Breaking Wave Types ............................................................................................ 139 Table 3.2 Commonly Used Design Guidelines for Wave Slamming Loads .......................... 167 Table 3.3 Load Case Definition for the Wave Slamming Comparison.................................. 180 Table 3.4 Maximum Slamming Responses at the Mudline Calculated Using the Wienke Model and the Truncated Campbell-Weynberg Model ..................................................... 180","Error: Failed to connect to Ollama. Please check that Ollama is downloaded, running and accessible. https://ollama.com/download"
17,8,"Contract M10PC00105: Design Standards for Offshore Wind Farms Final Report vi List of Figures Figure 2.1 Hurricane (Tropical Cyclone) Generated Wave Field (Young, 2003) ..................... 16 Figure 2.2 Wind and Primary Wave Field of 1998 Hurricane Bonnie ...................................... 16 Figure 2.3 Reliability Index for Normal Conditions under Wind or Wave Loads (Yu et al., 2011)......................................................................................................................... 24 Figure 2.4 Reliability Index for Abnormal Conditions under Wind or Wave Loads (Yu et al., 2011)......................................................................................................................... 25 Figure 2.5 Modeling and Dynamic Analysis Procedure............................................................ 31 Figure 2.6 Regional Wind Conditions in the US Atlantic Coast ............................................... 33 Figure 2.7 Gulf of Mexico West Central Region....................................................................... 33 Figure 2.8 Site Location in the GOM (NOAA NDBC Station 42035)...................................... 33 Figure 2.9 Gumbel Curve Fitting for the Buoy Wind Data in Hurricane Seasons .................... 34 Figure 2.10 Gumbel Curve Fitting for the Buoy Wave Data in Hurricane Seasons.................... 34 Figure 2.11 Correlation of Tp and Hs Using the Binned Buoy Data in Hurricane Seasons.......... 35 Figure 2.12 Verification of Modal Shapes of Equivalent Monopile for FAST Input.................. 38 Figure 2.13 Verification of Cd and Cm of Equivalent Monopile for FAST Input......................... 38 Figure 2.14 Wave Profile of 50-Year Return Waves................................................................... 44 Figure 2.15 Wave Profile of 100-Year Return Waves................................................................. 44 Figure 2.16 Undrained Shear Strength of Undisturbed Clay....................................................... 45 Figure 2.17 RNA of NREL 5-MW Baseline Offshore Wind Turbine (Jonkman et al., 2009) .... 45 Figure 2.18 Campbell Diagram of NREL 5-MW Baseline Offshore Wind ................................ 47 Figure 2.19 Monopile Support Structure and Its Equivalent Monopile....................................... 48 Figure 2.20 Modal Shapes of the Monopile Support Structure ................................................... 51 Figure 2.21 Tripod Support Structure and Its Equivalent Monopile ........................................... 52 Figure 2.22 Modal Shapes of the Tripod Support Structure........................................................ 55 Figure 2.23 Jacket Support Structure and Its Equivalent Monopile ............................................ 57 Figure 2.24 Modal Shapes of the Jacket Support Structure......................................................... 59 Figure 2.25 Mudline Shear Force (Fore-Aft Direction) Averaged over Multiple Realizations... 61 Figure 2.26 Mudline Overturning Moment Averaged over Multiple Realizations...................... 61 Figure 2.27 Comparison of Mudline Shear Force and Overturning Moment Calculated Using the Two Different Domain Sizes.................................................................................... 62","Error: Failed to connect to Ollama. Please check that Ollama is downloaded, running and accessible. https://ollama.com/download"
17,9,Contract M10PC00105: Design Standards for Offshore Wind Farms Final Report vii Figure 2.28 Sensitivity of Mudline Shear Force and Overturning Moment to the Grid Resolution .................................................................................................................................. 62 Figure 2.29 Comparison of Wind Shear for the GOM West Central 100-yr Return Wind Condition.................................................................................................................. 65 Figure 2.30 Comparison of Wind Spectra for the GOM West Central 100-yr Return Wind Condition.................................................................................................................. 67 Figure 2.31 Standard Deviation and Reynolds Stress for the GOM West Central 100-yr Return Wind Condition ........................................................................................................ 69 Figure 2.32 Time Series of the Wind Speed at Hub Height for the GOM West Central 100-yr Return Wind Condition ............................................................................................ 69 Figure 2.33 Coherence IEC and API Wind Model at f=0.004Hz................................................ 71 Figure 2.34 Coherence IEC and API Wind Model at f=0.01Hz.................................................. 71 Figure 2.35 Coherence IEC and API Wind Model at f=0.1Hz.................................................... 71 Figure 2.36 Comparison of the Maximum Shear Force and Overturning Moment at the Mudline .................................................................................................................................. 72 Figure 2.37 Time Series and Amplitude Spectrum of the Shear force at the Mudline................ 73 Figure 2.38 Sensitivity of Mudline Shear Force to Nacelle Yaw Angle for the GOM West Central 100-yr Return Wind Condition.................................................................... 77 Figure 2.39 Sensitivity of Mudline Overturning Moment to Nacelle Yaw Angle for the GOM West Central 100-yr Return Wind Condition........................................................... 77 Figure 2.40 Sensitivity of Mudline Shear Force to the Blade Pitch Angle for the GOM West Central 100-yr Return Wind Condition.................................................................... 78 Figure 2.41 Sensitivity of Mudline Overturning Moment to the Blade Pitch Angle for the GOM West Central 100-yr Return Wind Condition........................................................... 79 Figure 2.42 Static Wind Forces on the Monopile Support Structure........................................... 82 Figure 2.43 Time History of Breaking Wave Slamming Loads on the Monopile....................... 83 Figure 2.44 Mudline Base Shear Forces Due to Wave Slamming on the Monopile ................... 83 Figure 2.45 Mudline Overturning Moments Due to Wave Slamming on the Monopile ............. 84 Figure 2.46 Monopile Member Size and Location for Utilization Ratio Calculation................. 88 Figure 2.47 Static Wind Forces on the Tripod Support Structure................................................ 92 Figure 2.48 Time History of Breaking Wave Slamming Loads on the Tripod............................ 93 Figure 2.49 Mudline Base Shear Forces Due to Wave Slamming on the Tripod........................ 93 Figure 2.50 Mudline Overturning Moments Due to Wave Slamming on the Tripod.................. 94,"Error: Failed to connect to Ollama. Please check that Ollama is downloaded, running and accessible. https://ollama.com/download"
17,10,"Contract M10PC00105: Design Standards for Offshore Wind Farms Final Report viii Figure 2.51 Tripod Member Size and Location for Utilization Ratio Calculation ..................... 97 Figure 2.52 Static Wind Forces on the Jacket Support Structure .............................................. 101 Figure 2.53 Jacket Member Size and Location for Utilization Ratio Calculation .................... 104 Figure 2.54 Ratio of 100-yr Return to 50-yr Return Mudline Shear Forces............................. 110 Figure 2.55 Ratio of 100-yr Return to 50-yr Return Mudline Overturning Moments.............. 110 Figure 2.56 Ratio of 100-yr Return to 50-yr Return Maximum Utilization Ratios .................. 110 Figure 2.57 Mudline Shear Forces and Overturning Moments (50-yr vs. 100-yr) in the ATL2 Region..................................................................................................................... 111 Figure 2.58 Mudline Shear Forces and Overturning Moments (50-yr vs. 100-yr) in the GOM Region..................................................................................................................... 112 Figure 2.59 Utilization Ratios (50-yr vs. 100-yr) at the ATL2 and GOM Regions.................. 113 Figure 2.60 Mudline Shear Forces and Overturning Moments (Normal vs. Abnormal) under the 50-Year Return Conditions..................................................................................... 115 Figure 2.61 Mudline Shear Forces and Overturning Moments (Normal vs. Abnormal) under the 100-Year Return Conditions................................................................................... 116 Figure 2.62 Member Utilization Ratios (Normal vs. Abnormal).............................................. 117 Figure 2.63 Turbine Tower Base Shear and Overturning Moment for the Monopile Case...... 119 Figure 2.64 Turbine Tower Base Shear and Overturning Moment for the Tripod Case .......... 120 Figure 2.65 Turbine Tower Base Shear and Overturning Moment for the Jacket Case ........... 121 Figure 2.66 Mudline Shear Forces and Overturning Moments vs. Wind-Wave Misalignment (under the 50-Year Return Conditions in the GOM West Central Region) ........... 122 Figure 2.67 Mudline Shear Forces and Overturning Moments vs. Wind-Wave Misalignment (under the 100-Year Return Conditions in the GOM West Central Region) ......... 123 Figure 2.68 Member Utilization Ratios vs. Wind-Wave Misalignment (GOM West Central Region) ................................................................................................................... 124 Figure 2.69 Mudline Shear Forces and Overturning Moments (All Structures in ATL2)........ 127 Figure 2.70 Mudline Shear Forces and Overturning Moments (All Structures in GOM) ........ 127 Figure 2.71 Mudline Shear Forces and Overturning Moments (All Structures under the 100- Year Return Conditions in the GOM with Various Wind-Wave Misalignments).. 128 Figure 3.1 Definition of Parameters for Calculating Wave Slamming Forces ........................ 142 Figure 3.2 Splashing Pattern of Plunging Breaking Wave (IEC61400-3 Annex D)................ 145 Figure 3.3 Breaking Wave Slamming Load on a Circular Cylinder (IEC 61400-3, 2009)...... 174 Figure 3.4 Wave Slamming Load of Four Different Models.................................................. 177","Error: Failed to connect to Ollama. Please check that Ollama is downloaded, running and accessible. https://ollama.com/download"
