model_name,document_number,type_of_wind_farm,chunk_number,document_id,constraint_type,requirement,scope,numerical_value,unit,source,related_domains,is_regulatory,confidence_score,analysis_reason,text_length,has_numerical_constraint
claude-3-haiku-20240307,"§ 285.421, § 285.433",Offshore,185,10,Jurisdictional,"Within 2 years following termination of a lease or grant, you must remove or dispose of all facilities, installations, and other devices permanently or temporarily attached to the seabed on the OCS in accordance with your Plan approved by BOEM.",Offshore wind farm projects,,,§ 285.433,Jurisdictional,True,1.0,Contains 4 mandatory verb(s); Contains 1 regulatory phrase(s); Contains 1 regulatory context(s); Contains 1 numerical constraint(s),244,True
gemini-1.5-pro,5.2.6.1 and 5.2.7,Offshore,104,26,Technical,"Within 5 years of the commissioning of the first WTG and every 5 years thereafter for the operational life of the Project, the Lessee must provide BOEM with a review of best available scientific and commercial data on technologies and methods that have been implemented or are being studied to reduce or minimize bird collisions at WTGs.",WTGs,5,years,,avian protection; technology review; collision minimization; environmental impact assessment,True,1.0,Contains 2 mandatory verb(s); Contains 1 regulatory phrase(s); Contains 1 regulatory context(s); Contains 1 numerical constraint(s); Uses regulatory sentence structure,337,True
gemini-1.5-pro,Page 44 of 93,Offshore,105,26,Environmental,"The Compensatory Mitigation Plan must provide compensatory mitigation actions to fully offset the impact of the incidental take of piping plover, red knot, and roseate tern.","Operational Phase, Avian Protection",,,,avian protection; compensatory mitigation; environmental impact assessment,True,1.0,Contains 2 mandatory verb(s); Contains 1 constraint type(s); Uses regulatory sentence structure,173,False
gemini-1.5-pro,Page 45 of 93,Offshore,107,26,Spatial,"The Lessee must prepare and implement an Anchoring Plan(s) for all areas where anchoring or buoy placement occurs and jack-up barges are used during construction and operations/maintenance within 1,640 ft (500 m) of habitats, resources, and submerged infrastructure that are sensitive, including sensitive benthic habitats; boulders greater than or equal to 0.5 m; ancient submerged landform features (ASLFs); known and potential shipwrecks; potentially significant debris fields; potential hazards; third-party infrastructure; and any related facility installation activities (such as cable, WTG, and OSS installation).","Areas within 500m of sensitive habitats, resources, and submerged infrastructure during construction and operations/maintenance.",500,m,,anchoring; environmental protection; navigation safety; infrastructure protection,True,1.0,Contains 1 mandatory verb(s); Contains 3 regulatory phrase(s); Contains 1 constraint type(s); Contains 4 regulatory context(s); Contains 1 numerical constraint(s),620,True
gemini-1.5-pro,Page 45 of 93,Offshore,107,26,Spatial,"The Lessee must provide to all construction and support vessels the locations where anchoring or buoy placement must be avoided to the extent technically and/or economically practicable or feasible, including sensitive benthic habitats, boulders greater than or equal to 0.5 m, ASLFs, known and potential shipwrecks, potentially significant debris fields, potential hazards, and any related facility installation activities (such as cable, WTG, and OSS installation).","Anchoring and buoy placement near sensitive habitats, resources, and submerged infrastructure.",0.5,m,,anchoring; navigation safety; environmental protection,True,1.0,Contains 2 mandatory verb(s); Contains 2 regulatory phrase(s); Contains 2 regulatory context(s); Uses regulatory sentence structure,467,True
gemini-1.5-pro,Page 46 of 93,Offshore,109,26,Technical,"The Lessee must provide the proposed Anchoring Plan to BOEM and BSEE, for the agencies’ 60-day review (in coordination with NMFS GARFO-HESD), at least 120 days before anchoring activities or at least 120 days before construction begins for export and interarray cables, whichever is earlier.","Anchoring activities, export and interarray cable construction",120,days,,cable installation; anchoring; pre-construction planning,True,1.0,Contains 2 mandatory verb(s); Contains 1 regulatory phrase(s); Contains 2 regulatory context(s); Contains 1 numerical constraint(s); Uses regulatory sentence structure,291,True
gemini-1.5-pro,5.3.3.4,Offshore,112,26,Technical,"The report must include a summary of the micrositing activities for WTGs, inter-array cables, and the export cables and demonstrate (i.e., figures of as-built locations overlaid on multibeam echosounder backscatter survey data) how impacts to complex habitats and benthic features were avoided and/or minimized within the lease area and export cable corridors.","Post-installation reporting, Micrositing",,,,reporting; environmental impact assessment; micrositing; benthic habitats,True,1.0,Contains 2 mandatory verb(s); Contains 1 regulatory phrase(s); Contains 2 constraint type(s); Contains 1 regulatory context(s); Contains 1 descriptive phrase(s) (penalty),360,False
gemini-1.5-pro,5.3.3.4,Offshore,112,26,Technical,The Lessee must submit the report within 60 days of completion of all WTG and cable installations.,Post-installation reporting,60,days,,reporting,True,1.0,Contains 2 mandatory verb(s); Contains 1 regulatory phrase(s); Contains 1 regulatory context(s); Contains 1 numerical constraint(s),98,True
gemini-1.5-pro,Page 48 of 93,Offshore,113,26,Environmental,"The plan(s) must provide for relocation of boulders as closely as practicable to the original location, in areas of soft bottom that are immediately adjacent to existing similar habitat from which the boulder originated.",Boulder relocation,,,,environmental impact assessment; benthic habitat restoration,True,1.0,Contains 2 mandatory verb(s); Contains 1 constraint type(s); Contains 1 regulatory context(s); Uses regulatory sentence structure,220,False
gemini-1.5-pro,5.3.4,Offshore,114,26,Technical,The plan must include a summary and detailed description of locations along the cable routes and wind turbine areas where surface and subsurface boulders greater than 0.5 m in diameter have been found.,Cable routes and wind turbine areas,0.5,m,,site investigation; geology,True,1.0,Contains 1 mandatory verb(s); Contains 1 regulatory phrase(s); Contains 1 constraint type(s); Contains 2 regulatory context(s); Contains 1 numerical constraint(s); Contains 1 descriptive phrase(s) (penalty),201,True
gemini-1.5-pro,5.3.4,Offshore,114,26,Technical,"The plan must include a comprehensive list and shapefile of locations of boulders that would be relocated (latitude, longitude), boulder dimensions (m), buffer radius (m), areas of active (within last 5 years) fishing (latitude, longitude), areas where boulders greater than 2 m in diameter are anticipated to occur (latitude, longitude), and identification of approximate areas to which boulders would be relocated (latitude, longitude).",Boulder relocation,2,m,,reporting; GIS; fishing industry impact,True,1.0,Contains 1 mandatory verb(s); Contains 2 regulatory phrase(s); Contains 2 constraint type(s); Contains 1 regulatory context(s); Contains 1 numerical constraint(s); Contains 2 descriptive phrase(s) (penalty),438,True
gemini-1.5-pro,49 of 93,Offshore,115,26,Jurisdictional,"The Lessee must provide USCG, NOAA, and the local harbormaster with a comprehensive list and shapefile of positions and areas to which boulders greater than 2 m would be relocated (latitude, longitude) at least 60 days prior to boulder relocation activities.",Boulder relocation,2,m,,reporting requirements; navigation safety,True,1.0,Contains 2 mandatory verb(s); Contains 2 regulatory phrase(s); Contains 1 constraint type(s); Contains 1 numerical constraint(s); Uses regulatory sentence structure; Contains 1 descriptive phrase(s) (penalty),258,True
gemini-1.5-pro,50 of 93,Offshore,116,26,Technical,"The Lessee must provide a Boulder Relocation Report to BSEE, BOEM, NMFS GARFO-HESD, and the approved CVA.",Boulder relocation,,,,reporting; site assessment; geotechnical engineering,True,1.0,Contains 3 mandatory verb(s); Uses regulatory sentence structure,105,False
gemini-1.5-pro,50 of 93,Offshore,116,26,Technical,The Lessee must submit the report within 60 days of completion of the boulder relocation activities and prior to or with the relevant FIR.,Boulder relocation reporting,60,days,,reporting; project management,True,1.0,Contains 2 mandatory verb(s); Contains 1 regulatory phrase(s); Contains 1 numerical constraint(s),138,True
gemini-1.5-pro,50 of 93,Offshore,116,26,Technical,"The Lessee must also provide BOEM and BSEE a comprehensive list and shapefile of boulder locations to which boulders were relocated (latitude, longitude), boulder dimensions (m), any safety distances or zones to limit boulder relocation near third-party assets (m), and areas of active (within last 5 years) fishing (i.e., as a raster file for use in ArcGIS).",Boulder relocation reporting,5,years,,reporting; spatial data management; environmental impact assessment,True,1.0,Contains 2 mandatory verb(s); Contains 1 regulatory phrase(s); Contains 3 constraint type(s); Contains 2 regulatory context(s),359,True
gemini-1.5-pro,,Offshore,117,26,Jurisdictional,"The Lessee must submit the Scour and Cable Protection Plan(s) to BOEM and BSEE for a 60-day review (in coordination with NMFS GARFO-HESD), at least 120 days prior to placement of scour and cable protection.",Scour and Cable Protection Plan,60,days,,permitting; environmental review,True,1.0,Contains 2 mandatory verb(s); Contains 1 regulatory phrase(s); Contains 1 constraint type(s); Contains 1 regulatory context(s); Contains 1 numerical constraint(s),206,True
gemini-1.5-pro,,Offshore,117,26,Jurisdictional,"The final version of the Scour and Cable Protection Plan(s) must be provided to BSEE, NMFS, and USACE.",Final Scour and Cable Protection Plan submission,,,,permitting; documentation,True,1.0,Contains 2 mandatory verb(s); Contains 1 constraint type(s); Contains 1 regulatory context(s); Uses regulatory sentence structure,102,False
gemini-1.5-pro,51 of 93,Offshore,118,26,Jurisdictional,The Lessee must submit the Berm Remediation Plan to BOEM and BSEE for a 60-day review (in coordination with NMFS) within 90 days of completion of the post-construction survey where the change was detected.,Cable laying and post-construction remediation plan review,60,days,,permitting; environmental review,True,1.0,Contains 2 mandatory verb(s); Contains 1 regulatory phrase(s); Contains 1 regulatory context(s); Contains 1 numerical constraint(s),205,True
gemini-1.5-pro,51 of 93,Offshore,118,26,Jurisdictional,The Lessee must submit the Berm Remediation Plan to BOEM and BSEE for a 60-day review (in coordination with NMFS) within 90 days of completion of the post-construction survey where the change was detected.,Cable laying and post-construction remediation plan submission,90,days,,permitting; environmental review,True,1.0,Contains 2 mandatory verb(s); Contains 1 regulatory phrase(s); Contains 1 regulatory context(s); Contains 1 numerical constraint(s),205,True
gemini-1.5-pro,,Offshore,119,26,Jurisdictional,"The Lessee must submit all required documents related to protected species in accordance with Term and Condition 10 of the June 18, 2024, NMFS BiOp.",Protected species monitoring,,,"NMFS BiOp, Term and Condition 10, June 18, 2024",environmental permitting; protected species,True,1.0,Contains 5 mandatory verb(s),148,True
gemini-1.5-pro,,Offshore,119,26,Jurisdictional,"To change an approved non-avian protected species monitoring plan, the Lessee must submit a revised plan for BOEM and BSEE review. BOEM’s and BSEE’s concurrence with the revised plan is required prior to commencement of activities under the revised plan.",Revisions to protected species monitoring plans,,,,environmental permitting; protected species,True,1.0,Contains 4 mandatory verb(s); Contains 1 constraint type(s),254,False
gemini-1.5-pro,,Offshore,119,26,Jurisdictional,"The Lessee must follow reporting requirements in accordance with NMFS BiOp Term and Condition 7, as applicable","Fishery monitoring, endangered and threatened species",,,NMFS BiOp Term and Condition 7,fishery management; protected species,True,1.0,Contains 3 mandatory verb(s); Contains 1 constraint type(s); Contains 1 regulatory context(s),110,True
gemini-1.5-pro,Page 52 of 93,Offshore,120,26,Environmental,"If marine mammals are sighted in the area within 15 minutes before deploying gear and are considered by survey staff to be at risk of interaction with the research gear, then the sampling station must be either moved or canceled, or the activity must be suspended, until there are no marine mammal sightings within 1 nmi (1,852 m) of sampling location for 15 minutes.",Fisheries monitoring surveys,1,nmi,,marine mammal protection; environmental protection,True,1.0,Contains 1 mandatory verb(s); Contains 1 regulatory phrase(s); Contains 1 constraint type(s); Contains 1 regulatory context(s); Contains 1 numerical constraint(s); Uses regulatory sentence structure,367,True
gemini-1.5-pro,Page 52 of 93,Offshore,120,26,Environmental,"If marine mammals are sighted in the area within 15 minutes before deploying gear and are considered by survey staff to be at risk of interaction with the research gear, then the sampling station must be either moved or canceled, or the activity must be suspended, until there are no marine mammal sightings within 1,852 m of sampling location for 15 minutes.",Fisheries monitoring surveys,1852,m,,marine mammal protection; environmental protection,True,1.0,Contains 1 mandatory verb(s); Contains 1 regulatory phrase(s); Contains 1 constraint type(s); Contains 1 regulatory context(s); Contains 1 numerical constraint(s); Uses regulatory sentence structure,359,True
