document_id,page_number,output
27,1,"Here is the structured output based on the analyzed document:

{
  ""document_metadata"": {
    ""title"": ""Draft Outer Continental Shelf Air Permit"",
    ""document_number"": ""OCS-R1-05"",
    ""type_of_wind_farm"": ""Offshore""
  },
  ""regulatory_constraints"": [
    {
      ""type"": ""Jurisdictional"",
      ""requirement"": ""The United States Environmental Protection Agency Region 1 is issuing an Outer Continental Shelf (OCS) air quality permit to construct and operate Revolution Wind LLC's proposed offshore renewable wind energy development project."",
      ""scope"": ""Offshore wind energy development project located within federal waters on the OCS"",
      ""source"": ""Section 328 of the Clean Air Act and 40 C.F.R. Part 55"",
      ""related_domains"": ""Air quality, offshore wind energy""
    },
    {
      ""type"": ""Technical"",
      ""requirement"": ""Revolution Wind LLC is authorized to construct up to 100 wind turbine generators (WTGs) and up to 2 Offshore Substations (OSSs)."",
      ""scope"": ""Offshore wind energy development project located within federal waters on the OCS"",
      ""source"": ""Permit conditions and limitations"",
      ""related_domains"": ""Offshore wind energy, infrastructure""
    },
    {
      ""type"": ""Jurisdictional"",
      ""requirement"": ""The construction and operation of the windfarm would be subject to the attached permit conditions and permit limitations."",
      ""scope"": ""Offshore wind energy development project located within federal waters on the OCS"",
      ""source"": ""Permit conditions and limitations"",
      ""related_domains"": ""Air quality, offshore wind energy""
    },
    {
      ""type"": ""Jurisdictional"",
      ""requirement"": ""This permit does not relieve RW from the obligation to comply with applicable state and federal air pollution control rules and regulations."",
      ""scope"": ""Offshore wind energy development project located within federal waters on the OCS"",
      ""source"": ""Permit conditions and limitations"",
      ""related_domains"": ""Air quality, offshore wind energy""
    }
  ],
  ""regulatory_entities"": [
    {
      ""entity_name"": ""United States Environmental Protection Agency Region 1"",
      ""jurisdiction"": ""Federal"",
      ""role"": ""Issuing authority for the Outer Continental Shelf air quality permit""
    },
    {
      ""entity_name"": ""Bureau of Ocean Energy Management (BOEM)"",
      ""jurisdiction"": ""Federal"",
      ""role"": ""Responsible for the Renewable Energy Lease Area OCS-A 0486 where the wind farm is located""
    }
  ]
}"
27,2,"Here is the structured output based on the analyzed document:

{
  ""document_metadata"": {
    ""title"": ""Revolution Wind, LLC Outer Continental Shelf Preconstruction Air Permit No. OCS-R1-05"",
    ""document_number"": ""OCS-R1-05"",
    ""type_of_wind_farm"": ""Offshore""
  },
  ""regulatory_constraints"": [
    {
      ""type"": ""Environmental"",
      ""requirement"": ""Compliance with the Clean Air Act (CAA) and the Outer Continental Shelf Lands Act (OCSLA)"",
      ""scope"": ""Outer Continental Shelf"",
      ""source"": ""Clean Air Act, Outer Continental Shelf Lands Act"",
      ""related_domains"": [""Environmental""]
    },
    {
      ""type"": ""Technical"",
      ""requirement"": ""Compliance with Best Available Control Technology (BACT) requirements"",
      ""scope"": ""Offshore wind farm project"",
      ""source"": ""Clean Air Act"",
      ""related_domains"": [""Technical""]
    },
    {
      ""type"": ""Environmental"",
      ""requirement"": ""Compliance with Lowest Achievable Emission Rate (LAER) requirements"",
      ""scope"": ""Offshore wind farm project"",
      ""source"": ""Clean Air Act"",
      ""related_domains"": [""Environmental""]
    },
    {
      ""type"": ""Environmental"",
      ""requirement"": ""Compliance with Nonattainment New Source Review (NNSR) requirements"",
      ""scope"": ""Offshore wind farm project"",
      ""source"": ""Clean Air Act"",
      ""related_domains"": [""Environmental""]
    },
    {
      ""type"": ""Environmental"",
      ""requirement"": ""Compliance with Prevention of Significant Deterioration (PSD) requirements"",
      ""scope"": ""Offshore wind farm project"",
      ""source"": ""Clean Air Act"",
      ""related_domains"": [""Environmental""]
    }
  ],
  ""regulatory_entities"": [
    {
      ""entity_name"": ""United States Environmental Protection Agency (EPA)"",
      ""jurisdiction"": ""Federal"",
      ""role"": ""Regulatory authority for the Clean Air Act""
    },
    {
      ""entity_name"": ""Bureau of Ocean Energy Management (BOEM)"",
      ""jurisdiction"": ""Federal"",
      ""role"": ""Regulatory authority for the Outer Continental Shelf Lands Act""
    }
  ]
}"
27,3,"Here is the structured output based on the analyzed document:

{
  ""document_metadata"": {
    ""title"": ""Table of Contents"",
    ""document_number"": null,
    ""type_of_wind_farm"": ""Offshore""
  },
  ""regulatory_constraints"": [
    {
      ""type"": ""Emission"",
      ""requirement"": ""Emission Limits"",
      ""scope"": null,
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""SECTION IV. Emission Limits"",
      ""related_domains"": [""Environmental""]
    },
    {
      ""type"": ""Offset"",
      ""requirement"": ""NNSR Offsets"",
      ""scope"": null,
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""SECTION V. NNSR Offsets"",
      ""related_domains"": [""Environmental""]
    },
    {
      ""type"": ""Operating"",
      ""requirement"": ""Operating Requirements and Work Practice Standards"",
      ""scope"": null,
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""SECTION VI. Operating Requirements and Work Practice Standards"",
      ""related_domains"": [""Technical"", ""Safety""]
    },
    {
      ""type"": ""Testing"",
      ""requirement"": ""Testing Requirements"",
      ""scope"": null,
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""SECTION VII. Testing Requirements"",
      ""related_domains"": [""Technical""]
    },
    {
      ""type"": ""Recordkeeping"",
      ""requirement"": ""Recordkeeping Requirements"",
      ""scope"": null,
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""SECTION VIII. Recordkeeping Requirements"",
      ""related_domains"": [""Jurisdictional""]
    },
    {
      ""type"": ""Reporting"",
      ""requirement"": ""Reporting Requirements"",
      ""scope"": null,
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""SECTION IX. Reporting Requirements"",
      ""related_domains"": [""Jurisdictional""]
    },
    {
      ""type"": ""General"",
      ""requirement"": ""General Conditions"",
      ""scope"": null,
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""SECTION X. General Conditions"",
      ""related_domains"": [""Jurisdictional""]
    },
    {
      ""type"": ""Access"",
      ""requirement"": ""Right of Entry"",
      ""scope"": null,
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""SECTION XI. Right of Entry"",
      ""related_domains"": [""Jurisdictional""]
    },
    {
      ""type"": ""Ownership"",
      ""requirement"": ""Transfer of Ownership"",
      ""scope"": null,
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""SECTION XII. Transfer of Ownership"",
      ""related_domains"": [""Jurisdictional""]
    },
    {
      ""type"": ""Legal"",
      ""requirement"": ""Severability"",
      ""scope"": null,
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""SECTION XIII. Severability"",
      ""related_domains"": [""Jurisdictional""]
    },
    {
      ""type"": ""Financial"",
      ""requirement"": ""Permit Fees"",
      ""scope"": null,
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""SECTION XIV. Permit Fees"",
      ""related_domains"": [""Jurisdictional""]
    }
  ],
  ""regulatory_entities"": []
}"
27,4,"Here is the structured output based on the analysis of the provided document:

{
  ""document_metadata"": {
    ""title"": ""Revolution Wind, LLC Outer Continental Shelf Preconstruction Air Permit No. OCS-R1-05"",
    ""document_number"": ""OCS-R1-05"",
    ""type_of_wind_farm"": ""Offshore""
  },
  ""regulatory_constraints"": [
    {
      ""type"": ""Technical"",
      ""requirement"": ""The project is anticipated to have a full production capacity between 704 and 880 megawatts (MW) of renewable energy."",
      ""scope"": ""Revolution Wind project"",
      ""numerical_value"": 704,
      ""unit"": ""MW"",
      ""source"": ""Revolution Wind, LLC"",
      ""related_domains"": ""Technical""
    },
    {
      ""type"": ""Jurisdictional"",
      ""requirement"": ""The Revolution Wind project is part of the same stationary source as the South Fork Wind project, which is owned and operated by South Fork Wind, LLC."",
      ""scope"": ""Revolution Wind and South Fork Wind projects"",
      ""source"": ""Revolution Wind, LLC"",
      ""related_domains"": ""Jurisdictional""
    },
    {
      ""type"": ""Jurisdictional"",
      ""requirement"": ""The boundary between the RW and SFW projects is their respective Lease Area(s) which form the basis for determining whether a particular piece of equipment and source of emissions is considered part of the RW or SFW project and in which permit it should be addressed."",
      ""scope"": ""Revolution Wind and South Fork Wind projects"",
      ""source"": ""Revolution Wind, LLC"",
      ""related_domains"": ""Jurisdictional""
    },
    {
      ""type"": ""Technical"",
      ""requirement"": ""The RW project is a major PSD stationary source for NSR pollutants for which the corresponding onshore area is designated attainment or unclassifiable."",
      ""scope"": ""Revolution Wind project"",
      ""source"": ""Revolution Wind, LLC"",
      ""related_domains"": ""Technical""
    },
    {
      ""type"": ""Technical"",
      ""requirement"": ""The pollutants from this project subject to the best available control technology (BACT) are NO2, CO, PM10, PM2.5, and GHG."",
      ""scope"": ""Revolution Wind project"",
      ""source"": ""Revolution Wind, LLC"",
      ""related_domains"": ""Technical""
    },
    {
      ""type"": ""Technical"",
      ""requirement"": ""The pollutants from this project subject to the lowest achievable emission rate (LAER) are NOX and VOC."",
      ""scope"": ""Revolution Wind project"",
      ""source"": ""Revolution Wind, LLC"",
      ""related_domains"": ""Technical""
    },
    {
      ""type"": ""Technical"",
      ""requirement"": ""For the purposes of fulfilling requirements for pollutants below major source thresholds but above Massachusetts's minor source permitting or plan approval thresholds, a BACT determination is made for other NSR regulated pollutants, namely sulfur dioxide (SO2)."",
      ""scope"": ""Revolution Wind project"",
      ""source"": ""Revolution Wind, LLC"",
      ""related_domains"": ""Technical""
    }
  ],
  ""regulatory_entities"": [
    {
      ""entity_name"": ""Bureau of Ocean Energy Management (BOEM)"",
      ""jurisdiction"": ""Federal"",
      ""role"": ""Regulatory authority over renewable energy lease areas on the Outer Continental Shelf""
    },
    {
      ""entity_name"": ""South Fork Wind, LLC"",
      ""jurisdiction"": ""Private company"",
      ""role"": ""Owner and operator of the South Fork Wind project""
    }
  ]
}"
27,5,"{
  ""document_metadata"": {
    ""title"": ""Revolution Wind, LLC Outer Continental Shelf Preconstruction Air Permit No. OCS-R1-05"",
    ""document_number"": ""OCS-R1-05"",
    ""type_of_wind_farm"": ""Offshore""
  },
  ""regulatory_constraints"": [
    {
      ""type"": ""Environmental"",
      ""requirement"": ""The Revolution Wind project is required to apply BACT to all the new emission units proposed in this project which emit NO2, CO, PM10, PM2.5, and GHG."",
      ""scope"": ""All new emission units in the Revolution Wind project"",
      ""source"": ""Massachusetts' regulations"",
      ""related_domains"": [""Environmental""]
    },
    {
      ""type"": ""Environmental"",
      ""requirement"": ""The Revolution Wind project is required to apply LAER to all the new emission units proposed in this project which emit NOX and VOC."",
      ""scope"": ""All new emission units in the Revolution Wind project"",
      ""source"": ""Massachusetts' regulations"",
      ""related_domains"": [""Environmental""]
    },
    {
      ""type"": ""Technical"",
      ""requirement"": ""The medium and high-voltage gas insulated switchgears (GISs) on the OSS have the potential to emit SF6, which is considered a GHG."",
      ""scope"": ""GIS on the Offshore Substation Station (OSS)"",
      ""source"": ""Permit application"",
      ""related_domains"": [""Technical"", ""Environmental""]
    },
    {
      ""type"": ""Technical"",
      ""requirement"": ""The WTGs will not utilize SF6 within the GIS, which are typically located at the base of the turbine."",
      ""scope"": ""Wind Turbine Generators (WTGs)"",
      ""source"": ""Permit application"",
      ""related_domains"": [""Technical""]
    }
  ],
  ""regulatory_entities"": [
    {
      ""entity_name"": ""Massachusetts"",
      ""jurisdiction"": ""State"",
      ""role"": ""Regulator""
    }
  ]
}"
27,6,"{
  ""document_metadata"": {
    ""title"": ""Revolution Wind, LLC Outer Continental Shelf Preconstruction Air Permit"",
    ""document_number"": ""OCS-R1-05"",
    ""type_of_wind_farm"": ""Offshore""
  },
  ""regulatory_constraints"": [
    {
      ""type"": ""Technical"",
      ""requirement"": ""Vessel main engine rating for monopile installation heavy lift vessels must be 26,640 kW or 34,560 kW"",
      ""scope"": ""Monopile installation heavy lift vessels"",
      ""numerical_value"": 26640,
      ""unit"": ""kW"",
      ""source"": ""Revolution Wind, LLC Outer Continental Shelf Preconstruction Air Permit No. OCS-R1-05"",
      ""related_domains"": ""Technical""
    },
    {
      ""type"": ""Technical"",
      ""requirement"": ""Vessel auxiliary engine rating for monopile installation heavy lift vessels must be 1,100 kW"",
      ""scope"": ""Monopile installation heavy lift vessels"",
      ""numerical_value"": 1100,
      ""unit"": ""kW"",
      ""source"": ""Revolution Wind, LLC Outer Continental Shelf Preconstruction Air Permit No. OCS-R1-05"",
      ""related_domains"": ""Technical""
    },
    {
      ""type"": ""Technical"",
      ""requirement"": ""Vessel auxiliary engine rating for monopile installation towing tug and anchor handling tug must be 238 kW"",
      ""scope"": ""Monopile installation towing tug and anchor handling tug"",
      ""numerical_value"": 238,
      ""unit"": ""kW"",
      ""source"": ""Revolution Wind, LLC Outer Continental Shelf Preconstruction Air Permit No. OCS-R1-05"",
      ""related_domains"": ""Technical""
    },
    {
      ""type"": ""Technical"",
      ""requirement"": ""Vessel auxiliary engine rating for monopile installation rock dumping vessel must be 1,692 kW"",
      ""scope"": ""Monopile installation rock dumping vessel"",
      ""numerical_value"": 1692,
      ""unit"": ""kW"",
      ""source"": ""Revolution Wind, LLC Outer Continental Shelf Preconstruction Air Permit No. OCS-R1-05"",
      ""related_domains"": ""Technical""
    },
    {
      ""type"": ""Technical"",
      ""requirement"": ""Vessel auxiliary engine rating for monopile installation vessel for bubble curtain must be 874 kW"",
      ""scope"": ""Monopile installation vessel for bubble curtain"",
      ""numerical_value"": 874,
      ""unit"": ""kW"",
      ""source"": ""Revolution Wind, LLC Outer Continental Shelf Preconstruction Air Permit No. OCS-R1-05"",
      ""related_domains"": ""Technical""
    },
    {
      ""type"": ""Technical"",
      ""requirement"": ""Vessel auxiliary engine rating for monopile installation heavy transport vessels must be 3,600 kW"",
      ""scope"": ""Monopile installation heavy transport vessels"",
      ""numerical_value"": 3600,
      ""unit"": ""kW"",
      ""source"": ""Revolution Wind, LLC Outer Continental Shelf Preconstruction Air Permit No. OCS-R1-05"",
      ""related_domains"": ""Technical""
    },
    {
      ""type"": ""Technical"",
      ""requirement"": ""Vessel auxiliary engine rating for turbine installation jack-up installation vessel must be 895 kW"",
      ""scope"": ""Turbine installation jack-up installation vessel"",
      ""numerical_value"": 895,
      ""unit"": ""kW"",
      ""source"": ""Revolution Wind, LLC Outer Continental Shelf Preconstruction Air Permit No. OCS-R1-05"",
      ""related_domains"": ""Technical""
    },
    {
      ""type"": ""Technical"",
      ""requirement"": ""Vessel auxiliary engine rating for offshore export cable and OSS link cable lay and burial vessel must be 2,800 kW"",
      ""scope"": ""Offshore export cable and OSS link cable lay and burial vessel"",
      ""numerical_value"": 2800,
      ""unit"": ""kW"",
      ""source"": ""Revolution Wind, LLC Outer Continental Shelf Preconstruction Air Permit No. OCS-R1-05"",
      ""related_domains"": ""Technical""
    }
  ],
  ""regulatory_entities"": [
    {
      ""entity_name"": ""Revolution Wind, LLC"",
      ""jurisdiction"": ""Outer Continental Shelf"",
      ""role"": ""Project developer""
    }
  ]
}"
27,7,"Here is the structured output based on the provided document:

{
  ""document_metadata"": {
    ""title"": ""Revolution Wind, LLC Outer Continental Shelf Preconstruction Air Permit"",
    ""document_number"": ""No. OCS-R1-05"",
    ""type_of_wind_farm"": ""Offshore""
  },
  ""regulatory_constraints"": [
    {
      ""type"": ""Technical"",
      ""requirement"": ""Marine vessel main engine rating and auxiliary engine rating requirements for various vessels used in offshore export cable, OSS link, and array cable construction"",
      ""scope"": ""Offshore wind farm construction and installation"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""Revolution Wind, LLC Outer Continental Shelf Preconstruction Air Permit"",
      ""related_domains"": [""Technical""]
    }
  ],
  ""regulatory_entities"": []
}

The provided document contains technical specifications for various marine vessels used in the construction and installation of an offshore wind farm, including main engine ratings and auxiliary engine ratings. However, the document does not appear to contain any information about regulatory entities or other types of regulatory constraints, such as spatial, environmental, jurisdictional, or safety requirements. Therefore, the ""regulatory_entities"" section is empty."
27,8,"Here is the structured output based on the analysis of the given document:

{
  ""document_metadata"": {
    ""title"": ""Revolution Wind, LLC Outer Continental Shelf Preconstruction Air Permit No. OCS-R1-05"",
    ""document_number"": ""OCS-R1-05"",
    ""type_of_wind_farm"": ""Offshore""
  },
  ""regulatory_constraints"": [
    {
      ""type"": ""Technical"",
      ""requirement"": ""The medium and high-voltage gas insulated switchgears (GIS) on the OSS have the potential to emit SF6, which is considered a GHG. The facility has stated that the WTGs will not utilize SF6 within the switchgears, which are typically located at the base of the turbine. Therefore, only the SWGs located on the OSS (MV and HV) are required to apply BACT for SF6."",
      ""scope"": ""Offshore Substation (OSS)"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""Permit No. OCS-R1-05"",
      ""related_domains"": [""Technical"", ""Environmental""]
    }
  ],
  ""regulatory_entities"": [
    {
      ""entity_name"": ""Revolution Wind, LLC"",
      ""jurisdiction"": ""Outer Continental Shelf"",
      ""role"": ""Offshore wind farm operator""
    }
  ]
}"
27,9,"{
  ""document_metadata"": {
    ""title"": ""Revolution Wind, LLC Outer Continental Shelf Preconstruction Air Permit"",
    ""document_number"": ""OCS-R1-05"",
    ""type_of_wind_farm"": ""Offshore""
  },
  ""regulatory_constraints"": [
    {
      ""type"": ""Technical"",
      ""requirement"": ""Category 1 Marine Engine means the definition as contained in 40 C.F.R. § 1042.901."",
      ""scope"": ""Vessels used in offshore wind farm construction and operation"",
      ""source"": ""40 C.F.R. § 1042.901"",
      ""related_domains"": ""Technical, Environmental""
    },
    {
      ""type"": ""Technical"",
      ""requirement"": ""Category 2 Marine Engine means the definition as contained in 40 C.F.R. § 1042.901."",
      ""scope"": ""Vessels used in offshore wind farm construction and operation"",
      ""source"": ""40 C.F.R. § 1042.901"",
      ""related_domains"": ""Technical, Environmental""
    },
    {
      ""type"": ""Technical"",
      ""requirement"": ""Category 3 Marine Engine means the definition as contained in 40 C.F.R. § 1042.901."",
      ""scope"": ""Vessels used in offshore wind farm construction and operation"",
      ""source"": ""40 C.F.R. § 1042.901"",
      ""related_domains"": ""Technical, Environmental""
    },
    {
      ""type"": ""Technical"",
      ""requirement"": ""Barge, as this term relates specifically to Section IV(C)(5), means a vessel having a flat-bottomed rectangular hull with sloping ends and built with or without a propulsion engine."",
      ""scope"": ""Barges used in offshore wind farm construction"",
      ""source"": ""Section IV(C)(5) of the permit"",
      ""related_domains"": ""Technical""
    },
    {
      ""type"": ""Technical"",
      ""requirement"": ""Crew and supply vessel, as this term relates specifically to Section IV(C)(5), means a self-propelled vessel used for carrying personnel and/or supplies to and from off-shore and in-harbor locations (including, but not limited to, off-shore work platforms, construction sites, and other vessels)."",
      ""scope"": ""Crew and supply vessels used in offshore wind farm construction"",
      ""source"": ""Section IV(C)(5) of the permit"",
      ""related_domains"": ""Technical""
    },
    {
      ""type"": ""Technical"",
      ""requirement"": ""Dredge, as this term relates specifically to Section IV(C)(5), means a vessel designed to remove earth from the bottom of waterways, by means of including, but not limited to, a scoop, a series of buckets, or a suction pipe. Dredges include, but are not limited to, hopper dredges, clamshell dredges, or pipeline dredges."",
      ""scope"": ""Dredging vessels used in offshore wind farm construction"",
      ""source"": ""Section IV(C)(5) of the permit"",
      ""related_domains"": ""Technical, Environmental""
    },
    {
      ""type"": ""Jurisdictional"",
      ""requirement"": ""Domestic Flagged Vessel means a vessel operated under the authority of the United States."",
      ""scope"": ""Vessels used in offshore wind farm construction and operation"",
      ""source"": ""Section III of the permit"",
      ""related_domains"": ""Jurisdictional""
    },
    {
      ""type"": ""Technical"",
      ""requirement"": ""Commence means, that an owner or operator has undertaken a continuous program of construction or modification or that an owner or operator has entered a contractual obligation to undertake and complete, within a reasonable time, a continuous program of construction or modification."",
      ""scope"": ""Offshore wind farm construction and modification"",
      ""source"": ""Section III of the permit"",
      ""related_domains"": ""Technical""
    },
    {
      ""type"": ""Technical"",
      ""requirement"": ""Construction Phase begins on the Construction Phase Start Date and ends the day when the last WTG to be constructed begins producing commercial power."",
      ""scope"": ""Offshore wind farm construction"",
      ""source"": ""Section III of the permit"",
      ""related_domains"": ""Technical""
    },
    {
      ""type"": ""Technical"",
      ""requirement"": ""Construction Start Date is the first day any equipment or activity, that meets the definition of an OCS source, operates, occurs, or exists in the WDA."",
      ""scope"": ""Offshore wind farm construction"",
      ""source"": ""Section III of the permit"",
      ""related_domains"": ""Technical""
    },
    {
      ""type"": ""Environmental"",
      ""requirement"": ""Continuous Emission Reduction Credit (\""CERC\"") is equivalent to 1 ton per year of a pollutant, such as NOX or VOC. Under 310 CMR 7.00, Appendix B, a CERC is equivalent to a rate-based emission reduction credit (\""ERC\"")."",
      ""scope"": ""Emission reductions for offshore wind farm operations"",
      ""numerical_value"": 1,
      ""unit"": ""ton per year"",
      ""source"": ""Section III of the permit, 310 CMR 7.00, Appendix B"",
      ""related_domains"": ""Environmental""
    }
  ],
  ""regulatory_entities"": [
    {
      ""entity_name"": ""Environmental Protection Agency (EPA)"",
      ""jurisdiction"": ""Federal"",
      ""role"": ""Regulates air pollution and issues air permits for Outer Continental Shelf sources""
    },
    {
      ""entity_name"": ""Massachusetts Department of Environmental Protection"",
      ""jurisdiction"": ""State"",
      ""role"": ""Regulates air pollution and emission reduction credits""
    }
  ]
}"
27,10,"Here is the structured output based on the analyzed document:

{
  ""document_metadata"": {
    ""title"": ""Revolution Wind, LLC Outer Continental Shelf Preconstruction Air Permit No. OCS-R1-05"",
    ""document_number"": ""OCS-R1-05"",
    ""type_of_wind_farm"": ""Offshore""
  },
  ""regulatory_constraints"": [
    {
      ""type"": ""Technical"",
      ""requirement"": ""Emission Control Area (ECA) means an area designated pursuant to Annex VI as an Emission Control Area that is in force."",
      ""scope"": ""Areas designated as Emission Control Areas"",
      ""source"": ""Annex VI"",
      ""related_domains"": ""Environmental""
    },
    {
      ""type"": ""Technical"",
      ""requirement"": ""Emission Control Area (ECA) Marine Fuel means diesel, distillate, or residual fuel used, intended for use, or made available for use in category 3 marine vessels while the vessels are operating within an ECA, or an ECA associated area."",
      ""scope"": ""Category 3 marine vessels operating within an ECA or associated area"",
      ""source"": ""Annex VI"",
      ""related_domains"": ""Environmental, Technical""
    },
    {
      ""type"": ""Technical"",
      ""requirement"": ""Emission Unit means any part of an OCS source vessel or OCS source, including but not limited to, engines, that emit or would have the potential to emit any air pollutant."",
      ""scope"": ""OCS source vessels and OCS sources"",
      ""source"": ""Permit No. OCS-R1-05"",
      ""related_domains"": ""Environmental, Technical""
    },
    {
      ""type"": ""Technical"",
      ""requirement"": ""Engine shall include diesel-fired compression ignition internal combustion engines, marine engines, and diesel-fired generating sets."",
      ""scope"": ""OCS source vessels and OCS sources"",
      ""source"": ""Permit No. OCS-R1-05"",
      ""related_domains"": ""Technical""
    },
    {
      ""type"": ""Jurisdictional"",
      ""requirement"": ""Foreign-Flagged Vessel means a vessel of foreign registry, or a vessel operated under the authority of a country other than the United States."",
      ""scope"": ""Vessels operating in the OCS"",
      ""source"": ""Permit No. OCS-R1-05"",
      ""related_domains"": ""Jurisdictional""
    },
    {
      ""type"": ""Technical"",
      ""requirement"": ""Marine Engine means a nonroad engine produced for any purpose that is installed or intended to be installed on a marine vessel. This includes a portable auxiliary marine engine only if it is fueling, cooling, or exhaust system is an integral part of the vessel. A fueling system is considered integral to the vessel only if one or more essential elements are permanently affixed to the vessel."",
      ""scope"": ""Marine vessels"",
      ""source"": ""Permit No. OCS-R1-05"",
      ""related_domains"": ""Technical""
    },
    {
      ""type"": ""Technical"",
      ""requirement"": ""No. 1 of the [Ringelmann] Chart has the same meaning as 20 % opacity. No. 2 of the [Ringelmann] Chart has the same meaning as 40% opacity."",
      ""scope"": ""Emission units"",
      ""source"": ""Permit No. OCS-R1-05"",
      ""related_domains"": ""Environmental, Technical""
    }
  ],
  ""regulatory_entities"": [
    {
      ""entity_name"": ""Environmental Protection Agency (EPA)"",
      ""jurisdiction"": ""Federal"",
      ""role"": ""Regulator and enforcement authority""
    }
  ]
}"
