model_name,document_number,type_of_wind_farm,chunk_number,document_id,constraint_type,requirement,scope,numerical_value,unit,source,related_domains
gpt-4o,10/24/22,Offshore,1,18,Environmental,"BOEM’s decision to approve, disapprove, or approve with modifications a COP requires environmental reviews and consultations under NEPA and other applicable Federal statutes.",Construction and Operations Plan (COP),,,Bureau of Ocean Energy Management’s (BOEM’s) regulations,environmental impact assessment; regulatory compliance
gpt-4o,,Offshore,3,18,Technical,BOEM expects to complete the EIS/EA with a record of decision within 2 years of an NOI publication.,Environmental review phase,2.0,years,Bureau of Ocean Energy Management (BOEM),environmental impact assessment
gpt-4o,,Offshore,3,18,Technical,Revisions that narrow the project design envelope may be accepted without causing delays to the review schedule (six months after publication of the NOI).,Project design phase,6.0,months,Bureau of Ocean Energy Management (BOEM),project management; design review
gpt-4o,2,Offshore,4,18,Jurisdictional,An agency may not conduct or sponsor a collection of information unless it displays a currently valid information collection control number issued by the Office of Management and Budget (OMB).,Federal - USA,,,"30 CFR part 585, subpart F",information collection; administrative compliance
gpt-4o,,Offshore,5,18,Technical,"All COPs include the information outlined in 30 CFR §§ 585.626-.628, as further described in this NOI Checklist.",Construction and Operations Plan (COP),,,30 CFR §§ 585.626-.628,environmental impact assessment; technical review
gpt-4o,,Offshore,7,18,Technical,BOEM will not make a “covered project” determination if a COP does not meet the information requirements in 30 CFR §§ 585.626-.628.,Offshore wind farm projects,,,30 CFR §§ 585.626-.628,project qualification; regulatory compliance
gpt-4o,,Offshore,7,18,Technical,"The project description should include a complete, well-defined, and illustrated description of the project, including the Project Design Envelope (PDE) and the action area.",Offshore wind farm projects,,,BOEM NOI Checklist,project planning; design documentation
gpt-4o,,Offshore,7,18,Technical,"All designs, layouts, and technologies proposed within the PDE should be described in a similar level of detail that is sufficient for BOEM to assess during the NEPA review.",Offshore wind farm projects,,,BOEM NOI Checklist,design assessment; regulatory review
gpt-4o,,Offshore,7,18,Technical,BOEM will generally allow narrowing of the PDE for up to 6 months after the NOI is published.,Offshore wind farm projects,6.0,months,BOEM NOI Checklist,project planning; design flexibility
gpt-4o,7,Offshore,8,18,Jurisdictional,A project determined not to be ripe for NEPA review and/or a project with incomplete information relevant to its technical feasibility cannot be a covered project.,Federal infrastructure projects,,,"FAST-41 Guidance, §§ 4.6 and 4.7",permitting process; project feasibility
gpt-4o,7,Offshore,8,18,Jurisdictional,The implementation of FAST-41 cannot have the effect of limiting the ability of an agency from meaningfully carrying out its obligations under other authorities.,Federal agencies,,,FAST-41 Guidance at § 3.9,agency authority; regulatory compliance
gpt-4o,,Offshore,10,18,Environmental,An applicant should also submit a complete description of the preliminary area of potential effect (PAPE) before BOEM will initiate the section 106 process.,Preliminary area of potential effect (PAPE),,,BOEM,environmental impact assessment; historic preservation
gpt-4o,,Offshore,10,18,Environmental,There must be sufficient detail to support the environmental analyses required by NEPA and other relevant environmental laws.,COP submission,,,NEPA,environmental impact assessment
gpt-4o,,Offshore,12,18,Environmental,The description should include sufficient information for the U.S. Army Corps of Engineers to conduct its dredged or fill material analysis under 40 CFR part 230.,Activities requiring a permit under section 404 of the Clean Water Act,,,40 CFR part 230,environmental impact assessment; dredging
gpt-4o,,Offshore,12,18,Environmental,The proposed action and the alternatives should also address restrictions on discharge under 40 CFR § 230.10.,Activities requiring a permit under section 404 of the Clean Water Act,,,40 CFR § 230.10,environmental impact assessment; water quality
gpt-4o,23,Offshore,14,18,Technical,"COP submittals should include a benthic habitat assessment that provides the information described in BOEM’s Guidelines for Providing Benthic Habitat Survey Information for Renewable Energy Development on the Atlantic Outer Continental Shelf Pursuant to 30 CFR Part 585 and Guidelines for Providing Geophysical, Geotechnical, and Geohazard Information Pursuant to 30 CFR Part 585.",Atlantic Outer Continental Shelf,,,BOEM’s Guidelines for Providing Benthic Habitat Survey Information,environmental impact assessment; geophysical survey; geotechnical survey
gpt-4o,23,Offshore,14,18,Technical,BOEM recommends that the habitat assessment include multibeam and side scan sonar data for 100 percent of the project area.,Project area,100.0,percent,BOEM,geophysical survey; habitat mapping
gpt-4o,23,Offshore,14,18,Environmental,"The benthic habitat assessment should include all offshore, inshore, estuarine, and riverine areas within the project area.",Project area,,,BOEM,environmental impact assessment; habitat mapping
gpt-4o,23,Offshore,14,18,Technical,Benthic habitat data provided with the COP should be characterized according to the Coastal and Marine Ecological Classification Standard (CMECS).,Benthic habitats,,,Coastal and Marine Ecological Classification Standard (CMECS),habitat mapping; environmental classification
gpt-4o,23,Offshore,14,18,Environmental,Applicants should identify all essential fish habitat and habitat areas of particular concern (HAPC) in the project area.,Project area,,,BOEM,environmental impact assessment; marine biology
gpt-4o,,Offshore,16,18,Technical,"The MSIR included with the COP submission should include information on project-specific geologic conditions, shallow hazards, and a site investigation report based on site-specific data.",Offshore wind farm project site,,,"BOEM’s guidance document Guidelines for Providing Geophysical, Geotechnical, and Geohazard Information",geological assessment; site investigation
gpt-4o,,Offshore,16,18,Technical,The COP should include an analysis of the risks that project subsea cables may present to other maritime users in the vicinity.,Subsea cables,,,,navigational safety; maritime risk assessment
gpt-4o,,Offshore,16,18,Safety,The COP should include an NSRA that contains all the information required under the U.S. Coast Guard’s Navigation and Vessel Inspection Circular (NVIC) 01-19.,Offshore wind energy project,,,U.S. Coast Guard’s Navigation and Vessel Inspection Circular (NVIC) 01-19,navigational safety; risk assessment
gpt-4o,,Offshore,18,18,Safety,"NVIC requires include a comprehensive traffic survey, an assessment of navigation within the project area and within close proximity to a structure, effects of meteorological and oceanographic conditions on navigation risks within vicinity of the project, risk of incidents (collision, allision, and grounding), and impacts to vessel-based navigation aids.","Project area and vicinity, applicable during planning and operation phases",,,NVIC,navigational safety; maritime risk assessment
gpt-4o,,Offshore,18,18,Technical,The radar assessment should include all land-based radar systems potentially impacted by the project and identify the owners and users of those systems.,Land-based radar systems potentially impacted by the project,,,NVIC,radar systems; technical assessment
gpt-4o,,Offshore,20,18,Environmental,The applicant should consider developing a broad enough PAPE to allow flexibility for the development of alternatives and potential revisions to the specific siting of structures.,Terrestrial and marine areas potentially impacted by ground or bottom-disturbing activities,,,,environmental impact assessment; project planning
gpt-4o,,Offshore,20,18,Environmental,The applicant should submit the results of the historic property identification surveys within each element of the PAPE.,Historic properties within the PAPE,,,36 CFR § 800.5,cultural heritage; environmental impact assessment
gpt-4o,,Offshore,20,18,Environmental,The COP should include a complete and sufficient marine acoustic modeling submission in support of BOEM’s completion of an Endangered Species Act effects analysis.,Marine acoustic environment during construction,,,BOEM’s DRAFT Nationwide Recommendations for Impact Pile Driving Sound Exposure Modeling and Sound Field Measurement for Offshore Wind Construction and Operations Plans,marine biology; acoustic impact assessment
gpt-4o,,Offshore,22,18,Environmental,Applicants should evaluate the effects of the project’s underwater noise generating activities with detail and sophistication appropriate for the level of effect possible.,Underwater noise generating activities,,,BOEM guidance,environmental impact assessment; marine life protection
gpt-4o,,Offshore,22,18,Environmental,The applicant should include a description of critical habitat in the action area.,Action area,,,Endangered Species Act (ESA) and NEPA Information,habitat protection; species conservation
gpt-4o,,Offshore,22,18,Environmental,The applicant should include seasonal abundance and distribution of ESA-listed species in the action area.,Action area,,,Endangered Species Act (ESA) and NEPA Information,species monitoring; biodiversity
gpt-4o,,Offshore,22,18,Environmental,The applicant should include in its COP the abundance and distribution of marine mammals in the action area.,Action area,,,Marine Mammal Protection Act and NEPA Information,marine mammal protection; biodiversity
gpt-4o,,Offshore,24,18,Technical,Applicants proposing to submit data and information after their initial COP submission should include a written supplemental filing schedule with their first COP submission.,COP submission process,,,BOEM,project planning; regulatory compliance
gpt-4o,,Offshore,24,18,Technical,Data and information submitted through supplemental filings should be submitted and determined sufficient by BOEM to allow BOEM adequate environmental and technical review time before an upcoming review milestone.,COP submission process,,,BOEM,project planning; regulatory compliance
gpt-4o,,Offshore,24,18,Technical,Submission of a schedule that does not meet the timing of BOEM’s environmental and technical review or a failure to comply with the schedule submitted will likely result in BOEM delaying its environmental and/or technical reviews of the COP or in BOEM disapproving the COP.,COP submission process,,,BOEM,project planning; regulatory compliance
gpt-4o,,Offshore,24,18,Jurisdictional,"If the project is a covered project under title 41 of the Fixing America's Surface Transportation Act (FAST-41), a delay may result in the project being placed in a 'paused' status on the Federal Infrastructure Projects Permitting Dashboard.",Projects under FAST-41,,,FAST-41,project planning; regulatory compliance
