model_name,document_number,type_of_wind_farm,chunk_number,document_id,constraint_type,requirement,scope,numerical_value,unit,source,related_domains,total_score,tfidf_mean_similarity,tfidf_max_similarity,jaccard_similarity,semantic_density,match_count,matched_keywords,has_numerical_values,extracted_numerical_value,scoring_method,threshold_level,relevance_category,priority_color
gemini-1.5-pro,Page 17 of 93,Offshore,60,26,Technical,"The use of cable protection measures must not exceed 10 percent of the total export and inter-array cable length, excluding cable crossings and approaches to foundations.",Cable protection measures,10,percent,Section 2.15.1,cable protection,0.1901401969103283,0.0059312299592869,0.4003124391360978,0.0275590551181102,0.6216216216216216,27,outer continental shelf a (partial); cut in wind speed (partial); foundation; cable; number of turbines per row (partial); turbine position y (partial); cable type (partial); wind speed at 10m (partial); distance to substation (partial); gulf of mexico fishery management council (partial),True,10 percent,comprehensive_scientific,0.15,High Relevance,🟠
deepseek-chat,EWF-2023-001,Offshore,473,22,Environmental,All wind turbines must maintain a minimum clearance of 500 meters from marine protected areas.,European Union territorial waters,500,meters,EU Marine Spatial Planning Directive 2021,Environmental protection; Spatial planning,0.1879871991109489,0.0059060288830053,0.4254159585258226,0.04,0.5,64,wind direction (partial); outer continental shelf a (partial); cut in wind speed (partial); turbine model (partial); turbine spacing (partial); turbine status (partial); min depth (partial); torpedo testing area (partial); min kilovolt (partial); number of turbines per row (partial),True,500 meters,comprehensive_scientific,0.15,High Relevance,🟠
claude-3-haiku-20240307,,Offshore,35,26,Spatial,"The Lessee may construct and install on the Outer Continental Shelf (OCS) up to 114 wind turbine generators (WTGs), up to 4 offshore substations (OSSs), up to 1 permanent meteorological (met) tower, interarray and interlink cables, and up to 4 export cables within an export cable corridor of up to 35 km (21.7 mi) in length on the OCS.",Outer Continental Shelf (OCS),114,wind turbine generators,Record of Decision (ROD),"Technical, Spatial",0.1875342680721207,0.0095600686904475,0.342799813968814,0.0522388059701492,0.704225352112676,66,tower cost (partial); wind direction (partial); outer continental shelf a (partial); cut in wind speed (partial); lease id (partial); turbine model (partial); turbine spacing (partial); turbine status (partial); cable; outer continental shelf name (partial),True,114 wind turbine generators,comprehensive_scientific,0.15,High Relevance,🟠
deepseek-chat,DOC-2023-001,Offshore,10,40,Environmental,All turbines must maintain a minimum clearance of 1 km from marine protected areas.,North Sea offshore wind projects,1,km,Marine Spatial Planning Directive 2022,environmental; spatial,0.1850440813634228,0.0057137471116992,0.3819748022279691,0.0445344129554655,0.5925925925925926,60,sea depth (partial); wind direction (partial); outer continental shelf a (partial); cut in wind speed (partial); turbine model (partial); turbine spacing (partial); turbine status (partial); min depth (partial); torpedo testing area (partial); min kilovolt (partial),True,1 km,comprehensive_scientific,0.15,High Relevance,🟠
deepseek-chat,OWF-REG-2023-001,Offshore,444,11,Environmental,All wind turbines must maintain a minimum distance of 1 km from identified marine protected areas.,North Sea offshore wind projects,1,km,Marine Spatial Planning Directive 2023,environmental; spatial,0.1848686997259737,0.0083269690750061,0.3658411579614883,0.048582995951417,0.6206896551724138,72,sea depth (partial); wind direction (partial); outer continental shelf a (partial); cut in wind speed (partial); lease id (partial); turbine model (partial); turbine spacing (partial); turbine status (partial); min depth (partial); torpedo testing area (partial),True,1 km,comprehensive_scientific,0.15,High Relevance,🟠
gemini-1.5-pro,Page 17 of 93,Offshore,60,26,Technical,"In areas where the final cable burial depth is less than 1.0 m below seabed, excluding cable crossings and within the vicinity of WTG/OSS foundations where cables are enclosed within a cable protection system, the Lessee must install secondary protection such as concrete mattresses, rock bags, or rock placement and must adhere to the scour and cable protection measures in Section 5.3.7.",Cable burial depth and protection,1.0,m,Section 2.15,cable protection; scour protection,0.1843461994118482,0.0089397819436419,0.3950319983713041,0.043010752688172,0.5365853658536586,72,sea depth (partial); wind direction (partial); cooling system (partial); outer continental shelf a (partial); cut in wind speed (partial); turbine model (partial); turbine spacing (partial); foundation; turbine status (partial); min depth (partial),True,1.0 m,comprehensive_scientific,0.15,High Relevance,🟠
deepseek-chat,OWF-2023-NS-001,Offshore,379,22,Environmental,All wind turbines must maintain a minimum distance of 1 km from marine protected areas.,North Sea offshore wind projects,1,km,Marine Spatial Planning Directive (EU 2021/123),environmental; spatial,0.1836930077784053,0.008150178319145,0.3580739458752508,0.0483870967741935,0.6333333333333333,65,sea depth (partial); wind direction (partial); outer continental shelf a (partial); cut in wind speed (partial); turbine model (partial); turbine spacing (partial); turbine status (partial); min depth (partial); torpedo testing area (partial); min kilovolt (partial),True,1 km,comprehensive_scientific,0.15,High Relevance,🟠
deepseek-chat,OWF-REG-2023-004,Offshore,365,10,Environmental,Wind turbines must maintain a minimum distance of 1 km from identified marine protected areas.,North Sea offshore wind projects,1,km,Marine Spatial Planning Directive 2023,environmental; spatial,0.1835535182937102,0.0083269690750061,0.3658411579614883,0.048780487804878,0.6071428571428571,72,sea depth (partial); wind direction (partial); outer continental shelf a (partial); cut in wind speed (partial); lease id (partial); turbine model (partial); turbine spacing (partial); turbine status (partial); min depth (partial); torpedo testing area (partial),True,1 km,comprehensive_scientific,0.15,High Relevance,🟠
gpt-4o-mini,,Offshore,190,48,Environmental,Cable protection may be required for up to 10% of the route.,Cable protection for the array and substation interconnection cables.,24,acres,Inspire 2021,environmental impact assessment; benthic habitat protection,0.1834398730994391,0.0062929657040348,0.3456459038505819,0.036144578313253,0.7,32,outer continental shelf a (partial); cut in wind speed (partial); impact assessment; cable; number of turbines per row (partial); turbine position y (partial); cable type (partial); wind speed at 10m (partial); distance to substation (partial); gulf of mexico fishery management council (partial),True,24 acres,comprehensive_scientific,0.15,High Relevance,🟠
gpt-4o-mini,1.1.1,Offshore,35,26,Technical,"The Lessee may construct and install on the Outer Continental Shelf (OCS) up to 114 wind turbine generators (WTGs), up to 4 offshore substations (OSSs), up to 1 permanent meteorological (met) tower, interarray and interlink cables, and up to 4 export cables within an export cable corridor of up to 35 km (21.7 mi) in length on the OCS.",Outer Continental Shelf (OCS),114,WTGs,Record of Decision (ROD),construction; installation; offshore infrastructure,0.1820685693126887,0.0096995080484549,0.3356503601723452,0.0518518518518518,0.6712328767123288,67,tower cost (partial); wind direction (partial); outer continental shelf a (partial); cut in wind speed (partial); lease id (partial); turbine model (partial); turbine spacing (partial); turbine status (partial); cable; outer continental shelf name (partial),True,114 WTGs,comprehensive_scientific,0.15,High Relevance,🟠
