row_index,document_id,model_name,constraint_type,scope,numerical_value,unit,requirement,match_type,pages_found,highlighted_pages,matching_text_snippets,similarity_score
50,1,gemini-1.5-pro,Technical,Capacity Factor Adjustment,5.0,years,"After the first adjustment, BOEM may adjust the capacity factor (to accurately represent a comparison of actual generation over a given period of time with the amount of power a facility would have generated if it had run at full capacity) no earlier than in 5-year intervals from the most recent year that BOEM adjusts the capacity factor.",fuzzy,55,55,"Page 55: ""...a comparison of actual production over a given period of time with the amount of power a facility would have produced if it had run at full capacity) in a subsequent year. (ii) after the first adjustm...""",0.7513812154696132
1281,1,gemini-1.5-pro,Jurisdictional,Outer Continental Shelf Lease,35.0,years,A commercial lease has an operations period of 35 years; or the duration specified in the lease; or the duration included and approved as part of your COP. The operations period begins when the requirements of 30 CFR 285.637(a) are met through the submission of final reports and records for your project.,fuzzy,36,36,"Page 36: ""...a commercial lease has an operations period of 35 years; or the duration specified in the lease; or the duration included and approved as part of your cop. the operations period begins when the requir...""",0.6869369369369369
1440,1,gpt-4o-mini,Financial,Project easement area,5.0,dollars per acre,"You must pay rent to ONRR as provided in 30 CFR 1218.51 for your project easement in the amount of $5 per acre, subject to a minimum of $450 per year, unless specified otherwise in the lease.",fuzzy,55,55,"Page 55: ""...you must pay rent to onrr as provided in 30 cfr 1218.51 for your project easement in the amount of $5 per acre, subject to a minimum of $450 per year, unless specified otherwise in the lease. 30 cfr p...""",0.7022058823529411
1534,1,gemini-1.5-pro,Jurisdictional,Outer Continental Shelf,120.0,days,"You must notify BOEM as soon as practicable following the merger, name change, or change in business form, but no later than 120 days after the earliest of either the effective date, or the date of filing the change or action with the Secretary of the State or other authorized official in the State of original registry.",fuzzy,15,15,"Page 15: ""...§ 585.110 when must i notify boem of mergers, name changes, or changes of business form? you must notify boem in writing of any merger, name change, or change of business form. you must notify boem as...""",0.7246049661399548
1555,1,gpt-4o-mini,Jurisdictional,Lease or grant area for offshore wind projects,5.0,years,"At an interval no more frequent than every 5 years, BOEM may review your lease or grant area to determine whether the lease or grant area is larger than needed to develop the project and manage activities in a manner that is consistent with the provisions of this part.",fuzzy,49,49,"Page 49: ""...at an interval no more frequent than every 5 years, boem may review your lease or grant area to determine whether the lease or grant area is larger than needed to develop the project and manage activi...""",0.6307151230949589
2476,1,gemini-1.5-pro,Jurisdictional,"Outer Continental Shelf Limited Lease, Grant",12.0,months,"The total amount of the financial assurance must be no less than the amount required to meet your limited lease and grant obligations, including: (1) The projected amount of rent and other payments due to the United States over the next 12 months; (2) Any past due rent and other payments; (3) Other monetary obligations; and (4) The estimated cost of facility decommissioning as required by 30 CFR part 285, subpart I.",fuzzy,59,59,"Page 59: ""...on your limited lease or grant based on the estimated costs to meet all accrued lease or grant obligations. (b) the total amount of the financial assurance must be no less than the amount required to ...""",0.842211055276382
2731,1,gpt-4o-mini,Jurisdictional,Outer Continental Shelf,3.0,years,"After considering any objections from the submitter, if we determine that release of such data and information will result in substantial competitive harm or disclosure of trade secrets, then the data and information will not be released at that time but will be subject to further review every 3 years thereafter.",fuzzy,21,21,"Page 21: ""...to determine whether release at that time will result in substantial competitive harm or disclosure of trade secrets. (c) after considering any objections from the submitter, if we determine that rele...""",0.6723768736616702
2828,1,gemini-1.5-pro,Jurisdictional,"Outer Continental Shelf Lease, ROW grant, RUE grant",12.0,months,"Before BOEM will execute your limited lease, ROW grant, or RUE grant, or approve an assignment of an interest therein, you or a proposed assignee must guarantee compliance with all terms and conditions of the lease or grant by providing a bond or other authorized financial assurance in the amount of 12 months' rent.",fuzzy,58,58,"Page 58: ""...row grants, and rue grants § 585.520 what financial assurance must i provide when i obtain my limited lease, row grant, or rue grant? before boem will execute your limited lease, row grant, or rue gra...""",0.6944140197152245
4842,1,gemini-1.5-pro,Jurisdictional,Lease or grant suspension request,90.0,calendar days,You must submit a written request to BOEM that includes the following information no later than 90 calendar days before the expiration of your appropriate lease or grant period,fuzzy,44,44,"Page 44: ""...you must submit a written request to boem that includes the following information no later than 90 calendar days before the expiration of your appropriate lease or grant period: 30 cfr part 585 (up to...""",0.683495145631068
5425,1,gemini-1.5-pro,Jurisdictional,ROW grant,5.0,$/acre/year,"For each ROW grant BOEM approves under subpart D of this part, you must pay annual rent of $5 per acre to ONRR as provided in 30 CFR 1218.51 and as determined by § 585.301(a), but in no case less than $450, for use of the grant, unless specified otherwise in the grant.",fuzzy,56,56,"Page 56: ""...(a) for each row grant boem approves under subpart d of this part, you must pay annual rent of $5 per acre to onrr as provided in 30 cfr 1218.51 and as determined by § 585.301(a), but in no case less ...""",0.7107001321003963
5642,1,gemini-1.5-pro,Jurisdictional,Lease execution for provisional winners of offshore wind energy leases,10.0,business days,"Within 10 business days after receipt of the unsigned copy, or as otherwise specified by BOEM under paragraph (d) of this section, the provisional winner must: (1) Execute the lease and return it to BOEM; (2) File financial assurance as required by §§ 585.516 through 585.529; and (3) Pay the amount due.",fuzzy,32,32,"Page 32: ""...within 10 business days after receipt of the unsigned copy, or as otherwise specified by boem under paragraph (d) of this section, the provisional winner must: (1) execute the lease and return it to b...""",0.7020785219399538
5951,1,gpt-4o-mini,Jurisdictional,Lease or grant assignments,90.0,days,You must request approval of each assignment on a form approved by BOEM and submit originals of each instrument that creates or transfers ownership of record title or certified copies thereof within 90 days after the last party executes the transfer agreement.,fuzzy,43,43,"Page 43: ""...the lease or grant. § 585.412 how does an assignment affect the assignee's liability? (d) you do not need to request an assignment for business mergers, name changes, or changes of business form. you ...""",0.6139315230224321
