model_name,document_number,type_of_wind_farm,chunk_number,document_id,constraint_type,requirement,scope,numerical_value,unit,source,related_domains,total_score,tfidf_mean_similarity,tfidf_max_similarity,jaccard_similarity,semantic_density,match_count,matched_keywords,has_numerical_values,extracted_numerical_value,scoring_method,threshold_level,relevance_category,priority_color
deepseek-chat,NSOW-2023-0042,Offshore,83,1,Spatial,Minimum spacing between turbines shall be 5 times the rotor diameter in predominant wind direction,North Sea development zone,5,rotor diameters,North Sea Wind Power Hub Agreement,technical; efficiency,0.1528902681130525,0.0122855983264005,0.2051581911797361,0.0571428571428571,0.75,78,sea depth (partial); wind direction; outer continental shelf a (partial); cut in wind speed (partial); turbine model (partial); turbine spacing (partial); zone; farm power output (partial); power; turbine status (partial),True,5 rotor diameters,comprehensive_scientific,0.15,High Relevance,🟠
gpt-4o-mini,"§ 585.433, § 585.434",Offshore,81,1,Technical,"Within 2 years following termination of a lease or grant, you must remove or dispose of all facilities, installations, and other devices permanently or temporarily attached to the seabed on the OCS.","Outer Continental Shelf, Decommissioning phase",2.0,years,30 CFR § 585.433,decommissioning; marine infrastructure,0.125534480864616,0.0041515086582555,0.2298998363947998,0.0300751879699248,0.4888888888888889,42,sea depth (partial); outer continental shelf a (partial); cut in wind speed (partial); lease id (partial); min depth (partial); outer continental shelf name (partial); min kilovolt (partial); lease date (partial); number of turbines per row (partial); turbine position y (partial),True,2.0 years,comprehensive_scientific,0.1,Medium-High Relevance,🟡
gemini-1.5-pro,page 56 of 98,Offshore,93,1,Jurisdictional,No more than 6 years of your operations period will be subject to a full waiver of the operating fee.,Outer Continental Shelf Lease operating fee waiver,6.0,years,30 CFR 585.510(c),operating fees; lease agreements,0.1172204339470545,0.0055307690420396,0.2364820251951623,0.0311284046692607,0.3783783783783784,33,outer continental shelf a (partial); cut in wind speed (partial); lease id (partial); outer continental shelf name (partial); lease date (partial); number of turbines per row (partial); turbine position y (partial); wind speed at 10m (partial); distance to substation (partial); gulf of mexico fishery management council (partial),True,6.0 years,comprehensive_scientific,0.1,Medium-High Relevance,🟡
gemini-1.5-pro,page 14 of 98,Offshore,24,1,Jurisdictional,You must notify BOEM within 3 business days after you learn of any action filed alleging that you are insolvent or bankrupt.,Outer Continental Shelf,3.0,business days,30 CFR 585.109,legal; financial,0.1078282894313828,0.0037304282047493,0.2583977475211778,0.0190839694656488,0.25,23,outer continental shelf a (partial); cut in wind speed (partial); caribbean fishery management council (partial); outer continental shelf name (partial); number of turbines per row (partial); turbine position y (partial); wind speed at 10m (partial); gulf of mexico fishery management council (partial); number of blades (partial); wind speed at 50m (partial),True,3.0 business days,comprehensive_scientific,0.1,Medium-High Relevance,🟡
gemini-1.5-pro,30 CFR Part 585 (up to date as of 2/18/2025),Offshore,100,1,Financial,The audited financial information for your most recent fiscal year must cover a continuous twelve month period within the twenty-four-month period prior to the lessee's receipt of the determination that you must provide supplemental financial assurance.,Lease or grant activities on the Outer Continental Shelf,12.0,months,30 CFR 585.527(b)(1),financial assurance; leasing; project financing; auditing,0.0956592334999888,0.0036902410811027,0.1828359909206385,0.0327272727272727,0.3278688524590163,46,outer continental shelf a (partial); cut in wind speed (partial); lease id (partial); min depth (partial); outer continental shelf name (partial); min kilovolt (partial); lease date (partial); number of turbines per row (partial); power line id (partial); turbine position y (partial),True,12.0 months,comprehensive_scientific,0.08,Medium Relevance,🟢
gpt-4o-mini,§ 585.232,Offshore,59,1,Jurisdictional,Within 10 business days after you receive the lease you must execute and return the lease.,Lease acceptance process,10.0,business days,30 CFR § 585.231,lease management; regulatory compliance,0.0949619255038721,0.006243913269982,0.1958429186734727,0.0078431372549019,0.3214285714285714,31,outer continental shelf a (partial); cut in wind speed (partial); lease id (partial); caribbean fishery management council (partial); lease date (partial); turbine position y (partial); wind speed at 10m (partial); distance to substation (partial); gulf of mexico fishery management council (partial); distance to population center (partial),True,10.0 business days,comprehensive_scientific,0.08,Medium Relevance,🟢
gemini-2.5-pro,30 CFR Part 585 / page 64 of 98,Offshore,105,1,Jurisdictional,A surety must submit to BOEM its request to terminate the period of liability under its financial assurance and notify the lessee/grantee of that request no less than 90 days before the proposed termination date.,Termination of financial assurance liability period for leases or grants on the Outer Continental Shelf.,90.0,days,30 CFR 585.532(b),financial assurance; lease management; surety obligations,0.0948940667664412,0.0043040073866841,0.1692740840789535,0.0328467153284671,0.3582089552238806,44,outer continental shelf a (partial); cut in wind speed (partial); lease id (partial); end date (partial); caribbean fishery management council (partial); min depth (partial); outer continental shelf name (partial); min kilovolt (partial); lease date (partial); number of turbines per row (partial),True,90.0 days,comprehensive_scientific,0.08,Medium Relevance,🟢
gpt-4o-mini,"§ 585.426, § 585.427, § 585.428",Offshore,79,1,Jurisdictional,You must request a renewal from BOEM no later than 180 days before the termination date of your limited lease or grant.,Renewal request timeline for limited lease or grant,180.0,days,BOEM regulations § 585.426,lease management; regulatory compliance,0.0843199969291668,0.0048433454824625,0.1342266416754216,0.0190839694656488,0.3829787234042553,53,outer continental shelf a (partial); regulation; cut in wind speed (partial); lease id (partial); end date (partial); caribbean fishery management council (partial); min depth (partial); current time (partial); down time (partial); min kilovolt (partial),True,180.0 days,comprehensive_scientific,0.08,Medium Relevance,🟢
gpt-4o-mini,30 CFR 585.533,Offshore,105,1,Financial,Your surety must submit to BOEM its request to terminate the period of liability under its financial assurance and notify you of that request no less than 90 days before the proposed termination date.,Financial assurance termination process related to offshore wind farm leases or grants.,90.0,days,30 CFR 585.533,financial assurance; regulatory compliance,0.0647107532221185,0.0033175500925898,0.1119348077590921,0.0218978102189781,0.2542372881355932,56,wind direction (partial); outer continental shelf a (partial); cut in wind speed (partial); lease id (partial); farm power output (partial); end date (partial); caribbean fishery management council (partial); min depth (partial); min kilovolt (partial); lease date (partial),True,90.0 days,comprehensive_scientific,0.05,Low-Medium Relevance,🔵
deepseek-chat,BOEM 2021 / IEC 61400-3,Offshore,33,1,Safety,Offshore wind turbines must maintain a minimum clearance of 1 nautical mile from shipping lanes.,U.S. offshore wind projects,1,nautical mile,BOEM 2021,"Maritime navigation, safety",0.0639585911454052,0.0049851760608849,0.0712542847564454,0.0196078431372549,0.3666666666666666,57,wind direction (partial); outer continental shelf a (partial); cut in wind speed (partial); turbine model (partial); turbine spacing (partial); turbine status (partial); caribbean fishery management council (partial); min depth (partial); current time (partial); down time (partial),True,1 nautical mile,comprehensive_scientific,0.05,Low-Medium Relevance,🔵
gpt-4o-mini,30 CFR 585.528,Offshore,102,1,Jurisdictional,"When forfeiture of the guaranty is called for, the agreement must provide that your guarantor will either bring your lease(s) or grant(s) into compliance or provide, within 7 days, sufficient funds to permit BOEM to complete corrective action.",Guaranty agreement for lease(s) or grant(s) covered by the agreement.,7.0,days,30 CFR 585.528(d)(3),financial assurance; compliance enforcement,0.0558017839416693,0.0024136958030629,0.0687521284193659,0.014336917562724,0.3134328358208955,43,outer continental shelf a (partial); cut in wind speed (partial); lease id (partial); caribbean fishery management council (partial); lease date (partial); number of turbines per row (partial); power line id (partial); turbine position y (partial); wind speed at 10m (partial); distance to substation (partial),True,7.0 days,comprehensive_scientific,0.05,Low-Medium Relevance,🔵
deepseek-chat,NSW-2023-004,Offshore,127,2,Environmental,All turbines must maintain a minimum clearance of 1 km from designated marine protected areas.,North Sea Exclusive Economic Zone (EEZ),1,km,North Sea Offshore Wind Authority (NSOWA),Environmental protection; Spatial planning,0.1263536451500266,0.0059649845274449,0.1806421711301623,0.052,0.59375,63,sea depth (partial); wind direction (partial); outer continental shelf a (partial); cut in wind speed (partial); turbine model (partial); turbine spacing (partial); zone; turbine status (partial); design; min depth (partial),True,1 km,comprehensive_scientific,0.1,Medium-High Relevance,🟡
gemini-1.5-pro,,Offshore,99,1,Jurisdictional,The expiration date of the letter of credit must not be less than 90 days following the date it becomes effective,Financial assurance for offshore wind leases or grants,90.0,days,,financial security; lease agreements,0.0923541228479361,0.005349035974294,0.1629680375058946,0.0154440154440154,0.3823529411764705,43,wind direction (partial); outer continental shelf a (partial); cut in wind speed (partial); lease id (partial); end date (partial); lease date (partial); number of turbines per row (partial); turbine position y (partial); wind zone (partial); wind speed at 10m (partial),True,90.0 days,comprehensive_scientific,0.08,Medium Relevance,🟢
gpt-4o-mini,"§ 585.433, § 585.434",Offshore,81,2,Technical,"Within 2 years following termination of a lease or grant, you must remove or dispose of all facilities, installations, and other devices permanently or temporarily attached to the seabed on the OCS.","Outer Continental Shelf, facilities attached to the seabed, decommissioning phase",2.0,years,30 CFR § 585.433,decommissioning; marine infrastructure; regulatory compliance,0.1144274108638459,0.0036620577449757,0.202795307860927,0.0298507462686567,0.4615384615384615,42,sea depth (partial); outer continental shelf a (partial); cut in wind speed (partial); lease id (partial); min depth (partial); outer continental shelf name (partial); min kilovolt (partial); lease date (partial); number of turbines per row (partial); turbine position y (partial),True,2.0 years,comprehensive_scientific,0.1,Medium-High Relevance,🟡
gpt-4o-mini,30 CFR 585.405,Offshore,70,2,Jurisdictional,"If there is a change in the designated operator, you must provide written notice to BOEM and identify the new designated operator within 72 hours on a form approved by BOEM.",Outer Continental Shelf,72.0,hours,30 CFR 585.405(e),regulatory compliance; operator designation,0.105244155268692,0.0031248241007625,0.1857212802232111,0.0298507462686567,0.4230769230769231,41,outer continental shelf a (partial); cut in wind speed (partial); lease id (partial); caribbean fishery management council (partial); design; outer continental shelf name (partial); number of turbines per row (partial); power line id (partial); turbine position y (partial); wind speed at 10m (partial),True,72.0 hours,comprehensive_scientific,0.1,Medium-High Relevance,🟡
gpt-4o-mini,,Offshore,99,2,Financial,"You must monitor the collateral value of your security. If the collateral value of your security falls below the required level of coverage, you must pledge additional security to provide 115 percent of the required amount.",Financial assurance for offshore wind farm projects,115.0,percent,BOEM regulations,financial assurance; regulatory compliance,0.0715083590259538,0.002863210075095,0.1170266953625798,0.0188679245283018,0.3148148148148148,56,wind direction (partial); outer continental shelf a (partial); regulation; cut in wind speed (partial); lease id (partial); farm power output (partial); caribbean fishery management council (partial); number of turbines per row (partial); power line id (partial); turbine position y (partial),True,115.0 percent,comprehensive_scientific,0.05,Low-Medium Relevance,🔵
gemini-1.5-pro,585.508 and 585.509,Offshore,92,2,Jurisdictional,"Rent payments required by paragraphs (a) and (b) of this section must be made on an annual basis, for a 5-year period, or for multiples of 5 years.","ROW grant, RUE grant",5.0,years,30 CFR 585.508(c),leasing; financial,0.0666226076012233,0.0004490707285151,0.0651100716281151,0.0150375939849624,0.4390243902439024,10,outer continental shelf a (partial); cut in wind speed (partial); number of turbines per row (partial); turbine position y (partial); gulf of mexico fishery management council (partial); number of blades (partial); year established (partial); impact area uri (partial); number of turbines (partial); num of transformers (partial),True,5.0 years,comprehensive_scientific,0.05,Low-Medium Relevance,🔵
gemini-1.5-pro,"30 CFR Part 585 (up to date as of 2/18/2025) 30 CFR 585.225(c) page 32 of 98, 30 CFR 585.225(d)",Offshore,54,2,Jurisdictional,"Within 10 business days after receipt of the unsigned copy, or as otherwise specified by BOEM under paragraph (d) of this section, the provisional winner must: (1) Execute the lease and return it to BOEM; (2) File financial assurance as required by §§ 585.516 through 585.529; and (3) Pay the amount due.",Lease execution for provisional winners of offshore wind energy leases,10.0,business days,30 CFR 585.225(b),leasing; financial assurance; payment,0.0613978829785078,0.0036421325415445,0.077158296720333,0.0173010380622837,0.3333333333333333,47,wind direction (partial); outer continental shelf a (partial); cut in wind speed (partial); lease id (partial); caribbean fishery management council (partial); lease date (partial); number of turbines per row (partial); turbine position y (partial); wind zone (partial); wind speed at 10m (partial),True,10.0 business days,comprehensive_scientific,0.05,Low-Medium Relevance,🔵
gpt-4o-mini,20,Offshore,33,3,Technical,"EMF concerns are unlikely to impact upon cable spacing, except in cases where cable bundling is intended to have the magnetic fields of adjoining cables cancel each other (typically in water depths less than 100ft (30.5m)).",Subsea power cables installation phase.,30.5,meters,,electromagnetic fields; cable design,0.1251965364748586,0.0060116007615938,0.2493973148133559,0.0377358490566037,0.4042553191489361,51,sea depth (partial); outer continental shelf a (partial); cut in wind speed (partial); turbine spacing (partial); farm power output (partial); power; impact assessment (partial); end date (partial); design; min depth (partial),True,30.5 meters,comprehensive_scientific,0.1,Medium-High Relevance,🟡
gemini-1.5-pro,page 41 of 98,Offshore,70,1,Jurisdictional,"If there is a change in the designated operator, you must provide written notice to BOEM and identify the new designated operator within 72 hours on a form approved by BOEM.",Lease or grant administration,72.0,hours,30 CFR 585.405(e),operator change; notification requirements,0.0556355310555275,0.0018484735389102,0.0423861604630508,0.0222222222222222,0.3773584905660377,51,outer continental shelf a (partial); cut in wind speed (partial); lease id (partial); caribbean fishery management council (partial); design; min depth (partial); min kilovolt (partial); lease date (partial); number of turbines per row (partial); power line id (partial),True,72.0 hours,comprehensive_scientific,0.05,Low-Medium Relevance,🔵
gemini-2.5-flash,584,Offshore,6,8,Technical,"Offshore Wind Power Plants (OWPPs) must meet frequency and voltage operating range requirements to remain connected to the grid, as outlined in ENTSO-E RfG. These requirements are to be specified by each Transmission System Operator (TSO) but must not be less than the period for 47.5 Hz–48.5 Hz.",OWPPs connected to the grid within Europe (under ENTSO-E framework),"[47.5, 48.5]",Hz,ENTSO-E Requirements for Generators (ENTSO-E RfG); specific TSOs,grid connection; electrical stability; operational requirements,0.0876154863303746,0.0039454706698674,0.1230066446764314,0.039426523297491,0.4125,63,wind direction (partial); cooling system (partial); outer continental shelf a (partial); cut in wind speed (partial); lease id (partial); farm power output (partial); power; number of turbines per row (partial); power line id (partial); turbine position y (partial),True,"[47.5, 48.5] Hz",comprehensive_scientific,0.08,Medium Relevance,🟢
deepseek-chat,OWED-2023-001,Offshore,304,10,Environmental,Wind turbines must maintain a minimum distance of 500 meters from marine protected areas.,European Union waters,500,meters,EU Marine Spatial Planning Directive 2021,environmental; spatial,0.1725698154787479,0.0060671296438056,0.3734859920977427,0.0404858299595141,0.5,63,wind direction (partial); outer continental shelf a (partial); cut in wind speed (partial); turbine model (partial); turbine spacing (partial); turbine status (partial); min depth (partial); torpedo testing area (partial); min kilovolt (partial); number of turbines per row (partial),True,500 meters,comprehensive_scientific,0.15,High Relevance,🟠
gemini-1.5-pro,168,Offshore,236,10,Technical,Decommissioning activities must be completed within 1 year of termination of the Alternate Use RUE.,Decommissioning of existing facilities repurposed for renewable energy on the Outer Continental Shelf,1.0,year,"Subchapter B of Chapter V, Title 30, Part 586 (proposed)",decommissioning; lease termination,0.1248701216712169,0.0043756942423582,0.2259211084129731,0.0267175572519083,0.5,33,outer continental shelf a (partial); cut in wind speed (partial); lease id (partial); min depth (partial); outer continental shelf name (partial); min kilovolt (partial); lease date (partial); number of turbines per row (partial); turbine position y (partial); wind speed at 10m (partial),True,1.0 year,comprehensive_scientific,0.1,Medium-High Relevance,🟡
deepseek-chat,OWF-2023-001,Offshore,380,10,Safety,Minimum clearance of 22 meters must be maintained between lowest blade tip and mean high water,All offshore wind turbines,22,meters,International Maritime Organization,navigation safety; turbine design,0.1093887886391594,0.0063661940512305,0.1830064285549124,0.0275590551181102,0.4642857142857143,55,wind direction (partial); outer continental shelf a (partial); cut in wind speed (partial); turbine model (partial); turbine spacing (partial); turbine status (partial); design; min depth (partial); current time (partial); down time (partial),True,22 meters,comprehensive_scientific,0.1,Medium-High Relevance,🟡
gpt-4o-mini,"§ 285.910, § 285.911, § 285.912",Offshore,231,10,Technical,"Within 60 days after you remove a facility, you must verify to BSEE that you have cleared the site.","Decommissioning phase, offshore facilities",60.0,days,§ 285.910,decommissioning; site clearance,0.0985988480255797,0.0032433617427636,0.2219268050998724,0.0156862745098039,0.2758620689655172,24,outer continental shelf a (partial); cut in wind speed (partial); number of turbines per row (partial); turbine position y (partial); site name (partial); wind speed at 10m (partial); distance to substation (partial); gulf of mexico fishery management council (partial); number of blades (partial); landing site (partial),True,60.0 days,comprehensive_scientific,0.08,Medium Relevance,🟢
