"document_id","chunk_number","model_type","model_name","parsed_successfully","raw_output"
"9",1,"gemini","gemini-2.5-flash",False,"NO_RELEVANT_DATA_FOUND"
"9",2,"gemini","gemini-2.5-flash",True,"```json
{
  ""document_metadata"": {
    ""title"": null,
    ""document_number"": null,
    ""type_of_wind_farm"": ""Offshore""
  },
  ""regulatory_constraints"": [],
  ""regulatory_entities"": [
    {
      ""entity_name"": ""Bureau of Ocean Energy Management"",
      ""jurisdiction"": ""Federal - USA"",
      ""role"": ""Oversight and Review""
    }
  ]
}
```"
"9",3,"gemini","gemini-2.5-flash",False,"Error: Gemini query failed: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2."
"9",4,"gemini","gemini-2.5-flash",True,"```json
{
  ""document_metadata"": {
    ""title"": null,
    ""document_number"": ""vi"",
    ""type_of_wind_farm"": ""Offshore""
  },
  ""regulatory_constraints"": [],
  ""regulatory_entities"": [
    {
      ""entity_name"": ""Bureau of Ocean Energy Management (BOEM)"",
      ""jurisdiction"": ""Federal - USA"",
      ""role"": ""Leasing authority""
    }
  ]
}
```"
"9",5,"gemini","gemini-2.5-flash",True,"```json
{
  ""document_metadata"": {
    ""title"": null,
    ""document_number"": null,
    ""type_of_wind_farm"": ""Offshore""
  },
  ""regulatory_constraints"": [],
  ""regulatory_entities"": [
    {
      ""entity_name"": ""BOEM"",
      ""jurisdiction"": ""Federal - USA"",
      ""role"": ""Lease area management; Auctioning authority""
    },
    {
      ""entity_name"": ""U.S. Coast Guard"",
      ""jurisdiction"": ""Federal - USA"",
      ""role"": ""Navigational safety; Vessel traffic management""
    }
  ]
}
```"
"9",6,"gemini","gemini-2.5-flash",False,"Error: Gemini query failed: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2."
"9",7,"gemini","gemini-2.5-flash",False,"```json
{
  ""document_metadata"": {
    ""title"": null,
    ""document_number"": ""viii-ix"",
    ""type_of_wind_farm"": ""Offshore""
  },
  ""regulatory_constraints"": [
    {
      ""type"": ""Technical"",
      ""requirement"": ""tropical class (T-Class) wind turbine design ratings become mandatory requirements for offshore wind energy projects."",
      ""scope"": ""offshore wind energy projects"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""standards become mandatory requirements for offshore wind energy projects"",
      ""related_domains"": [
        ""wind turbine design"",
        ""technical specifications"",
        ""safety""
      ]
    },
    {
      ""type"": ""Technical"",
      ""requirement"": ""battery back-up systems become mandatory requirements for offshore wind energy projects."","
"9",8,"gemini","gemini-2.5-flash",False,"NO_RELEVANT_DATA_FOUND"
"9",9,"gemini","gemini-2.5-flash",False,"NO_RELEVANT_DATA_FOUND"
"9",10,"gemini","gemini-2.5-flash",True,"```json
{
  ""document_metadata"": {
    ""title"": null,
    ""document_number"": ""x"",
    ""type_of_wind_farm"": ""Offshore""
  },
  ""regulatory_constraints"": [],
  ""regulatory_entities"": [
    {
      ""entity_name"": ""Bureau of Ocean Energy Management (BOEM)"",
      ""jurisdiction"": ""Federal - USA"",
      ""role"": ""Leasing and Permitting Authority""
    }
  ]
}
```"
