model_name,document_number,type_of_wind_farm,chunk_number,document_id,constraint_type,requirement,scope,numerical_value,unit,source,related_domains
gpt-4.1-mini,10/24/22,Offshore,1,18,Jurisdictional,BOEM’s regulations describe the requirements for a COP at subpart F (30 CFR 585.620 – 585.629).,Construction and Operations Plan (COP) submissions for offshore wind farms under BOEM jurisdiction,,,30 CFR 585.620 – 585.629,permitting; regulatory compliance
gpt-4.1-mini,10/24/22,Offshore,1,18,Environmental,"BOEM’s decision to approve, disapprove, or approve with modifications a COP requires environmental reviews and consultations under NEPA and other applicable Federal statutes.",Environmental review phase of COP approval,,,National Environmental Policy Act (NEPA),environmental impact assessment; regulatory compliance
gpt-4.1-mini,10/24/22,Offshore,1,18,Technical,"BOEM may begin processing incomplete COP submissions, subject to a BOEM-reviewed “supplemental filing schedule” for submitting the remaining required information in time to inform the requisite environmental analyses and COP decisions.",Initial COP submission and supplemental information filings,,,BOEM NOI Checklist guidance,project planning; regulatory compliance; environmental review process
gpt-4.1-mini,10/24/22,Offshore,1,18,Jurisdictional,"BOEM will consider conformance with the NOI Checklist when considering acceptance of FAST-41 initiation notices and setting timelines within Coordinated Project Plans, where applicable.",COP submission and FAST-41 initiation notices for offshore wind projects under BOEM jurisdiction,,,BOEM NOI Checklist guidance,project permitting; regulatory timelines; interagency coordination
gpt-4.1-mini,,Offshore,3,18,Jurisdictional,"BOEM generally would not publish an NOI until the applicant’s COP submission includes the minimum content described in the attachment to this document, subject to limited exceptions.",Offshore wind farm COP submission phase,,,Bureau of Ocean Energy Management (BOEM) guidance document,permitting; regulatory compliance; project planning
gpt-4.1-mini,,Offshore,3,18,Jurisdictional,"Absent extenuating circumstances, BOEM expects to complete the EIS/EA with a record of decision within 2 years of an NOI publication.",Environmental review phase following NOI publication,2.0,years,Bureau of Ocean Energy Management (BOEM) guidance document,environmental impact assessment; project scheduling
gpt-4.1-mini,,Offshore,3,18,Jurisdictional,"BOEM retains the discretion to publish an NOI absent one or more items from the attached checklist if, for example, the applicant agrees to delay the record of decision beyond 2 years from the NOI publication.",NOI publication and record of decision timing,2.0,years,Bureau of Ocean Energy Management (BOEM) guidance document,permitting; project scheduling
gpt-4.1-mini,,Offshore,3,18,Technical,"Failure to meet the schedule for supplemental filings will lead to delays in processing the COP, including delays to the schedule for environmental review.",COP processing and environmental review phase,,,Bureau of Ocean Energy Management (BOEM) guidance document,project management; environmental review
gpt-4.1-mini,,Offshore,3,18,Technical,"Formal technical and environmental reviews may not begin, or may be paused, until the necessary information that is needed to adequately continue, or complete, the review of the COP has been submitted.",COP review phase,,,Bureau of Ocean Energy Management (BOEM) guidance document,technical review; environmental review
gpt-4.1-mini,,Offshore,3,18,Technical,Revisions that narrow the project design envelope may be accepted without causing delays to the review schedule only if submitted within six months after publication of the NOI.,Project design revisions during COP review,6.0,months,Bureau of Ocean Energy Management (BOEM) guidance document,project design; review scheduling
gpt-4.1-mini,2,Offshore,4,18,Jurisdictional,An agency may not conduct or sponsor a collection of information unless it displays a currently valid information collection control number issued by the Office of Management and Budget (OMB).,"Information collection activities under 30 CFR part 585, subpart F",,,"Paperwork Reduction Act of 1995; 30 CFR part 585, subpart F; OMB Control Number 1010-0176",regulatory compliance; administrative procedures
