model_type,model_name,document_id,constraint_id,category,description,value,unit,source_section_number,geographic_scope,context_quote,component_name
deepseek,deepseek-chat,9,C-001,Design Specification,The MET tower structure (mast & foundation) will be approximately 328 feet above the mean sea level.,328.0,feet,2.0,MET tower site,The overall height of the MET tower structure (mast & foundation) will be approximately 328 feet (~100 m) above the mean sea level.,Meteorological Tower
deepseek,deepseek-chat,9,C-002,Design Specification,"The platform deck supporting the mast will be approximately 3,000 square feet.",3000.0,square feet,2.0,MET tower site,"The platform deck supporting the mast will be approximately 3,000 square feet (279 square meters) with the upper access platform located at a Top of Grating (TOG) of approximately 70 feet (21.3 meters).",Meteorological Tower
deepseek,deepseek-chat,9,C-003,Design Specification,The main Caisson will be a 1.8 m diameter pile that tapers to 1.5 m diameter above the mudline.,1.8,meters,2.2.1,MET tower foundation,The main Caisson will be a 1.8 m (72 inch) diameter pile that tapers to 1.5 m (60 inch) diameter above the mudline.,Meteorological Tower
deepseek,deepseek-chat,9,C-004,Design Specification,The pile will be driven approximately 53.3 m into the seabed.,53.3,meters,2.2.1,MET tower foundation,The pile will be driven approximately 53.3 m (175 ft) into the seabed.,Meteorological Tower
deepseek,deepseek-chat,9,C-005,Design Specification,The two bracing piles will be 1.5 m diameter each.,1.5,meters,2.2.1,MET tower foundation,The two bracing piles will be 1.5 m (60 inch) diameter each.,Meteorological Tower
deepseek,deepseek-chat,9,C-006,Design Specification,The bracing piles will be driven approximately 50.6 m into the seabed.,50.6,meters,2.2.1,MET tower foundation,"These piles will be driven approximately 50.6 m (166 ft) into the seabed, with a true batter of 1 in 3 (length of approximately 53.3 m [175 ft] mudline to BOS.",Meteorological Tower
deepseek,deepseek-chat,9,C-007,Design Specification,The oceanographic package will be housed in an industry standard trawl resistant bottom mount with a bottom APE of approximately 58” long x 58” wide x 21” deep.,58.0,inches,2.2.1,Oceanographic package site,The sea-bed mounted oceanographic data gathering package will be housed in an industry standard trawl resistant bottom mount with a bottom APE of approximately 58” long x 58” wide x 21” deep (147 cm x 147 cm x 53 cm).,Oceanographic Package
deepseek,deepseek-chat,9,C-008,Operational Parameter,The oceanographic package will require 2 visits by the O&M vessel once each quarter for a 1-year period.,,,2.2.1.4,Oceanographic package site,The oceanographic package will require 2 visits by the O&M vessel once each quarter for a 1-year period.,Oceanographic Package
deepseek,deepseek-chat,9,C-009,Environmental Mitigation,Areas with small magnetic anomalies will be avoided during bottom-disturbing activities.,,,3.1.3,MET tower site,"To avoid any potential for disturbance of man-made features, the areas in which small magnetic anomalies were detected will be avoided during bottom disturbing activities.",Meteorological Tower
deepseek,deepseek-chat,9,C-010,Operational Parameter,A planned operations and maintenance (O&M) visit out to the MET tower is proposed once a month for 2 days duration.,,,2.2.1.4,MET tower site,A planned operations and maintenance (O&M) visit out to the MET tower by the US Wind Baltimore based O&M contractor is proposed once a month for 2 days duration out of Ocean City MD.,Meteorological Tower
