model_name,document_number,type_of_wind_farm,chunk_number,document_id,constraint_type,requirement,scope,numerical_value,unit,source,related_domains
gpt-4.1,OCS-R1-05,Offshore,1,27,Jurisdictional,"RW is authorized to construct up to 100 wind turbine generators (“WTGs”) and up to 2 Offshore Substations (“OSSs”), all of which will be located within federal waters on the OCS, specifically in the Bureau of Ocean Energy Management (“BOEM”) Renewable Energy Lease Area OCS-A 0486 in the Rhode Island-Massachusetts Wind Energy Area.","BOEM Renewable Energy Lease Area OCS-A 0486, Rhode Island-Massachusetts Wind Energy Area, federal waters on the OCS, construction phase",100.0,wind turbine generators,"Outer Continental Shelf Air Permit No. OCS-R1-05, U.S. Environmental Protection Agency Region 1",permitting; project siting; offshore wind development
gpt-4.1,OCS-R1-05,Offshore,1,27,Jurisdictional,The construction and operation of the windfarm would be subject to the attached permit conditions and permit limitations.,"Revolution Wind offshore windfarm, construction and operation phases",,,"Outer Continental Shelf Air Permit No. OCS-R1-05, U.S. Environmental Protection Agency Region 1",permitting; air quality compliance; offshore wind operations
gpt-4.1,OCS-R1-05,Offshore,1,27,Jurisdictional,This permit does not relieve RW from the obligation to comply with applicable state and federal air pollution control rules and regulations.,"Revolution Wind offshore windfarm, all phases",,,"Outer Continental Shelf Air Permit No. OCS-R1-05, U.S. Environmental Protection Agency Region 1",air quality compliance; environmental regulation
gpt-4.1,SECTION I,Offshore,5,27,Jurisdictional,The boundary between the RW and SFW projects is their respective Lease Area(s) which form the basis for determining whether a particular piece of equipment and source of emissions is considered part of the RW or SFW project and in which permit it should be addressed.,BOEM Renewable Energy Lease Areas OCS-A 0486 (RW) and OCS-A 0517 (SFW); all project equipment and emission sources,,,SECTION I of Preconstruction Air Permit No. OCS-R1-05,permitting; air emissions; project boundary determination
gpt-4.1,SECTION I,Offshore,5,27,Environmental,"The RW project is a major PSD stationary source for NSR pollutants for which the corresponding onshore area is designated attainment or unclassifiable. This project triggers PSD review because the total emissions for the stationary source (i.e., SFW) prior to the RW project exceeds the PSD major source thresholds.",RW project within BOEM Lease Area OCS-A 0486; air emissions; preconstruction phase,,,SECTION I of Preconstruction Air Permit No. OCS-R1-05,air quality; permitting; environmental compliance
gpt-4.1,SECTION I,Offshore,5,27,Environmental,"Based on the emission levels for the RW project, NO2, CO, PM10, PM2.5, and GHG are the regulated NSR pollutants that will be emitted by Revolution in quantities exceeding the respective PSD Significant Emission Rate (“SER”). The pollutants from this project subject to the best available control technology (“BACT”) are NO2, CO, PM10, PM2.5, and GHG.","RW project; regulated NSR pollutants (NO2, CO, PM10, PM2.5, GHG); preconstruction and operational phases",,,SECTION I of Preconstruction Air Permit No. OCS-R1-05,air emissions; pollution control; environmental compliance
gpt-4.1,SECTION I,Offshore,5,27,Environmental,"The Revolution Wind project exceeds the NNSR SER for the ozone precursors NOX and VOC. Therefore, the ozone precursors NOX and VOC are not subject to PSD review but are instead subject to major NNSR permitting. The pollutants from this project subject to the lowest achievable emission rate (“LAER”) are NOX and VOC.","RW project; ozone precursor emissions (NOX, VOC); permitting phase",,,SECTION I of Preconstruction Air Permit No. OCS-R1-05,air quality; ozone regulation; permitting
gpt-4.1,SECTION I,Offshore,5,27,Environmental,"For the purposes of fulfilling requirements for pollutants below major source thresholds but above Massachusetts’s minor source permitting or plan approval thresholds, a BACT determination is made for other NSR regulated pollutants, namely sulfur dioxide (SO2).",RW project; NSR regulated pollutants below major source thresholds but above Massachusetts minor source thresholds; permitting phase,,,SECTION I of Preconstruction Air Permit No. OCS-R1-05,air quality; state permitting; pollution control
gpt-4.1,SECTION II,Offshore,6,27,Environmental,"The Revolution Wind project is required to apply BACT to all the new emission units proposed in this project which emit NO2, CO, PM10, PM2.5, and GHG.","All new emission units in the Revolution Wind project emitting NO2, CO, PM10, PM2.5, and GHG",,,"Revolution Wind, LLC Outer Continental Shelf Preconstruction Air Permit No. OCS-R1-05",air emissions; environmental impact assessment; GHG regulation
gpt-4.1,SECTION II,Offshore,6,27,Environmental,State BACT requirements derived from Massachusetts’ regulations apply to all the new emission units proposed in this project which emit SO2.,All new emission units in the Revolution Wind project emitting SO2,,,Massachusetts’ regulations (as referenced in OCS-R1-05),air emissions; environmental impact assessment; state regulatory compliance
gpt-4.1,SECTION II,Offshore,6,27,Environmental,The Revolution Wind project is required to apply LAER to all the new emission units proposed in this project which emit NOX and VOC.,All new emission units in the Revolution Wind project emitting NOX and VOC,,,"Revolution Wind, LLC Outer Continental Shelf Preconstruction Air Permit No. OCS-R1-05",air emissions; environmental impact assessment; GHG regulation
gpt-4.1,Page 8 of 29,Offshore,10,27,Technical,Only the SWGs located on the OSS (MV and HV) are required to apply BACT for SF 6.,Offshore Substation (OSS) medium and high-voltage switchgears (MV and HV SWGs),,,"Revolution Wind, LLC Outer Continental Shelf Preconstruction Air Permit No. OCS-R1-05",air emissions; greenhouse gas control; electrical infrastructure
gpt-4.1,"Page 9 of 29, SECTION III",Offshore,11,27,Jurisdictional,Terms not otherwise defined in this permit have the meaning assigned to them in the referenced Clean Air Act provisions and EPA regulations (including the Massachusetts regulations incorporated by reference into 40 C.F.R. Part 55).,"Outer Continental Shelf (OCS) wind development area (WDA), all phases",,,Clean Air Act; EPA regulations; 40 C.F.R. Part 55; Massachusetts regulations incorporated by reference,air quality regulation; legal compliance; permitting
gpt-4.1,"Page 9 of 29, SECTION III",Offshore,11,27,Technical,Category 1 Marine Engine means the definition as contained in 40 C.F.R. § 1042.901.,Marine engines used in construction and operation of offshore wind projects,,,40 C.F.R. § 1042.901,emissions control; marine engineering; air quality regulation
gpt-4.1,"Page 9 of 29, SECTION III",Offshore,11,27,Technical,Category 2 Marine Engine means the definition as contained in 40 C.F.R. § 1042.901.,Marine engines used in construction and operation of offshore wind projects,,,40 C.F.R. § 1042.901,emissions control; marine engineering; air quality regulation
gpt-4.1,"Page 9 of 29, SECTION III",Offshore,11,27,Technical,Category 3 Marine Engine means the definition as contained in 40 C.F.R. § 1042.901.,Marine engines used in construction and operation of offshore wind projects,,,40 C.F.R. § 1042.901,emissions control; marine engineering; air quality regulation
gpt-4.1,"Page 9 of 29, SECTION III",Offshore,11,27,Technical,"Continuous Emission Reduction Credit (“CERC”) is equivalent to 1 ton per year of a pollutant, such as NO X or VOC. Under 310 CMR 7.00, Appendix B, a CERC is equivalent to a rate-based emission reduction credit (“ERC”).","Emission credits for air pollutants (e.g., NOx, VOC) in offshore wind project permitting",1.0,ton per year,"310 CMR 7.00, Appendix B",emissions trading; air quality regulation; permitting
gpt-4.1,Page 10 of 29,Offshore,13,27,Environmental,Emission Control Area (“ECA”) means an area designated pursuant to Annex VI as an Emission Control Area that is in force.,Emission Control Areas (ECA) as designated under Annex VI,,,Annex VI,air emissions; marine vessel operations; environmental compliance
gpt-4.1,Page 10 of 29,Offshore,13,27,Environmental,"Emission Control Area (“ECA”) Marine Fuel means diesel, distillate, or residual fuel used, intended for use, or made available for use in category 3 marine vessels while the vessels are operating within an ECA, or an ECA associated area.",Category 3 marine vessels operating within an ECA or ECA associated area,,,Annex VI,air emissions; marine vessel operations; fuel standards
gpt-4.1,Page 10 of 29,Offshore,13,27,Technical,No. 1 of the [Ringelmann] Chart has the same meaning as 20 % opacity.,Emission units subject to opacity standards,20.0,percent opacity,Ringelmann Chart,air emissions; opacity standards; environmental compliance
gpt-4.1,Page 10 of 29,Offshore,13,27,Technical,No. 2 of the [Ringelmann] Chart has the same meaning as 40% opacity.,Emission units subject to opacity standards,40.0,percent opacity,Ringelmann Chart,air emissions; opacity standards; environmental compliance
gpt-4.1,Page 11 of 29,Offshore,15,27,Jurisdictional,"OCS Source Vessel is any vessel that: a. Emits or has the potential to emit any air pollutant. b. Is regulated or authorized under the Outer Continental Shelf Lands Act (“OCSLA”) (43 U.S.C. §1331 et seq. ); and c. Is located on the OCS or in or on waters above the OCS. d. Additionally, an OCS Source Vessel must be permanently or temporarily attached to the seabed and erected thereon and used for the purpose of exploring, developing, or producing resources therefrom, within the meaning of section 4(a)(1) of OCSLA (43 U.S.C. § 1331 et seq. ) or physically attached to an OCS facility, in which case only the stationary source aspects of the vessels will be regulated.",Outer Continental Shelf (OCS); OCS Source Vessels; Construction and Operation Phases,,,"Outer Continental Shelf Lands Act (OCSLA) (43 U.S.C. §1331 et seq.), 40 C.F.R. § 55.2",air emissions; jurisdictional authority; vessel regulation
gpt-4.1,Page 11 of 29,Offshore,15,27,Jurisdictional,North American Emission Control Area (“ECA”) means the area designated in Regulation 14.3.2 and Appendix VII of MARPOL Annex VI.,North American Emission Control Area (ECA); OCS Facility; All phases,,,MARPOL Annex VI Regulation 14.3.2 and Appendix VII,air emissions; marine environmental protection
gpt-4.1,Page 12 of 29,Offshore,17,27,Technical,Ultra-low sulfur diesel (“ULSD”) means diesel fuel that is certified to meet the standards in 40 C.F.R. §1090.305.,"Vessels (including tugboats, towboats, push boats) used in the Wind Development Area (WDA)",,,40 C.F.R. §1090.305,fuel standards; air emissions; marine vessel operations
gpt-4.1,SECTION IV,Offshore,19,27,Technical,"The Permittee shall not cause, suffer, allow, or permit the emission of smoke from any OCS Source which has a shade, density, or appearance equal to or greater than No. 1 of the [Ringelmann] Chart for a period, or aggregate period of time in excess of six minutes during any one hour, provided that at no time during the said six minutes shall the shade, density, or appearance be equal to or greater than No. 2 of the [Ringelmann] Chart.",Any OCS Source at the facility; operational phase,6.0,minutes per hour,310 CMR 7.06(1)(a),air quality; emissions control; operational compliance
