"document_id","chunk_number","model_type","model_name","parsed_successfully","raw_output"
"18",1,"openai","gpt-4o",True,"```json
{
  ""document_metadata"": {
    ""title"": ""DRAFT Information Needed for Issuance of a Notice of Intent (NOI) Under the National Environmental Policy Act (NEPA) for a Construction and Operations Plan (COP)"",
    ""document_number"": ""10/24/22"",
    ""type_of_wind_farm"": ""Offshore""
  },
  ""regulatory_constraints"": [
    {
      ""type"": ""Environmental"",
      ""requirement"": ""BOEM’s decision to approve, disapprove, or approve with modifications a COP requires environmental reviews and consultations under NEPA and other applicable Federal statutes."",
      ""scope"": ""Construction and Operations Plan (COP)"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""Bureau of Ocean Energy Management’s (BOEM’s) regulations"",
      ""related_domains"": [""environmental impact assessment"", ""regulatory compliance""]
    }
  ],
  ""regulatory_entities"": [
    {
      ""entity_name"": ""Bureau of Ocean Energy Management"",
      ""jurisdiction"": ""Federal - USA"",
      ""role"": ""Permitting authority""
    }
  ]
}
```"
"18",2,"openai","gpt-4o",False,"`NO_RELEVANT_DATA_FOUND`"
"18",3,"openai","gpt-4o",True,"```json
{
  ""document_metadata"": {
    ""title"": null,
    ""document_number"": null,
    ""type_of_wind_farm"": ""Offshore""
  },
  ""regulatory_constraints"": [
    {
      ""type"": ""Technical"",
      ""requirement"": ""BOEM expects to complete the EIS/EA with a record of decision within 2 years of an NOI publication."",
      ""scope"": ""Environmental review phase"",
      ""numerical_value"": 2,
      ""unit"": ""years"",
      ""source"": ""Bureau of Ocean Energy Management (BOEM)"",
      ""related_domains"": [""environmental impact assessment""]
    },
    {
      ""type"": ""Technical"",
      ""requirement"": ""Revisions that narrow the project design envelope may be accepted without causing delays to the review schedule (six months after publication of the NOI)."",
      ""scope"": ""Project design phase"",
      ""numerical_value"": 6,
      ""unit"": ""months"",
      ""source"": ""Bureau of Ocean Energy Management (BOEM)"",
      ""related_domains"": [""project management"", ""design review""]
    }
  ],
  ""regulatory_entities"": [
    {
      ""entity_name"": ""Bureau of Ocean Energy Management"",
      ""jurisdiction"": ""Federal - USA"",
      ""role"": ""Permitting authority""
    }
  ]
}
```"
"18",4,"openai","gpt-4o",True,"```json
{
  ""document_metadata"": {
    ""title"": null,
    ""document_number"": ""2"",
    ""type_of_wind_farm"": ""Offshore""
  },
  ""regulatory_constraints"": [
    {
      ""type"": ""Jurisdictional"",
      ""requirement"": ""An agency may not conduct or sponsor a collection of information unless it displays a currently valid information collection control number issued by the Office of Management and Budget (OMB)."",
      ""scope"": ""Federal - USA"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""30 CFR part 585, subpart F"",
      ""related_domains"": [""information collection"", ""administrative compliance""]
    }
  ],
  ""regulatory_entities"": [
    {
      ""entity_name"": ""Bureau of Ocean Energy Management (BOEM)"",
      ""jurisdiction"": ""Federal - USA"",
      ""role"": ""Permitting authority""
    }
  ]
}
```"
"18",5,"openai","gpt-4o",True,"```json
{
  ""document_metadata"": {
    ""title"": null,
    ""document_number"": null,
    ""type_of_wind_farm"": ""Offshore""
  },
  ""regulatory_constraints"": [
    {
      ""type"": ""Technical"",
      ""requirement"": ""All COPs include the information outlined in 30 CFR §§ 585.626-.628, as further described in this NOI Checklist."",
      ""scope"": ""Construction and Operations Plan (COP)"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""30 CFR §§ 585.626-.628"",
      ""related_domains"": [""environmental impact assessment"", ""technical review""]
    }
  ],
  ""regulatory_entities"": [
    {
      ""entity_name"": ""Bureau of Ocean Energy Management (BOEM)"",
      ""jurisdiction"": ""Federal - USA"",
      ""role"": ""Permitting authority""
    },
    {
      ""entity_name"": ""Federal Permitting Improvement Steering Council (FPISC)"",
      ""jurisdiction"": ""Federal - USA"",
      ""role"": ""Permitting coordination""
    }
  ]
}
```"
"18",6,"openai","gpt-4o",False,"```
NO_RELEVANT_DATA_FOUND
```"
"18",7,"openai","gpt-4o",True,"```json
{
  ""document_metadata"": {
    ""title"": null,
    ""document_number"": null,
    ""type_of_wind_farm"": ""Offshore""
  },
  ""regulatory_constraints"": [
    {
      ""type"": ""Technical"",
      ""requirement"": ""BOEM will not make a “covered project” determination if a COP does not meet the information requirements in 30 CFR §§ 585.626-.628."",
      ""scope"": ""Offshore wind farm projects"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""30 CFR §§ 585.626-.628"",
      ""related_domains"": [""project qualification"", ""regulatory compliance""]
    },
    {
      ""type"": ""Technical"",
      ""requirement"": ""The project description should include a complete, well-defined, and illustrated description of the project, including the Project Design Envelope (PDE) and the action area."",
      ""scope"": ""Offshore wind farm projects"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""BOEM NOI Checklist"",
      ""related_domains"": [""project planning"", ""design documentation""]
    },
    {
      ""type"": ""Technical"",
      ""requirement"": ""All designs, layouts, and technologies proposed within the PDE should be described in a similar level of detail that is sufficient for BOEM to assess during the NEPA review."",
      ""scope"": ""Offshore wind farm projects"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""BOEM NOI Checklist"",
      ""related_domains"": [""design assessment"", ""regulatory review""]
    },
    {
      ""type"": ""Technical"",
      ""requirement"": ""BOEM will generally allow narrowing of the PDE for up to 6 months after the NOI is published."",
      ""scope"": ""Offshore wind farm projects"",
      ""numerical_value"": 6,
      ""unit"": ""months"",
      ""source"": ""BOEM NOI Checklist"",
      ""related_domains"": [""project planning"", ""design flexibility""]
    }
  ],
  ""regulatory_entities"": [
    {
      ""entity_name"": ""Bureau of Ocean Energy Management (BOEM)"",
      ""jurisdiction"": ""Federal - USA"",
      ""role"": ""Permitting authority""
    }
  ]
}
```"
"18",8,"openai","gpt-4o",True,"```json
{
  ""document_metadata"": {
    ""title"": null,
    ""document_number"": ""7"",
    ""type_of_wind_farm"": ""Offshore""
  },
  ""regulatory_constraints"": [
    {
      ""type"": ""Jurisdictional"",
      ""requirement"": ""A project determined not to be ripe for NEPA review and/or a project with incomplete information relevant to its technical feasibility cannot be a covered project."",
      ""scope"": ""Federal infrastructure projects"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""FAST-41 Guidance, §§ 4.6 and 4.7"",
      ""related_domains"": [""permitting process"", ""project feasibility""]
    },
    {
      ""type"": ""Jurisdictional"",
      ""requirement"": ""The implementation of FAST-41 cannot have the effect of limiting the ability of an agency from meaningfully carrying out its obligations under other authorities."",
      ""scope"": ""Federal agencies"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""FAST-41 Guidance at § 3.9"",
      ""related_domains"": [""agency authority"", ""regulatory compliance""]
    }
  ],
  ""regulatory_entities"": [
    {
      ""entity_name"": ""Bureau of Ocean Energy Management (BOEM)"",
      ""jurisdiction"": ""Federal - USA"",
      ""role"": ""Permitting authority""
    },
    {
      ""entity_name"": ""Office of Management & Budget and Council on Environmental Quality, Executive Office of the President"",
      ""jurisdiction"": ""Federal - USA"",
      ""role"": ""Guidance issuance for environmental review and authorization process""
    }
  ]
}
```"
"18",9,"openai","gpt-4o",False,"NO_RELEVANT_DATA_FOUND"
"18",10,"openai","gpt-4o",True,"```json
{
  ""document_metadata"": {
    ""title"": null,
    ""document_number"": null,
    ""type_of_wind_farm"": ""Offshore""
  },
  ""regulatory_constraints"": [
    {
      ""type"": ""Environmental"",
      ""requirement"": ""An applicant should also submit a complete description of the preliminary area of potential effect (PAPE) before BOEM will initiate the section 106 process."",
      ""scope"": ""Preliminary area of potential effect (PAPE)"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""BOEM"",
      ""related_domains"": [""environmental impact assessment"", ""historic preservation""]
    },
    {
      ""type"": ""Environmental"",
      ""requirement"": ""There must be sufficient detail to support the environmental analyses required by NEPA and other relevant environmental laws."",
      ""scope"": ""COP submission"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""NEPA"",
      ""related_domains"": [""environmental impact assessment""]
    }
  ],
  ""regulatory_entities"": [
    {
      ""entity_name"": ""BOEM"",
      ""jurisdiction"": ""Federal - USA"",
      ""role"": ""Permitting authority""
    }
  ]
}
```"
