model_name,document_number,type_of_wind_farm,chunk_number,document_id,constraint_type,requirement,scope,numerical_value,unit,source,related_domains
claude-3-5-haiku-20241022,,Offshore,1,18,Jurisdictional,COP submissions must meet data and information requirements under subpart F (30 CFR 585.620 – 585.629),Offshore renewable energy projects,,,Bureau of Ocean Energy Management (BOEM) Regulations,Administrative; Regulatory Compliance
claude-3-5-haiku-20241022,,Offshore,1,18,Environmental,COP submissions require environmental reviews and consultations under NEPA and other applicable Federal statutes,Offshore renewable energy projects,,,National Environmental Policy Act (NEPA),Environmental Assessment; Regulatory Compliance
claude-3-5-haiku-20241022,,Offshore,2,18,Jurisdictional,"Large or complex infrastructure projects may seek to initiate the FAST-41 process to improve government-wide coordination, transparency, and accountability",Federal infrastructure projects,,,Fixing America's Surface Transportation Act (FAST-41),Administrative; Permitting
claude-3-5-haiku-20241022,BOEM-2022-0056,Offshore,3,18,Jurisdictional,BOEM expects to complete the EIS/EA with a record of decision within 2 years of NOI publication,Offshore wind project environmental review process,2.0,years,BOEM Guidance Document,Environmental; Regulatory Compliance
claude-3-5-haiku-20241022,BOEM-2022-0056,Offshore,3,18,Technical,Project design envelope revisions must be submitted within six months after NOI publication to avoid review schedule delays,Offshore wind project design modifications,6.0,months,BOEM Guidance Document,Project Planning; Technical Review
claude-3-5-haiku-20241022,,Offshore,4,18,Jurisdictional,Information collection requirements must comply with OMB Control Number 1010-0176,Renewable energy program documentation,,,"30 CFR part 585, subpart F regulations",Administrative; Permitting
claude-3-5-haiku-20241022,,Offshore,5,18,Jurisdictional,COPs must include all information outlined in 30 CFR §§ 585.626-.628,Offshore renewable energy projects,,,BOEM Regulations 30 CFR part 585,Technical Review; Environmental Review
claude-3-5-haiku-20241022,,Offshore,5,18,Procedural,A Coordinated Project Plan (CPP) must be developed within 60 days of posting a project to the Permitting Dashboard,FAST-41 covered projects,60.0,days,FAST-41 Regulations,Project Management; Permitting
claude-3-5-haiku-20241022,,Offshore,7,18,Jurisdictional,Project must meet information requirements in 30 CFR §§ 585.626-.628 to qualify as a 'covered project',Offshore wind projects,,,30 CFR §§ 585.626-.628,Regulatory Compliance; Project Qualification
claude-3-5-haiku-20241022,,Offshore,7,18,Technical,"Project description must include a complete, well-defined, and illustrated description including Project Design Envelope (PDE) and action area",Entire project documentation,,,BOEM Regulatory Guidelines,Project Planning; Technical Documentation
claude-3-5-haiku-20241022,,Offshore,7,18,Technical,BOEM will generally allow narrowing of the PDE for up to 6 months after NOI publication,Project Design Envelope,6.0,months,BOEM Regulatory Guidelines,Project Flexibility; Regulatory Timeline
claude-3-5-haiku-20241022,M-17-14,Offshore,8,18,Jurisdictional,A project cannot be a 'covered project' if it is not ripe for NEPA review or has incomplete information about technical feasibility,Federal infrastructure projects,,,Office of Management & Budget and Council on Environmental Quality FAST-41 Guidance,Environmental Review; Project Planning
claude-3-5-haiku-20241022,M-17-14,Offshore,8,18,Environmental,Action area includes all areas directly or indirectly affected by federal action,Endangered Species Act project assessments,,,50 CFR § 402.02,Environmental Impact; Species Protection
claude-3-5-haiku-20241022,,Offshore,9,18,Jurisdictional,Compliance with 30 CFR § 585.620(a),Offshore renewable energy projects,,,Code of Federal Regulations,Regulatory Compliance; Project Planning
