model_name,document_number,type_of_wind_farm,chunk_number,document_id,constraint_type,requirement,scope,numerical_value,unit,source,related_domains,total_score,tfidf_mean_similarity,tfidf_max_similarity,jaccard_similarity,semantic_density,match_count,matched_keywords,has_numerical_values,extracted_numerical_value,scoring_method
gemini-1.5-pro,,Offshore,61,12,Spatial,A second viewshed is run from the height of the top of the nacelle of the proposed project turbines for assessment of nighttime impacts. Neither viewshed shall exceed 74 km (40 nm).,"Visual Impact Assessment (VIA) for offshore wind projects less than 43 km from shore, nighttime impacts",74.0,km,BOEM,visual impact assessment; environmental impact assessment,0.19018715609725342,0.006077475909239949,0.4202983302229692,0.041666666666666664,0.5333333333333333,65,wind direction (partial); outer continental shelf a (partial); cut in wind speed (partial); turbine model (partial); turbine spacing (partial); nacelle uptilt angle (partial); turbine status (partial); impact assessment; caribbean fishery management council (partial); current time (partial),True,74.0 km,comprehensive_scientific
gemini-1.5-pro,Page 17 of 93,Offshore,60,26,Technical,"The use of cable protection measures must not exceed 10 percent of the total export and inter-array cable length, excluding cable crossings and approaches to foundations.",Cable protection measures,10,percent,Section 2.15.1,cable protection,0.19014019691032832,0.005931229959286932,0.4003124391360978,0.027559055118110236,0.6216216216216216,27,outer continental shelf a (partial); cut in wind speed (partial); foundation; cable; number of turbines per row (partial); turbine position y (partial); cable type (partial); wind speed at 10m (partial); distance to substation (partial); gulf of mexico fishery management council (partial),True,10 percent,comprehensive_scientific
deepseek-chat,EWF-2023-001,Offshore,31,45,Environmental,All turbine foundations must avoid designated marine protected areas by at least 5 km.,North Sea offshore wind projects,5,km,Marine Spatial Planning Directive 2023,environmental; spatial,0.188796236455143,0.007218341079318636,0.38293806977140116,0.04032258064516129,0.6296296296296297,65,sea depth (partial); wind direction (partial); outer continental shelf a (partial); cut in wind speed (partial); lease id (partial); turbine model (partial); turbine spacing (partial); foundation; turbine status (partial); design,True,5 km,comprehensive_scientific
deepseek-chat,EWF-2023-001,Offshore,22,5,Environmental,Turbine foundations must not disturb marine protected areas within a 5 km radius.,Marine protected areas in the North Sea,5,km,Marine Environmental Protection Agency (MEPA),environmental; spatial,0.1886336987095527,0.0054466337582368555,0.3653943683746013,0.044897959183673466,0.6785714285714286,38,sea depth (partial); outer continental shelf a (partial); cut in wind speed (partial); turbine model (partial); turbine spacing (partial); foundation; turbine status (partial); torpedo testing area (partial); turbine position y (partial); wind speed at 10m (partial),True,5 km,comprehensive_scientific
deepseek-chat,OWF-REG-2023,Offshore,180,32,Environmental,All offshore wind turbines must maintain a minimum clearance of 1 km from identified marine protected areas.,Marine protected areas in North Sea,1,km,Marine Spatial Planning Directive 2022,environmental; spatial,0.1882307994366558,0.005817003256625381,0.37223756637154726,0.048582995951417005,0.6451612903225806,66,sea depth (partial); wind direction (partial); outer continental shelf a (partial); cut in wind speed (partial); lease id (partial); turbine model (partial); turbine spacing (partial); turbine status (partial); min depth (partial); torpedo testing area (partial),True,1 km,comprehensive_scientific
deepseek-chat,EWF-2023-001,Offshore,473,22,Environmental,All wind turbines must maintain a minimum clearance of 500 meters from marine protected areas.,European Union territorial waters,500,meters,EU Marine Spatial Planning Directive 2021,Environmental protection; Spatial planning,0.1879871991109489,0.005906028883005325,0.42541595852582265,0.04,0.5,64,wind direction (partial); outer continental shelf a (partial); cut in wind speed (partial); turbine model (partial); turbine spacing (partial); turbine status (partial); min depth (partial); torpedo testing area (partial); min kilovolt (partial); number of turbines per row (partial),True,500 meters,comprehensive_scientific
claude-3-haiku-20240307,,Offshore,35,26,Spatial,"The Lessee may construct and install on the Outer Continental Shelf (OCS) up to 114 wind turbine generators (WTGs), up to 4 offshore substations (OSSs), up to 1 permanent meteorological (met) tower, interarray and interlink cables, and up to 4 export cables within an export cable corridor of up to 35 km (21.7 mi) in length on the OCS.",Outer Continental Shelf (OCS),114,wind turbine generators,Record of Decision (ROD),"Technical, Spatial",0.1875342680721207,0.009560068690447574,0.34279981396881404,0.05223880597014925,0.704225352112676,66,tower cost (partial); wind direction (partial); outer continental shelf a (partial); cut in wind speed (partial); lease id (partial); turbine model (partial); turbine spacing (partial); turbine status (partial); cable; outer continental shelf name (partial),True,114 wind turbine generators,comprehensive_scientific
deepseek-chat,DOC-2023-001,Offshore,10,40,Environmental,All turbines must maintain a minimum clearance of 1 km from marine protected areas.,North Sea offshore wind projects,1,km,Marine Spatial Planning Directive 2022,environmental; spatial,0.18504408136342282,0.005713747111699281,0.38197480222796915,0.044534412955465584,0.5925925925925926,60,sea depth (partial); wind direction (partial); outer continental shelf a (partial); cut in wind speed (partial); turbine model (partial); turbine spacing (partial); turbine status (partial); min depth (partial); torpedo testing area (partial); min kilovolt (partial),True,1 km,comprehensive_scientific
deepseek-chat,OWF-REG-2023-001,Offshore,444,11,Environmental,All wind turbines must maintain a minimum distance of 1 km from identified marine protected areas.,North Sea offshore wind projects,1,km,Marine Spatial Planning Directive 2023,environmental; spatial,0.18486869972597375,0.008326969075006182,0.3658411579614883,0.048582995951417005,0.6206896551724138,72,sea depth (partial); wind direction (partial); outer continental shelf a (partial); cut in wind speed (partial); lease id (partial); turbine model (partial); turbine spacing (partial); turbine status (partial); min depth (partial); torpedo testing area (partial),True,1 km,comprehensive_scientific
gemini-1.5-pro,Page 17 of 93,Offshore,60,26,Technical,"In areas where the final cable burial depth is less than 1.0 m below seabed, excluding cable crossings and within the vicinity of WTG/OSS foundations where cables are enclosed within a cable protection system, the Lessee must install secondary protection such as concrete mattresses, rock bags, or rock placement and must adhere to the scour and cable protection measures in Section 5.3.7.",Cable burial depth and protection,1.0,m,Section 2.15,cable protection; scour protection,0.18434619941184827,0.008939781943641922,0.3950319983713041,0.043010752688172046,0.5365853658536586,72,sea depth (partial); wind direction (partial); cooling system (partial); outer continental shelf a (partial); cut in wind speed (partial); turbine model (partial); turbine spacing (partial); foundation; turbine status (partial); min depth (partial),True,1.0 m,comprehensive_scientific
