model_name,document_number,type_of_wind_farm,chunk_number,document_id,constraint_type,requirement,scope,numerical_value,unit,source,related_domains
gpt-4o-mini,1-5,Offshore,2,29,Technical,Decommissioning and Site Clearance Procedures (585.610(a)(11)),Decommissioning phase,,,585.610(a)(11),decommissioning; site clearance
gpt-4o-mini,"2.4.1.1, 2.4.1.2, 2.4.1.3, 2.4.2, 2.4.3, 2.4.4, 3.1, 3.1.1",Offshore,3,29,Environmental,Geological (585.610(b)(1) and 585.610(b)(4)),Site characterization phase,,,Section 585.610,geological assessment; environmental impact assessment
gpt-4o-mini,"2.4.1.1, 2.4.1.2, 2.4.1.3, 2.4.2, 2.4.3, 2.4.4, 3.1, 3.1.1",Offshore,3,29,Environmental,Geotechnical Survey (585.610(b)(1) and 585.610(b)(4)),Site characterization phase,,,Section 585.610,geotechnical assessment; environmental impact assessment
gpt-4o-mini,"2.4.1.1, 2.4.1.2, 2.4.1.3, 2.4.2, 2.4.3, 2.4.4, 3.1, 3.1.1",Offshore,3,29,Environmental,Shallow Hazards (585.611(b)(1)),Site characterization phase,,,Section 585.611,hazards assessment; environmental impact assessment
gpt-4o-mini,"2.4.1.1, 2.4.1.2, 2.4.1.3, 2.4.2, 2.4.3, 2.4.4, 3.1, 3.1.1",Offshore,3,29,Environmental,Benthic Surveys (585.610(b)(5)),Site characterization phase,,,Section 585.610,benthic assessment; environmental impact assessment
gpt-4o-mini,"2.4.1.1, 2.4.1.2, 2.4.1.3, 2.4.2, 2.4.3, 2.4.4, 3.1, 3.1.1",Offshore,3,29,Environmental,Archeological Survey (585.610(b)(3)),Site characterization phase,,,Section 585.610,archeological assessment; cultural resource management
gpt-4o-mini,3.1.2 - 3.4.2,Offshore,4,29,Environmental,Mitigation Measures (585.610(a)(8)),Potential impacts to coastal habitats and terrestrial mammals,,,Section 585.610(a)(8),environmental impact assessment; habitat protection
gpt-4o-mini,3.1.2 - 3.4.2,Offshore,4,29,Environmental,Mitigation Measures (585.610(a)(8)),Potential impacts to water quality,,,Section 585.610(a)(8),water quality management; environmental protection
gpt-4o-mini,3.1.2 - 3.4.2,Offshore,4,29,Environmental,Mitigation Measures (585.610(a)(8)),Potential impacts to benthic resources,,,Section 585.610(a)(8),benthic resource management; marine ecology
gpt-4o-mini,3.5 Fisheries and Essential Fish Habitat (585.611(b)(3-5)),Offshore,5,29,Environmental,Mitigation Measures (585.610(a)(8)),Potential impacts on fisheries and essential fish habitat,,,585.610(a)(8),fisheries management; environmental protection
gpt-4o-mini,3.5 Fisheries and Essential Fish Habitat (585.611(b)(3-5)),Offshore,5,29,Environmental,Mitigation Measures (585.610(a)(8)),Potential impacts on marine mammals and sea turtles,,,585.610(a)(8),marine mammal protection; sea turtle conservation
gpt-4o-mini,3.7 Coastal and Marine Birds (585.611(b)(3-5)),Offshore,6,29,Environmental,Listed Species must be considered in environmental assessments.,Environmental assessments related to coastal and marine birds.,,,585.611(b)(3-5),avian protection; environmental impact assessment
gpt-4o-mini,3.7 Coastal and Marine Birds (585.611(b)(3-5)),Offshore,6,29,Environmental,Federal Candidate Species must be evaluated for potential impacts.,Environmental assessments related to coastal and marine birds.,,,585.611(b)(3-5),avian protection; environmental impact assessment
gpt-4o-mini,3.7 Coastal and Marine Birds (585.611(b)(3-5)),Offshore,6,29,Environmental,Migratory Birds must be considered in environmental assessments.,Environmental assessments related to coastal and marine birds.,,,585.611(b)(3-5),avian protection; environmental impact assessment
gpt-4o-mini,3.7 Coastal and Marine Birds (585.611(b)(3-5)),Offshore,6,29,Environmental,Bird Conservation Regions and Birds of Conservation Concern must be identified.,Environmental assessments related to coastal and marine birds.,,,585.611(b)(3-5),avian protection; environmental impact assessment
gpt-4o-mini,3.7 Coastal and Marine Birds (585.611(b)(3-5)),Offshore,6,29,Environmental,Important Bird Areas must be identified and assessed.,Environmental assessments related to coastal and marine birds.,,,585.611(b)(3-5),avian protection; environmental impact assessment
gpt-4o-mini,3.12,Offshore,8,29,Environmental,Mitigation Measures (585.610(a)(8)),,,,Section 585.610(a)(8),environmental impact assessment; marine transportation; fishing
gpt-4o-mini,1.0,Offshore,14,29,Jurisdictional,US Wind has and will continue to comply with the stipulations in these leases as they relate to the development and approval of this Site Assessment Plan (SAP) and SAP activities.,Maryland Wind Energy Areas,,,BOEM leases,permitting; compliance; regulatory oversight
gpt-4o-mini,1.3,Offshore,15,29,Environmental,"US Wind proposes to conduct SAP activities in a manner that will not unreasonably interfere with or endanger other approved activities, will not cause any undue harm or damage to the environment, will not create hazardous or unsafe conditions, and will not adversely affect resources of historic, cultural or archeological significance.",SAP activities,,,SAP Survey Plan approved by BOEM,environmental impact assessment; cultural resource management; safety
