model_type,model_name,document_id,constraint_id,category,description,source_section_number,geographic_scope,context_quote,component_name,value,unit
claude,claude-3-haiku-20240307,20,C-001,Design Specification,The wind turbine generators will be arranged in a 0.93- by 0.75-nautical-mile offset grid pattern (east–west by northwest by southeast gridded layout),2.4,Lease Area OCS-A 0483,Dominion would space WTGs in a 0.93- by 0.75-nautical-mile offset grid pattern (east–west by northwest by southeast gridded layout).,Wind Turbine Generators,,
claude,claude-3-haiku-20240307,20,C-002,Design Specification,The wind turbine generators will range from 14 MW to 16 MW in capacity,2.4,Lease Area OCS-A 0483,"an up-to 3,000 MW wind energy facility consisting of up to 202 WTGs ranging from 14 MW to 16 MW each",Wind Turbine Generators,,
claude,claude-3-haiku-20240307,20,C-003,Design Specification,The maximum number of wind turbine generators is 202,2.4,Lease Area OCS-A 0483,"an up-to 3,000 MW wind energy facility consisting of up to 202 WTGs ranging from 14 MW to 16 MW each",Wind Turbine Generators,202.0,
claude,claude-3-haiku-20240307,20,C-004,Design Specification,The number of offshore substations is limited to three,2.4,Lease Area OCS-A 0483,and three OSSs in the Lease Area and associated export cables would occur offshore Virginia,Offshore Substation,3.0,
claude,claude-3-haiku-20240307,20,C-005,Design Specification,The offshore substations will be placed within the rows of the gridded wind turbine generator layout,2.4,Lease Area OCS-A 0483,The three OSSs would be placed within the rows of the gridded WTG layout.,Offshore Substation,,
claude,claude-3-haiku-20240307,20,C-006,Design Specification,The inter-array cables will connect the individual wind turbine generators to the offshore substations,2.4,Lease Area OCS-A 0483,inter-array cables linking the individual WTGs,Inter-Array Cables,,
claude,claude-3-haiku-20240307,20,C-007,Design Specification,"Up to nine export cables will make landfall in Virginia Beach, Virginia",2.4,"Virginia Beach, Virginia","Up to nine export cables make landfall in Virginia Beach, Virginia.",Export Cables,9.0,
claude,claude-3-haiku-20240307,20,C-008,Design Specification,"The onshore export cables will transfer electricity from the cable landing location to a switching station constructed north of Harpers Road in Virginia Beach, Virginia",2.4,"Virginia Beach, Virginia","Onshore export cables would transfer electricity from the cable landing location to a switching station constructed north of Harpers Road in Virginia Beach, Virginia.",Export Cables,,
claude,claude-3-haiku-20240307,20,C-009,Design Specification,"An overhead interconnection cable route will connect the Harpers Switching Station to the Fentress Substation located in Chesapeake, Virginia",2.4,"Virginia Beach and Chesapeake, Virginia","An overhead interconnection cable route would then connect the new Harpers Switching Station to the Fentress Substation located in Chesapeake, Virginia.",Export Cables,,
claude,claude-3-haiku-20240307,20,C-010,Environmental Mitigation,"Wind turbine generators, offshore substations, and inter-array cables can be microsited up to 500 feet to avoid sensitive cultural resources and marine habitats",2.4,Lease Area OCS-A 0483,This configuration would still allow micrositing of WTGs (up to 500 feet) to avoid sensitive cultural resources and marine habitats.,Wind Turbine Generators,500.0,feet
claude,claude-3-haiku-20240307,20,C-011,Environmental Mitigation,The Fish Haven area along the northern boundary of the Lease Area will be an exclusion zone where no wind turbine generators or associated infrastructure will be developed,3.1,Northern boundary of Lease Area OCS-A 0483,"the Fish Haven area located along the northern boundary of the Lease Area would be an exclusion zone (e.g., eight WTGs and associated infrastructure would not be developed or placed in the Fish Haven area).",Wind Turbine Generators,,
claude,claude-3-haiku-20240307,20,C-012,Environmental Mitigation,Three wind turbine generators and associated inter-array cables will be excluded from the northwest corner of the Lease Area to avoid a proposed vessel traffic fairway,3.1,Northwest corner of Lease Area OCS-A 0483,"Additionally, three WTGs and associated inter-array cables would be excluded from the northwest corner of the Lease Area to avoid a proposed vessel traffic fairway.",Wind Turbine Generators,3.0,
claude,claude-3-haiku-20240307,20,C-013,Environmental Mitigation,"Four wind turbine generators within priority sand ridge habitat will be removed, and one wind turbine generator will be relocated to minimize impacts on sand ridge habitat",3.1,Areas of priority sand ridge habitat within Lease Area OCS-A 0483,"the removal of four WTGs within priority sand ridge habitat, and the relocation of one WTG.",Wind Turbine Generators,4.0,
claude,claude-3-haiku-20240307,20,C-014,Environmental Mitigation,The onshore interconnection cable route will either follow Interconnection Cable Route Option 1 (entirely overhead) or Interconnection Cable Route Option 6 (hybrid of underground and overhead) to minimize impacts on onshore sensitive habitats,3.1,Onshore interconnection cable route,"Unlike Alternatives A, B, and C, the construction of interconnection cables under Alternative D would follow either Interconnection Cable Route Option 1 or Interconnection Cable Route Option 6 (Hybrid Route), as described in the COP (Dominion Energy 2023). For purposes of comparative analyses, Interconnection Cable Route Option 1 will be evaluated in all action alternatives. However, under Alternative D, BOEM considered either Interconnection Cable Route Option 1 or 6 (Hybrid Route) to minimize impacts of the proposed Project on onshore sensitive habitats.",Export Cables,,
claude,claude-3-haiku-20240307,20,C-015,Operational Parameter,Project vessels must not exceed a speed of 10 knots within the Block Island Sound Transit Lane,3.16,Block Island Sound Transit Lane,"To protect sensitive habitats, vessel speeds for all project vessels shall not exceed 10 knots within the Block Island Sound Transit Lane.",Project Vessels,10.0,knots
claude,claude-3-haiku-20240307,20,C-016,Regulatory Requirement,Cable trenching is prohibited within 500 meters of the identified historic shipwreck (No. 551B),3.10,Area within 500 meters of historic shipwreck (No. 551B),"Furthermore, trenching activities are prohibited within 500 meters of the identified historic shipwreck (No. 551B) at all times.",Inter-Array Cables,500.0,meters
