model_name,document_number,type_of_wind_farm,chunk_number,document_id,constraint_type,requirement,scope,numerical_value,unit,source,related_domains
gpt-4o-mini,10/24/22,Offshore,1,18,Jurisdictional,"BOEM’s decision to approve, disapprove, or approve with modifications a COP requires environmental reviews and consultations under NEPA and other applicable Federal statutes.",Construction and Operations Plan (COP),,,30 CFR 585.620 – 585.629,environmental impact assessment; regulatory compliance
gpt-4o-mini,10/24/22,Offshore,1,18,Jurisdictional,"BOEM may begin processing incomplete COP submissions, subject to a BOEM-reviewed 'supplemental filing schedule' for submitting the remaining required information.",Construction and Operations Plan (COP),,,BOEM guidance,project management; regulatory compliance
gpt-4o-mini,1,Offshore,2,18,Jurisdictional,"The proponent of a large or complex infrastructure project may seek to initiate the FAST-41 process to improve government-wide coordination, transparency, and accountability by submitting a FAST-41 initiation notice to the Permitting Council’s executive director and the applicable facilitating Federal agency.","Large or complex infrastructure projects, including offshore wind farms.",,,"FAST-41, Fixing America’s Surface Transportation Act",infrastructure permitting; government coordination; environmental review
gpt-4o-mini,,Offshore,3,18,Jurisdictional,BOEM generally would not publish an NOI until the applicant’s COP submission includes the minimum content described in the attachment to this document.,Submission of COP to BOEM,,,Bureau of Ocean Energy Management (BOEM),permitting process; environmental review
gpt-4o-mini,,Offshore,3,18,Temporal,BOEM expects to complete the EIS/EA with a record of decision within 2 years of an NOI publication.,Environmental Impact Statement/Environmental Assessment process,2.0,years,Bureau of Ocean Energy Management (BOEM),environmental review; project timeline
gpt-4o-mini,,Offshore,3,18,Jurisdictional,Failure to meet the schedule for supplemental filings will lead to delays in processing the COP.,Processing of COP,,,Bureau of Ocean Energy Management (BOEM),permitting process; environmental review
gpt-4o-mini,,Offshore,3,18,Jurisdictional,"Formal technical and environmental reviews may not begin, or may be paused, until the necessary information that is needed to adequately continue, or complete, the review of the COP has been submitted.",Review of COP,,,Bureau of Ocean Energy Management (BOEM),technical review; environmental assessment
gpt-4o-mini,,Offshore,3,18,Temporal,Revisions that narrow the project design envelope may be accepted without causing delays to the review schedule (six months after publication of the NOI).,Project design revisions,6.0,months,Bureau of Ocean Energy Management (BOEM),project design; review schedule
gpt-4o-mini,2,Offshore,4,18,Jurisdictional,An agency may not conduct or sponsor a collection of information unless it displays a currently valid information collection control number issued by the Office of Management and Budget (OMB).,General information collection requirements related to renewable energy program management.,,,"30 CFR part 585, subpart F",permitting; information collection
gpt-4o-mini,,Offshore,5,18,Technical,"BOEM requires these reviews to make a formal decision on whether to approve, approve with modifications, or disapprove a COP.",Construction and Operations Plan (COP),,,30 CFR §§ 585.626-.628,environmental review; technical review; permitting process
gpt-4o-mini,,Offshore,5,18,Jurisdictional,Failure to provide this information might result in BOEM determining that the COP is not sufficient for commencing the necessary technical and environmental reviews.,Construction and Operations Plan (COP),,,30 CFR part 585,permitting authority; environmental compliance
gpt-4o-mini,30 CFR § 585.628,Offshore,6,18,Jurisdictional,What information and certifications must I submit with my COP to assist the BOEM in complying with NEPA and other relevant laws?,Federal environmental review and authorization for the project,,,30 CFR § 585.627,environmental review; permitting; federal regulations
gpt-4o-mini,,Offshore,7,18,Technical,"The project description should include a complete, well-defined, and illustrated description of the project, including the Project Design Envelope (PDE) and the action area.",Project description phase,,,30 CFR § 585.626,project design; environmental impact assessment
gpt-4o-mini,,Offshore,7,18,Technical,"All designs, layouts, and technologies proposed within the PDE should be described in a similar level of detail that is sufficient for BOEM to assess during the NEPA review.",Project design phase,,,30 CFR § 585.626,project design; NEPA review
