model_name,document_number,type_of_wind_farm,chunk_number,document_id,constraint_type,requirement,scope,numerical_value,unit,source,related_domains
gemini-2.5-flash,2-11,Offshore,31,48,Environmental,"During construction, anchoring within sensitive habitats would be avoided or minimized to prevent significant impacts.","Construction phase, within sensitive habitats in the Wind Farm Area (WFA)",,,Section 6,benthic environment protection; environmental impact assessment; construction practices
gemini-2.5-flash,2-11,Offshore,31,48,Environmental,The Benthic Monitoring Plan must be developed in accordance with guidelines outlined by BOEM (2013).,"Development of Benthic Monitoring Plan, applicable during construction phase",,,BOEM (2013) guidelines,environmental monitoring; regulatory compliance; benthic environment protection
gemini-2.5-flash,,Offshore,33,48,Technical,"Detailed information on the foundation selected will be included in the facility design report/fabrication and installation report, to be reviewed by the Certified Verification Agent and submitted to BOEM prior to construction.",OSS foundation design and installation; Pre-construction phase,,,BOEM,engineering design; regulatory compliance; reporting; structural integrity
gemini-2.5-flash,2-12,Offshore,34,48,Environmental,Pile installation for WTGs and OSSs would not occur from January 1 through April 30 to avoid disturbance to North Atlantic right whales.,"Offshore wind farm construction; specifically, pile installation for WTG and OSS foundations.",,,,environmental protection; marine mammal protection; construction scheduling
gemini-2.5-flash,,Offshore,40,48,Technical,A displacement plow cannot be used in areas where slopes are steep.,"Cable corridor clearance during pre-construction phase, specifically for displacement plow use.",,,Project Technical Specifications (implied from document content),construction methodology; geotechnical engineering; site suitability
gemini-2.5-flash,,Offshore,40,48,Technical,"A displacement plow is not practical where it may encounter large obstacles (force greater than 80 metric tons) that may shift or rotate the tool, causing reduced clearance effectiveness or damage to the tool.","Cable corridor clearance during pre-construction phase, specifically for displacement plow use.",80.0,metric tons,Project Technical Specifications (implied from document content),construction methodology; equipment limitations; geotechnical engineering; safety
gemini-2.5-flash,,Offshore,41,48,Technical,"The presence, position, and nature of the boulders would be visually confirmed through ROV inspection.","Boulder clearing operations; specifically, post-clearing verification or pre-clearing assessment.",,,Document chunk context,subsea operations; surveying; environmental monitoring; quality assurance
gemini-2.5-flash,,Offshore,41,48,Technical,Results of the geophysical surveys would be used to determine where boulder clearing would be required and to plan which clearing tool to use.,Boulder clearing planning and execution.,,,Ocean Wind 2022,geophysical surveying; planning; subsea operations; site characterization
gemini-2.5-flash,,Offshore,42,48,Technical,Cables must be buried at a depth beneath the level where natural sandwave movement would uncover them.,Offshore cable export corridor; cable installation and operational lifetime.,,,,cable integrity; seabed mobility; installation; project lifetime
gemini-2.5-flash,,Offshore,45,48,Technical,The maximum total installed array cable length is 190 miles (300 km).,Offshore wind farm array cable installation,190.0,miles,,cable design; electrical engineering; project planning
gemini-2.5-flash,,Offshore,48,48,Technical,"Where mattresses are used for crossing another cable or utility, a separation layer must be laid on the seabed before mattress placement.",Subsea cable crossings for offshore wind farm infrastructure,,,,subsea cable protection; technical installation; utility crossing safety
gemini-2.5-flash,2-18,Offshore,51,48,Jurisdictional,Ocean Wind’s lease with BOEM (Lease OCS-A 0498) has an operations term of 25 years that commences on the date of COP approval.,Ocean Wind 1 Offshore Wind Farm - Operational phase,25.0,years,BOEM Lease OCS-A 0498; 30 CFR § 585.235(a)(3),lease terms; project operation; regulatory compliance
gemini-2.5-flash,2-18,Offshore,51,48,Jurisdictional,Ocean Wind would need to request and be granted an extension of its operations term from BOEM under the regulations at 30 CFR 585.425 et seq. in order to operate the proposed Project for 35 years.,Ocean Wind 1 Offshore Wind Farm - Operational phase,35.0,years,BOEM; 30 CFR 585.425 et seq.,lease terms; project operation; permitting; regulatory compliance
gemini-2.5-flash,Section 2.5,Offshore,55,48,Environmental,scour protection be removed,scour protection placed around the base of the monopile during decommissioning,,,BOEM; 30 CFR 585.902(a),environmental impact assessment; decommissioning; seabed integrity
gemini-2.5-flash,2.5.2.,Offshore,56,48,Environmental,"Gear restrictions, closures, and other regulations set forth by take reduction plans would be adhered to as with typical scientific fishing operations to reduce the potential for interaction or injury.","Project area, throughout pre-, during, and post-construction phases, specifically for scientific fishing operations.",,,take reduction plans,fisheries management; environmental protection; marine mammal protection
