document_id,chunk_number,model_type,model_name,parsed_successfully,raw_output
27,1,openai,gpt-4.1-mini,False,"Error: OpenAI query failed: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-xxxxx***********************xxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}"
27,2,openai,gpt-4.1-mini,False,"Error: OpenAI query failed: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-xxxxx***********************xxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}"
27,3,openai,gpt-4.1-mini,False,"Error: OpenAI query failed: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-xxxxx***********************xxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}"
27,4,openai,gpt-4.1-mini,False,"Error: OpenAI query failed: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-xxxxx***********************xxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}"
27,5,openai,gpt-4.1-mini,False,"Error: OpenAI query failed: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-xxxxx***********************xxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}"
27,6,openai,gpt-4.1-mini,False,"Error: OpenAI query failed: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-xxxxx***********************xxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}"
27,7,openai,gpt-4.1-mini,False,"Error: OpenAI query failed: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-xxxxx***********************xxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}"
27,8,openai,gpt-4.1-mini,False,"Error: OpenAI query failed: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-xxxxx***********************xxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}"
27,9,openai,gpt-4.1-mini,False,"Error: OpenAI query failed: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-xxxxx***********************xxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}"
27,10,openai,gpt-4.1-mini,False,"Error: OpenAI query failed: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-xxxxx***********************xxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}"
27,11,openai,gpt-4.1-mini,False,"Error: OpenAI query failed: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-xxxxx***********************xxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}"
27,12,openai,gpt-4.1-mini,False,"Error: OpenAI query failed: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-xxxxx***********************xxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}"
27,13,openai,gpt-4.1-mini,False,"Error: OpenAI query failed: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-xxxxx***********************xxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}"
27,14,openai,gpt-4.1-mini,False,"Error: OpenAI query failed: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-xxxxx***********************xxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}"
27,15,openai,gpt-4.1-mini,False,"Error: OpenAI query failed: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-xxxxx***********************xxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}"
27,16,openai,gpt-4.1-mini,False,"Error: OpenAI query failed: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-xxxxx***********************xxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}"
27,17,openai,gpt-4.1-mini,False,"Error: OpenAI query failed: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-xxxxx***********************xxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}"
27,18,openai,gpt-4.1-mini,False,"Error: OpenAI query failed: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-xxxxx***********************xxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}"
27,19,openai,gpt-4.1-mini,False,"Error: OpenAI query failed: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-xxxxx***********************xxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}"
27,20,openai,gpt-4.1-mini,False,"Error: OpenAI query failed: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-xxxxx***********************xxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}"
27,21,openai,gpt-4.1-mini,False,"Error: OpenAI query failed: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-xxxxx***********************xxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}"
27,22,openai,gpt-4.1-mini,False,"Error: OpenAI query failed: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-xxxxx***********************xxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}"
27,23,openai,gpt-4.1-mini,False,"Error: OpenAI query failed: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-xxxxx***********************xxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}"
27,24,openai,gpt-4.1-mini,False,"Error: OpenAI query failed: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-xxxxx***********************xxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}"
27,25,openai,gpt-4.1-mini,False,"Error: OpenAI query failed: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-xxxxx***********************xxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}"
27,26,openai,gpt-4.1-mini,False,"Error: OpenAI query failed: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-xxxxx***********************xxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}"
27,27,openai,gpt-4.1-mini,False,"Error: OpenAI query failed: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-xxxxx***********************xxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}"
27,28,openai,gpt-4.1-mini,False,"Error: OpenAI query failed: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-xxxxx***********************xxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}"
27,29,openai,gpt-4.1-mini,False,"Error: OpenAI query failed: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-xxxxx***********************xxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}"
27,30,openai,gpt-4.1-mini,False,"Error: OpenAI query failed: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-xxxxx***********************xxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}"
27,31,openai,gpt-4.1-mini,False,"Error: OpenAI query failed: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-xxxxx***********************xxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}"
27,32,openai,gpt-4.1-mini,False,"Error: OpenAI query failed: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-xxxxx***********************xxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}"
27,33,openai,gpt-4.1-mini,False,"Error: OpenAI query failed: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-xxxxx***********************xxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}"
27,34,openai,gpt-4.1-mini,False,"Error: OpenAI query failed: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-xxxxx***********************xxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}"
27,35,openai,gpt-4.1-mini,False,"Error: OpenAI query failed: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-xxxxx***********************xxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}"
27,36,openai,gpt-4.1-mini,False,"Error: OpenAI query failed: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-xxxxx***********************xxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}"
27,37,openai,gpt-4.1-mini,False,"Error: OpenAI query failed: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-xxxxx***********************xxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}"
27,38,openai,gpt-4.1-mini,False,"Error: OpenAI query failed: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-xxxxx***********************xxxx. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}"
