model_type,model_name,document_id,constraint_id,category,description,source_section_number,geographic_scope,context_quote,component_name
deepseek,deepseek-chat,1,C-001,Regulatory Requirement,Establishment of a national offshore wind energy production target.,5.2,National,The first guideline is the Establishment of a national offshore wind energy production target.,Offshore Wind Farm
deepseek,deepseek-chat,1,C-002,Regulatory Requirement,Mapping of marine offshore wind zones.,5.2,Marine areas,The second guideline is the Mapping of marine offshore wind zones.,Offshore Wind Farm
deepseek,deepseek-chat,1,C-003,Regulatory Requirement,Adoption of a 'one-stop-shop' procedure for licensing.,5.2,National,The third guideline is the adoption of a One-stop-shop procedure.,Offshore Wind Farm
deepseek,deepseek-chat,1,C-004,Regulatory Requirement,Maritime land concession regimes: Open-doors and Tenders.,5.2,Marine areas,The fourth guideline concerns the Maritime land concession Regimes: Open-doors and Tenders.,Offshore Wind Farm
deepseek,deepseek-chat,1,C-005,Regulatory Requirement,Development of a Standard procedure guide in environmental licensing for offshore wind farms.,5.2,National,The fifth guideline concerns the development of a Standard procedure guide in environmental licensing for offshore wind farms.,Offshore Wind Farm
deepseek,deepseek-chat,1,C-006,Regulatory Requirement,Development of Environmental Impact Assessment (EIA).,5.2,Project site,The sixth guideline is the Development of Environmental Studies: Environmental Impact Assessment (EIA).,Environmental Impact Assessment
deepseek,deepseek-chat,1,C-007,Regulatory Requirement,Development of Strategic Environmental Assessment (SEA).,5.2,Marine areas,"For the SEA studies, a competent authority may investigate future seabed areas to be leased for OWP projects to ensure a faster environmental consenting process and the protection of the marine environment.",Strategic Environmental Assessment
deepseek,deepseek-chat,1,C-008,Regulatory Requirement,Development of Habitats Regulations Assessment (HRA).,5.2,Protected habitats,"Regarding the HRA studies, the identification of areas must be undertaken in accordance with nature conservation in EEZ, as determined by law for European countries.",Habitats Regulations Assessment
deepseek,deepseek-chat,1,C-009,Regulatory Requirement,"Public, authorities, and stakeholders' consultation.",5.2,Project site,"The seventh guideline is the Public, authorities, and stakeholders' consultation.",Offshore Wind Farm
deepseek,deepseek-chat,1,C-010,Regulatory Requirement,Development and submission of the Supply Chain Development Statement (SCDS).,5.2,National,The eighth guideline is the development and submission of the Supply Chain Development Statement (SCDS).,Offshore Wind Farm
