model_name,document_number,type_of_wind_farm,chunk_number,document_id,constraint_type,requirement,scope,numerical_value,unit,source,related_domains
claude-3-haiku-20240307,,Onshore,12,31,Spatial,"The developer may need to include a landowner's property in the project's ""footprint"" and encumber it with a Wind Energy Land Agreement even though no physical project facilities will be located on the property.",Landowner properties without turbines,,,,"Land use, Property rights"
claude-3-haiku-20240307,,Onshore,12,31,Jurisdictional,"When the developer wants to place on one landowner's property a substation or an O&M facility that will serve the entire wind energy project, the landowner may believe it is entitled to additional compensation for the added benefit to the developer and added burden on the owner and loss of usable property caused by construction of such a facility on its property.",Landowner properties with project facilities,,,,"Property rights, Compensation"
claude-3-haiku-20240307,,Onshore,12,31,Spatial,"The same may be true for transmission lines, collector lines, access and crane roads, and other features that remove land area from the landowner's continuing farm or other use or that preclude wind development by other competing developers even if no facilities at all are placed on its property.",Landowner properties with project infrastructure,,,,"Land use, Property rights"
claude-3-haiku-20240307,,Onshore,16,31,Jurisdictional,"Certain states, particularly in the Midwest, impose strict timelines that must be met to keep the Wind Energy Land Agreement in effect, and, depending on the state, development of the project must commence or commercial operations must begin within specified time periods, even if the Wind Energy Land Agreement contains a more flexible provision.",Midwest states,,,State statutes,Jurisdictional
claude-3-haiku-20240307,,Onshore,16,31,Temporal,"The developer may also reserve the right to further extend the term for additional renewal periods, often ranging from 20 to 30 years, and to ""repower"" all or part of the project at some point during the extended term or otherwise extend the life of the project.",Wind Energy Land Agreement,20,years,Wind Energy Land Agreement,Temporal
claude-3-haiku-20240307,,Onshore,31,31,Jurisdictional,"The developer considering such a third-party arrangement would have to confirm whether, how, and under what conditions its Wind Energy Land Agreement allowed such third-party rights and what, if any, additional compensation and other obligations might be owed to the landowner.",Wind farm projects with third-party storage facilities,,,Wind Energy Land Agreement,"Jurisdictional, Contractual"
claude-3-haiku-20240307,,Onshore,31,31,Technical,"Adding a series of electric car batteries removed from junked electric cars to a wind project, with a few per turbine (for instance) to offset imbalance issues, should not materially affect any other project facility or require extensive additional land or infrastructure.",Wind farms with integrated energy storage,,,,"Technical, Energy Storage"
claude-3-haiku-20240307,,Onshore,47,31,Spatial,"Specialized access roads, sometimes even requiring alterations to the public roads serving the project site. Development may not be possible if the access road serving the project area is a twisting, 15-foot-wide, private easement over adjacent lands owned by one or more third parties or the easement provides that it is limited to agricultural use or to certain times or seasons or other limited use.",Wind project facilities,15,feet,STOEL RIVES LLP,Technical; Jurisdictional
claude-3-haiku-20240307,,Onshore,47,31,Jurisdictional,"An easement that is tied to (is appurtenant to) a particular parcel or parcels sought to be accessed and potentially developed cannot typically lawfully be used to access other parcels or areas, even if those other parcels or areas are adjacent to or accessible from the appurtenant (benefited) parcels.",Wind project facilities,,,STOEL RIVES LLP,Spatial
claude-3-haiku-20240307,,Onshore,55,31,Jurisdictional,"Evaluate whether a subordination agreement is required, or if a nondisturbance and attornment agreement will suffice, and whether the prior lender or lessee will agree to provide such comfort to the wind developer.",Mortgages and prior leases,,,,"Legal, Contractual"
claude-3-haiku-20240307,,Onshore,55,31,Jurisdictional,"The developer will want to ensure that the curative arrangements made with a tenant farmer, for instance, are consistent with the developer's obligations to the landowner under its site control agreement.",Tenant farmer agreements,,,,"Legal, Contractual"
claude-3-haiku-20240307,,Onshore,55,31,Jurisdictional,"Evaluate whether a consent and crossing agreement is necessary, or if a modification of an existing easement, such as confining an otherwise blanket easement to a specific, limited location, will suffice (and be available).",Existing easements encumbering the project lands,,,,"Legal, Contractual"
claude-3-haiku-20240307,,Offshore and Onshore,75,31,Environmental,"The Migratory Bird Treaty Act (MBTA) and Bald and Golden Eagle Protection Act (Eagle Act) generally prohibit some form of 'take' (i.e., injury or killing) of protected species.",Wind energy projects,,,Migratory Bird Treaty Act (MBTA) and Bald and Golden Eagle Protection Act (Eagle Act),Environmental
claude-3-haiku-20240307,,Offshore and Onshore,75,31,Jurisdictional,"The Endangered Species Act (ESA) provides two mechanisms for obtaining permits for incidental take of protected species, including a formal section 7 consultation under the ESA, or a section 10 'incidental take permit' (ITP) that authorizes the take of a species that is 'incidental to, and not the purpose of, carrying out an otherwise lawful activity'.",Wind energy projects,,,Endangered Species Act (ESA),"Environmental, Jurisdictional"
claude-3-haiku-20240307,,Offshore and Onshore,75,31,Jurisdictional,An ITP must be accompanied by a Habitat Conservation Plan that receives U.S. Fish & Wildlife Service (FWS or the Service) approval.,Wind energy projects,,,Endangered Species Act (ESA),"Environmental, Jurisdictional"
claude-3-haiku-20240307,,Offshore and Onshore,75,31,Jurisdictional,"Since 2009, Eagle Act regulations have provided a mechanism to secure eagle ITPs for take that is associated with, but not the purpose of, a particular activity.",Wind energy projects,,,Bald and Golden Eagle Protection Act (Eagle Act),"Environmental, Jurisdictional"
claude-3-haiku-20240307,,Offshore and Onshore,75,31,Technical,"In 2013, the FWS issued its final Eagle Conservation Plan Guidance (ECPG) to promote compliance with the Eagle Act and provide in-depth guidance for conserving bald and golden eagles in the course of siting, constructing, and operating wind energy facilities.",Wind energy facilities,,,Eagle Conservation Plan Guidance (ECPG),"Environmental, Technical"
claude-3-haiku-20240307,N/A,Onshore,79,31,Environmental,"Attempt to avoid sensitive habitats, consider mitigation for habitat impacts that cannot be avoided, and provide for soil conservation and any necessary erosion-control measures.",Onshore wind farms,,,N/A,Environmental
claude-3-haiku-20240307,N/A,Onshore,79,31,Visual,"Lights on the turbines, which are typically required by the Federal Aviation Administration (""FAA"") and the Department of Defense (""DOD""), can have nighttime visual impacts.",Onshore and offshore wind farms,,,FAA and DOD,Visual
