model_type,model_name,document_id,constraint_id,category,description,value,unit,source_section_number,geographic_scope,context_quote,component_name
claude,claude-3-haiku-20240307,49,C-001,Design Specification,Up to 94 wind turbine generators will be installed within 102 potential positions,94,turbines,2.0,Sunrise Wind Farm (SRWF),"The proposed Project would allow Sunrise Wind to construct, operate, maintain, and eventually decommission a wind energy facility with an operating capacity ranging between 924 megawatts (MW) and 1,034 MW in scale. The Project would include up to 94 wind turbine generators (WTGs) at 102 potential locations, one Offshore Converter Station (OCS-DC), offshore export cable routes, onshore cable landfall sites, onshore cable routes, and onshore substation locations.",Wind Turbine Generators
claude,claude-3-haiku-20240307,49,C-002,Design Specification,Wind turbine generators will have a maximum upper blade tip height of 787 feet (240 meters) above mean sea level,787,feet,2.2.1,Sunrise Wind Farm (SRWF),The WTGs would be sited in a uniform east-west/north-south grid with 1.15 by 1.15-mile (mi) (1 by 1-nautical mile [nm]; 1.85 by 1.85 kilometer [km]) spacing. Sunrise Wind would maintain diagonal lanes between 0.7 and 0.9 mi (0.6 to 0.8 nm; 1.1 and 1.5 km) wide when micrositing foundations. Sunrise Wind would mount the WTGs on monopile foundations. The WTG foundations as proposed in the COP would be 39 ft (12 m) in diameter at the seabed and 23 ft (7 m) in diameter at the sea surface (Sunrise Wind 2022). The upper blade tip height of the WTGs would be 787 ft (240 m) above mean sea level (AMSL).,Wind Turbine Generators
claude,claude-3-haiku-20240307,49,C-003,Design Specification,The offshore converter station (OCS-DC) will be placed on a four-legged piled jacket foundation,,,2.2.1,Sunrise Wind Farm (SRWF),The OCS-DC would be placed on an up to four-legged piled jacket foundation. A piled jacket foundation is formed of a steel lattice construction (comprising tubular steel members and welded joints) secured to the seafloor by means of hollow steel pin piles attached to the jacket.,Offshore Converter Station
claude,claude-3-haiku-20240307,49,C-004,Design Specification,The offshore export cable (SRWEC) will consist of one 320-kilovolt (kV) DC cable bundle buried to a target depth of 3 to 7 feet (1 to 2 meters),"[3, 7]",feet,2.2,Offshore export cable route,The SRWEC would be located in federal and New York state waters and would be one 320-kilovolt (kV) DC export cable bundle buried to a target depth of 3 to 7 feet (ft) (1 to 2 meters [m]).,Offshore Export Cables
claude,claude-3-haiku-20240307,49,C-005,Design Specification,"The onshore transmission cable will be buried underground for up to 339 feet (4,080 meters)",339,feet,2.2,Onshore transmission cable route,"The onshore portion of the SRWEC, up to 339 ft (4,080 m) would be buried underground.",Onshore Transmission Cable
claude,claude-3-haiku-20240307,49,C-006,Design Specification,"A temporary pile-supported pier will be constructed on the inshore side of Fire Island, extending approximately 240 feet (73 meters) offshore and 16 feet (4.9 meters) wide","[240, 16]","['feet', 'feet']",2.2,Temporary pier location on Fire Island,"To allow for the transportation of equipment and materials from Long Island to the construction site on Fire Island, a temporary pile-supported pier would be constructed on the inshore side of Fire Island. The pier would extend approximately 240 feet (73 m) offshore and be approximately 16-feet (4.9-m) wide.",Temporary Pile-Supported Trestle
claude,claude-3-haiku-20240307,49,C-007,Design Specification,"The temporary pier will use up to 24 production piles and up to 24 temporary piles, either 14 x 14-inch (36.5 x 36.5 cm) H-shaped or 16-inch (40.6-cm) diameter round steel piles","[24, 24]","['piles', 'piles']",2.2,Temporary pier location on Fire Island,"The precise pier design and type of piles have not yet been determined, but it is anticipated that up to 24 production piles would be used. Production piles would be either a 14 x 14-inch (36.5 x 36.5 cm) H-shaped pile or a 16-inch (40.6-cm) diameter round steel pile. In addition, up to 24 temporary piles (of the same size as the production piles) may be used to support the installation of the production piles and may be installed and removed during construction activities.",Temporary Pile-Supported Trestle
claude,claude-3-haiku-20240307,49,C-008,Design Specification,"Up to two horizontal directional drill (HDD) cables will be installed at the landfall site, each with a maximum length of 0.9 miles (1.5 kilometers) and a diameter of 3 feet (0.9 meters)","[0.9, 3]","['miles', 'feet']",2.2,Landfall site at Smith Point County Park,There would be a total of 6 HDD cable ducts with a target burial depth of 5 to 75 ft (1.5 to 25 m). The ducts would have a maximum length of 0.9 mi (1.5 km) and a diameter of 3 ft (0.9 m).,Horizontal Directional Drilling
claude,claude-3-haiku-20240307,49,C-009,Design Specification,Up to six goal posts made of two vertical sheet piles and a horizontal cross beam may be installed to support the HDD casing pipes,6,goal posts,2.2,Landfall site at Smith Point County Park,Up to six goal posts may be installed to support installation of the casing pipe. Each goal post would be composed of two vertical sheet piles and a horizontal cross beam.,Horizontal Directional Drilling
claude,claude-3-haiku-20240307,49,C-010,Design Specification,Up to 20 additional support sheet piles may be installed to help anchor the barge and support HDD construction activities,20,sheet piles,2.2,Landfall site at Smith Point County Park,"In addition to the goal posts, up to 20 additional support sheet piles 100 feet (30 m) long, 2 feet (0.6 m) wide, and 1 inch thick may be installed to help anchor the barge and support construction activities.",Horizontal Directional Drilling
