model_type,model_name,document_id,constraint_id,category,description,value,unit,source_section_number,geographic_scope,context_quote,component_name
gemini,gemini-1.5-pro,16,C-001,Design Specification,Between 105 and 136 WTGs for Project 1 and between 64 and 95 WTGs for Project 2.,,,3.1,Project 1 and Project 2,"up to 200 total WTGs (between 105 and 136 WTGs for Project 1, and between 64 and 95 WTGs for Project 2)",Wind Turbine Generators
gemini,gemini-1.5-pro,16,C-002,Design Specification,Up to 5 OSSs in each project.,5.0,,3.1,Each project,up to 10 OSSs (up to 5 in each Project),Offshore Substations
gemini,gemini-1.5-pro,16,C-003,Design Specification,Up to 1 permanent met tower.,1.0,,3.1,,up to 1 permanent met tower,Met Tower
gemini,gemini-1.5-pro,16,C-004,Design Specification,Up to 3 metocean buoys in Project 1 and 1 in Project 2.,,,3.1,Project 1 and Project 2,"up to 4 temporary metocean buoys (up to 1 met tower and 3 metocean buoys in Project 1, and 1 metocean buoy in Project 2)",Metocean Buoys
gemini,gemini-1.5-pro,16,C-005,Design Specification,2 onshore substations.,2.0,,3.1,,2 onshore substations,Onshore Substations
gemini,gemini-1.5-pro,16,C-006,Design Specification,1 O&M facility.,1.0,,3.1,,1 O&M facility,Operation & Maintenance Facility
gemini,gemini-1.5-pro,16,C-007,Design Specification,Up to 8 transmission cables.,8.0,,3.1,,up to 8 transmission cables,Transmission Cables
gemini,gemini-1.5-pro,16,C-008,Design Specification,Maximum hub height of 522 ft AMSL and maximum blade tip height of 932 ft AMSL for Project 1 WTGs.,522.0,ft,3.1,Project 1,The remaining turbines in Project 1 would be restricted to a maximum hub height of 522 ft (159 m) above mean sea level (AMSL) and maximum blade tip height of 932 ft (284 m) AMSL.,Wind Turbine Generators
gemini,gemini-1.5-pro,16,C-009,Design Specification,"No more than 197 permanent structures (WTGs, OSSs, and/or met tower).",197.0,,Appendix B,,"The total number of permanent structures constructed (WTGs, OSSs, and/or met tower) may not exceed 197.",Wind Turbine Generators
gemini,gemini-1.5-pro,16,C-010,Environmental Mitigation,Remove a single turbine approximately 150 to 200 ft from the Fish Haven (Atlantic City Artificial Reef Site).,150.0,ft,Appendix B,Fish Haven (Atlantic City Artificial Reef Site),the removal of a single turbine approximately 150 to 200 feet (45.8 to 61 meters) from the observed Fish Haven (Atlantic City Artificial Reef Site),Wind Turbine Generators
gemini,gemini-1.5-pro,16,C-011,Environmental Mitigation,"Microsite up to 29 WTGs, 1 OSS, and associated interarray cables outside of the 1,000-foot buffer of the ridge and swale features within NMFS-identified AOCs 1 and 2.",1000.0,foot,Appendix B,NMFS-identified AOCs 1 and 2,"microsite up to 29 WTGs [15], 1 OSS, and associated interarray cables outside of the 1,000-foot (305-meter) buffer of the ridge and swale features within the NMFS-identified Areas of Concern (AOC) 1 and 2",Wind Turbine Generators
gemini,gemini-1.5-pro,16,C-012,Design Specification,Minimum 0.81-nmi setback between WTGs in Atlantic Shores South and WTGs in Ocean Wind 1 (Lease Area OCS-A 0498).,0.81,nmi,Appendix B,Between Atlantic Shores South and Ocean Wind 1,"provide a minimum 0.81-nautical mile (1,500-meter) setback between the WTGs in Atlantic Shores South and the WTGs in Ocean Wind 1 (Lease Area OCS-A 0498)",Wind Turbine Generators
gemini,gemini-1.5-pro,16,C-013,Design Specification,"Up to 383 nm of submarine export cables, consisting of up to two routes to New Jersey.",383.0,nm,Appendix B,New Jersey,"up to 383 nm (710 km) of submarine export cables, consisting of up to two routes to New Jersey",Export Cables
gemini,gemini-1.5-pro,16,C-014,Design Specification,Permanent structures must be in a uniform grid spacing with no linear rows and columns less than 0.6 nm by 1 nm.,0.6,nm,Appendix B,,locate all permanent structures in a uniform grid spacing where permanent structures will not be placed in a way that narrows any linear rows and columns to fewer than 0.6 nm (1.100 meters) by 1 nm,Wind Turbine Generators
gemini,gemini-1.5-pro,16,C-015,Safety Standard,"Clearance zone for NARW during impact pile-driving is at any distance observable by visual PSOs plus the 1900m minimum visibility zone and any distance within the 10,000m PAM monitoring zone.",1900.0,m,5.11,From each PSO platform,"At any distance (Minimum visibility zone (1,900 m) plus any additional distance observable by the visual PSOs on all PSO platforms); At any distance within the 10,000 m monitoring zone monitored by PAM",Wind Turbine Generators
gemini,gemini-1.5-pro,16,C-016,Safety Standard,"Shutdown zone for NARW during impact pile-driving is at any distance observable by visual PSOs plus the 1900m minimum visibility zone and any distance within the 10,000m PAM monitoring zone.",1900.0,m,5.11,From each PSO platform,"At any distance (Minimum visibility zone (1,900 m) plus any additional distance observable by the visual PSOs on all PSO platforms); At any distance within the 10,000 m monitoring zone monitored by PAM",Wind Turbine Generators
gemini,gemini-1.5-pro,16,C-017,Safety Standard,"Clearance zone for Fin, Sei, and Sperm Whales during impact pile-driving is 2300m.",2300.0,m,5.11,,"2,300 m",Wind Turbine Generators
gemini,gemini-1.5-pro,16,C-018,Safety Standard,"Shutdown zone for Fin, Sei, and Sperm Whales during impact pile-driving is 1900m.",1900.0,m,5.11,,"1,900 m",Wind Turbine Generators
gemini,gemini-1.5-pro,16,C-019,Safety Standard,Clearance zone for Sea Turtles during impact pile-driving is 250m.,250.0,m,5.11,,250 m,Wind Turbine Generators
gemini,gemini-1.5-pro,16,C-020,Safety Standard,Shutdown zone for Sea Turtles during impact pile-driving is 250m.,250.0,m,5.11,,250 m,Wind Turbine Generators
