model_name,document_number,type_of_wind_farm,chunk_number,document_id,constraint_type,requirement,scope,numerical_value,unit,source,related_domains,total_score,tfidf_mean_similarity,tfidf_max_similarity,jaccard_similarity,semantic_density,match_count,matched_keywords,has_numerical_values,extracted_numerical_value,scoring_method,threshold_level,relevance_category,priority_color
gemini-1.5-pro,Page 17 of 93,Offshore,60,26,Technical,"The use of cable protection measures must not exceed 10 percent of the total export and inter-array cable length, excluding cable crossings and approaches to foundations.",Cable protection measures,10,percent,Section 2.15.1,cable protection,0.1901401969103283,0.0059312299592869,0.4003124391360978,0.0275590551181102,0.6216216216216216,27,outer continental shelf a (partial); cut in wind speed (partial); foundation; cable; number of turbines per row (partial); turbine position y (partial); cable type (partial); wind speed at 10m (partial); distance to substation (partial); gulf of mexico fishery management council (partial),True,10 percent,comprehensive_scientific,0.15,High Relevance,🟠
claude-3-haiku-20240307,,Offshore,35,26,Spatial,"The Lessee may construct and install on the Outer Continental Shelf (OCS) up to 114 wind turbine generators (WTGs), up to 4 offshore substations (OSSs), up to 1 permanent meteorological (met) tower, interarray and interlink cables, and up to 4 export cables within an export cable corridor of up to 35 km (21.7 mi) in length on the OCS.",Outer Continental Shelf (OCS),114,wind turbine generators,Record of Decision (ROD),"Technical, Spatial",0.1875342680721207,0.0095600686904475,0.342799813968814,0.0522388059701492,0.704225352112676,66,tower cost (partial); wind direction (partial); outer continental shelf a (partial); cut in wind speed (partial); lease id (partial); turbine model (partial); turbine spacing (partial); turbine status (partial); cable; outer continental shelf name (partial),True,114 wind turbine generators,comprehensive_scientific,0.15,High Relevance,🟠
gemini-1.5-pro,Page 17 of 93,Offshore,60,26,Technical,"In areas where the final cable burial depth is less than 1.0 m below seabed, excluding cable crossings and within the vicinity of WTG/OSS foundations where cables are enclosed within a cable protection system, the Lessee must install secondary protection such as concrete mattresses, rock bags, or rock placement and must adhere to the scour and cable protection measures in Section 5.3.7.",Cable burial depth and protection,1.0,m,Section 2.15,cable protection; scour protection,0.1843461994118482,0.0089397819436419,0.3950319983713041,0.043010752688172,0.5365853658536586,72,sea depth (partial); wind direction (partial); cooling system (partial); outer continental shelf a (partial); cut in wind speed (partial); turbine model (partial); turbine spacing (partial); foundation; turbine status (partial); min depth (partial),True,1.0 m,comprehensive_scientific,0.15,High Relevance,🟠
gpt-4o-mini,1.1.1,Offshore,35,26,Technical,"The Lessee may construct and install on the Outer Continental Shelf (OCS) up to 114 wind turbine generators (WTGs), up to 4 offshore substations (OSSs), up to 1 permanent meteorological (met) tower, interarray and interlink cables, and up to 4 export cables within an export cable corridor of up to 35 km (21.7 mi) in length on the OCS.",Outer Continental Shelf (OCS),114,WTGs,Record of Decision (ROD),construction; installation; offshore infrastructure,0.1820685693126887,0.0096995080484549,0.3356503601723452,0.0518518518518518,0.6712328767123288,67,tower cost (partial); wind direction (partial); outer continental shelf a (partial); cut in wind speed (partial); lease id (partial); turbine model (partial); turbine spacing (partial); turbine status (partial); cable; outer continental shelf name (partial),True,114 WTGs,comprehensive_scientific,0.15,High Relevance,🟠
gemini-1.5-pro,Page 3 of 93,Offshore,39,26,Technical,"The Lessee must submit a 48-hour notification to BSEE through TIMSWeb prior to the start of each of the following construction activities occurring on the OCS: met tower installation, seabed preparation activities such as boulder relocation and pre-lay grapnel runs, export cable installation, inter-array cable installation, WTG and OSS foundation installation, WTG tower and nacelle installation, OSS topside installation, and cable and scour protection installation.","Construction phase, Offshore wind farm components (Met tower, seabed, cables, foundations, WTG, OSS)",48,hours,,construction management; reporting requirements,0.1716676806226884,0.0140694673279372,0.3254848061931951,0.0577617328519855,0.5684210526315789,79,sea depth (partial); tower cost (partial); wind direction (partial); outer continental shelf a (partial); cut in wind speed (partial); lease id (partial); turbine model (partial); turbine spacing (partial); foundation; farm power output (partial),True,48 hours,comprehensive_scientific,0.15,High Relevance,🟠
gpt-4o-mini,2.15,Offshore,60,26,Technical,"The use of cable protection measures must not exceed 10 percent of the total export and inter-array cable length, excluding cable crossings and approaches to foundations.",Export and inter-array cables,10,percent,Section 2.15.1,cable installation; marine engineering,0.1697008587788995,0.005638873600564,0.3233314173077747,0.03515625,0.6341463414634146,31,outer continental shelf a (partial); cut in wind speed (partial); foundation; cable; number of turbines per row (partial); turbine position y (partial); cable type (partial); wind speed at 10m (partial); installation; distance to substation (partial),True,10 percent,comprehensive_scientific,0.15,High Relevance,🟠
gemini-1.5-pro,,Offshore,65,26,Technical,The Lessee must carry out an initial foundation scour inspection within 6 months of completing the installation of each foundation location.,Foundation scour inspection,6,months,,scour protection; foundation integrity; inspection timing,0.1675042274303894,0.0031538885864855,0.398357293749425,0.024,0.4193548387096774,26,outer continental shelf a (partial); cut in wind speed (partial); foundation; min depth (partial); min kilovolt (partial); number of turbines per row (partial); turbine position y (partial); wind speed at 10m (partial); installation; gulf of mexico fishery management council (partial),True,6 months,comprehensive_scientific,0.15,High Relevance,🟠
gpt-4o-mini,,Offshore,196,26,Technical,"US Wind requested an easement width greater than 200 ft to safely accommodate installation of up to four export cables, as well as spacing of the cables at least three times the water depth to allow for maintenance, repair, and replacement of the export cables as needed.",Export cable installation,200,ft,30 C.F.R. § 585.622(b),cable installation; maintenance,0.1610377465601221,0.0077660318152384,0.2750308795201593,0.0410447761194029,0.6721311475409836,69,sea depth (partial); wind direction (partial); outer continental shelf a (partial); cut in wind speed (partial); lease id (partial); turbine spacing (partial); end date (partial); min depth (partial); cable; current time (partial),True,200 ft,comprehensive_scientific,0.15,High Relevance,🟠
gemini-1.5-pro,,Offshore,59,26,Technical,"The Lessee must comply with cable burial conditions described in the COP by demonstrating proper burial depth of the installed submarine cables along at least 90 percent of the total export cable length on the OCS and 90 percent of the inter-array cable length, excluding cable crossings and approaches to foundations.",Export and inter-array cables on the OCS,90,percent,COP,cable burial,0.1586367012733288,0.0051703692931445,0.3194014916515499,0.0303030303030303,0.546875,33,sea depth (partial); outer continental shelf a (partial); cut in wind speed (partial); foundation; min depth (partial); cable; number of turbines per row (partial); turbine position y (partial); cable type (partial); wind speed at 10m (partial),True,90 percent,comprehensive_scientific,0.15,High Relevance,🟠
gemini-1.5-pro,Page 35 of 93,Offshore,90,26,Safety,"Within 45 days following approval of the COP, the Lessee must provide DON with the names of each entity and person having beneficial ownership or control of 5 percent or more of the Lessee and the project operator, all material vendors and manufacturers who will regularly visit the project, who supply or manufacture equipment used on the project, control equipment used on the project, or have access to associated data systems.","Project stakeholders, vendors, and manufacturers",5,percent,,national security; personnel security,0.1504150272934477,0.002253582536586,0.3507137822562086,0.0177935943060498,0.4074074074074074,47,cooling system (partial); outer continental shelf a (partial); cut in wind speed (partial); lease id (partial); end date (partial); outer continental shelf name (partial); number of turbines per row (partial); power line id (partial); turbine position y (partial); site name (partial),True,5 percent,comprehensive_scientific,0.15,High Relevance,🟠
gpt-4o-mini,Page 35 of 93,Offshore,90,26,Jurisdictional,The Lessee must provide DON with the names of each entity and person having beneficial ownership or control of 5 percent or more of the Lessee and the project operator.,Project planning phase,5,percent,,national security; project ownership,0.14786819965889,0.0023407362644408,0.3302740752697482,0.0155642023346303,0.4473684210526316,42,outer continental shelf a (partial); cut in wind speed (partial); lease id (partial); outer continental shelf name (partial); number of turbines per row (partial); power line id (partial); turbine position y (partial); site name (partial); wind speed at 10m (partial); distance to substation (partial),True,5 percent,comprehensive_scientific,0.1,Medium-High Relevance,🟡
deepseek-chat,NSW-2023-001,Offshore,175,26,Spatial,Minimum spacing between turbines shall be 5 times the rotor diameter in predominant wind direction,Wind turbine array layout,5,rotor diameters,North Sea Wind Consortium Technical Guidelines,technical; energy production,0.146375014656436,0.0123172279934733,0.2323391286232218,0.0483870967741935,0.6206896551724138,73,sea depth (partial); wind direction; outer continental shelf a (partial); cut in wind speed (partial); lease id (partial); turbine model (partial); turbine spacing (partial); turbine status (partial); min depth (partial); current time (partial),True,5 rotor diameters,comprehensive_scientific,0.1,Medium-High Relevance,🟡
