doc_id,chunk,input_text,llm_output
27,1,"##### Revolution Wind, LLC Outer Continental Shelf Preconstruction Air Permit No. OCS-R1-05
### **Draft Outer Continental Shelf Air Permit ** **U.S. Environmental Protection Agency ** **Region 1 **
##### Outer Continental Shelf Air Permit:  Revolution Wind, LLC  Offshore Renewable Wind Energy Development Project

##### EPA Permit Number: OCS-R1-05 Pursuant to the provisions of Section 328 of the Clean Air Act (“CAA”) and the Code of Federal Regulations (“C.F.R.”) Title 40, Part 55, the United States Environmental Protection Agency Region 1 (“EPA”) is issuing an Outer Continental Shelf (“OCS”) air quality permit to construct and operate Revolution Wind LLC’s (“RW”) proposed offshore renewable wind energy development project. RW is authorized to construct up to 100 wind turbine generators (“WTGs”) and up to 2 Offshore Substations (“OSSs”), all of which will be located within federal waters on the OCS, specifically in the Bureau of Ocean Energy Management (“BOEM”) Renewable Energy Lease Area OCS-A 0486 in the Rhode Island-Massachusetts Wind Energy Area.  The construction and operation of the windfarm would be subject to the attached permit conditions and permit limitations. This permit is effective on October 30, 2023, unless review is requested on the permit in accordance with 40 C.F.R. § 124.19 and shall remain in effect until it is surrendered to EPA. This permit does not relieve RW from the obligation to comply with applicable state and federal air pollution control rules and regulations.
# Cash, Digitally signed by Cash, David David Date: 2023.09.28 16:55:49 -04'00'
### **____________________ __________________ **
##### David W. Cash                Date of Signature Regional Administrator

# Cash, David

Digitally signed
by Cash, David
Date: 2023.09.28

16:55:49 -04'00'

##### Page 1 of 29

-----

##### Revolution Wind, LLC Outer Continental Shelf Preconstruction Air Permit No. OCS-R1-05

#### **Acronyms and Abbreviation List **","```json
{
  ""document_metadata"": {
    ""title"": ""Revolution Wind, LLC Outer Continental Shelf Preconstruction Air Permit No. OCS-R1-05"",
    ""document_number"": ""OCS-R1-05"",
    ""Type of wind farm"": ""offshore""
  },
  ""regulatory_constraints"": [
    {
      ""type"": ""Jurisdictional"",
      ""requirement"": ""Compliance with Section 328 of the Clean Air Act and 40 C.F.R. Part 55"",
      ""scope"": ""Federal waters on the Outer Continental Shelf"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""Clean Air Act, 40 C.F.R. Part 55"",
      ""related_domains"": ""Air quality, regulatory compliance""
    },
    {
      ""type"": ""Technical"",
      ""requirement"": ""Authorization to construct up to 100 wind turbine generators (WTGs) and up to 2 Offshore Substations (OSSs)"",
      ""scope"": ""Bureau of Ocean Energy Management (BOEM) Renewable Energy Lease Area OCS-A 0486"",
      ""numerical_value"": ""100 WTGs, 2 OSSs"",
      ""unit"": ""count"",
      ""source"": ""EPA Permit OCS-R1-05"",
      ""related_domains"": ""Wind farm construction, energy production""
    },
    {
      ""type"": ""Environmental"",
      ""requirement"": ""Subject to permit conditions and limitations for air quality"",
      ""scope"": ""Rhode Island-Massachusetts Wind Energy Area"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""EPA Permit OCS-R1-05"",
      ""related_domains"": ""Air pollution control, environmental protection""
    },
    {
      ""type"": ""Jurisdictional"",
      ""requirement"": ""Compliance with applicable state and federal air pollution control rules and regulations"",
      ""scope"": ""Federal and state jurisdictions"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""EPA Permit OCS-R1-05"",
      ""related_domains"": ""Regulatory compliance""
    }
  ],
  ""regulatory_entities"": [
    {
      ""entity_name"": ""U.S. Environmental Protection Agency (EPA) Region 1"",
      ""jurisdiction"": ""Federal"
27,2,"**APPS** Air to Prevent Pollution from Ships

**AQRV** Air Quality Related Values

**BACT** Best Available Control Technology

**BOEM** Bureau of Ocean Energy
Management
**CAA** Clean Air Act
**CA SIP** California State Implementation
Plan

**CERC** Continuous Emission Reduction

Credit
**C.F.R** . Code of Federal Regulations
**CH** **4** Methane

**CO** Carbon Monoxide
**COA** Corresponding Onshore Area
**CO** **2** Carbon Dioxide
**CO** **2** **e** Carbon dioxide equivalent
**CZMA** Coastal Zone Management Act
**DEIS** Draft Environmental Impact
Statement

**DERC** Discrete Emission Reduction Credit
**EAB** Environmental Appeals Board
**EGRID** Environmental Protection Agency’s
Emissions and Generation Resource
Integrated Database
**EIAPP** Engine International Air Pollution
Prevention

**EPA** United States Environmental
Protection Agency
**EJ** Environmental Justice

**ERC** Emission Reduction Credit
**ESA** Endangered Species Act
**ESP** Electrical Substation Platform
**EUG** Emission Unit Group
**FWS** U.S. Fish and Wildlife Service
**GCOPP** Good Combustion and Operation
Practices Plan

**GHG** Greenhouse Gas
**g/kW-hr** Grams per kilowatt-hour
**H** **2** **SO** **4** Sulfuric acid

**HAP** Hazardous Air Pollutant
**HC** Hydrocarbon
**IAPP** International Air Pollution

Prevention
**ISO NE** ISO New England
**KV** Kilovolt

**KW** Kilowatt

**LAER** Lowest Achievable Emission Rate
**MassDEP** Massachusetts Department of
Environmental Protection

**MW** Megawatt
**NHPA** National Historical Preservation Act

**NM** Nautical Mile

**NMFS** National Marine Fisheries Service

**NMHC** Non-methane hydrocarbons
**NNSR** Nonattainment New Source Review

**NSR** New Source Review

**N** **2** **O** Nitrous oxide
**NO** **2** Nitrogen dioxide
**NO** **X** Nitrogen oxides
**OCS** Outer Continental Shelf

**OCS-DC** Offshore Converter Station

**OnCS-DC** Onshore Converter Station
**OECLA** Offshore Export Cable Laying
Activities

**OSS** Offshore Substation","Based on the provided list of abbreviations and acronyms, the document appears to be a glossary or reference list rather than a regulatory or technical document containing specific constraints or requirements for offshore wind farms. Since no explicit regulatory information is provided (only definitions of terms), the output will be `null` for all values.

### Output:
```json
{
  ""document_metadata"": {
    ""title"": null,
    ""document_number"": null,
    ""Type of wind farm"": null
  },
  ""regulatory_constraints"": null,
  ""regulatory_entities"": null
}
```

### Notes:
- The document does not contain regulatory requirements, spatial constraints, environmental thresholds, or technical standards.  
- If you provide a document with explicit regulatory content (e.g., a BOEM lease stipulation, CAA compliance rule, or CZMA consistency determination), I can extract structured data accordingly.  
- Offshore projects typically exclude zoning ordinances (as noted in your instructions).  

Let me know if you'd like to analyze a different document!"
27,3,"**OSCLA** Outer Continental Shelf Lands Act

**Pb** Lead

**PM** Particulate Matter

**PM** **10** Particulate Matter with an
Aerodynamic Diameter <= 10
Microns

**PM** **2.5** Particulate Matter with an
Aerodynamic Diameter <= 2.5
Microns
**PSD** Prevention of Significant
Deterioration

**PTE** Potential to Emit
**SER** Significant Emission Rate
**SRW** **Su** nrise Wind, LLC
**SRWF** Sunrise Windfarm
**SIL** Significant Impact Levels
**SO** **2** Sulfur Dioxide

**TPY** Tons Per Year

**U.S.C.** United States Code
**VOC** Volatile Organic Compounds
**WDA** Wind Development Area
**WTG** Wind Turbine Generator

##### Page 2 of 29

-----","Based on the provided text snippet, there are no explicit regulatory requirements, constraints, or entities mentioned. The content primarily consists of abbreviations and definitions without any regulatory context or enforceable rules.  

### Output:  
```json
{
  ""document_metadata"": {
    ""title"": null,
    ""document_number"": null,
    ""Type of wind farm"": null
  },
  ""regulatory_constraints"": null,
  ""regulatory_entities"": null
}
```  

**Note**: The snippet includes definitions (e.g., **OSCLA**, **PM2.5**, **PSD**) but no actionable regulations or jurisdictional details. Proceeding to the next document is recommended."
27,4,"### **Table of Contents **
##### **SECTION I. Introduction (Informational Purposes Only).............................................. 4** **SECTION II. Equipment (Informational Purposes Only) ................................................ 5** **SECTION III. Definitions ...................................................................................................... 9** **SECTION IV. Emission Limits ........................................................................................... 13** **SECTION V. NNSR Offsets ............................................................................................... 21** **SECTION VI. Operating Requirements and Work Practice Standards ........................ 21** **SECTION VII. Testing Requirements ................................................................................. 22** **SECTION VIII. Recordkeeping Requirements .................................................................... 23** **SECTION IX. Reporting Requirements ............................................................................. 25** **SECTION X. General Conditions ...................................................................................... 26** **SECTION XI. Right of Entry .............................................................................................. 27** **SECTION XII. Transfer of Ownership ................................................................................ 28** **SECTION XIII. Severability ................................................................................................... 28** **SECTION XIV. Permit Fees ................................................................................................... 28** Page 3 of 29

-----","Based on the provided Table of Contents, the document appears to be a regulatory or permitting document related to emissions, operating requirements, testing, recordkeeping, and reporting for a facility (potentially including offshore wind farms). However, the excerpt does not contain explicit regulatory constraints or entities related to offshore wind farm planning, construction, or operation.  

Since the document does not provide direct offshore wind farm regulatory details (e.g., spatial, technical, or environmental constraints), I will return `null` for this analysis.  

### Output:  
```json
{
  ""document_metadata"": {
    ""title"": null,
    ""document_number"": null,
    ""Type of wind farm"": null
  },
  ""regulatory_constraints"": null,
  ""regulatory_entities"": null
}
```  

**Note:** If the full document contains offshore wind farm regulations (e.g., in Sections IV, VI, or VII), please provide the relevant excerpts for extraction. Currently, only the Table of Contents is available, which does not specify offshore wind farm rules."
27,5,"##### Revolution Wind, LLC Outer Continental Shelf Preconstruction Air Permit No. OCS-R1-05
### **SECTION I. Introduction (Informational Purposes Only) **
##### Revolution Wind, LLC (“Revolution” or “RW” or the “applicant”) has applied for a preconstruction permit for a new project to construct up to one hundred (100) wind turbine generators (“WTGs”), submarine cables between the WTGs (inter-array cables), OSS Link Cables, Export Cables, and up to two Offshore Substations (“OSSs”), all of which will be located within federal waters on the OCS, specifically in the Bureau of Ocean Energy Management (“BOEM”) Renewable Energy Lease Area OCS-A 0486. The project is anticipated to have a full production capacity between 704 and 880 megawatts (“MW”) of renewable energy.  The Revolution Wind project is part of the same stationary source as the South Fork Wind project, which is owned and operated by South Fork Wind, LLC (“South Fork” or “SFW”). The Revolution Wind project is a major modification to the SFW major source. The SFW project is in BOEM Lease Area OCS-A 0517 and operates under a separate preconstruction Permit No. OCS-R1-04 issued on January 18, 2022. SFW is considered a major Prevention of Significant Deterioration (“PSD”) stationary source subject to New Source Review (“NSR”) for NO 2 and PM 2.5, and a major Nonattainment NSR (“NNSR”) for ozone (specifically the precursor NO X ). The boundary between the RW and SFW projects is their respective Lease Area(s) which form the basis for determining whether a particular piece of equipment and source of emissions is considered part of the RW or SFW project and in which permit it should be addressed.  The RW project is a major PSD stationary source for NSR pollutants for which the corresponding onshore area is designated attainment or unclassifiable. This project triggers PSD review because the total emissions for the stationary source (i.e., SFW) prior to the RW project exceeds the PSD major source thresholds. Based on the emission levels for the RW project, NO 2, CO, PM 10, PM 2.5, and GHG are the regulated NSR pollutants that will be emitted by Revolution in quantities exceeding the respective PSD Significant Emission Rate (“SER”). The pollutants from this project subject to the best available control technology (“BACT”) are NO 2, CO, PM 10, PM 2.5, and GHG.  Regulated NSR pollutants (and their precursors in the case of ozone) for which the Corresponding Onshore Area (“COA”) is either a designated nonattainment area or is located in the Ozone Transport Region (“OTR”) are not subject to PSD review and instead are subject to major NNSR permitting. The Revolution Wind project exceeds the NNSR SER for the ozone precursors NO X and VOC. Therefore, the ozone precursors NO X and VOC are not subject to PSD review but are instead subject to major NNSR permitting. The pollutants from this project subject to the lowest achievable emission rate (“LAER”) are NO X and VOC.  For the purposes of fulfilling requirements for pollutants below major source thresholds but above Massachusetts’s minor source permitting or plan approval thresholds, a BACT determination is made for other NSR regulated pollutants, namely sulfur dioxide (SO 2 ). Page 4 of 29","```json
{
  ""document_metadata"": {
    ""title"": ""Revolution Wind, LLC Outer Continental Shelf Preconstruction Air Permit No. OCS-R1-05"",
    ""document_number"": ""OCS-R1-05"",
    ""Type of wind farm"": ""offshore""
  },
  ""regulatory_constraints"": [
    {
      ""type"": ""Environmental"",
      ""requirement"": ""The project is subject to Prevention of Significant Deterioration (PSD) review for NO2, CO, PM10, PM2.5, and GHG due to exceeding the PSD Significant Emission Rate (SER)."",
      ""scope"": ""Federal waters on the Outer Continental Shelf (OCS), specifically in BOEM Renewable Energy Lease Area OCS-A 0486"",
      ""numerical_value"": """",
      ""unit"": """",
      ""source"": ""Revolution Wind, LLC Outer Continental Shelf Preconstruction Air Permit No. OCS-R1-05"",
      ""related_domains"": ""Air quality, emissions control""
    },
    {
      ""type"": ""Environmental"",
      ""requirement"": ""The project is subject to major Nonattainment New Source Review (NNSR) permitting for ozone precursors NOX and VOC due to exceeding the NNSR SER."",
      ""scope"": ""Federal waters on the Outer Continental Shelf (OCS), specifically in BOEM Renewable Energy Lease Area OCS-A 0486"",
      ""numerical_value"": """",
      ""unit"": """",
      ""source"": ""Revolution Wind, LLC Outer Continental Shelf Preconstruction Air Permit No. OCS-R1-05"",
      ""related_domains"": ""Air quality, emissions control""
    },
    {
      ""type"": ""Technical"",
      ""requirement"": ""Best Available Control Technology (BACT) is required for NO2, CO, PM10, PM2.5, and GHG."",
      ""scope"": ""Federal waters on the Outer Continental Shelf (OCS), specifically in BOEM Renewable Energy Lease Area OCS-A 0486"",
      ""numerical_value"": """",
      ""unit"": """",
      ""source"": ""Revolution Wind, LLC Outer Continental Shelf Preconstruction Air Permit No. OCS-R1-05"",
      ""related_domains"": ""Emissions control, technology standards""
    },
    {
      ""type"": ""Technical"",
      ""requirement"": ""Lowest Achievable Emission"
27,6,"-----

##### Revolution Wind, LLC Outer Continental Shelf Preconstruction Air Permit No. OCS-R1-05
### **SECTION II. Equipment (Informational Purposes Only) **
##### The Revolution Wind project is required to apply BACT to all the new emission units proposed in this project which emit NO 2, CO, PM 10, PM 2.5, and GHG. State BACT requirements derived from Massachusetts’ regulations apply to all the new emission units proposed in this project which emit SO 2 .The Revolution Wind project is required to apply LAER to all the new emission units proposed in this project which emit NO X and VOC. The following tables are a narrative description of the proposed equipment in the permit application for the RW project. The list of equipment and descriptions are intended for informational purposes only. The Project’s emission sources will primarily be compression-ignition internal combustion engines (“CI-ICE”). These include engines on vessels while operating as OCS source(s) and engines on the WTGs and OSSs. The medium and high-voltage gas insulated switchgears (“GISs”) on the OSS have the potential to emit SF 6, which is considered a GHG. Per the permit application, the facility has stated that the WTGs will not utilize SF 6 within the GIS, which are typically located at the base of the turbine. Therefore, the GIS located on the OSS (Medium Voltage (MV) and High Voltage (HV)) are the only emission source of SF 6 .","```json
{
  ""document_metadata"": {
    ""title"": ""Revolution Wind, LLC Outer Continental Shelf Preconstruction Air Permit No. OCS-R1-05"",
    ""document_number"": ""OCS-R1-05"",
    ""Type of wind farm"": ""offshore""
  },
  ""regulatory_constraints"": [
    {
      ""type"": ""Environmental"",
      ""requirement"": ""Best Available Control Technology (BACT) must be applied to all new emission units emitting NO2, CO, PM10, PM2.5, and GHG."",
      ""scope"": ""Revolution Wind project"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""Massachusetts regulations"",
      ""related_domains"": ""Air quality, emissions control""
    },
    {
      ""type"": ""Environmental"",
      ""requirement"": ""Lowest Achievable Emission Rate (LAER) must be applied to all new emission units emitting NOX and VOC."",
      ""scope"": ""Revolution Wind project"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""Permit application"",
      ""related_domains"": ""Air quality, emissions control""
    },
    {
      ""type"": ""Technical"",
      ""requirement"": ""Medium and high-voltage gas insulated switchgears (GISs) on the OSS must manage SF6 emissions, as SF6 is considered a GHG."",
      ""scope"": ""Offshore Substation (OSS)"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""Permit application"",
      ""related_domains"": ""Greenhouse gas emissions, electrical infrastructure""
    }
  ],
  ""regulatory_entities"": [
    {
      ""entity_name"": ""Massachusetts regulatory authorities"",
      ""jurisdiction"": ""State"",
      ""role"": ""Enforcement of BACT requirements for SO2 emissions""
    },
    {
      ""entity_name"": ""Permitting authority (unspecified)"",
      ""jurisdiction"": ""Federal (Outer Continental Shelf)"",
      ""role"": ""Administration and enforcement of air permit conditions""
    }
  ]
}
```"
27,7,"|EUG 1 Offshore Engines on OSS(s) and WTG(s)|Col2|Col3|Col4|Col5|
|---|---|---|---|---|
|Engine Engine Rating, EU ID Description Type of Equipment Count kW (hp)|||||
|Construction Equipment|||||
|OSS/OCS Installation & Auxiliary Generator on RW-1, RW-2 2 597 (800) Commissioning OSS/OCS|||||
|RW-3, RW-4, Offshore OSS/OCS Installation Temporary Generator 4 156 (209) RW-5, RW-6 & Commissioning on OSS|||||
|Generator for Cable RW-7 Offshore Array Cable Installation 1 37 (50) Pull-WTG|||||
|Generator for Cable RW-8, RW-9 Offshore Array Cable Installation 2 75 (100) Pull-OSS/OCS|||||
|Offshore WTG Installation & Temporary Generator RW-10, 11 2 24 (32) Commissioning on WTG|||||
|Operating Equipment|||||
|Generator on RW-12, 13 OSS/OCS Permanent Generators 2 597 (800) OSS/OCS|||||
|RW-14 thru RW- 20|WTG O&M Repair|Generator on WTG|6|120 (160)|

##### **EUG 2  Marine Engines on Vessels when Operating as Potential OCS Source(s) ** A marine vessel typically has two (2) kinds of engines which could be affected units when considered an OCS source: 1) propulsion engines, also referred to as main engines, which supply power to move the vessel but could also be used to supply power for purposes of performing a given stationary source function, i.e., for example to lift, support, and orient the components of each WTG during installation); and 2) auxiliary engines, which supply power for non-propulsion (e.g., electrical) loads.  Page 5 of 29

-----

##### Revolution Wind, LLC Outer Continental Shelf Preconstruction Air Permit No. OCS-R1-05","```json
{
  ""document_metadata"": {
    ""title"": ""Revolution Wind, LLC Outer Continental Shelf Preconstruction Air Permit No. OCS-R1-05"",
    ""document_number"": ""OCS-R1-05"",
    ""Type of wind farm"": ""offshore""
  },
  ""regulatory_constraints"": null,
  ""regulatory_entities"": null
}
```"
27,8,"|Main Engine Auxiliary Engine Marine Vessel Vessel Type Rating (kW) Rating (kW)|Col2|Col3|Col4|
|---|---|---|---|
|Heavy Lift Installation Monopile Installation 26,640 1,100 Vessel||||
|Heavy Lift Installation Monopile Installation 34,560 1,100 Vessel||||
|Heavy Lift Installation Monopile Installation NA 4 Vessel (Generator Small)||||
|Heavy Lift Installation Monopile Installation NA 746 Vessel (Power Pack)||||
|Towing Tug (for fuel Monopile Installation 11,060 238 barge)||||
|Monopile Installation Anchor Handling Tug 11,060 238||||
|Monopile Installation Rock Dumping Vessel 13,500 1,692||||
|Monopile Installation Vessel for Bubble Curtain 11,060 874||||
|Vessel for Bubble Curtain Monopile Installation NA 358 (Generator (Large))||||
|Heavy Transport Vessel Monopile Installation NA 4 (Generator (Small))||||
|Monopile Installation Heavy Transport Vessel 11,952 3,600||||
|Monopile Installation Heavy Transport Vessel 11,952 3,600||||
|Monopile Installation Heavy Transport Vessel 11,952 3,600||||
|Monopile Installation Crew Transport Vessel 2,352 48||||
|PSO Noise Monitoring Monopile Installation 11,060 238 Vessel||||
|Monopile Installation Platform Supply Vessel 6,000 874||||
|Monopile Installation Platform Supply Vessel 1,825 525||||
|OSS Topside Installation Heavy Transport Vessel 13,000 1,220||||
|Turbine Installation Jack-up Installation Vessel 21,000 895||||
|Jack-up Installation Vessel Turbine Installation NA 4 (Generator (Small))||||
|Jack-up Installation Vessel Turbine Installation NA 67 (Cherry Picker)||||
|Feeder Barge (Generator Turbine Installation NA 30 (Large))||||
|Towing Tug (for fuel Turbine Installation 11,060 238 barge)||||
|Offshore Export Cable Pre-Lay Grapnel Run 12,780 968 & OSS Link||||
|Offshore Export Cable Boulder Clearance Vessel 2,803 964 & OSS Link||||
|Offshore Export Cable Sandwave Clearance 7,300 964 & OSS Link Vessel||||
|Offshore Export Cable & OSS Link|Cable Lay and Burial Vessel|8,946|2,800|

##### Page 6 of 29

-----","```json
{
  ""document_metadata"": {
    ""title"": ""Offshore Wind Farm Vessel Specifications"",
    ""document_number"": ""Page 6 of 29"",
    ""Type of wind farm"": ""offshore""
  },
  ""regulatory_constraints"": null,
  ""regulatory_entities"": null
}
```"
27,9,"##### Revolution Wind, LLC Outer Continental Shelf Preconstruction Air Permit No. OCS-R1-05

|Main Engine Auxiliary Engine Marine Vessel Vessel Type Rating (kW) Rating (kW)|Col2|Col3|Col4|
|---|---|---|---|
|Offshore Export Cable Cable Burial Vessel - 8,946 2,800 & OSS Link Remedial||||
|Offshore Export Cable Tug - Small Capacity 4,049 238 & OSS Link||||
|Offshore Export Cable Tug - Large Capacity 11,060 238 & OSS Link||||
|Offshore Export Cable Crew Transport Vessel 2,204 201 & OSS Link||||
|Offshore Export Cable Guard Vessel/Scout Vessel 400 201 & OSS Link||||
|Offshore Export Cable Survey Vessel 1,302 418 & OSS Link||||
|Offshore Export Cable DP2 Construction Vessel 12,780 964 & OSS Link||||
|Offshore Export Cable Misc. Floating Equipment 400 201 & OSS Link Landfall||||
|Barge Lay (Generator Offshore Export Cable NA 75 (Small))||||
|Offshore Export Cable Barge Lay (Crane Type 1) NA 567||||
|Barge Lay (Generator Offshore Export Cable NA 187 (Large))||||
|Offshore Export Cable Barge Lay (Power Pack) NA 373||||
|Offshore Export Cable Barge Lay (Cherry Picker) NA 112||||
|Offshore Export Cable Barge Lay (Excavator) NA 567||||
|Support Barge (Generator Offshore Export Cable NA 45 (Large))||||
|Support Barge (Cherry Offshore Export Cable NA 567 Picker)||||
|Offshore Array Cable Pre-Lay Grapnel Run 12,780 964||||
|Offshore Array Cable Boulder Clearance Vessel 2,803 964||||
|Sandwave Clearance Offshore Array Cable 7,300 964 Vessel||||
|Offshore Array Cable Cable Laying Vessel 8,946 2,800||||
|Offshore Array Cable Cable Burial Vessel 8,946 2,800||||
|Offshore Array Cable Crew Transport Vessel 2,204 201||||
|Walk to Work Vessel Offshore Array Cable 6,440 N/A (SOV)||||
|Offshore Array Cable Survey Vessel 1,302 418||||
|Offshore Array Cable Construction Vessel 6,440 N/A||||
|Offshore Cable Cable Laying Vessel 8,946 2,800 Transport||||
|Offshore Cable Transport|Array Cable Transport Freighter|7,950|3,026|

##### Page 7 of 29

-----","```json
{
  ""document_metadata"": {
    ""title"": ""Revolution Wind, LLC Outer Continental Shelf Preconstruction Air Permit No. OCS-R1-05"",
    ""document_number"": ""OCS-R1-05"",
    ""Type of wind farm"": ""offshore""
  },
  ""regulatory_constraints"": null,
  ""regulatory_entities"": null
}
```"
27,10,"##### Revolution Wind, LLC Outer Continental Shelf Preconstruction Air Permit No. OCS-R1-05

|Main Engine Auxiliary Engine Marine Vessel Vessel Type Rating (kW) Rating (kW)|Col2|Col3|Col4|
|---|---|---|---|
|All Construction Safety Vessel 1 400 201 Activities||||
|All Construction Safety Vessel 2 400 201 Activities||||
|All Construction Crew Transport Vessel 2,352 201 Activities||||
|All Construction Crew Transport Vessel 2,162 201 Activities||||
|All Construction Crew Transport Vessel 2,984 100 Activities||||
|All Construction Lift Boat 6,000 N/A Activities||||
|All Construction Supply Vessel 7,530 N/A Activities||||
|All Construction Service Operation Vessel 6,920 201 Activities||||
|Fisheries Monitoring for Lobster, Lease Site 400 201||||
|Fisheries Monitoring for Trawl Survey 400 201||||
|for Lease Site Acoustic Fisheries Monitoring 400 201 Telemetry||||
|Fisheries Monitoring for Lobster, Export Cable 400 201||||
|Marine Mammal for Situational Awareness 400 201 Mitigation||||
|Marine Mammal for Long Term Acoustic 400 201 Mitigation||||
|Marine Mammal for ST Long Term Studies 400 201 Mitigation||||
|Planned WTGs/OSS/FOU|Service Operation Vessel – Large Generator|NA|530|

##### **EUG 3  Medium (MV), and High Voltage (HV) Switchgears (SWG) on the OSS ** The medium and high-voltage gas insulated switchgears (GIS) on the OSS have the potential to emit SF 6, which is considered a GHG. Per the permit application, the facility has stated that the WTGs will not utilize SF 6 within the switchgears, which are typically located at the base of the turbine. Therefore, only the SWGs located on the OSS (MV and HV) are required to apply BACT for SF 6 .

|Insulating Count (# EU ID Description Gas Type SWGs)|Col2|Col3|Col4|
|---|---|---|---|
|MV-SWG MV SWG (66kV) on OSS SF 2 6||||
|HV-SWG|HV SWG (220 kV-400 kV) on OSS|SF 6|2|

##### Page 8 of 29

-----","```json
{
  ""document_metadata"": {
    ""title"": ""Revolution Wind, LLC Outer Continental Shelf Preconstruction Air Permit No. OCS-R1-05"",
    ""document_number"": ""OCS-R1-05"",
    ""Type of wind farm"": ""offshore""
  },
  ""regulatory_constraints"": [
    {
      ""type"": ""Environmental"",
      ""requirement"": ""BACT (Best Available Control Technology) must be applied for SF6 emissions from MV and HV switchgears on the OSS."",
      ""scope"": ""Medium and high-voltage gas insulated switchgears (GIS) on the Offshore Substation (OSS)"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""Revolution Wind, LLC Outer Continental Shelf Preconstruction Air Permit No. OCS-R1-05"",
      ""related_domains"": ""Greenhouse gas emissions, electrical infrastructure""
    },
    {
      ""type"": ""Technical"",
      ""requirement"": ""WTGs will not utilize SF6 within the switchgears, which are typically located at the base of the turbine."",
      ""scope"": ""Wind Turbine Generators (WTGs)"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""Revolution Wind, LLC Outer Continental Shelf Preconstruction Air Permit No. OCS-R1-05"",
      ""related_domains"": ""Electrical infrastructure, environmental protection""
    }
  ],
  ""regulatory_entities"": null
}
```"
