model_name,document_number,type_of_wind_farm,chunk_number,document_id,constraint_type,requirement,scope,numerical_value,unit,source,related_domains
gpt-4o-mini,,Offshore,10,47,Jurisdictional,"traditional law and management practices are consistent with the objectives of legislation, they should be drawn upon as far as feasible.",National legislation and local community practices,,,,community management; sustainable practices
gpt-4o-mini,,Offshore,10,47,Jurisdictional,education and enforcement will be necessary to change current practice.,Fishing practices,,,,fisheries management; regulatory compliance
gpt-4o-mini,2,Unspecified,24,47,Environmental,Working with dive boat operators on BMPs and limiting number of boats,Operational phase,,,,environmental impact assessment; marine biodiversity
gpt-4o-mini,2,Unspecified,24,47,Environmental,New technology available to provide transparent docks,Construction phase,,,,environmental impact assessment; marine biodiversity
gpt-4o-mini,,Unspecified,29,47,Environmental,A 10% increase in the abundance of target fish species,In the 4 identified areas of Bai Long Bay where there is healthy fish habitat,10.0,%,,marine biodiversity; fisheries management
gpt-4o-mini,,Unspecified,29,47,Jurisdictional,A 50% reduction in violations of MPA regulations,In all waters included in the MPA,50.0,%,,marine protected areas; regulatory compliance
gpt-4o-mini,"Module 3, Page 80",Offshore,31,47,Environmental,Dive operators do not fully understand impacts from anchors on seagrass beds.,Bai Long Bay,,,,environmental impact assessment; marine habitat protection
gpt-4o-mini,,Offshore,37,47,Spatial,Used to prohibit a specific use that is not compatible with the primary objectives of the MPA.,Marine Protected Area (MPA),,,,marine spatial planning; resource management
gpt-4o-mini,,Offshore,37,47,Spatial,Allows certain activities to take place within the MPA or in specific zones based on the conditions of the permit.,Marine Protected Area (MPA),,,,permitting; marine resource use
gpt-4o-mini,,Offshore,37,47,Temporal,Temporal zones are most often applied to coincide with specific periods in the life history of a living marine resource.,Marine Protected Area (MPA),,,,seasonal restrictions; marine biology
gpt-4o-mini,,Offshore,37,47,Regulatory,Regulations are used to regulate which specific activities can or cannot (which are prohibited) in an MPA or a specific zone.,Marine Protected Area (MPA),,,,regulatory compliance; marine resource management
gpt-4o-mini,Worksheet 4.1,Unspecified,38,47,Spatial,Permit (with complete conditions) to control the number of dive boats required to register.,All dive boats,,,,environmental impact assessment; marine traffic management
gpt-4o-mini,,Unspecified,39,47,Environmental,Increase coverage of seagrass by 5% decrease damage by anchors on coral by 20%,"Marine environment, specifically seagrass and coral reef areas",5.0,%,,marine ecology; biodiversity conservation
gpt-4o-mini,,Unspecified,39,47,Environmental,Prohibit trawling,"Marine environment, specifically areas designated for low impact tourism",,,,marine ecology; fisheries management
gpt-4o-mini,,Unspecified,41,47,Jurisdictional,All dive boats complying with permit system,Bai Long Bay,,,,permitting; marine management
gpt-4o-mini,,Unspecified,41,47,Technical,Carrying capacity numbers are tested and quantified,Bai Long Bay,,,,environmental impact assessment; marine management
gpt-4o-mini,,Offshore,50,47,Jurisdictional,Regulations – should be written so they are clear about what activities can and cannot take place.,,,,,regulatory compliance; activity management
