"document_id","chunk_number","model_type","model_name","parsed_successfully","raw_output"
"18",1,"openai","gpt-4o-mini",True,"```json
{
  ""document_metadata"": {
    ""title"": ""DRAFT Information Needed for Issuance of a Notice of Intent (NOI) Under the National Environmental Policy Act (NEPA) for a Construction and Operations Plan (COP)"",
    ""document_number"": ""10/24/22"",
    ""type_of_wind_farm"": ""Offshore""
  },
  ""regulatory_constraints"": [
    {
      ""type"": ""Jurisdictional"",
      ""requirement"": ""BOEM’s decision to approve, disapprove, or approve with modifications a COP requires environmental reviews and consultations under NEPA and other applicable Federal statutes."",
      ""scope"": ""Construction and Operations Plan (COP)"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""30 CFR 585.620 – 585.629"",
      ""related_domains"": [""environmental impact assessment"", ""regulatory compliance""]
    },
    {
      ""type"": ""Jurisdictional"",
      ""requirement"": ""BOEM may begin processing incomplete COP submissions, subject to a BOEM-reviewed 'supplemental filing schedule' for submitting the remaining required information."",
      ""scope"": ""Construction and Operations Plan (COP)"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""BOEM guidance"",
      ""related_domains"": [""project management"", ""regulatory compliance""]
    }
  ],
  ""regulatory_entities"": [
    {
      ""entity_name"": ""Bureau of Ocean Energy Management"",
      ""jurisdiction"": ""Federal - USA"",
      ""role"": ""Permitting authority""
    }
  ]
}
```"
"18",2,"openai","gpt-4o-mini",True,"```json
{
  ""document_metadata"": {
    ""title"": ""COP Guidelines"",
    ""document_number"": ""1"",
    ""type_of_wind_farm"": ""Offshore""
  },
  ""regulatory_constraints"": [
    {
      ""type"": ""Jurisdictional"",
      ""requirement"": ""The proponent of a large or complex infrastructure project may seek to initiate the FAST-41 process to improve government-wide coordination, transparency, and accountability by submitting a FAST-41 initiation notice to the Permitting Council’s executive director and the applicable facilitating Federal agency."",
      ""scope"": ""Large or complex infrastructure projects, including offshore wind farms."",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""FAST-41, Fixing America’s Surface Transportation Act"",
      ""related_domains"": [""infrastructure permitting"", ""government coordination"", ""environmental review""]
    }
  ],
  ""regulatory_entities"": [
    {
      ""entity_name"": ""Permitting Council"",
      ""jurisdiction"": ""Federal - USA"",
      ""role"": ""Coordination and oversight of the permitting process for large infrastructure projects.""
    },
    {
      ""entity_name"": ""Office of Management and Budget (OMB)"",
      ""jurisdiction"": ""Federal - USA"",
      ""role"": ""Guidance and oversight regarding the environmental review and authorization process.""
    },
    {
      ""entity_name"": ""Council on Environmental Quality (CEQ)"",
      ""jurisdiction"": ""Federal - USA"",
      ""role"": ""Guidance and oversight regarding the environmental review and authorization process.""
    }
  ]
}
```"
"18",3,"openai","gpt-4o-mini",True,"```json
{
  ""document_metadata"": {
    ""title"": ""Guidance on Notice of Intent (NOI) Checklist"",
    ""document_number"": null,
    ""type_of_wind_farm"": ""Offshore""
  },
  ""regulatory_constraints"": [
    {
      ""type"": ""Jurisdictional"",
      ""requirement"": ""BOEM generally would not publish an NOI until the applicant’s COP submission includes the minimum content described in the attachment to this document."",
      ""scope"": ""Submission of COP to BOEM"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""Bureau of Ocean Energy Management (BOEM)"",
      ""related_domains"": [""permitting process"", ""environmental review""]
    },
    {
      ""type"": ""Temporal"",
      ""requirement"": ""BOEM expects to complete the EIS/EA with a record of decision within 2 years of an NOI publication."",
      ""scope"": ""Environmental Impact Statement/Environmental Assessment process"",
      ""numerical_value"": 2,
      ""unit"": ""years"",
      ""source"": ""Bureau of Ocean Energy Management (BOEM)"",
      ""related_domains"": [""environmental review"", ""project timeline""]
    },
    {
      ""type"": ""Jurisdictional"",
      ""requirement"": ""Failure to meet the schedule for supplemental filings will lead to delays in processing the COP."",
      ""scope"": ""Processing of COP"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""Bureau of Ocean Energy Management (BOEM)"",
      ""related_domains"": [""permitting process"", ""environmental review""]
    },
    {
      ""type"": ""Jurisdictional"",
      ""requirement"": ""Formal technical and environmental reviews may not begin, or may be paused, until the necessary information that is needed to adequately continue, or complete, the review of the COP has been submitted."",
      ""scope"": ""Review of COP"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""Bureau of Ocean Energy Management (BOEM)"",
      ""related_domains"": [""technical review"", ""environmental assessment""]
    },
    {
      ""type"": ""Temporal"",
      ""requirement"": ""Revisions that narrow the project design envelope may be accepted without causing delays to the review schedule (six months after publication of the NOI)."",
      ""scope"": ""Project design revisions"",
      ""numerical_value"": 6,
      ""unit"": ""months"",
      ""source"": ""Bureau of Ocean Energy Management (BOEM)"",
      ""related_domains"": [""project design"", ""review schedule""]
    }
  ],
  ""regulatory_entities"": [
    {
      ""entity_name"": ""Bureau of Ocean Energy Management"",
      ""jurisdiction"": ""Federal - USA"",
      ""role"": ""Permitting authority""
    }
  ]
}
```"
"18",4,"openai","gpt-4o-mini",True,"```json
{
  ""document_metadata"": {
    ""title"": ""BOEM Guidance Document Statement"",
    ""document_number"": ""2"",
    ""type_of_wind_farm"": ""Offshore""
  },
  ""regulatory_constraints"": [
    {
      ""type"": ""Jurisdictional"",
      ""requirement"": ""An agency may not conduct or sponsor a collection of information unless it displays a currently valid information collection control number issued by the Office of Management and Budget (OMB)."",
      ""scope"": ""General information collection requirements related to renewable energy program management."",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""30 CFR part 585, subpart F"",
      ""related_domains"": [""permitting"", ""information collection""]
    }
  ],
  ""regulatory_entities"": [
    {
      ""entity_name"": ""Bureau of Ocean Energy Management (BOEM)"",
      ""jurisdiction"": ""Federal - USA"",
      ""role"": ""Permitting authority""
    }
  ]
}
```"
"18",5,"openai","gpt-4o-mini",True,"```json
{
  ""document_metadata"": {
    ""title"": ""Checklist of Information Needed for Issuance of a Notice of Intent (NOI) Under the National Environmental Policy Act (NEPA) for a Construction and Operations Plan (COP)"",
    ""document_number"": null,
    ""type_of_wind_farm"": ""Offshore""
  },
  ""regulatory_constraints"": [
    {
      ""type"": ""Technical"",
      ""requirement"": ""BOEM requires these reviews to make a formal decision on whether to approve, approve with modifications, or disapprove a COP."",
      ""scope"": ""Construction and Operations Plan (COP)"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""30 CFR §§ 585.626-.628"",
      ""related_domains"": [""environmental review"", ""technical review"", ""permitting process""]
    },
    {
      ""type"": ""Jurisdictional"",
      ""requirement"": ""Failure to provide this information might result in BOEM determining that the COP is not sufficient for commencing the necessary technical and environmental reviews."",
      ""scope"": ""Construction and Operations Plan (COP)"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""30 CFR part 585"",
      ""related_domains"": [""permitting authority"", ""environmental compliance""]
    }
  ],
  ""regulatory_entities"": [
    {
      ""entity_name"": ""Bureau of Ocean Energy Management (BOEM)"",
      ""jurisdiction"": ""Federal - USA"",
      ""role"": ""Permitting authority""
    },
    {
      ""entity_name"": ""Federal Permitting Improvement Steering Council (FPISC)"",
      ""jurisdiction"": ""Federal - USA"",
      ""role"": ""Oversight of federal permitting processes""
    }
  ]
}
```"
"18",6,"openai","gpt-4o-mini",True,"```json
{
  ""document_metadata"": {
    ""title"": null,
    ""document_number"": ""30 CFR § 585.628"",
    ""type_of_wind_farm"": ""Offshore""
  },
  ""regulatory_constraints"": [
    {
      ""type"": ""Jurisdictional"",
      ""requirement"": ""What information and certifications must I submit with my COP to assist the BOEM in complying with NEPA and other relevant laws?"",
      ""scope"": ""Federal environmental review and authorization for the project"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""30 CFR § 585.627"",
      ""related_domains"": [""environmental review"", ""permitting"", ""federal regulations""]
    }
  ],
  ""regulatory_entities"": [
    {
      ""entity_name"": ""Bureau of Ocean Energy Management (BOEM)"",
      ""jurisdiction"": ""Federal - USA"",
      ""role"": ""Permitting authority""
    }
  ]
}
```"
"18",7,"openai","gpt-4o-mini",True,"```json
{
  ""document_metadata"": {
    ""title"": null,
    ""document_number"": null,
    ""type_of_wind_farm"": ""Offshore""
  },
  ""regulatory_constraints"": [
    {
      ""type"": ""Technical"",
      ""requirement"": ""The project description should include a complete, well-defined, and illustrated description of the project, including the Project Design Envelope (PDE) and the action area."",
      ""scope"": ""Project description phase"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""30 CFR § 585.626"",
      ""related_domains"": [""project design"", ""environmental impact assessment""]
    },
    {
      ""type"": ""Technical"",
      ""requirement"": ""All designs, layouts, and technologies proposed within the PDE should be described in a similar level of detail that is sufficient for BOEM to assess during the NEPA review."",
      ""scope"": ""Project design phase"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""30 CFR § 585.626"",
      ""related_domains"": [""project design"", ""NEPA review""]
    },
    {
      ""type"": ""Environmental"",
      ""requirement"": ""BOEM may continue to analyze alternatives that are outside of the narrowed PDE if the alternatives otherwise follow BOEM’s Process for Identifying Alternatives for Environmental Reviews of Offshore Wind Construction and Operations Plans pursuant to the National Environmental Policy Act."",
      ""scope"": ""Environmental review phase"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""National Environmental Policy Act"",
      ""related_domains"": [""environmental impact assessment"", ""alternative analysis""]
    }
  ],
  ""regulatory_entities"": [
    {
      ""entity_name"": ""Bureau of Ocean Energy Management (BOEM)"",
      ""jurisdiction"": ""Federal - USA"",
      ""role"": ""Permitting authority""
    }
  ]
}
```"
"18",8,"openai","gpt-4o-mini",True,"```json
{
  ""document_metadata"": {
    ""title"": ""FAST-41 Guidance"",
    ""document_number"": ""M-17-14"",
    ""type_of_wind_farm"": ""Offshore""
  },
  ""regulatory_constraints"": [
    {
      ""type"": ""Jurisdictional"",
      ""requirement"": ""A project determined not to be ripe for NEPA review and/or a project with incomplete information relevant to its technical feasibility cannot be a covered project."",
      ""scope"": ""Federal projects under NEPA review"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""FAST-41 Guidance, §§ 4.6 and 4.7"",
      ""related_domains"": [""environmental review"", ""permitting process""]
    },
    {
      ""type"": ""Jurisdictional"",
      ""requirement"": ""Determining that a project with an incomplete COP can also be a 'covered project' under FAST-41 would effectively negate BOEM’s regulations."",
      ""scope"": ""Projects under BOEM's permitting program"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""FAST-41 Guidance, § 3.9"",
      ""related_domains"": [""permitting process"", ""regulatory compliance""]
    }
  ],
  ""regulatory_entities"": [
    {
      ""entity_name"": ""Bureau of Ocean Energy Management (BOEM)"",
      ""jurisdiction"": ""Federal - USA"",
      ""role"": ""Permitting authority""
    },
    {
      ""entity_name"": ""Office of Management and Budget (OMB)"",
      ""jurisdiction"": ""Federal - USA"",
      ""role"": ""Guidance and oversight""
    },
    {
      ""entity_name"": ""Council on Environmental Quality (CEQ)"",
      ""jurisdiction"": ""Federal - USA"",
      ""role"": ""Environmental oversight""
    }
  ]
}
```"
"18",9,"openai","gpt-4o-mini",True,"```json
{
  ""document_metadata"": {
    ""title"": ""Draft Design Envelope Guidance"",
    ""document_number"": ""10"",
    ""type_of_wind_farm"": ""Offshore""
  },
  ""regulatory_constraints"": [],
  ""regulatory_entities"": [
    {
      ""entity_name"": ""Bureau of Ocean Energy Management (BOEM)"",
      ""jurisdiction"": ""Federal - USA"",
      ""role"": ""Permitting authority""
    }
  ]
}
```"
"18",10,"openai","gpt-4o-mini",True,"{
  ""document_metadata"": {
    ""title"": null,
    ""document_number"": null,
    ""type_of_wind_farm"": ""Offshore""
  },
  ""regulatory_constraints"": [
    {
      ""type"": ""Environmental"",
      ""requirement"": ""The discussion of environmental resources and impact producing factors (IPFs) in the COP submission should be informative rather than analytical."",
      ""scope"": ""Environmental impact assessment for the COP submission phase."",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""NEPA"",
      ""related_domains"": [""environmental impact assessment""]
    },
    {
      ""type"": ""Environmental"",
      ""requirement"": ""There must be sufficient detail to support the environmental analyses required by NEPA and other relevant environmental laws."",
      ""scope"": ""Environmental analysis for the COP submission phase."",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""NEPA"",
      ""related_domains"": [""environmental impact assessment""]
    },
    {
      ""type"": ""Environmental"",
      ""requirement"": ""For each biological, physical, and socioeconomic resource, applicants should identify all of the IPFs and provide a detailed assessment of each."",
      ""scope"": ""Environmental impact assessment for biological, physical, and socioeconomic resources."",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""NEPA"",
      ""related_domains"": [""environmental impact assessment"", ""socioeconomic impact""]
    },
    {
      ""type"": ""Environmental"",
      ""requirement"": ""The applicant should identify layout and design options considered for the proposed action contained in the COP for those resources that the applicant anticipates may be significantly impacted by their proposed action."",
      ""scope"": ""Layout and design options for the COP submission phase."",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""NEPA"",
      ""related_domains"": [""environmental impact assessment"", ""design considerations""]
    }
  ],
  ""regulatory_entities"": [
    {
      ""entity_name"": ""Bureau of Ocean Energy Management (BOEM)"",
      ""jurisdiction"": ""Federal - USA"",
      ""role"": ""Permitting authority""
    }
  ]
}"
