model_type,model_name,document_id,constraint_id,category,description,value,unit,source_section_number,geographic_scope,context_quote,component_name
openai,gpt-4o-mini,21,C-001,Design Specification,The project will consist of up to 800 MW of wind energy capacity.,800.0,MW,Table 3 - 1,Project area,"the construction, operation, maintenance, and eventual decommissioning of an up to 800 MW wind energy facility",Wind Turbine Generators
openai,gpt-4o-mini,21,C-002,Environmental Mitigation,No surface occupancy in the northernmost portion of the project area to reduce visual impacts.,,,Table 3 - 1,Northernmost portion of the project area,no surface occupancy would occur in the northernmost portion of the proposed Project area to potentially reduce the visual impacts,Wind Turbine Generators
openai,gpt-4o-mini,21,C-003,Environmental Mitigation,Wind turbine spacing of at least 1 nautical mile to reduce conflicts with ocean uses.,1.0,nmi,Table 3 - 1,Wind turbine array,WTGs would have a minimum spacing of 1 nmi between them,Wind Turbine Generators
openai,gpt-4o-mini,21,C-004,Environmental Mitigation,Wind turbine layout to be arranged in an east-west orientation with minimum spacing of 1 nautical mile.,1.0,nmi,Table 3 - 1,Wind turbine array,the wind turbine layout would be arranged in an east-west orientation and all WTGs in the east-west direction would have a minimum spacing of 1 nmi,Wind Turbine Generators
openai,gpt-4o-mini,21,C-005,Environmental Mitigation,The project will consist of no more than 84 WTGs to reduce impacts on ocean uses.,84.0,WTGs,Table 3 - 1,Project area,the proposed Project would consist of no more than 84 WTGs,Wind Turbine Generators
openai,gpt-4o-mini,21,C-006,Environmental Mitigation,Establish a vessel transit lane through the Wind Development Area (WDA) with no surface occupancy.,,,Table 3 - 1,Wind Development Area,a vessel transit lane through the WDA would be established in which no surface occupancy would occur,Export Cables
openai,gpt-4o-mini,21,C-007,Operational Parameter,Dust-control plans must be developed for onshore construction areas.,,,Appendix A,Onshore construction areas,Develop dust-control plans for onshore construction areas to minimize impacts from fugitive dust resulting from construction activities.,Wind Turbine Generators
openai,gpt-4o-mini,21,C-008,Environmental Mitigation,Installation of bird deterrent devices to minimize bird attraction to operating turbines.,,,Appendix A,Operational turbines,Install bird deterrent devices to minimize bird attraction to operating turbines,Wind Turbine Generators
openai,gpt-4o-mini,21,C-009,Environmental Mitigation,Piping Plover Protection Plan (PPPP) to avoid HDD activities during nesting season.,,,Appendix A,HDD activities area,Installation of export cable conduits is not expected to be initiated between April 1 and August 31.,Wind Turbine Generators
openai,gpt-4o-mini,21,C-010,Environmental Mitigation,Pre-construction monitoring for nesting Piping Plovers within 200 yards of the work zone.,,,Appendix A,Work zone,a qualified biologist will perform surveys to determine the presence/absence of any nesting Piping Plovers within 200 yards (182.9 meters) of the work zone.,Wind Turbine Generators
