document_id,chunk_number,model_type,model_name,parsed_successfully,raw_output
27,1,openai,gpt-4.1,True,"{
  ""document_metadata"": {
    ""title"": ""Revolution Wind, LLC Outer Continental Shelf Preconstruction Air Permit No. OCS-R1-05"",
    ""document_number"": ""OCS-R1-05"",
    ""type_of_wind_farm"": ""Offshore""
  },
  ""regulatory_constraints"": [
    {
      ""type"": ""Jurisdictional"",
      ""requirement"": ""RW is authorized to construct up to 100 wind turbine generators (“WTGs”) and up to 2 Offshore Substations (“OSSs”), all of which will be located within federal waters on the OCS, specifically in the Bureau of Ocean Energy Management (“BOEM”) Renewable Energy Lease Area OCS-A 0486 in the Rhode Island-Massachusetts Wind Energy Area."",
      ""scope"": ""BOEM Renewable Energy Lease Area OCS-A 0486, Rhode Island-Massachusetts Wind Energy Area, federal waters on the OCS, construction phase"",
      ""numerical_value"": 100,
      ""unit"": ""wind turbine generators"",
      ""source"": ""Outer Continental Shelf Air Permit No. OCS-R1-05, U.S. Environmental Protection Agency Region 1"",
      ""related_domains"": [""permitting"", ""project siting"", ""offshore wind development""]
    },
    {
      ""type"": ""Jurisdictional"",
      ""requirement"": ""The construction and operation of the windfarm would be subject to the attached permit conditions and permit limitations."",
      ""scope"": ""Revolution Wind offshore windfarm, construction and operation phases"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""Outer Continental Shelf Air Permit No. OCS-R1-05, U.S. Environmental Protection Agency Region 1"",
      ""related_domains"": [""permitting"", ""air quality compliance"", ""offshore wind operations""]
    },
    {
      ""type"": ""Jurisdictional"",
      ""requirement"": ""This permit does not relieve RW from the obligation to comply with applicable state and federal air pollution control rules and regulations."",
      ""scope"": ""Revolution Wind offshore windfarm, all phases"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""Outer Continental Shelf Air Permit No. OCS-R1-05, U.S. Environmental Protection Agency Region 1"",
      ""related_domains"": [""air quality compliance"", ""environmental regulation""]
    }
  ],
  ""regulatory_entities"": [
    {
      ""entity_name"": ""U.S. Environmental Protection Agency Region 1"",
      ""jurisdiction"": ""Federal - USA (Region 1, including Rhode Island and Massachusetts OCS waters)"",
      ""role"": ""Permitting authority""
    },
    {
      ""entity_name"": ""Bureau of Ocean Energy Management"",
      ""jurisdiction"": ""Federal - USA (Outer Continental Shelf)"",
      ""role"": ""Leasing and oversight of renewable energy development on the OCS""
    }
  ]
}"
27,2,openai,gpt-4.1,True,"{
  ""document_metadata"": {
    ""title"": null,
    ""document_number"": null,
    ""type_of_wind_farm"": ""Offshore""
  },
  ""regulatory_constraints"": [],
  ""regulatory_entities"": [
    {
      ""entity_name"": ""Bureau of Ocean Energy Management"",
      ""jurisdiction"": ""Federal - USA"",
      ""role"": ""Permitting authority""
    },
    {
      ""entity_name"": ""United States Environmental Protection Agency"",
      ""jurisdiction"": ""Federal - USA"",
      ""role"": ""Environmental oversight""
    },
    {
      ""entity_name"": ""Massachusetts Department of Environmental Protection"",
      ""jurisdiction"": ""State - Massachusetts, USA"",
      ""role"": ""Environmental oversight""
    },
    {
      ""entity_name"": ""U.S. Fish and Wildlife Service"",
      ""jurisdiction"": ""Federal - USA"",
      ""role"": ""Environmental oversight""
    },
    {
      ""entity_name"": ""National Marine Fisheries Service"",
      ""jurisdiction"": ""Federal - USA"",
      ""role"": ""Environmental oversight""
    }
  ]
}"
27,3,openai,gpt-4.1,False,NO_RELEVANT_DATA_FOUND
27,4,openai,gpt-4.1,False,NO_RELEVANT_DATA_FOUND
27,5,openai,gpt-4.1,True,"{
  ""document_metadata"": {
    ""title"": ""Revolution Wind, LLC Outer Continental Shelf Preconstruction Air Permit No. OCS-R1-05"",
    ""document_number"": ""SECTION I"",
    ""type_of_wind_farm"": ""Offshore""
  },
  ""regulatory_constraints"": [
    {
      ""type"": ""Jurisdictional"",
      ""requirement"": ""The boundary between the RW and SFW projects is their respective Lease Area(s) which form the basis for determining whether a particular piece of equipment and source of emissions is considered part of the RW or SFW project and in which permit it should be addressed."",
      ""scope"": ""BOEM Renewable Energy Lease Areas OCS-A 0486 (RW) and OCS-A 0517 (SFW); all project equipment and emission sources"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""SECTION I of Preconstruction Air Permit No. OCS-R1-05"",
      ""related_domains"": [""permitting"", ""air emissions"", ""project boundary determination""]
    },
    {
      ""type"": ""Environmental"",
      ""requirement"": ""The RW project is a major PSD stationary source for NSR pollutants for which the corresponding onshore area is designated attainment or unclassifiable. This project triggers PSD review because the total emissions for the stationary source (i.e., SFW) prior to the RW project exceeds the PSD major source thresholds."",
      ""scope"": ""RW project within BOEM Lease Area OCS-A 0486; air emissions; preconstruction phase"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""SECTION I of Preconstruction Air Permit No. OCS-R1-05"",
      ""related_domains"": [""air quality"", ""permitting"", ""environmental compliance""]
    },
    {
      ""type"": ""Environmental"",
      ""requirement"": ""Based on the emission levels for the RW project, NO2, CO, PM10, PM2.5, and GHG are the regulated NSR pollutants that will be emitted by Revolution in quantities exceeding the respective PSD Significant Emission Rate (“SER”). The pollutants from this project subject to the best available control technology (“BACT”) are NO2, CO, PM10, PM2.5, and GHG."",
      ""scope"": ""RW project; regulated NSR pollutants (NO2, CO, PM10, PM2.5, GHG); preconstruction and operational phases"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""SECTION I of Preconstruction Air Permit No. OCS-R1-05"",
      ""related_domains"": [""air emissions"", ""pollution control"", ""environmental compliance""]
    },
    {
      ""type"": ""Environmental"",
      ""requirement"": ""The Revolution Wind project exceeds the NNSR SER for the ozone precursors NOX and VOC. Therefore, the ozone precursors NOX and VOC are not subject to PSD review but are instead subject to major NNSR permitting. The pollutants from this project subject to the lowest achievable emission rate (“LAER”) are NOX and VOC."",
      ""scope"": ""RW project; ozone precursor emissions (NOX, VOC); permitting phase"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""SECTION I of Preconstruction Air Permit No. OCS-R1-05"",
      ""related_domains"": [""air quality"", ""ozone regulation"", ""permitting""]
    },
    {
      ""type"": ""Environmental"",
      ""requirement"": ""For the purposes of fulfilling requirements for pollutants below major source thresholds but above Massachusetts’s minor source permitting or plan approval thresholds, a BACT determination is made for other NSR regulated pollutants, namely sulfur dioxide (SO2)."",
      ""scope"": ""RW project; NSR regulated pollutants below major source thresholds but above Massachusetts minor source thresholds; permitting phase"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""SECTION I of Preconstruction Air Permit No. OCS-R1-05"",
      ""related_domains"": [""air quality"", ""state permitting"", ""pollution control""]
    }
  ],
  ""regulatory_entities"": [
    {
      ""entity_name"": ""Bureau of Ocean Energy Management"",
      ""jurisdiction"": ""Federal - USA (Outer Continental Shelf)"",
      ""role"": ""Leasing authority for offshore wind energy projects""
    },
    {
      ""entity_name"": ""Massachusetts"",
      ""jurisdiction"": ""State - Massachusetts"",
      ""role"": ""Sets minor source permitting or plan approval thresholds for air pollutants""
    }
  ]
}"
27,6,openai,gpt-4.1,True,"{
  ""document_metadata"": {
    ""title"": ""Revolution Wind, LLC Outer Continental Shelf Preconstruction Air Permit No. OCS-R1-05"",
    ""document_number"": ""SECTION II"",
    ""type_of_wind_farm"": ""Offshore""
  },
  ""regulatory_constraints"": [
    {
      ""type"": ""Environmental"",
      ""requirement"": ""The Revolution Wind project is required to apply BACT to all the new emission units proposed in this project which emit NO2, CO, PM10, PM2.5, and GHG."",
      ""scope"": ""All new emission units in the Revolution Wind project emitting NO2, CO, PM10, PM2.5, and GHG"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""Revolution Wind, LLC Outer Continental Shelf Preconstruction Air Permit No. OCS-R1-05"",
      ""related_domains"": [""air emissions"", ""environmental impact assessment"", ""GHG regulation""]
    },
    {
      ""type"": ""Environmental"",
      ""requirement"": ""State BACT requirements derived from Massachusetts’ regulations apply to all the new emission units proposed in this project which emit SO2."",
      ""scope"": ""All new emission units in the Revolution Wind project emitting SO2"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""Massachusetts’ regulations (as referenced in OCS-R1-05)"",
      ""related_domains"": [""air emissions"", ""environmental impact assessment"", ""state regulatory compliance""]
    },
    {
      ""type"": ""Environmental"",
      ""requirement"": ""The Revolution Wind project is required to apply LAER to all the new emission units proposed in this project which emit NOX and VOC."",
      ""scope"": ""All new emission units in the Revolution Wind project emitting NOX and VOC"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""Revolution Wind, LLC Outer Continental Shelf Preconstruction Air Permit No. OCS-R1-05"",
      ""related_domains"": [""air emissions"", ""environmental impact assessment"", ""GHG regulation""]
    }
  ],
  ""regulatory_entities"": []
}"
27,7,openai,gpt-4.1,False,NO_RELEVANT_DATA_FOUND
27,8,openai,gpt-4.1,False,NO_RELEVANT_DATA_FOUND
27,9,openai,gpt-4.1,False,NO_RELEVANT_DATA_FOUND
27,10,openai,gpt-4.1,True,"{
  ""document_metadata"": {
    ""title"": ""Revolution Wind, LLC Outer Continental Shelf Preconstruction Air Permit No. OCS-R1-05"",
    ""document_number"": ""Page 8 of 29"",
    ""type_of_wind_farm"": ""Offshore""
  },
  ""regulatory_constraints"": [
    {
      ""type"": ""Technical"",
      ""requirement"": ""Only the SWGs located on the OSS (MV and HV) are required to apply BACT for SF 6."",
      ""scope"": ""Offshore Substation (OSS) medium and high-voltage switchgears (MV and HV SWGs)"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""Revolution Wind, LLC Outer Continental Shelf Preconstruction Air Permit No. OCS-R1-05"",
      ""related_domains"": [""air emissions"", ""greenhouse gas control"", ""electrical infrastructure""]
    }
  ],
  ""regulatory_entities"": []
}"
