"document_id","chunk_number","model_type","model_name","parsed_successfully","raw_output"
"43",1,"openai","gpt-4o-mini",False,"NO_RELEVANT_DATA_FOUND"
"43",2,"openai","gpt-4o-mini",False,"NO_RELEVANT_DATA_FOUND"
"43",3,"openai","gpt-4o-mini",False,"NO_RELEVANT_DATA_FOUND"
"43",4,"openai","gpt-4o-mini",False,"NO_RELEVANT_DATA_FOUND"
"43",5,"openai","gpt-4o-mini",True,"{
  ""document_metadata"": {
    ""title"": null,
    ""document_number"": null,
    ""type_of_wind_farm"": ""Offshore""
  },
  ""regulatory_constraints"": [],
  ""regulatory_entities"": [
    {
      ""entity_name"": ""U.S. Marine Protected Areas (MPAs)"",
      ""jurisdiction"": ""Federal - USA"",
      ""role"": ""Conservation and management of marine resources""
    },
    {
      ""entity_name"": ""Presidential Executive Order 13158"",
      ""jurisdiction"": ""Federal - USA"",
      ""role"": ""Establishing a National System of Marine Protected Areas""
    }
  ]
}"
"43",6,"openai","gpt-4o-mini",True,"```json
{
  ""document_metadata"": {
    ""title"": ""Framework for the National System of MPAs of the United States of America"",
    ""document_number"": null,
    ""type_of_wind_farm"": ""Offshore""
  },
  ""regulatory_constraints"": [
    {
      ""type"": ""Jurisdictional"",
      ""requirement"": ""Preliminary guidance regarding federal agency responsibilities to avoid harm to resources protected by the National System of MPAs."",
      ""scope"": ""National System of MPAs, federal agency responsibilities"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""Framework for the National System of MPAs"",
      ""related_domains"": [""environmental protection"", ""resource management""]
    }
  ],
  ""regulatory_entities"": [
    {
      ""entity_name"": ""National Oceanic and Atmospheric Administration (NOAA)"",
      ""jurisdiction"": ""Federal - USA"",
      ""role"": ""Lead the system’s development and implementation of the National System of MPAs.""
    }
  ]
}
```"
"43",7,"openai","gpt-4o-mini",True,"```json
{
  ""document_metadata"": {
    ""title"": ""Framework for the National System of Marine Protected Areas"",
    ""document_number"": null,
    ""type_of_wind_farm"": ""Offshore""
  },
  ""regulatory_constraints"": [],
  ""regulatory_entities"": [
    {
      ""entity_name"": ""National Marine Protected Areas Center"",
      ""jurisdiction"": ""Federal - USA"",
      ""role"": ""Coordination and oversight of marine protected areas""
    },
    {
      ""entity_name"": ""NOAA (National Oceanic and Atmospheric Administration)"",
      ""jurisdiction"": ""Federal - USA"",
      ""role"": ""Environmental oversight and management of marine resources""
    },
    {
      ""entity_name"": ""Department of the Interior"",
      ""jurisdiction"": ""Federal - USA"",
      ""role"": ""Management of natural resources and conservation efforts""
    }
  ]
}
```"
"43",8,"openai","gpt-4o-mini",True,"```json
{
  ""document_metadata"": {
    ""title"": null,
    ""document_number"": null,
    ""type_of_wind_farm"": ""Offshore""
  },
  ""regulatory_constraints"": [],
  ""regulatory_entities"": [
    {
      ""entity_name"": ""Department of Commerce"",
      ""jurisdiction"": ""Federal - USA"",
      ""role"": ""Consultation and coordination for marine protected areas""
    },
    {
      ""entity_name"": ""Department of the Interior"",
      ""jurisdiction"": ""Federal - USA"",
      ""role"": ""Consultation and coordination for marine protected areas""
    }
  ]
}
```"
"43",9,"openai","gpt-4o-mini",True,"```json
{
  ""document_metadata"": {
    ""title"": ""Framework for the National System of Marine Protected Areas of the United States of America"",
    ""document_number"": null,
    ""type_of_wind_farm"": ""Offshore""
  },
  ""regulatory_constraints"": [
    {
      ""type"": ""Jurisdictional"",
      ""requirement"": ""The national system be scientifically based and comprehensive, and that it represent the diverse marine ecosystems of the United States and the nation’s natural and cultural resources."",
      ""scope"": ""United States marine environment"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""The Order"",
      ""related_domains"": [""marine ecosystem management"", ""cultural resource protection""]
    },
    {
      ""type"": ""Jurisdictional"",
      ""requirement"": ""Any area of the marine environment that has been reserved by Federal, State, territorial, tribal, or local laws or regulations to provide lasting protection for part or all of the natural and cultural resources therein."",
      ""scope"": ""Marine Protected Areas"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""The Order"",
      ""related_domains"": [""marine conservation"", ""natural resource management""]
    }
  ],
  ""regulatory_entities"": [
    {
      ""entity_name"": ""National Oceanic and Atmospheric Administration (NOAA)"",
      ""jurisdiction"": ""Federal - USA"",
      ""role"": ""Develop the system and coordinate its subsequent implementation.""
    },
    {
      ""entity_name"": ""Department of Commerce"",
      ""jurisdiction"": ""Federal - USA"",
      ""role"": ""Established the Marine Protected Areas Federal Advisory Committee.""
    }
  ]
}
```"
"43",10,"openai","gpt-4o-mini",True,"```json
{
  ""document_metadata"": {
    ""title"": null,
    ""document_number"": null,
    ""type_of_wind_farm"": ""Offshore""
  },
  ""regulatory_constraints"": [],
  ""regulatory_entities"": []
}
```"
