model_name,document_number,type_of_wind_farm,chunk_number,document_id,constraint_type,requirement,scope,numerical_value,unit,source,related_domains
claude-3-haiku-20240307,"§ 285.421, § 285.433",Offshore,185,10,Jurisdictional,"Within 2 years following termination of a lease or grant, you must remove or dispose of all facilities, installations, and other devices permanently or temporarily attached to the seabed on the OCS in accordance with your Plan approved by BOEM.",Offshore wind farm projects,,,§ 285.433,Jurisdictional
gpt-4o-mini,,Offshore,346,10,Financial,"Your guarantor must submit the information in the following table, to be updated annually within 90 days of the end of the fiscal year (FY) or as otherwise prescribed.","SAP, COP, and decommissioning stages of activities covered by the indemnity agreement.",90.0,days,BOEM regulations,financial compliance; guarantor obligations
gemini-2.5-pro,30 CFR 585.113,Offshore,27,1,Environmental,An item must be classified as an 'Archaeological resource' if it consists of material remains of human life or activities that are at least 50 years of age and are of archaeological interest.,Activities approved under 30 CFR part 585 on the Outer Continental Shelf.,50.0,years of age,30 CFR 585.113,archaeology; cultural heritage; environmental impact assessment
gpt-4o-mini,§ 585.528,Unspecified,345,10,Jurisdictional,"If we approve your request to use your financial strength and reliability to meet your financial assurance requirements, you must submit annual updates to the information required by paragraph (a) of this section.",Financial assurance requirements for lease or grant activities.,,,BOEM regulations,financial assurance; regulatory compliance
gemini-2.5-pro,30 CFR Part 585 / page 64 of 98,Offshore,105,1,Jurisdictional,A surety must submit to BOEM its request to terminate the period of liability under its financial assurance and notify the lessee/grantee of that request no less than 90 days before the proposed termination date.,Termination of financial assurance liability period for leases or grants on the Outer Continental Shelf.,90.0,days,30 CFR 585.532(b),financial assurance; lease management; surety obligations
gpt-4o-mini,§ 585.527,Offshore,344,10,Financial,"If you use the instruments described in paragraphs (a)(4) or (a)(5) of this section, you must provide BOEM by the end of each calendar year a certified statement describing the nature and market value of the instruments maintained in that account.",Financial instruments account management,,,BOEM,financial reporting; regulatory compliance
gemini-2.5-flash,Page 224,Offshore,294,10,Jurisdictional,"Within 45 days after you receive the lease copies, you must pay the first 12 months’ rent, as required in § 585.503.",Lease acquisition for offshore wind farm projects,45.0,days,§ 585.231(2) referencing § 585.503,financial regulation; lease management; administrative compliance
gpt-4o-mini,§ 585.527,Offshore,344,10,Financial,"You must provide the following information if you want to demonstrate financial strength and reliability to meet your financial assurance requirements: Audited financial statements (including auditor's certificate, balance sheet, and profit and loss sheet) that show you have financial capacity substantially in excess of existing and anticipated lease and other obligations.",Lease or grant activities,,,BOEM,financial assurance; regulatory compliance
gemini-2.5-flash,"§ 585.301 - § 585.302, Page 230",Offshore,300,10,Spatial,"An ROW grant corridor for a cable or pipeline must be 200 feet (61 meters) in width, centered on the cable or pipeline, unless safety and environmental factors during construction and maintenance require a greater width.",Right-of-Way (ROW) grant corridors for cables or pipelines,200.0,feet,§ 585.301 (a)(2),spatial planning; infrastructure development; environmental protection; safety
gemini-2.5-flash,"§ 585.301 - § 585.302, Page 230",Offshore,300,10,Jurisdictional,"To acquire an ROW grant or RUE grant, applicants must provide evidence that they meet the qualifications as required in § 585.107.",Applicants for ROW grant or RUE grant,,,§ 585.302 (a),permitting; regulatory compliance; legal requirements
gpt-4o-mini,273,Offshore,341,10,Financial,"Surety bonds must be issued by an approved surety listed in the current Treasury Circular 570, as required by 31 CFR 223.16.",Surety bonds for financial assurance.,,,Treasury Circular 570,financial assurance; regulatory compliance
gemini-2.5-flash,§ 585.503,Offshore,325,10,Jurisdictional,You must pay ONRR the initial 12 months' rent 45 days after you receive the lease copies from BOEM in accordance with the requirements provided in § 585.500(a).,Initial 12 months of a commercial lease,45.0,days,§ 585.503(a)(1),financial regulation; payment schedules; lease agreements
gemini-2.5-flash,329,Offshore,396,10,Jurisdictional,"Your submitted GAP, along with the information and certifications provided pursuant to § 585.646, must contain all the required information necessary to conduct technical and environmental reviews.",GAP submission and review process,,,"BOEM, § 585.646",application completeness; technical review; environmental review
gpt-4o-mini,§ 585.520,Offshore,338,10,Financial,You meet the financial assurance requirements under this subpart if your designated lease or grant operator provides a minimum limited lease-specific or grant-specific bond in an amount sufficient to guarantee compliance with all terms and conditions of the limited lease or grant.,Limited lease or grant,,,§ 585.520,financial assurance; regulatory compliance
gpt-4o-mini,§ 585.517,Offshore,337,10,Financial,"The amount of the financial assurance must be no less than the amount required to meet all lease obligations, including: (1) The projected amount of rent and other payments due the Government over the next 12 months; (2) Any past due rent and other payments; (3) Other monetary obligations; and (4) The estimated cost of facility decommissioning.",Commercial leases for offshore wind farms,,,BOEM regulations,financial assurance; lease obligations; decommissioning
gemini-2.5-flash,Sections 10-11,Offshore,233,11,Safety,A proper safety program with equipment must be applied in accordance with NFPA 70E and all federal and local codes.,"Wind farm projects, specifically concerning arc flash hazards.",,,"NFPA 70E, Federal codes, Local codes",safety; electrical engineering; operations
gemini-2.5-flash,"RP 901, Page 20",Unspecified,441,11,Technical,"All testing shall be performed in accordance with applicable codes, standards, or regulatory bodies.",All testing of incoming material and equipment during wind project construction.,,,"applicable codes, standards, or regulatory bodies",quality assurance; material testing; compliance; construction standards
gpt-4o-mini,§ 585.510,Offshore,334,10,Jurisdictional,All payors must submit payments and maintain auditable records in accordance with guidance we issue or any applicable regulations in subchapter A of this chapter.,Payments and record-keeping for leases and grants,,,30 CFR 1218.52,financial responsibility; auditing
gpt-4o-mini,§ 585.507,Offshore,331,10,Financial,You must submit all operating fee payments to ONRR in accordance with the provisions under 30 CFR 1218.51.,Operating phase.,,,30 CFR 1218.51,financial obligations; operational compliance
gpt-4o-mini,"§ 585.504, § 585.505",Offshore,327,10,Financial,"You must pay ONRR, under the regulations at 30 CFR part 1218, rent at the beginning of each subsequent 1-year period on the entire lease area for the duration of your operations term in accordance with the regulations at 30 CFR 1218.51.",Subsequent rent payments,1.0,year,30 CFR 1218.51,financial obligations; lease management
gemini-2.5-flash,Section 4.1,Offshore,45,12,Environmental,Mitigation measures must be used in order to reduce the potential impacts of the project to a level acceptable for approval of the project.,Offshore and onshore components of offshore wind energy facilities (for project approval),,,Project Approval Authority (implied by 'approval of the project'),environmental impact assessment; project approval; mitigation planning
gpt-4o-mini,"§ 585.504, § 585.505",Offshore,327,10,Financial,You must pay ONRR the initial 12 months' rent 45 days after you receive the lease copies from BOEM in accordance with the requirements provided in § 585.500(a).,Initial lease payment,12.0,months,§ 585.500(a),financial obligations; lease management
gemini-2.5-flash,Section 4,Offshore,45,13,Environmental,mitigation measures must be used in order to reduce the potential impacts of the project to a level acceptable for approval of the project.,"Offshore wind energy facilities (project impacts, general)",,,Unspecified (implied by project approval process),environmental impact assessment; project approval; mitigation
gpt-4o-mini,§ 585.434,Offshore,319,10,Jurisdictional,"In your decommissioning application that you submit to BSEE in accordance with § 285.902 of this title, you may request that certain facilities authorized in your lease or grant remain in place for activities authorized in this part, elsewhere in this subchapter, or by other applicable Federal laws.",Decommissioning applications,,,BSEE regulations,decommissioning; regulatory compliance
gpt-4o-mini,§ 585.434,Offshore,319,10,Technical,"Within 2 years following termination of a lease or grant, you must remove or dispose of all facilities, installations, and other devices permanently or temporarily attached to the seabed on the OCS in accordance with a plan approved by BOEM under subpart F of this part or an application approved by BSEE under part 285, subpart I of this title.",Outer Continental Shelf (OCS),2.0,years,BOEM regulations,decommissioning; marine infrastructure; regulatory compliance
gemini-2.5-flash,30 CFR 585.626(b),Offshore,17,16,Jurisdictional,"For all construction and operations activities you propose to conduct under your COP, you must provide the information listed under the “Project Information” column in table 1 pursuant to 30 CFR 585.626(b).",Construction and Operations Plan (COP) activities,,,30 CFR 585.626(b),regulatory compliance; documentation; permitting; project planning
gemini-2.5-flash,Attachment A,Offshore,37,16,Environmental,"A COP must demonstrate that the project is being conducted in a manner that conforms to responsible offshore development, to include the use of BMPs, in accordance with 30 CFR 585.621.","Offshore projects; all project phases (planning, construction, operation, decommissioning)",,,30 CFR 585.621,environmental impact assessment; project planning; regulatory compliance; best management practices
gpt-4o-mini,§ 585.528,Unspecified,345,10,Jurisdictional,You must provide this new financial assurance instrument within 90 days after we terminate your use of financial strength and reliability.,Financial assurance requirements for lease or grant activities.,90.0,days,BOEM regulations,financial assurance; regulatory compliance
gpt-4o-mini,,Offshore,347,10,Financial,Your guarantor's total outstanding and proposed guarantees must not exceed 25 percent of its unencumbered domestic net worth.,Financial guarantees related to the guarantor's net worth.,25.0,percent,,financial assurance; risk management
gemini-2.5-flash,30 CFR 585.703(c) (page 98 of 98),Offshore,140,1,Environmental,"If a biological survey is required, its methods, instrumentation, and the contents of the biological report must be conducted and prepared according to specifications provided by BOEM.","Offshore wind farm development (pre-construction/planning phase, specifically for biological surveys)",,,30 CFR 585.703(c),environmental impact assessment; biological surveys; regulatory compliance
gemini-2.5-pro,30 CFR 585.627(a)(1),Offshore,58,16,Technical,"Survey should be conducted in accordance with BOEM's Guidelines for Providing Geophysical, Geotechnical, and Geohazard Information Pursuant to 30 CFR Part 585.","Geophysical, Geotechnical, and Geohazard surveys conducted for the Construction and Operations Plan (COP) submittal.",,,"BOEM's Guidelines for Providing Geophysical, Geotechnical, and Geohazard Information Pursuant to 30 CFR Part 585",geophysical survey; geotechnical investigation; geohazard assessment; site characterization
gemini-2.5-pro,270,Offshore,338,10,Jurisdictional,"Before a limited lease, ROW grant, or RUE grant is issued, the applicant or a proposed assignee must guarantee compliance with all terms and conditions by providing either a minimum lease- or grant-specific bond or another approved financial assurance instrument.","Limited leases, ROW grants, and RUE grants prior to issuance.",300000.0,$,§ 585.520 (a),financial assurance; lease compliance; permitting
gemini-2.5-pro,278,Offshore,346,10,Jurisdictional,"If the guarantor's financial information is not publicly available, it must be submitted and updated annually within 90 days of the end of the fiscal year (FY).",Guarantors providing non-public financial information.,90.0,days,BOEM,financial reporting; compliance monitoring; corporate governance
gemini-2.5-pro,"§ 585.536, § 585.537, Page 287",Offshore,355,10,Jurisdictional,"To avoid forfeiture, you must, within 10 business days, agree to and demonstrate in writing to BOEM that you will bring your lease or grant into compliance within the timeframe we prescribe, and you do so.",Lease or grant holder in a state of non-compliance.,10.0,business days,§ 585.536(b)(1),legal compliance; financial assurance; enforcement
gemini-2.5-pro,"§ 585.536, § 585.537, Page 287",Offshore,355,10,Jurisdictional,"To avoid forfeiture, your surety must, within 10 business days, agree to and demonstrate that it will bring your lease or grant into compliance within the timeframe we prescribe, even if the cost of compliance exceeds the face amount of the bond.",Surety providing financial assurance for a lease or grant in a state of non-compliance.,10.0,business days,§ 585.536(b)(2),legal compliance; financial assurance; surety obligations; enforcement
gemini-2.5-pro,308,Offshore,376,10,Technical,"The results of the shallow hazards survey with supporting data must be submitted, providing information sufficient to determine the presence and likely effects of shallow faults, gas seeps or shallow gas, slump blocks or slump sediments, hydrates, or ice scour of seabed sediments.",Proposed facility site,,,,geotechnical analysis; site investigation; hazard assessment; facility siting
gemini-2.5-pro,308,Offshore,376,10,Technical,"The results of the geological survey with supporting data must be submitted, including an assessment of: (i) Seismic activity at your proposed site; (ii) Fault zones; (iii) The possibility and effects of seabed subsidence; and (iv) The extent and geometry of faulting attenuation effects of geologic conditions near your site.",Facility design and siting,,,,geological survey; seismic hazard analysis; structural design; site investigation
gemini-2.5-pro,308,Offshore,376,10,Environmental,"The results of the biological survey with supporting data must be submitted, including a description of the results of biological surveys used to determine the presence of live bottoms, hard bottoms, and topographic features, and surveys of other marine resources such as fish populations.",Proposed facility site and surrounding marine environment,,,,environmental impact assessment; marine biology; benthic habitat survey; fisheries assessment
gemini-2.5-pro,,Unspecified,8,11,Safety,"Any recommended practices, guidance or standards contained in this document should be... used in accordance with... all applicable laws, regulations and recommended practices addressing safety and regulatory compliance (such as OSHA and ANSI requirements).",Company operations and maintenance practices,,,OSHA and ANSI requirements,safety; regulatory compliance; operations
gpt-4o-mini,§ 585.618,Offshore,373,10,Technical,"If, prior to the expiration of your site assessment term, you timely submit a COP meeting the requirements of this subpart, or a complete FERC license application, that describes the continued use of existing facilities approved in your SAP, you may keep such facilities in place on your lease during the time that BOEM reviews your COP for approval or FERC reviews your license application for approval.",Facilities on lease during the review process.,,,§ 585.618,permitting process; facility management
gpt-4o-mini,"§ 585.614, § 585.615",Offshore,370,10,Safety,"You must comply with the requirements of part 285, subpart G, of this title and also submit your Safety Management System required by § 285.810 of this title before construction may begin.",Construction phase,,,§ 285.810,safety management; construction standards
gpt-4o-mini,§ 585.611,Offshore,366,10,Environmental,You must provide sufficient data and information with your COP or FERC license application for BOEM and/or FERC to complete the needed reviews and NEPA analysis.,Construction and Operations Plan (COP) or FERC license application.,,,BOEM regulations § 585.611,environmental impact assessment; regulatory compliance
gpt-4o-mini,§ 585.606,Offshore,361,10,Safety,"If you propose to construct a facility or combination of facilities deemed by BOEM to be complex or significant, you must also comply with the requirements of part 285, subpart G, of this title and submit your safety management system as required by § 285.810 of this title.",Construction of complex or significant facilities,,,"§ 585.613(a)(1), § 285.810",safety management; construction standards
gpt-4o-mini,§ 585.605,Offshore,360,10,Technical,"You must submit a COP, or a FERC license application, at least 6 months before the end of your site assessment term.","Commercial lease, operations term",6.0,months,§ 585.605,regulatory compliance; project planning
gpt-4o-mini,§ 585.600,Offshore,359,10,Jurisdictional,"You must submit your plans as follows: conduct any activities on your limited lease, ROW grant, or RUE grant in any OCS area GAP, according to §§ 585.640 through 585.648.","Activities on limited leases, ROW grants, or RUE grants in OCS areas",,,"BOEM regulations, § 585.601",permitting; regulatory compliance
gemini-2.5-pro,Section 4,Offshore,45,12,Environmental,mitigation measures must be used in order to reduce the potential impacts of the project to a level acceptable for approval of the project.,Project approval phase for offshore wind projects,,,Implied approving authority,environmental impact assessment; project permitting; mitigation
gpt-4o-mini,"§ 585.532, § 585.533",Offshore,351,10,Financial,"If the value of your financial assurance is reduced below the required financial assurance amount because of a default or any other reason, you must provide additional financial assurance sufficient to meet the requirements of this subpart within 45 days or within a different period as specified by BOEM.",Financial assurance for lease or grant obligations,45.0,days,BOEM regulations § 585.532,financial assurance; regulatory compliance
