"document_id","chunk_number","model_type","model_name","parsed_successfully","raw_output"
"34",1,"claude","claude-3-haiku-20240307",False,"Here is the structured output based on the analyzed document:

{
  ""document_metadata"": {
    ""title"": ""Conditions of Site Assessment Plan Approval"",
    ""document_number"": ""Lease Number OCS-A 0490"",
    ""type_of_wind_farm"": ""Offshore""
  },
  ""regulatory_constraints"": [
    {
      ""type"": ""Environmental"",
      ""requirement"": ""Conditions relating to marine mammals, sea turtles, and sturgeon"",
      ""scope"": ""Offshore wind farm site assessment activities"",
      ""source"": ""U.S. Department of the Interior Bureau of Ocean Energy Management"",
      ""related_domains"": [""Environmental""]
    },
    {
      ""type"": ""Environmental"",
      ""requirement"": ""Conditions for avian and bat protection"",
      ""scope"": ""Offshore wind farm site assessment activities"",
      ""source"": ""U.S. Department of the Interior Bureau of Ocean Energy Management"",
      ""related_domains"": [""Environmental""]
    },
    {
      ""type"": ""Cultural"",
      ""requirement"": ""Conditions for cultural resource protection"",
      ""scope"": ""Offshore wind farm site assessment activities"",
      ""source"": ""U.S. Department of the Interior Bureau of Ocean Energy Management"",
      ""related_domains"": [""Cultural""]
    },
    {
      ""type"": ""Technical"",
      ""requirement"": ""Technical conditions"",
      ""scope"": ""Offshore wind farm site assessment activities"",
      ""source"": ""U.S. Department of the Interior Bureau of Ocean Energy Management"",
      ""related_domains"": [""Technical""]
    },
    {
      ""type"": ""Safety"",
      ""requirement"": ""Conditions related to navigational safety"",
      ""scope"": ""Offshore wind farm site assessment activities"",
      ""source"": ""U.S. Department of the Interior Bureau of Ocean Energy Management"",
      ""related_domains"": [""Safety""]
    }
  ],
  ""regulatory_entities"": [
    {
      ""entity_name"": ""U.S. Department of the Interior Bureau of Ocean Energy Management"",
      ""jurisdiction"": ""Federal"",
      ""role"": ""Regulator and enforcement authority for offshore wind farm site assessment activities""
    }
  ]
}"
"34",2,"claude","claude-3-haiku-20240307",True,"{
  ""document_metadata"": {
    ""title"": ""Conditions Relating to Marine Mammals, Sea Turtles, and Sturgeon"",
    ""document_number"": null,
    ""type_of_wind_farm"": ""Offshore""
  },
  ""regulatory_constraints"": [
    {
      ""type"": ""Safety"",
      ""requirement"": ""Prior to conducting activities pursuant to the SAP, the Lessee must hold a briefing to establish responsibilities of each party involved in implementing the requirements specified in Section 1 of these conditions. During this briefing, the parties involved must define the chains of command, discuss communication procedures, provide an overview of monitoring procedures, and review operational procedures."",
      ""scope"": ""All activities conducted pursuant to the SAP"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""Section 1.1.1"",
      ""related_domains"": ""Safety, Operations""
    },
    {
      ""type"": ""Safety"",
      ""requirement"": ""The Lessee must ensure that all vessel operators and crew members, including PSOs, are familiar with and understand, the requirements specified in these conditions."",
      ""scope"": ""All vessel operators and crew members, including PSOs"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""Section 1.1.2"",
      ""related_domains"": ""Safety, Operations""
    },
    {
      ""type"": ""Safety"",
      ""requirement"": ""The Lessee must ensure that a copy of these conditions is made available on every project-related vessel."",
      ""scope"": ""All project-related vessels"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""Section 1.1.3"",
      ""related_domains"": ""Safety, Operations""
    },
    {
      ""type"": ""Safety"",
      ""requirement"": ""The Lessee must ensure that vessel operators and crews maintain a vigilant watch for marine mammals and sea turtles and slow down or stop their vessel to avoid striking these protected species."",
      ""scope"": ""All vessels conducting activities authorized under the SAP"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""Section 1.2.1"",
      ""related_domains"": ""Safety, Environmental""
    },
    {
      ""type"": ""Safety"",
      ""requirement"": ""The Lessee must ensure that vessel operators comply with 10 knot (18.5 km/hr) or less speed restrictions in the following circumstances: 1) All vessels operating in any Dynamic Management Area (DMA); 2) All vessels 19.8 m (65 ft) in length or greater, traveling and operating within the project area and between the staging area/port and the project area from November 1 through April 30; 3) When mother/calf pairs, pods, or large assemblages of cetaceans are observed near any vessel."",
      ""scope"": ""All vessels conducting activities authorized under the SAP"",
      ""numerical_value"": 10,
      ""unit"": ""knots"",
      ""source"": ""Section 1.2.2"",
      ""related_domains"": ""Safety, Environmental""
    },
    {
      ""type"": ""Safety"",
      ""requirement"": ""The Lessee must ensure all vessels maintain a separation distance of 500 meters (1,640 ft) or greater from any sighted North Atlantic right whale."",
      ""scope"": ""All vessels conducting activities authorized under the SAP"",
      ""numerical_value"": 500,
      ""unit"": ""meters"",
      ""source"": ""Section 1.3.1"",
      ""related_domains"": ""Safety, Environmental""
    }
  ],
  ""regulatory_entities"": [
    {
      ""entity_name"": ""Lessee"",
      ""jurisdiction"": null,
      ""role"": ""Responsible for ensuring compliance with the specified requirements""
    }
  ]
}"
"34",3,"claude","claude-3-haiku-20240307",False,"Unfortunately, the provided document does not contain any regulatory or technical information related to offshore wind farm planning, construction, and operation. The document is empty, so I am unable to extract any regulatory entities or constraints. Therefore, the output would be:

{
  ""document_metadata"": {
    ""title"": null,
    ""document_number"": null,
    ""type_of_wind_farm"": null
  },
  ""regulatory_constraints"": null,
  ""regulatory_entities"": null
}

Without any content in the provided document, I cannot identify any relevant regulatory information to include in the structured output. Please provide a document that contains the necessary information for me to analyze and extract the requested data."
"34",4,"claude","claude-3-haiku-20240307",False,"Here is the structured output based on the analyzed document:

{
  ""document_metadata"": {
    ""title"": ""Offshore Wind Farm Regulations"",
    ""document_number"": ""N/A"",
    ""type_of_wind_farm"": ""Offshore""
  },
  ""regulatory_constraints"": [
    {
      ""type"": ""Safety"",
      ""requirement"": ""If a vessel comes within 500 meters (1,640 ft) of any North Atlantic right whale, the vessel must steer a course away from the North Atlantic right whale at 10 knots (18.5 km/h) or less until the 500 meter (1,640 ft) minimum separation distance has been established."",
      ""scope"": ""Vessels operating near North Atlantic right whales"",
      ""numerical_value"": 500,
      ""unit"": ""meters"",
      ""source"": ""N/A"",
      ""related_domains"": [""Environmental"", ""Safety""]
    },
    {
      ""type"": ""Safety"",
      ""requirement"": ""If a North Atlantic right whale is sighted within 100 meters (328 ft) of an underway vessel, the vessel operator must immediately reduce speed and promptly shift the engine to neutral. The vessel operator must not engage the engines until the North Atlantic right whale has moved beyond 100 meters (328 ft)."",
      ""scope"": ""Vessels operating near North Atlantic right whales"",
      ""numerical_value"": 100,
      ""unit"": ""meters"",
      ""source"": ""N/A"",
      ""related_domains"": [""Environmental"", ""Safety""]
    },
    {
      ""type"": ""Safety"",
      ""requirement"": ""If a vessel is stationary, the vessel operator must not engage engines until the North Atlantic right whale has moved beyond 100 meters (328 ft)."",
      ""scope"": ""Stationary vessels near North Atlantic right whales"",
      ""numerical_value"": 100,
      ""unit"": ""meters"",
      ""source"": ""N/A"",
      ""related_domains"": [""Environmental"", ""Safety""]
    },
    {
      ""type"": ""Safety"",
      ""requirement"": ""The Lessee must ensure all vessels maintain a separation distance of 100 meters (328 ft) or greater from any sighted non-delphinoid cetacean."",
      ""scope"": ""Vessels operating near non-delphinoid cetaceans"",
      ""numerical_value"": 100,
      ""unit"": ""meters"",
      ""source"": ""N/A"",
      ""related_domains"": [""Environmental"", ""Safety""]
    },
    {
      ""type"": ""Safety"",
      ""requirement"": ""If any non-delphinoid cetacean is sighted, the vessel underway must reduce speed and shift the engine to neutral, and must not engage the engines until the non-delphinoid cetacean has moved beyond 100 meters (328 ft)."",
      ""scope"": ""Vessels operating near non-delphinoid cetaceans"",
      ""numerical_value"": 100,
      ""unit"": ""meters"",
      ""source"": ""N/A"",
      ""related_domains"": [""Environmental"", ""Safety""]
    },
    {
      ""type"": ""Safety"",
      ""requirement"": ""If a vessel is stationary, the vessel must not engage engines until the non-delphinoid cetacean has moved beyond 100 meters (328 ft)."",
      ""scope"": ""Stationary vessels near non-delphinoid cetaceans"",
      ""numerical_value"": 100,
      ""unit"": ""meters"",
      ""source"": ""N/A"",
      ""related_domains"": [""Environmental"", ""Safety""]
    },
    {
      ""type"": ""Safety"",
      ""requirement"": ""The Lessee must ensure that vessels underway do not divert to approach any delphinoid cetacean and/or pinniped."",
      ""scope"": ""Vessels operating near delphinoid cetaceans and pinnipeds"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""N/A"",
      ""related_domains"": [""Environmental"", ""Safety""]
    },
    {
      ""type"": ""Safety"",
      ""requirement"": ""The Lessee must ensure that all vessels maintain a separation distance of 50 m (164 ft) or greater from any sighted delphinoid cetacean or pinniped, except if the delphinoid and/or pinniped approach the vessel."",
      ""scope"": ""Vessels operating near delphinoid cetaceans and pinnipeds"",
      ""numerical_value"": 50,
      ""unit"": ""meters"",
      ""source"": ""N/A"",
      ""related_domains"": [""Environmental"", ""Safety""]
    },
    {
      ""type"": ""Safety"",
      ""requirement"": ""The Lessee must ensure that if a delphinoid cetacean and/or pinniped approaches any vessel underway, that vessel must avoid excessive speed or abrupt changes in direction to avoid injury to the delphinoid cetacean and/or pinniped."",
      ""scope"": ""Vessels operating near delphinoid cetaceans and pinnipeds"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""N/A"",
      ""related_domains"": [""Environmental"", ""Safety""]
    }
  ],
  ""regulatory_entities"": [
    {
      ""entity_name"": ""N/A"",
      ""jurisdiction"": ""N/A"",
      ""role"": ""N/A""
    }
  ]
}"
"34",5,"claude","claude-3-haiku-20240307",False,"Unfortunately, the provided document does not contain any regulatory or technical information related to offshore wind farm planning, construction, and operation. The document is empty, so I am unable to extract any regulatory entities or constraints. Therefore, I will return a null response:

{
  ""document_metadata"": {
    ""title"": null,
    ""document_number"": null,
    ""type_of_wind_farm"": null
  },
  ""regulatory_constraints"": null,
  ""regulatory_entities"": null
}"
"34",6,"claude","claude-3-haiku-20240307",True,"{
  ""document_metadata"": {
    ""title"": ""Sea Turtles and Marine Debris Prevention"",
    ""document_number"": null,
    ""type_of_wind_farm"": ""Offshore""
  },
  ""regulatory_constraints"": [
    {
      ""type"": ""Environmental"",
      ""requirement"": ""The Lessee must ensure all vessels maintain a separation distance of 50 meters (164 ft) or greater from any sighted sea turtle."",
      ""scope"": ""Offshore wind farm vessels"",
      ""numerical_value"": 50,
      ""unit"": ""meters"",
      ""source"": ""SAP"",
      ""related_domains"": [""Environmental""]
    },
    {
      ""type"": ""Environmental"",
      ""requirement"": ""The Lessee must ensure that vessel operators, employees, and contractors engaged in activities pursuant to the SAP are briefed on marine trash and debris awareness elimination as described in BSEE NTL No. 2015-G03 (\""Marine Trash and Debris Awareness and Elimination\"")."",
      ""scope"": ""Offshore wind farm personnel"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""SAP"",
      ""related_domains"": [""Environmental""]
    },
    {
      ""type"": ""Safety"",
      ""requirement"": ""The Lessee must ensure that all vessels conducting activity pursuant to the SAP comply with the pile driving and reporting requirements specified in Sections 1.8 and 1.9, except when the safety of the vessel or the safety of life at sea is in question."",
      ""scope"": ""Offshore wind farm vessels"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""SAP"",
      ""related_domains"": [""Safety""]
    },
    {
      ""type"": ""Safety"",
      ""requirement"": ""The Lessee must not conduct pile driving for a meteorological foundation at any time when lighting or weather conditions (e.g., darkness, rain, fog or sea state) prevent visual monitoring of the exclusion zones for meteorological foundation pile driving as specified below."",
      ""scope"": ""Offshore wind farm pile driving"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""SAP"",
      ""related_domains"": [""Safety""]
    },
    {
      ""type"": ""Safety"",
      ""requirement"": ""If the driving of a pile commenced during daylight hours, then the Lessee may complete driving that pile after daylight hours. However, the Lessee may not start driving a new pile after daylight hours, unless allowed pursuant to an alternative monitoring plan as described in 1.8.4."",
      ""scope"": ""Offshore wind farm pile driving"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""SAP"",
      ""related_domains"": [""Safety""]
    },
    {
      ""type"": ""Safety"",
      ""requirement"": ""The Lessee must ensure that the exclusion zone for all pile driving for a meteorological tower foundation is monitored by NMFS-approved PSOs around the sound source. The number of PSOs must be sufficient to effectively monitor the exclusion zone at all times."",
      ""scope"": ""Offshore wind farm pile driving"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""SAP"",
      ""related_domains"": [""Safety""]
    }
  ],
  ""regulatory_entities"": [
    {
      ""entity_name"": ""Bureau of Safety and Environmental Enforcement (BSEE)"",
      ""jurisdiction"": ""Federal"",
      ""role"": ""Regulatory authority""
    },
    {
      ""entity_name"": ""National Marine Fisheries Service (NMFS)"",
      ""jurisdiction"": ""Federal"",
      ""role"": ""Regulatory authority""
    }
  ]
}"
"34",7,"claude","claude-3-haiku-20240307",False,"Unfortunately, the provided document does not contain any regulatory or technical information related to offshore wind farm planning, construction, and operation. The document is empty, so I am unable to extract any structured data as requested. If you have a different document that contains the necessary information, please provide it, and I will be happy to analyze it and generate the requested JSON output."
"34",8,"claude","claude-3-haiku-20240307",False,"Here is the structured output based on the analyzed document:

{
  ""document_metadata"": {
    ""title"": ""Offshore Wind Farm Documentation"",
    ""document_number"": null,
    ""type_of_wind_farm"": ""Offshore""
  },
  ""regulatory_constraints"": [
    {
      ""type"": ""Safety"",
      ""requirement"": ""PSOs must not be on watch for more than 4 consecutive hours, with at least a 2-hour break after a 4-hour watch, unless a different schedule is approved by the Lessor."",
      ""scope"": ""Offshore wind farm construction activities"",
      ""numerical_value"": 4,
      ""unit"": ""hours"",
      ""source"": ""Lessor"",
      ""related_domains"": [""Safety""]
    },
    {
      ""type"": ""Safety"",
      ""requirement"": ""PSOs must not work for more than 12 hours in a 24-hour period."",
      ""scope"": ""Offshore wind farm construction activities"",
      ""numerical_value"": 12,
      ""unit"": ""hours"",
      ""source"": ""Lessor"",
      ""related_domains"": [""Safety""]
    },
    {
      ""type"": ""Technical"",
      ""requirement"": ""The Lessee must ensure that monitoring occurs from the highest available vantage point on the associated operational platform and allows for 360° scanning."",
      ""scope"": ""Offshore wind farm construction activities"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""Lessor"",
      ""related_domains"": [""Technical""]
    },
    {
      ""type"": ""Technical"",
      ""requirement"": ""The Lessee must ensure that reticle binoculars and other suitable equipment are available to each PSO to adequately perceive and monitor protected species within the exclusion zone during construction activities."",
      ""scope"": ""Offshore wind farm construction activities"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""Lessor"",
      ""related_domains"": [""Technical""]
    },
    {
      ""type"": ""Environmental"",
      ""requirement"": ""The Lessee must ensure that no pile driving activities occur within an active DMA as established by NMFS."",
      ""scope"": ""Offshore wind farm construction activities"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""Lessor"",
      ""related_domains"": [""Environmental""]
    },
    {
      ""type"": ""Environmental"",
      ""requirement"": ""Any pile driving activities outside of the DMA are required to remain at a 7 km (22,966 ft) distance from the DMA boundaries."",
      ""scope"": ""Offshore wind farm construction activities"",
      ""numerical_value"": 7,
      ""unit"": ""km"",
      ""source"": ""Lessor"",
      ""related_domains"": [""Environmental""]
    },
    {
      ""type"": ""Environmental"",
      ""requirement"": ""The Lessee must ensure the establishment of a default 7 km (22,966 ft) radius exclusion zone for marine mammals and sea turtles around each pile driving site."",
      ""scope"": ""Offshore wind farm construction activities"",
      ""numerical_value"": 7,
      ""unit"": ""km"",
      ""source"": ""Lessor"",
      ""related_domains"": [""Environmental""]
    },
    {
      ""type"": ""Technical"",
      ""requirement"": ""The Lessee must submit results to verify the cumulative sound exposure distance for PTS during pile driving activities. If no applicable data are available, the Lessee must conduct acoustic monitoring of pile driving activities during the installation of each pile."",
      ""scope"": ""Offshore wind farm construction activities"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""Lessor"",
      ""related_domains"": [""Technical""]
    },
    {
      ""type"": ""Technical"",
      ""requirement"": ""The Lessee must take acoustic measurements during the driving of the last half (deepest pile segment) for any given open-water pile."",
      ""scope"": ""Offshore wind farm construction activities"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""Lessor"",
      ""related_domains"": [""Technical""]
    },
    {
      ""type"": ""Technical"",
      ""requirement"": ""The first location must be at a distance of 200 m from the sound source and the second location must be as close to the sound source as technically feasible."",
      ""scope"": ""Offshore wind farm construction activities"",
      ""numerical_value"": 200,
      ""unit"": ""m"",
      ""source"": ""Lessor"",
      ""related_domains"": [""Technical""]
    }
  ],
  ""regulatory_entities"": [
    {
      ""entity_name"": ""Lessor"",
      ""jurisdiction"": null,
      ""role"": ""Enforcing regulations and requirements for offshore wind farm construction activities""
    },
    {
      ""entity_name"": ""NMFS"",
      ""jurisdiction"": null,
      ""role"": ""Establishing and approving protected species observation (PSO) requirements and designated marine areas (DMAs)""
    }
  ]
}"
"34",9,"claude","claude-3-haiku-20240307",False,"Unfortunately, the provided document does not contain any regulatory or technical information related to offshore wind farm planning, construction, and operation. The document is empty, so I am unable to extract any regulatory entities or constraints. Therefore, the structured output would be:

{
  ""document_metadata"": {
    ""title"": null,
    ""document_number"": null,
    ""type_of_wind_farm"": null
  },
  ""regulatory_constraints"": null,
  ""regulatory_entities"": null
}

Without any relevant content in the document, I cannot identify any regulatory information to include in the output. Please provide a document that contains the necessary information for me to analyze and extract the required data."
"34",10,"claude","claude-3-haiku-20240307",False,"Here is the structured output based on the analyzed document:

{
  ""document_metadata"": {
    ""title"": ""Offshore Wind Farm Regulations"",
    ""document_number"": null,
    ""type_of_wind_farm"": ""Offshore""
  },
  ""regulatory_constraints"": [
    {
      ""type"": ""Technical"",
      ""requirement"": ""Sound pressure levels must be measured in the field in dB re 1 μPa RMS, and reported by the Lessee to the Lessor and NMFS (per Section 1.9.6)."",
      ""scope"": ""Offshore wind farm"",
      ""numerical_value"": null,
      ""unit"": ""dB re 1 μPa RMS"",
      ""source"": ""Section 1.9.6"",
      ""related_domains"": [""Environmental"", ""Safety""]
    },
    {
      ""type"": ""Technical"",
      ""requirement"": ""The Lessee must report the azimuthal bearing from the central pile to the receivers."",
      ""scope"": ""Offshore wind farm"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": null,
      ""related_domains"": [""Technical""]
    },
    {
      ""type"": ""Technical"",
      ""requirement"": ""The Lessee must record the bearings from the central caisson to the strike surfaces of each caisson brace pile, as well as the bearing from the central caisson to where each caisson brace pile enters the ocean floor."",
      ""scope"": ""Offshore wind farm"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": null,
      ""related_domains"": [""Technical""]
    },
    {
      ""type"": ""Environmental"",
      ""requirement"": ""If the Lessor determines that the exclusion zone does not encompass the cumulative sound exposure distance for PTS for each marine mammal hearing group (per Section 1.8.10), the Lessor may impose additional, relevant requirements on the Lessee, including, but not limited to, the implementation of a sound reduction system."",
      ""scope"": ""Offshore wind farm"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""Section 1.8.10"",
      ""related_domains"": [""Environmental"", ""Safety""]
    },
    {
      ""type"": ""Technical"",
      ""requirement"": ""The Lessee must obtain the Lessor and NMFS's approval for any new exclusion zone before it may be implemented (per Section 1.9.7)."",
      ""scope"": ""Offshore wind farm"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""Section 1.9.7"",
      ""related_domains"": [""Technical"", ""Jurisdictional""]
    },
    {
      ""type"": ""Safety"",
      ""requirement"": ""The Lessee must ensure that visual monitoring of the exclusion zone begins no less than 60 minutes prior to the start of any pile driving operations and continues for at least 60 minutes after pile driving operations cease, unless sighting conditions do not allow observation of the sea surface (e.g., fog, rain, darkness)."",
      ""scope"": ""Offshore wind farm"",
      ""numerical_value"": 60,
      ""unit"": ""minutes"",
      ""source"": null,
      ""related_domains"": [""Safety""]
    },
    {
      ""type"": ""Safety"",
      ""requirement"": ""The Lessee must ensure that pile driving operations do not begin until the PSO has reported the exclusion zone clear of all marine mammals and sea turtles for at least 60 minutes."",
      ""scope"": ""Offshore wind farm"",
      ""numerical_value"": 60,
      ""unit"": ""minutes"",
      ""source"": null,
      ""related_domains"": [""Safety""]
    },
    {
      ""type"": ""Technical"",
      ""requirement"": ""The Lessee must ensure that a \""soft start\"" be implemented at the beginning of each pile installation. This will provide additional protection to marine mammals and sea turtles near the project area by allowing them to vacate the area prior to the commencement of pile driving activities."",
      ""scope"": ""Offshore wind farm"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": null,
      ""related_domains"": [""Environmental"", ""Safety""]
    }
  ],
  ""regulatory_entities"": [
    {
      ""entity_name"": ""Lessor"",
      ""jurisdiction"": null,
      ""role"": ""Approval and enforcement of regulations""
    },
    {
      ""entity_name"": ""NMFS"",
      ""jurisdiction"": null,
      ""role"": ""Approval and enforcement of regulations""
    }
  ]
}"
