model_type,model_name,document_id,constraint_id,category,description,source_section_number,geographic_scope,context_quote,component_name,value,unit
deepseek,deepseek-chat,10,C-001,Operational Parameter,Impact pile driving must not occur January 1 through April 30,§ 217.264(c)(1),BOEM Lease Area OCS-A 0498,Impact pile driving must not occur January 1 through April 30.,Wind Turbine Generator,,
deepseek,deepseek-chat,10,C-002,Design Specification,Monopiles must be no larger than 11 m in diameter,§ 217.264(c)(2),BOEM Lease Area OCS-A 0498,"Monopiles must be no larger than 11 m in diameter, representing the larger end of the monopile design.",Wind Turbine Generator,11.0,m
deepseek,deepseek-chat,10,C-003,Operational Parameter,"Hammer energies must not exceed 4,000 kilojoules for monopile installation",§ 217.264(c)(2),BOEM Lease Area OCS-A 0498,"Hammer energies must not exceed 4,000 kilojoules for monopile installation.",Wind Turbine Generator,4000.0,kilojoules
deepseek,deepseek-chat,10,C-004,Operational Parameter,No more than two monopiles may be installed per day,§ 217.264(c)(2),BOEM Lease Area OCS-A 0498,No more than two monopiles may be installed per day.,Wind Turbine Generator,2.0,monopiles per day
deepseek,deepseek-chat,10,C-005,Design Specification,Pin piles must be no larger than 5 m in diameter,§ 217.264(c)(2),BOEM Lease Area OCS-A 0498,Pin piles must be no larger than 5 m in diameter.,Offshore Substation,5.0,m
deepseek,deepseek-chat,10,C-006,Operational Parameter,"Hammer energies must not exceed 2,500 kJ for pin pile installation",§ 217.264(c)(2),BOEM Lease Area OCS-A 0498,"Hammer energies must not exceed 2,500 kJ for pin pile installation.",Offshore Substation,2500.0,kJ
deepseek,deepseek-chat,10,C-007,Operational Parameter,No more than three pin piles may be installed per day,§ 217.264(c)(2),BOEM Lease Area OCS-A 0498,No more than three pin piles may be installed per day.,Offshore Substation,3.0,pin piles per day
deepseek,deepseek-chat,10,C-008,Operational Parameter,Installation and removal of cofferdams and goal posts must not occur during nighttime hours,§ 217.264(d)(1),Cable landfall construction sites,Installation and removal of cofferdams and goal posts must not occur during nighttime hours (defined as the hours between 1.5 hours prior to civil sunset and 1 hour after civil sunrise).,Cofferdams and Goal Posts,,
deepseek,deepseek-chat,10,C-009,Operational Parameter,Installation and removal of sheet piles for cofferdams must only occur for up to 12 hours for each cofferdam,§ 217.264(d)(2),Cable landfall construction sites,All installation and removal of sheet piles for cofferdams and casing pipes for goal posts must only occur for up to 12 hours for each cofferdam and up to 1 hour daily for each goal post (within a single 24-hour period).,Cofferdams and Goal Posts,12.0,hours
deepseek,deepseek-chat,10,C-010,Operational Parameter,LOA Holder may detonate a maximum of 10 UXO/MECs,§ 217.264(e)(2),BOEM Lease Area OCS-A 0498,"LOA Holder may detonate a maximum of 10 UXO/MECs, of varying sizes but no larger than 1,000 pounds (lbs; 454 kilograms (kg)) charge weight (i.e., E12), over the effective period of this rulemaking and LOA.",Unexploded Ordnances or Munitions and Explosives of Concern,10.0,UXO/MECs
deepseek,deepseek-chat,10,C-011,Operational Parameter,"UXO/MEC detonations must not occur from November 1 through April 31, annually",§ 217.264(e)(3),BOEM Lease Area OCS-A 0498,"LOA Holder must not detonate UXO/MECs from November 1 through April 31, annually.",Unexploded Ordnances or Munitions and Explosives of Concern,,
deepseek,deepseek-chat,10,C-012,Operational Parameter,No more than one detonation may occur within a 24-hour period,§ 217.264(e)(5),BOEM Lease Area OCS-A 0498,No more than one detonation may occur within a 24-hour period.,Unexploded Ordnances or Munitions and Explosives of Concern,1.0,detonation per 24-hour period
deepseek,deepseek-chat,10,C-013,Operational Parameter,Sub-bottom profilers must be deactivated when not acquiring data or preparing to acquire data,§ 217.264(f)(4),BOEM Lease Area OCS-A 0498,"SBPs (hereinafter referred to as “acoustic sources”) must be deactivated when not acquiring data or preparing to acquire data, except as necessary for testing.",High-Resolution Geophysical Surveys,,
deepseek,deepseek-chat,10,C-014,Operational Parameter,Acoustic sources must be used at the lowest practicable source level to meet the survey objective,§ 217.264(f)(4),BOEM Lease Area OCS-A 0498,"Acoustic sources must be used at the lowest practicable source level to meet the survey objective, when in use, and must be turned off when they are not necessary for the survey.",High-Resolution Geophysical Surveys,,
