document_id,chunk_number,model_type,model_name,parsed_successfully,raw_output
43,1,gemini,gemini-1.5-pro,False,NO_RELEVANT_DATA_FOUND
43,2,gemini,gemini-1.5-pro,False,NO_RELEVANT_DATA_FOUND
43,3,gemini,gemini-1.5-pro,False,NO_RELEVANT_DATA_FOUND
43,4,gemini,gemini-1.5-pro,False,NO_RELEVANT_DATA_FOUND
43,5,gemini,gemini-1.5-pro,False,NO_RELEVANT_DATA_FOUND
43,6,gemini,gemini-1.5-pro,False,NO_RELEVANT_DATA_FOUND
43,7,gemini,gemini-1.5-pro,False,NO_RELEVANT_DATA_FOUND
43,8,gemini,gemini-1.5-pro,True,"```json
{
  ""document_metadata"": {
    ""title"": null,
    ""document_number"": ""3"",
    ""type_of_wind_farm"": ""Offshore""
  },
  ""regulatory_constraints"": [],
  ""regulatory_entities"": [
    {
      ""entity_name"": ""Department of Commerce (DOC)"",
      ""jurisdiction"": ""Federal - USA"",
      ""role"": ""Develop a National System of Marine Protected Areas""
    },
    {
      ""entity_name"": ""Department of the Interior (DOI)"",
      ""jurisdiction"": ""Federal - USA"",
      ""role"": ""Develop a National System of Marine Protected Areas""
    }
  ]
}
```"
43,9,gemini,gemini-1.5-pro,True,"```json
{
  ""document_metadata"": {
    ""title"": ""Framework for the National System of Marine Protected Areas of the United States of America"",
    ""document_number"": null,
    ""type_of_wind_farm"": ""Offshore""
  },
  ""regulatory_constraints"": [],
  ""regulatory_entities"": [
    {
      ""entity_name"": ""Regional Fishery Management Councils (FMCs)"",
      ""jurisdiction"": ""Regional (US)"",
      ""role"": ""Consultation on national marine protected area system""
    },
    {
      ""entity_name"": ""Marine Protected Areas Federal Advisory Committee (MPA FAC)"",
      ""jurisdiction"": ""Federal - USA"",
      ""role"": ""Advisory role in the development of the national marine protected area system""
    },
    {
      ""entity_name"": ""National Oceanic and Atmospheric Administration (NOAA)"",
      ""jurisdiction"": ""Federal - USA"",
      ""role"": ""Development and implementation of the national marine protected area system""
    },
    {
      ""entity_name"": ""National MPA Center"",
      ""jurisdiction"": ""Federal - USA (within NOAA)"",
      ""role"": ""Development and coordination of the national marine protected area system""
    },
    {
      ""entity_name"": ""Federal Government"",
      ""jurisdiction"": ""Federal - USA"",
      ""role"": ""Reservation/Designation of MPAs""
    },
    {
      ""entity_name"": ""State Government"",
      ""jurisdiction"": ""State - USA"",
      ""role"": ""Reservation/Designation of MPAs""
    },
    {
      ""entity_name"": ""Territorial Government"",
      ""jurisdiction"": ""Territorial - USA"",
      ""role"": ""Reservation/Designation of MPAs""
    },
    {
      ""entity_name"": ""Tribal Government"",
      ""jurisdiction"": ""Tribal - USA"",
      ""role"": ""Reservation/Designation of MPAs""
    },
    {
      ""entity_name"": ""Local Government"",
      ""jurisdiction"": ""Local - USA"",
      ""role"": ""Reservation/Designation of MPAs""
    }
  ]
}
```"
43,10,gemini,gemini-1.5-pro,False,NO_RELEVANT_DATA_FOUND
43,11,gemini,gemini-1.5-pro,False,NO_RELEVANT_DATA_FOUND
43,12,gemini,gemini-1.5-pro,False,NO_RELEVANT_DATA_FOUND
43,13,gemini,gemini-1.5-pro,False,NO_RELEVANT_DATA_FOUND
43,14,gemini,gemini-1.5-pro,True,"```json
{
  ""document_metadata"": {
    ""title"": ""Framework for the National System of Marine Protected Areas"",
    ""document_number"": null,
    ""type_of_wind_farm"": ""Offshore""
  },
  ""regulatory_constraints"": [
    {
      ""type"": ""Environmental"",
      ""requirement"": ""Federal agencies to “avoid harm” to the natural and cultural resources protected by National System MPAs."",
      ""scope"": ""National System MPAs"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""Executive Order 13158"",
      ""related_domains"": [""environmental impact assessment"", ""cultural heritage preservation""]
    },
    {
      ""type"": ""Environmental"",
      ""requirement"": ""Federal agencies are required to identify their activities that affect the natural and cultural resources protected by individual national system MPAs"",
      ""scope"": ""National System MPAs"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""Executive Order 13158"",
      ""related_domains"": [""environmental impact assessment"", ""impact assessment""]
    },
    {
      ""type"": ""Environmental"",
      ""requirement"": ""(to the extent permitted by law and the maximum extent practicable) avoid harm to those resources [natural and cultural resources protected by individual national system MPAs]"",
      ""scope"": ""National System MPAs"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""Executive Order 13158"",
      ""related_domains"": [""environmental impact assessment""]
    }
  ],
  ""regulatory_entities"": []
}
```"
43,15,gemini,gemini-1.5-pro,False,NO_RELEVANT_DATA_FOUND
43,16,gemini,gemini-1.5-pro,False,NO_RELEVANT_DATA_FOUND
43,17,gemini,gemini-1.5-pro,False,NO_RELEVANT_DATA_FOUND
43,18,gemini,gemini-1.5-pro,False,NO_RELEVANT_DATA_FOUND
43,19,gemini,gemini-1.5-pro,False,NO_RELEVANT_DATA_FOUND
43,20,gemini,gemini-1.5-pro,False,NO_RELEVANT_DATA_FOUND
43,21,gemini,gemini-1.5-pro,False,NO_RELEVANT_DATA_FOUND
43,22,gemini,gemini-1.5-pro,False,NO_RELEVANT_DATA_FOUND
43,23,gemini,gemini-1.5-pro,False,NO_RELEVANT_DATA_FOUND
43,24,gemini,gemini-1.5-pro,False,NO_RELEVANT_DATA_FOUND
43,25,gemini,gemini-1.5-pro,False,NO_RELEVANT_DATA_FOUND
43,26,gemini,gemini-1.5-pro,False,NO_RELEVANT_DATA_FOUND
43,27,gemini,gemini-1.5-pro,False,NO_RELEVANT_DATA_FOUND
43,28,gemini,gemini-1.5-pro,False,NO_RELEVANT_DATA_FOUND
43,29,gemini,gemini-1.5-pro,True,"```json
{
  ""document_metadata"": {
    ""title"": ""Framework for the National System of Marine Protected Areas"",
    ""document_number"": null,
    ""type_of_wind_farm"": ""Offshore""
  },
  ""regulatory_constraints"": [
    {
      ""type"": ""Environmental"",
      ""requirement"": ""Federal agencies to “avoid harm” to the natural and cultural resources protected by MPAs that become part of the national system."",
      ""scope"": ""MPAs within the national system"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""Section 5 of the Order"",
      ""related_domains"": [""environmental protection"", ""cultural resource management""]
    }
  ],
  ""regulatory_entities"": []
}
```"
43,30,gemini,gemini-1.5-pro,True,"```json
{
  ""document_metadata"": {
    ""title"": null,
    ""document_number"": null,
    ""type_of_wind_farm"": ""Offshore""
  },
  ""regulatory_constraints"": [
    {
      ""type"": ""Environmental"",
      ""requirement"": ""Each Federal agency whose actions affect the natural or cultural resources that are protected by an MPA shall identify such actions."",
      ""scope"": ""National System MPAs"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""The Order, Section 5"",
      ""related_domains"": [""environmental impact assessment"", ""protected areas""]
    },
    {
      ""type"": ""Environmental"",
      ""requirement"": ""To the extent permitted by law and to the maximum extent practicable, each Federal agency, in taking such actions, shall avoid harm to the natural and cultural resources that are protected by an MPA."",
      ""scope"": ""National System MPAs"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""The Order, Section 5"",
      ""related_domains"": [""environmental impact assessment"", ""protected areas""]
    }
  ],
  ""regulatory_entities"": []
}
```"
43,31,gemini,gemini-1.5-pro,True,"```json
{
  ""document_metadata"": {
    ""title"": null,
    ""document_number"": null,
    ""type_of_wind_farm"": ""Offshore""
  },
  ""regulatory_constraints"": [
    {
      ""type"": ""Environmental"",
      ""requirement"": ""ensure that their activities avoid harm to the natural and cultural resources protected by the MPAs included in the national system (to the extent permitted by law and to the maximum extent practicable)"",
      ""scope"": ""Activities within National System MPAs"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""Section 5, Federal Policy (Unspecified document/order)"",
      ""related_domains"": [""environmental protection"", ""cultural resource management""]
    }
  ],
  ""regulatory_entities"": []
}
```"
43,32,gemini,gemini-1.5-pro,True,"```json
{
  ""document_metadata"": {
    ""title"": ""Framework for the National System of Marine Protected Areas"",
    ""document_number"": null,
    ""type_of_wind_farm"": ""Offshore""
  },
  ""regulatory_constraints"": [
    {
      ""type"": ""Environmental"",
      ""requirement"": ""Agency requirements apply only to the natural or cultural resources specifically afforded protection by the site under its authorizing legislation."",
      ""scope"": ""National System MPAs"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""Section 5 of the Order"",
      ""related_domains"": [""environmental protection"", ""cultural resource management""]
    },
    {
      ""type"": ""Environmental"",
      ""requirement"": ""Avoid harm to resources specifically protected by the MPA."",
      ""scope"": ""National System MPAs"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""Section 5 of the Order"",
      ""related_domains"": [""environmental impact assessment""]
    },
    {
      ""type"": ""Jurisdictional"",
      ""requirement"": ""For sites that have both a terrestrial and marine area, only the marine portion and its associated protected resources will be included on the List of National System MPAs and subject to Section 5 of the Order."",
      ""scope"": ""National System MPAs with terrestrial and marine areas"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""Section 5 of the Order"",
      ""related_domains"": [""jurisdictional boundaries""]
    }
  ],
  ""regulatory_entities"": []
}
```"
43,33,gemini,gemini-1.5-pro,False,NO_RELEVANT_DATA_FOUND
43,34,gemini,gemini-1.5-pro,False,NO_RELEVANT_DATA_FOUND
43,35,gemini,gemini-1.5-pro,False,NO_RELEVANT_DATA_FOUND
43,36,gemini,gemini-1.5-pro,False,NO_RELEVANT_DATA_FOUND
43,37,gemini,gemini-1.5-pro,True,"```json
{
  ""document_metadata"": {
    ""title"": null,
    ""document_number"": null,
    ""type_of_wind_farm"": ""Offshore"" 
  },
  ""regulatory_constraints"": [],
  ""regulatory_entities"": [
    {
      ""entity_name"": ""MPA Center"",
      ""jurisdiction"": null, 
      ""role"": ""Overall coordination and operations of the National System of MPAs, including the nomination process and maintenance of the MPA Inventory and National System List, the MPA website, and the MPA monitoring and evaluation programs.""
    }
  ]
}
```"
43,38,gemini,gemini-1.5-pro,False,NO_RELEVANT_DATA_FOUND
43,39,gemini,gemini-1.5-pro,False,NO_RELEVANT_DATA_FOUND
43,40,gemini,gemini-1.5-pro,False,NO_RELEVANT_DATA_FOUND
43,41,gemini,gemini-1.5-pro,False,NO_RELEVANT_DATA_FOUND
43,42,gemini,gemini-1.5-pro,False,NO_RELEVANT_DATA_FOUND
43,43,gemini,gemini-1.5-pro,False,NO_RELEVANT_DATA_FOUND
43,44,gemini,gemini-1.5-pro,False,NO_RELEVANT_DATA_FOUND
43,45,gemini,gemini-1.5-pro,False,NO_RELEVANT_DATA_FOUND
