rank,document_id,constraint_count,page_count,pdf_path,document_number,model_name,type_of_wind_farm,constraints_per_page
1,26,322,177,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/26.pdf,Page 17 of 93,gemini-1.5-pro,Offshore,1.8192090395480225
2,40,169,28,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/40.pdf,DOC-2023-001,deepseek-chat,Offshore,6.035714285714286
3,10,168,376,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/10.pdf,OWF-REG-2023-004,deepseek-chat,Offshore,0.44680851063829785
4,22,153,366,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/22.pdf,EWF-2023-001,deepseek-chat,Offshore,0.4180327868852459
5,23,152,366,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/23.pdf,30 CFR Part 585,deepseek-chat,Offshore,0.41530054644808745
6,20,142,661,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/20.pdf,NSW-REG-2023-004,deepseek-chat,Offshore,0.21482602118003025
7,29,81,193,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/29.pdf,3-63,gemini-1.5-pro,Offshore,0.41968911917098445
8,48,73,235,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/48.pdf,,gpt-4o-mini,Offshore,0.31063829787234043
9,11,73,454,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/11.pdf,OWF-REG-2023-001,deepseek-chat,Offshore,0.16079295154185022
10,49,65,238,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/49.pdf,EWF-2023-001,deepseek-chat,Offshore,0.27310924369747897
11,27,65,29,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/27.pdf,SECTION IV,gpt-4.1,Offshore,2.2413793103448274
12,1,50,98,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/1.pdf,NSOW-2023-0042,deepseek-chat,Offshore,0.5102040816326531
13,2,48,98,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/2.pdf,NSW-2023-004,deepseek-chat,Offshore,0.4897959183673469
14,34,47,17,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/34.pdf,,gpt-4o-mini,Offshore,2.764705882352941
15,33,46,617,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/33.pdf,DOC-2023-001,deepseek-chat,Offshore,0.07455429497568881
16,39,45,215,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/39.pdf,30 CFR Part 585,deepseek-chat,Offshore,0.20930232558139536
17,32,42,311,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/32.pdf,OWF-REG-2023,deepseek-chat,Offshore,0.13504823151125403
18,5,37,142,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/5.pdf,EWF-2023-001,deepseek-chat,Offshore,0.2605633802816901
19,31,33,187,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/31.pdf,Ch. 5 – Pg. 2,gemini-1.5-pro,Onshore,0.17647058823529413
20,37,28,72,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/37.pdf,,gemini-1.5-pro,Offshore,0.3888888888888889
21,18,22,13,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/18.pdf,EWF-2023-001,deepseek-chat,Offshore,1.6923076923076923
22,17,21,224,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/17.pdf,78,gemini-1.5-pro,Offshore,0.09375
23,42,21,82,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/42.pdf,7,gemini-1.5-pro,Offshore,0.25609756097560976
24,44,18,18,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/44.pdf,NSW-REG-2023-004,deepseek-chat,Offshore,1.0
25,12,17,94,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/12.pdf,,gemini-1.5-pro,Offshore,0.18085106382978725
26,19,14,26,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/19.pdf,7 of 26,gpt-4o-mini,Onshore,0.5384615384615384
27,7,13,145,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/7.pdf,OWF-REG-2023,deepseek-chat,Offshore,0.0896551724137931
28,21,13,131,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/21.pdf,OWF-REG-2023,deepseek-chat,Offshore,0.09923664122137404
29,4,12,133,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/4.pdf,,gpt-4o-mini,Offshore,0.09022556390977443
30,43,11,57,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/43.pdf,OWF-NS-2023-001,deepseek-chat,Offshore,0.19298245614035087
