rank,document_id,constraint_count,page_count,pdf_path,document_number,model_name,type_of_wind_farm
1,26,322,177,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/26.pdf,Page 17 of 93,gemini-1.5-pro,Offshore
2,40,169,28,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/40.pdf,DOC-2023-001,deepseek-chat,Offshore
3,10,168,376,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/10.pdf,OWF-REG-2023-004,deepseek-chat,Offshore
4,22,153,366,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/22.pdf,EWF-2023-001,deepseek-chat,Offshore
5,23,152,366,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/23.pdf,30 CFR Part 585,deepseek-chat,Offshore
6,20,142,661,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/20.pdf,NSW-REG-2023-004,deepseek-chat,Offshore
7,29,81,193,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/29.pdf,3-63,gemini-1.5-pro,Offshore
8,48,73,235,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/48.pdf,,gpt-4o-mini,Offshore
9,11,73,454,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/11.pdf,OWF-REG-2023-001,deepseek-chat,Offshore
10,49,65,238,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/49.pdf,EWF-2023-001,deepseek-chat,Offshore
11,27,65,29,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/27.pdf,SECTION IV,gpt-4.1,Offshore
12,1,50,98,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/1.pdf,NSOW-2023-0042,deepseek-chat,Offshore
13,2,48,98,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/2.pdf,NSW-2023-004,deepseek-chat,Offshore
14,34,47,17,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/34.pdf,,gpt-4o-mini,Offshore
15,33,46,617,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/33.pdf,DOC-2023-001,deepseek-chat,Offshore
16,39,45,215,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/39.pdf,30 CFR Part 585,deepseek-chat,Offshore
17,32,42,311,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/32.pdf,OWF-REG-2023,deepseek-chat,Offshore
18,5,37,142,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/5.pdf,EWF-2023-001,deepseek-chat,Offshore
19,31,33,187,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/31.pdf,Ch. 5 – Pg. 2,gemini-1.5-pro,Onshore
20,37,28,72,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/37.pdf,,gemini-1.5-pro,Offshore
