document_id,chunk_number,parsed_successfully,raw_output
27,1,True,"```json
{
  ""document_metadata"": {
    ""title"": ""Draft Outer Continental Shelf Air Permit"",
    ""document_number"": ""Page 1 of 29"",
    ""type_of_wind_farm"": ""Offshore""
  },
  ""regulatory_constraints"": [],
  ""regulatory_entities"": [
    {
      ""entity_name"": ""U.S. Environmental Protection Agency Region 1"",
      ""jurisdiction"": ""Federal - USA"",
      ""role"": ""Permitting authority""
    },
    {
      ""entity_name"": ""Bureau of Ocean Energy Management (BOEM)"",
      ""jurisdiction"": ""Federal - USA"",
      ""role"": ""Lease area management""
    }
  ]
}
```"
27,2,False,NO_RELEVANT_DATA_FOUND
27,3,False,NO_RELEVANT_DATA_FOUND
27,4,False,NO_RELEVANT_DATA_FOUND
27,5,True,"```json
{
  ""document_metadata"": {
    ""title"": null,
    ""document_number"": ""Page 4 of 29"",
    ""type_of_wind_farm"": ""Offshore""
  },
  ""regulatory_constraints"": [],
  ""regulatory_entities"": [
    {
      ""entity_name"": ""Bureau of Ocean Energy Management (BOEM)"",
      ""jurisdiction"": ""Federal - USA"",
      ""role"": ""Renewable Energy Lease Area Management""
    }
  ]
}
```"
27,6,True,"```json
{
  ""document_metadata"": {
    ""title"": null,
    ""document_number"": ""OCS-R1-05"",
    ""type_of_wind_farm"": ""Offshore""
  },
  ""regulatory_constraints"": [
    {
      ""type"": ""Environmental"",
      ""requirement"": ""Best available control technology (BACT) is required for all new emission units emitting NO2, CO, PM10, PM2.5, and GHG."",
      ""scope"": ""All new emission units"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""Massachusetts state regulations (derived BACT requirements)"",
      ""related_domains"": [""air quality"", ""emissions control""]
    },
    {
      ""type"": ""Environmental"",
      ""requirement"": ""State BACT requirements (derived from Massachusetts regulations) apply to all new emission units emitting SO2."",
      ""scope"": ""All new emission units emitting SO2"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""Massachusetts state regulations"",
      ""related_domains"": [""air quality"", ""emissions control""]
    },
    {
      ""type"": ""Environmental"",
      ""requirement"": ""Lowest achievable emission rate (LAER) is required for all new emission units emitting NOx and VOC."",
      ""scope"": ""All new emission units emitting NOx and VOC"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": null,
      ""related_domains"": [""air quality"", ""emissions control""]
    }
  ],
  ""regulatory_entities"": []
}
```"
27,7,False,NO_RELEVANT_DATA_FOUND
27,8,False,NO_RELEVANT_DATA_FOUND
27,9,False,NO_RELEVANT_DATA_FOUND
27,10,True,"```json
{
  ""document_metadata"": {
    ""title"": ""Revolution Wind, LLC Outer Continental Shelf Preconstruction Air Permit No. OCS-R1-05"",
    ""document_number"": ""Page 8 of 29"",
    ""type_of_wind_farm"": ""Offshore""
  },
  ""regulatory_constraints"": [
    {
      ""type"": ""Environmental"",
      ""requirement"": ""The medium and high-voltage gas insulated switchgears (GIS) on the OSS are required to apply BACT for SF6."",
      ""scope"": ""Medium and High Voltage Switchgears on the Offshore Substation (OSS)"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""Revolution Wind, LLC Outer Continental Shelf Preconstruction Air Permit No. OCS-R1-05"",
      ""related_domains"": [""air quality"", ""greenhouse gas emissions""]
    },
    {
      ""type"": ""Technical"",
      ""requirement"": ""WTGs will not utilize SF6 within the switchgears"",
      ""scope"": ""Wind Turbine Generators (WTGs)"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""Revolution Wind, LLC Outer Continental Shelf Preconstruction Air Permit No. OCS-R1-05"",
      ""related_domains"": [""electrical infrastructure"", ""greenhouse gas emissions""]
    }
  ],
  ""regulatory_entities"": []
}
```"
