row_index,document_id,model_name,constraint_type,scope,numerical_value,unit,requirement,exact_match,pages_found,highlighted_pages,matching_text_snippets
1,26,gemini-1.5-pro,Spatial,OCS export cable corridor,35,km,export cables within an export cable corridor of up to 35 km (21.7 mi) in length on the OCS,False,,,
24,26,gemini-1.5-pro,Technical,Cable protection measures,10,percent,"The use of cable protection measures must not exceed 10 percent of the total export and inter-array cable length, excluding cable crossings and approaches to foundations.",False,,,
34,26,claude-3-haiku-20240307,Spatial,Outer Continental Shelf (OCS),114,wind turbine generators,"The Lessee may construct and install on the Outer Continental Shelf (OCS) up to 114 wind turbine generators (WTGs), up to 4 offshore substations (OSSs), up to 1 permanent meteorological (met) tower, interarray and interlink cables, and up to 4 export cables within an export cable corridor of up to 35 km (21.7 mi) in length on the OCS.",False,,,
41,26,gemini-1.5-pro,Technical,Cable burial depth and protection,1.0,m,"In areas where the final cable burial depth is less than 1.0 m below seabed, excluding cable crossings and within the vicinity of WTG/OSS foundations where cables are enclosed within a cable protection system, the Lessee must install secondary protection such as concrete mattresses, rock bags, or rock placement and must adhere to the scour and cable protection measures in Section 5.3.7.",False,,,
47,26,gpt-4o-mini,Technical,Outer Continental Shelf (OCS),114,WTGs,"The Lessee may construct and install on the Outer Continental Shelf (OCS) up to 114 wind turbine generators (WTGs), up to 4 offshore substations (OSSs), up to 1 permanent meteorological (met) tower, interarray and interlink cables, and up to 4 export cables within an export cable corridor of up to 35 km (21.7 mi) in length on the OCS.",False,,,
74,26,gemini-1.5-pro,Technical,"Construction phase, Offshore wind farm components (Met tower, seabed, cables, foundations, WTG, OSS)",48,hours,"The Lessee must submit a 48-hour notification to BSEE through TIMSWeb prior to the start of each of the following construction activities occurring on the OCS: met tower installation, seabed preparation activities such as boulder relocation and pre-lay grapnel runs, export cable installation, inter-array cable installation, WTG and OSS foundation installation, WTG tower and nacelle installation, OSS topside installation, and cable and scour protection installation.",False,,,
83,26,gpt-4o-mini,Technical,Export and inter-array cables,10,percent,"The use of cable protection measures must not exceed 10 percent of the total export and inter-array cable length, excluding cable crossings and approaches to foundations.",False,,,
92,26,gemini-1.5-pro,Technical,OCS,4,,The Lessee may construct and install ... up to 4 export cables within an export cable corridor of up to 35 km (21.7 mi) in length on the OCS.,False,,,
98,26,gemini-1.5-pro,Technical,Foundation scour inspection,6,months,The Lessee must carry out an initial foundation scour inspection within 6 months of completing the installation of each foundation location.,False,,,
132,26,gpt-4o-mini,Environmental,"benthic resources, finfish, invertebrates, essential fish habitat, marine mammals, sea turtles",32,WTGs,"would reduce the potential impacts on benthic resources, finfish, invertebrates, essential fish habitat, marine mammals and sea turtles due to the potential removal of up to 32 WTGs and associated interarray cables",False,,,
138,26,gpt-4o-mini,Technical,Export cable installation,200,ft,"US Wind requested an easement width greater than 200 ft to safely accommodate installation of up to four export cables, as well as spacing of the cables at least three times the water depth to allow for maintenance, repair, and replacement of the export cables as needed.",False,,,
156,26,gpt-4o-mini,Technical,"Interarray and export cables, post-installation phase.",6,months,"The Lessee must conduct an inspection of each interarray and export cable to determine cable location, burial depths, and site conditions, and to assess the state of the cables.",False,,,
157,26,gemini-1.5-pro,Technical,Export and inter-array cables on the OCS,90,percent,"The Lessee must comply with cable burial conditions described in the COP by demonstrating proper burial depth of the installed submarine cables along at least 90 percent of the total export cable length on the OCS and 90 percent of the inter-array cable length, excluding cable crossings and approaches to foundations.",False,,,
175,26,gemini-1.5-pro,Technical,OCS,114,,The Lessee may construct and install on the Outer Continental Shelf (OCS) up to 114 wind turbine generators (WTGs),False,,,
196,26,gpt-4o-mini,Technical,Wind Turbine Generator capacity.,28,%,Removal of 32 turbines would constitute a 28% reduction in WTG capacity when compared to Alternative B.,False,,,
204,26,gemini-1.5-pro,Technical,Cable protection,20,percent,"If secondary cable protection is needed, it must not reduce the water depth by 20 percent.",False,,,
228,26,gemini-1.5-pro,Technical,Project area geotechnical investigation,1,,a minimum of one deep boring (with soil sampling and testing) at each edge of the Project area and within the Project area,False,,,
235,26,gemini-1.5-pro,Safety,"Project stakeholders, vendors, and manufacturers",5,percent,"Within 45 days following approval of the COP, the Lessee must provide DON with the names of each entity and person having beneficial ownership or control of 5 percent or more of the Lessee and the project operator, all material vendors and manufacturers who will regularly visit the project, who supply or manufacture equipment used on the project, control equipment used on the project, or have access to associated data systems.",False,,,
254,26,gpt-4o-mini,Technical,Cable protection measures,20,percent,"If secondary cable protection is needed, it must not reduce the water depth by 20 percent.",False,,,
272,26,gpt-4o-mini,Jurisdictional,Project planning phase,5,percent,The Lessee must provide DON with the names of each entity and person having beneficial ownership or control of 5 percent or more of the Lessee and the project operator.,False,,,
292,26,deepseek-chat,Spatial,Wind turbine array layout,5,rotor diameters,Minimum spacing between turbines shall be 5 times the rotor diameter in predominant wind direction,False,,,
